,UID,SCTFS,Shape_Area,AREA_2020,AREA_2019,AREA_2018,AREA_2017,AREA_2016,AREA_2015,AREA_2014,AREA_2013,AREA_2012,AREA_2011,AREA_2010,AREA_2009,AREA_2008,AREA_2007,AREA_2006,FIPSSTCO,County
452809,511445,2001900294070002001,28036.246879546131822,,,,,,,,,,,4500.000000000000000,,900.000000000000000,,,20019,CHAUTAUQUA
452810,511446,2001900294070003001,13336.955395325201607,,,,,,,,,,,,,,,,20019,CHAUTAUQUA
453096,511791,2001900293840002001,457805.541537671990227,185400.000000000000000,31500.000000000000000,,245700.000000000000000,130500.000000000000000,16200.000000000000000,62100.000000000000000,7200.000000000000000,111600.000000000000000,27000.000000000000000,6300.000000000000000,,111600.000000000000000,31360.000000000000000,6272.000000000000000,20019,CHAUTAUQUA
453102,511797,2001900294070004001,7204.557477212254526,,,,,,,,,,,,,,,,20019,CHAUTAUQUA
453285,512061,2001900294070006001,31491.040576227187557,9900.000000000000000,,,,,,,,2700.000000000000000,,,,23400.000000000000000,,,20019,CHAUTAUQUA
453286,512062,2001900294070005001,104425.352473493010621,13500.000000000000000,2700.000000000000000,1800.000000000000000,4500.000000000000000,,,,,3600.000000000000000,900.000000000000000,,,26100.000000000000000,,,20019,CHAUTAUQUA
453287,512063,2001900294070001001,430095.917395672237035,383400.000000000000000,1800.000000000000000,3600.000000000000000,1800.000000000000000,1800.000000000000000,,,,408600.000000000000000,,3600.000000000000000,,380700.000000000000000,,,20019,CHAUTAUQUA
453531,512406,2001900294070007001,25718.657304249016306,16200.000000000000000,900.000000000000000,1800.000000000000000,,,,,,15300.000000000000000,,,,15300.000000000000000,,,20019,CHAUTAUQUA
637905,755155,2001900008880001001,82799.835294199510827,,,,,,,,,,,,,,,,20019,CHAUTAUQUA
637906,755156,2001900008880003001,833400.132519328035414,,,,,,,,,,,900.000000000000000,,,,,20019,CHAUTAUQUA
637907,755157,2001900008880002001,63094.343156933289720,,,,,,,,,,,,,,,,20019,CHAUTAUQUA
637908,755158,2001900007300008001,2056930.112930766306818,,,,,,,,,,,1800.000000000000000,,900.000000000000000,,,20019,CHAUTAUQUA
637909,755159,2001900107870004001,505383.090422845736612,,,,,,,,,,900.000000000000000,,,,,,20019,CHAUTAUQUA
637910,755160,2001900109720117001,71420.068793918995652,,,,,,,,,,,,,,,,20019,CHAUTAUQUA
637911,755161,2001900008710001001,641683.683216568315402,,,,,,,,,,,,,,,,20019,CHAUTAUQUA
637912,755162,2001900002580001001,1455330.423471010290086,900.000000000000000,,,,,,,,,,,,900.000000000000000,,,20019,CHAUTAUQUA
637913,755163,2001900009650002001,148666.278443106712075,,,,,,,,,,,,,,,,20019,CHAUTAUQUA
637914,755164,2001900009450001001,316118.367105825804174,,,,,,,,,,,,,,,,20019,CHAUTAUQUA
637915,755165,2001900002230001001,190346.951648726651911,,,,,,,,,,,,,,,,20019,CHAUTAUQUA
637916,755166,2001900002230003001,36539.783302869895124,,,,,,,,,,,,,,,,20019,CHAUTAUQUA
637917,755167,2001900002230005001,13251.638499187143680,,,,,,,,,,,,,,,,20019,CHAUTAUQUA
637918,755168,2001900002230002001,183429.914095462212572,,,,,,,,,,,,,,,,20019,CHAUTAUQUA
637919,755169,2001900002230004001,209053.210085327678826,,,,,,,,,,,,,,,,20019,CHAUTAUQUA
637920,755170,2001900105590006001,367282.902387835260015,,,,,,,,,,12600.000000000000000,3600.000000000000000,,,,,20019,CHAUTAUQUA
637921,755171,2001900004820003001,107614.520541472054902,,,,,,,,,,,1800.000000000000000,,900.000000000000000,,,20019,CHAUTAUQUA
637922,755172,2001900004710001001,1169005.849067737348378,900.000000000000000,2700.000000000000000,,,,,,,,9000.000000000000000,,,,,,20019,CHAUTAUQUA
637923,755173,2001900107870005001,74827.715182858999469,,,,,,,,,,,,,,,,20019,CHAUTAUQUA
637924,755174,2001900110940008001,19695.059674306899979,,,,,,,,,,,,,,,,20019,CHAUTAUQUA
637925,755175,2001900004960001001,633340.887675003614277,900.000000000000000,2700.000000000000000,,,,,,,,,1800.000000000000000,,900.000000000000000,,,20019,CHAUTAUQUA
637926,755176,2001900004580001001,82586.698687347161467,,,,,,,,,,900.000000000000000,1800.000000000000000,,,3136.000000000000000,,20019,CHAUTAUQUA
637927,755177,2001900005660001001,404052.894754771376029,,2700.000000000000000,,,,,,,,900.000000000000000,,,,,,20019,CHAUTAUQUA
637928,755178,2001900007340001001,285388.388591650000308,1800.000000000000000,,,,,,,,1800.000000000000000,6300.000000000000000,900.000000000000000,,,9408.000000000000000,3136.000000000000000,20019,CHAUTAUQUA
637929,755179,2001900004710003001,252214.806139716878533,3600.000000000000000,5400.000000000000000,,,,,,,,13500.000000000000000,1800.000000000000000,,,,,20019,CHAUTAUQUA
637930,755180,2001900105590004001,596614.126842126715928,,,,,,,,,,4500.000000000000000,,,,,,20019,CHAUTAUQUA
637931,755181,2001900108730001001,647494.976206687511876,,,,,,,,,,,,,,,,20019,CHAUTAUQUA
637932,755182,2001900005880001001,36032.774897352952394,,,,,,,,900.000000000000000,,900.000000000000000,,,,,,20019,CHAUTAUQUA
637933,755183,2001900106710001001,24702.493110434559640,3600.000000000000000,,900.000000000000000,,4500.000000000000000,,900.000000000000000,,900.000000000000000,,7200.000000000000000,,,,,20019,CHAUTAUQUA
637934,755184,2001900106700002001,72512.115586553409230,,,,,,,,,,,,,,,,20019,CHAUTAUQUA
637935,755185,2001900110810121001,107696.141032283878303,104400.000000000000000,,105300.000000000000000,900.000000000000000,99900.000000000000000,,92700.000000000000000,,85500.000000000000000,,85500.000000000000000,900.000000000000000,92700.000000000000000,3136.000000000000000,,20019,CHAUTAUQUA
637936,755186,2001900110810002001,40235.966782259711181,900.000000000000000,,37800.000000000000000,,36900.000000000000000,1800.000000000000000,36900.000000000000000,,18900.000000000000000,,28800.000000000000000,,27900.000000000000000,9408.000000000000000,,20019,CHAUTAUQUA
