,UID,SCTFS,Shape_Area,AREA_2020,AREA_2019,AREA_2018,AREA_2017,AREA_2016,AREA_2015,AREA_2014,AREA_2013,AREA_2012,AREA_2011,AREA_2010,AREA_2009,AREA_2008,AREA_2007,AREA_2006,FIPSSTCO,County
676260,796821,2003900080630003001,348016.182926573150326,315900.000000000000000,,1800.000000000000000,316800.000000000000000,,,,900.000000000000000,324900.000000000000000,,900.000000000000000,,,3136.000000000000000,,20039,DECATUR
676261,796822,2003900080630005001,31193.175291699990339,,,,900.000000000000000,,,,,1800.000000000000000,,,,,,,20039,DECATUR
676262,796823,2003900000630005001,4554.731365901587196,,,,,,,,,,,,,,3136.000000000000000,,20039,DECATUR
676263,796825,2003900003190008001,549575.687325872946531,525600.000000000000000,531000.000000000000000,,,515700.000000000000000,,,524700.000000000000000,,,531900.000000000000000,,,451584.000000000000000,,20039,DECATUR
676264,796826,2003902015330002001,491563.014797259646002,,,,,,,,,,,2700.000000000000000,,,,,20039,DECATUR
676265,796827,2003902015330053001,92037.610913956392324,,,,,,,,,1800.000000000000000,,900.000000000000000,9900.000000000000000,,,,20039,DECATUR
676266,796828,2003900000390003001,93911.373731394967763,900.000000000000000,2700.000000000000000,8100.000000000000000,,,8100.000000000000000,900.000000000000000,,6300.000000000000000,,1800.000000000000000,8100.000000000000000,,,3136.000000000000000,20039,DECATUR
676267,796829,2003900084050028001,722252.030275353929028,684000.000000000000000,,,682200.000000000000000,,,661500.000000000000000,,,689400.000000000000000,,,686700.000000000000000,,,20039,DECATUR
676268,796830,2003900084050023001,30597.713660650661041,3600.000000000000000,,,1800.000000000000000,,,2700.000000000000000,,4500.000000000000000,4500.000000000000000,,,5400.000000000000000,,,20039,DECATUR
676269,796831,2003900008670002001,31769.569650456229283,1800.000000000000000,4500.000000000000000,2700.000000000000000,2700.000000000000000,4500.000000000000000,4500.000000000000000,,,2700.000000000000000,5400.000000000000000,6300.000000000000000,,1800.000000000000000,,,20039,DECATUR
676270,796832,2003900008670003001,11347.679407785712101,5400.000000000000000,6300.000000000000000,900.000000000000000,5400.000000000000000,5400.000000000000000,6300.000000000000000,3600.000000000000000,5400.000000000000000,6300.000000000000000,7200.000000000000000,6300.000000000000000,4500.000000000000000,3600.000000000000000,,,20039,DECATUR
676271,796833,2003900008670004001,129414.853101319386042,28800.000000000000000,29700.000000000000000,25200.000000000000000,29700.000000000000000,29700.000000000000000,27000.000000000000000,20700.000000000000000,27000.000000000000000,30600.000000000000000,28800.000000000000000,32400.000000000000000,26100.000000000000000,16200.000000000000000,6272.000000000000000,,20039,DECATUR
676272,796834,2003900083800017001,7920.810217790749448,900.000000000000000,1800.000000000000000,,,1800.000000000000000,1800.000000000000000,,,2700.000000000000000,2700.000000000000000,,,1800.000000000000000,,,20039,DECATUR
676273,796835,2003900083800009001,372037.763102205703035,366300.000000000000000,366300.000000000000000,,,370800.000000000000000,370800.000000000000000,,900.000000000000000,354600.000000000000000,370800.000000000000000,,900.000000000000000,369000.000000000000000,,,20039,DECATUR
676274,796836,2003900083800010001,78269.584255194466095,75600.000000000000000,75600.000000000000000,,,72900.000000000000000,72900.000000000000000,,,65700.000000000000000,74700.000000000000000,,,73800.000000000000000,,,20039,DECATUR
676275,796837,2003900083800013001,325918.299904041457921,26100.000000000000000,26100.000000000000000,,,18000.000000000000000,14400.000000000000000,,,11700.000000000000000,18000.000000000000000,2700.000000000000000,,17100.000000000000000,,,20039,DECATUR
676276,796838,2003900083800012001,97955.044043605797924,3600.000000000000000,3600.000000000000000,,,,,,,,4500.000000000000000,2700.000000000000000,,,,,20039,DECATUR
