,UID,SCTFS,Shape_Area,AREA_2020,AREA_2019,AREA_2018,AREA_2017,AREA_2016,AREA_2015,AREA_2014,AREA_2013,AREA_2012,AREA_2011,AREA_2010,AREA_2009,AREA_2008,AREA_2007,AREA_2006,FIPSSTCO,County
703570,827891,2004900006390001001,941836.845093646785244,,,,,,,,,,1800.000000000000000,,,,,,20049,ELK
703571,827892,2004900006440002001,1598898.521813046652824,,,,,,,,,,,1800.000000000000000,,,,,20049,ELK
703572,827893,2004900013600004001,175891.613577059761155,,,,,,,,,,,,,,,,20049,ELK
703573,827894,2004900013600010001,140080.503394144005142,,,,,,,,,,,,,6300.000000000000000,,,20049,ELK
703574,827895,2004900013600003001,13234.621849506882427,,,,,,,,,,,,,,,,20049,ELK
703575,827896,2004900013600002001,102468.921022777285543,,,,,,,,,,,,,,,,20049,ELK
703576,827897,2004900013600007001,23572.648030515996652,,,,,,,,,,,,,,,,20049,ELK
703577,827898,2004900013600011001,1921209.935090898768976,,,,,,,,900.000000000000000,,900.000000000000000,2700.000000000000000,,,,,20049,ELK
703578,827899,2004900013600008001,30742.863368806651124,900.000000000000000,,,,,,,,,,,,,,,20049,ELK
703579,827900,2004900013600006001,8460.819443472550120,,,,,,,,,,,,,,,,20049,ELK
703580,827901,2004900013550001001,791709.894570866017602,2700.000000000000000,900.000000000000000,,,,2700.000000000000000,,6300.000000000000000,2700.000000000000000,5400.000000000000000,3600.000000000000000,,,,,20049,ELK
703581,827902,2004900015250001001,604119.652466820785776,,,,,,,,,,900.000000000000000,,,7200.000000000000000,,,20049,ELK
703582,827903,2004900013610007001,36727.875649487970804,,,,,,,,,,900.000000000000000,,,,,,20049,ELK
703583,827904,2004900013610002001,44880.480903148636571,,,,,,,,,,,,,,,,20049,ELK
703584,827905,2004900013610001001,65174.963218045806570,,,,,,,,,,,,,,,,20049,ELK
703585,827906,2004900006720003001,36840.755522298612050,,,,,,,,,,,,,,,,20049,ELK
703586,827907,2004900006720002001,15484.588321216917393,,,,,,,,,,,,,,,,20049,ELK
703587,827908,2004900006720009001,50238.092714968115615,,,,,,,,,,,,,,,,20049,ELK
703588,827909,2004900006720005001,17151.025466470062383,,,,,,,,,,,,,,,,20049,ELK
703589,827910,2004900006720030001,10411.784466941273422,,,,,,,,,,,,,,,,20049,ELK
703590,827911,2004900006720006001,26701.580055815993546,,,,,,,,,,,,,,,,20049,ELK
703591,827912,2004900006720008001,58743.186088739697880,,,,,,,,,,,,,,,,20049,ELK
703592,827913,2004900006720010001,122361.854959905598662,,,,,,,,,,,,,1800.000000000000000,,,20049,ELK
703593,827914,2004900012350001001,317811.140872041927651,,,,,,,,,,,,,,,,20049,ELK
703594,827915,2004900013540002001,87613.841708572595962,,,,,,,,,,,,,,,,20049,ELK
703595,827916,2004900013540001001,370380.107408481766470,,,,,,,,,,6300.000000000000000,,,,,,20049,ELK
703596,827918,2004900013580003001,11658.650029527361767,,,,,,,,,,,1800.000000000000000,,,,,20049,ELK
703597,827919,2004900013580004001,16763.568948399359215,,,,,,,,900.000000000000000,900.000000000000000,1800.000000000000000,,,,,,20049,ELK
703598,827920,2004900013480003001,16684.048507581363083,12600.000000000000000,,11700.000000000000000,,,9000.000000000000000,,,13500.000000000000000,,11700.000000000000000,,6300.000000000000000,,6272.000000000000000,20049,ELK
