,UID,SCTFS,Shape_Area,AREA_2020,AREA_2019,AREA_2018,AREA_2017,AREA_2016,AREA_2015,AREA_2014,AREA_2013,AREA_2012,AREA_2011,AREA_2010,AREA_2009,AREA_2008,AREA_2007,AREA_2006,FIPSSTCO,County
73095,82255,2005502004710001001,630370.739132366725244,,616500.000000000000000,607500.000000000000000,2700.000000000000000,,,,14400.000000000000000,9000.000000000000000,900.000000000000000,6300.000000000000000,,,,,20055,FINNEY
90101,100773,2005500001050014001,1684487.442198599223047,,,,,,,,900.000000000000000,900.000000000000000,1800.000000000000000,900.000000000000000,,,,,20055,FINNEY
90102,100774,2005500021180001001,224350.384725697163958,,2700.000000000000000,,,18900.000000000000000,7200.000000000000000,9000.000000000000000,38700.000000000000000,,,,,,,,20055,FINNEY
90103,100775,2005500009220001001,275589.579691864259075,107100.000000000000000,144900.000000000000000,44100.000000000000000,261900.000000000000000,,150300.000000000000000,,144900.000000000000000,,235800.000000000000000,141300.000000000000000,265500.000000000000000,157500.000000000000000,225792.000000000000000,3136.000000000000000,20055,FINNEY
90104,100776,2005500068810002001,371245.735459712974261,6300.000000000000000,8100.000000000000000,4500.000000000000000,16200.000000000000000,900.000000000000000,,,1800.000000000000000,900.000000000000000,1800.000000000000000,,,,6272.000000000000000,,20055,FINNEY
90105,100777,2005500079370001001,29713.008424695326539,3600.000000000000000,,,,1800.000000000000000,,,,5400.000000000000000,,7200.000000000000000,,6300.000000000000000,,3136.000000000000000,20055,FINNEY
90106,100778,2005500002860003001,31985.414217865436513,9900.000000000000000,23400.000000000000000,20700.000000000000000,,,14400.000000000000000,,,,,,,,,6272.000000000000000,20055,FINNEY
90107,100779,2005500015400001001,33790.967019062554755,900.000000000000000,10800.000000000000000,,,,,,900.000000000000000,,,,,,,6272.000000000000000,20055,FINNEY
90108,100780,2005500002830001001,228338.850168741308153,1800.000000000000000,27900.000000000000000,900.000000000000000,,,,,,,,1800.000000000000000,,3600.000000000000000,3136.000000000000000,,20055,FINNEY
90109,100781,2005500013570001001,199910.934973910974804,198900.000000000000000,,,,,,,,,,,,,,,20055,FINNEY
90110,100782,2005500008300001001,25895.647599977350183,1800.000000000000000,,,900.000000000000000,1800.000000000000000,6300.000000000000000,,900.000000000000000,900.000000000000000,,1800.000000000000000,,5400.000000000000000,,,20055,FINNEY
90111,100783,2005500004260004001,252321.927270968502853,4500.000000000000000,1800.000000000000000,1800.000000000000000,100800.000000000000000,,,,177300.000000000000000,,,169200.000000000000000,,,,,20055,FINNEY
90112,100784,2005500004940001001,5858.801714496352361,2700.000000000000000,2700.000000000000000,,,900.000000000000000,,,,,,1800.000000000000000,,2700.000000000000000,3136.000000000000000,,20055,FINNEY
90113,100785,2005500013900001001,201421.064965371566359,,900.000000000000000,,,,2700.000000000000000,,1800.000000000000000,,,2700.000000000000000,6300.000000000000000,,,,20055,FINNEY
90114,100786,2005500017780001001,517425.783027191762812,510300.000000000000000,509400.000000000000000,504900.000000000000000,4500.000000000000000,254700.000000000000000,229500.000000000000000,235800.000000000000000,243000.000000000000000,248400.000000000000000,,201600.000000000000000,495000.000000000000000,500400.000000000000000,,482944.000000000000000,20055,FINNEY
90115,100787,2005500009180007001,167749.662622018426191,27900.000000000000000,95400.000000000000000,30600.000000000000000,59400.000000000000000,,,29700.000000000000000,900.000000000000000,105300.000000000000000,11700.000000000000000,,,69300.000000000000000,,25088.000000000000000,20055,FINNEY
90116,100788,2005500008620001001,493464.225157795823179,1800.000000000000000,492300.000000000000000,484200.000000000000000,5400.000000000000000,1800.000000000000000,405000.000000000000000,,9900.000000000000000,23400.000000000000000,1800.000000000000000,409500.000000000000000,900.000000000000000,468000.000000000000000,,,20055,FINNEY
90117,100789,2005500070310002001,82842.402844887881656,,,,,,,,,,,,,,,,20055,FINNEY
90118,100790,2005500066990001001,30961.936355739748251,27900.000000000000000,26100.000000000000000,24300.000000000000000,25200.000000000000000,27000.000000000000000,1800.000000000000000,,,,,,,,,,20055,FINNEY
90119,100791,2005500073810001001,31464.060087371006375,17100.000000000000000,,,,,7200.000000000000000,,9900.000000000000000,900.000000000000000,,2700.000000000000000,,,,,20055,FINNEY
90120,100792,2005500075640003001,92828.385361576918513,82800.000000000000000,82800.000000000000000,20700.000000000000000,900.000000000000000,,2700.000000000000000,,14400.000000000000000,900.000000000000000,36000.000000000000000,2700.000000000000000,1800.000000000000000,9000.000000000000000,6272.000000000000000,,20055,FINNEY
90121,100793,2005500067000001001,12905.860743592009385,,11700.000000000000000,11700.000000000000000,11700.000000000000000,,,3600.000000000000000,,,,,,,,,20055,FINNEY
90122,100795,2005500007640003001,207143.470274600840639,,900.000000000000000,,,,,,,,4500.000000000000000,,,,,,20055,FINNEY
90123,100796,2005500011930007001,194798.759157924941974,,5400.000000000000000,,,,,,,,,1800.000000000000000,900.000000000000000,,9408.000000000000000,,20055,FINNEY
90124,100797,2005500008050001001,33022.516325602795405,,6300.000000000000000,4500.000000000000000,2700.000000000000000,900.000000000000000,2700.000000000000000,3600.000000000000000,,,9900.000000000000000,8100.000000000000000,,9000.000000000000000,3136.000000000000000,,20055,FINNEY
90125,100798,2005500001570001001,429735.143256353621837,,,900.000000000000000,,,900.000000000000000,,,1800.000000000000000,,,,15300.000000000000000,,,20055,FINNEY
90126,100799,2005500015570005001,33184.052462543419097,1800.000000000000000,,8100.000000000000000,,,,1800.000000000000000,,,1800.000000000000000,6300.000000000000000,,,,3136.000000000000000,20055,FINNEY
90127,100800,2005500004330002001,550768.704004036844708,900.000000000000000,5400.000000000000000,,,,21600.000000000000000,,,,,900.000000000000000,2700.000000000000000,900.000000000000000,,,20055,FINNEY
90128,100801,2005500067640005001,32639.903789118001441,1800.000000000000000,2700.000000000000000,,6300.000000000000000,,900.000000000000000,900.000000000000000,,,2700.000000000000000,7200.000000000000000,3600.000000000000000,,,3136.000000000000000,20055,FINNEY
90129,100802,2005500011670001001,32867.061688707210124,,28800.000000000000000,,900.000000000000000,,17100.000000000000000,,,,900.000000000000000,,,17100.000000000000000,,,20055,FINNEY
