,UID,SCTFS,Shape_Area,AREA_2020,AREA_2019,AREA_2018,AREA_2017,AREA_2016,AREA_2015,AREA_2014,AREA_2013,AREA_2012,AREA_2011,AREA_2010,AREA_2009,AREA_2008,AREA_2007,AREA_2006,FIPSSTCO,County
707579,832524,2005702006910001001,378660.884527995891403,,,,1800.000000000000000,7200.000000000000000,,,2700.000000000000000,,,2700.000000000000000,,,,,20057,FORD
707580,832525,2005702006910002001,248568.129344710905571,,,,,3600.000000000000000,,,,,,900.000000000000000,,,,,20057,FORD
707581,832526,2005702008310001001,107700.514222068231902,,,,,,,,,,,,,,,,20057,FORD
707582,832527,2005702008310046001,1279654.172413739608601,,900.000000000000000,1800.000000000000000,8100.000000000000000,1800.000000000000000,,,,,,3600.000000000000000,,,,,20057,FORD
707583,832528,2005700014670001001,966592.250893786549568,,,,,900.000000000000000,,,,,,,,,,,20057,FORD
707584,832529,2005700009810002001,290555.616639500309248,,1800.000000000000000,,,,,900.000000000000000,,,,1800.000000000000000,,,,,20057,FORD
707585,832530,2005700009980001001,548136.046324646333233,,,,,,,,,,,,,,,,20057,FORD
707586,832531,2005700014670002001,4261.813579208738702,,,,,,,,,,,,,,,,20057,FORD
707587,832532,2005700010330001001,691598.732891853316687,,5400.000000000000000,,,,,9000.000000000000000,1800.000000000000000,,,,,,,,20057,FORD
707588,832533,2005700008710010001,92434.142537058985909,,,,,,,,,,,,,,,,20057,FORD
707589,832534,2005700008710002001,5448.031650241421630,,,,,,,,,,,,,,,,20057,FORD
707590,832535,2005702008310047001,182321.464149769715732,,,,,,,,,,,,,7200.000000000000000,,,20057,FORD
707591,832536,2005700174650002001,311502.842509932408575,,,,,,,,,,,,,,,,20057,FORD
707592,832537,2005700174650003001,34081.773984001447388,,,,,,,,,,,,,,,,20057,FORD
707593,832538,2005700007230004001,327107.044205471291207,900.000000000000000,7200.000000000000000,,,,,,,,,,,,,,20057,FORD
707594,832539,2005700007450002001,316540.339112112531438,,1800.000000000000000,2700.000000000000000,,,,,1800.000000000000000,,1800.000000000000000,47700.000000000000000,,,,,20057,FORD
707595,832540,2005700006870002001,150631.410444844514132,,,,,,,,,,,,,,,,20057,FORD
707596,832541,2005700003620003001,172062.616916396684246,,,,,,,900.000000000000000,,,,,,,,,20057,FORD
707597,832542,2005700003620002001,81634.759554513118928,,,,,,,,,,,,,,,,20057,FORD
707598,832543,2005700008710006001,99517.147351066945703,,1800.000000000000000,,,,,,,,,,,,,,20057,FORD
707599,832544,2005700003620001001,72384.355011227933574,,,,,,,,,,,,,,,,20057,FORD
707600,832545,2005700006960001001,10070792.783887784928083,,,,,,,,,,,,,,,,20057,FORD
707601,832546,2005702008310048001,140923.486804838088574,,900.000000000000000,,,,,,900.000000000000000,,,900.000000000000000,,,,,20057,FORD
707602,832547,2005700027190001001,2636840.469555387739092,,,,,,,,,,,,,,,,20057,FORD
707603,832548,2005700027200001001,1276096.235212667379528,,,,,,,,,,,,,,,,20057,FORD
707604,832549,2005702006910068001,970849.741268193814903,,3600.000000000000000,,16200.000000000000000,,,17100.000000000000000,,,900.000000000000000,900.000000000000000,,,,,20057,FORD
707605,832550,2005702008310049001,115719.230392812940408,9000.000000000000000,12600.000000000000000,,,,,,,,,,,,,,20057,FORD
707606,832551,2005702008310050001,163231.193329986272147,6300.000000000000000,17100.000000000000000,,,,,,,,,900.000000000000000,,,,,20057,FORD
707607,832552,2005700003660004001,51255.842838716351253,,,,,,,,,,,,,,,,20057,FORD
707608,832553,2005700003660002001,10435.662306443737180,,,,,,,,,,,,,,,,20057,FORD
707609,832554,2005700003660001001,23392.953982373979670,,,,,,,,,,,,,,,,20057,FORD
707610,832555,2005702005510001001,939900.142888592905365,,,,,,,,,,,,,,,,20057,FORD
