,UID,SCTFS,Shape_Area,AREA_2020,AREA_2019,AREA_2018,AREA_2017,AREA_2016,AREA_2015,AREA_2014,AREA_2013,AREA_2012,AREA_2011,AREA_2010,AREA_2009,AREA_2008,AREA_2007,AREA_2006,FIPSSTCO,County
720790,846853,2007300010390013001,314089.568237637402490,,,,,,,,,,,,,,,,20073,GREENWOOD
720791,846854,2007300011100001001,1284855.112468257779256,900.000000000000000,,,2700.000000000000000,,,,,,7200.000000000000000,9900.000000000000000,,,,,20073,GREENWOOD
720792,846855,2007300010400005001,16989.703454907496052,,,,,,,,,,,,,900.000000000000000,,,20073,GREENWOOD
720793,846856,2007300010400004001,23581.258108082132821,,,,,,,,,,,,,900.000000000000000,,,20073,GREENWOOD
720794,846857,2007300010400015001,8665.595929619765229,,,,,,,,,,,,,,,,20073,GREENWOOD
720795,846858,2007300010400003001,5785.104724630576129,,,,,,,,,,,,,,,,20073,GREENWOOD
720796,846859,2007300010400002001,28758.268394880629785,,1800.000000000000000,1800.000000000000000,18900.000000000000000,,,,,16200.000000000000000,,900.000000000000000,,,,,20073,GREENWOOD
720797,846860,2007300010400001001,24892.594907459828391,,900.000000000000000,1800.000000000000000,16200.000000000000000,,,,,15300.000000000000000,900.000000000000000,,,,,,20073,GREENWOOD
720798,846861,2007300003030002001,25568.353449122023449,,900.000000000000000,,15300.000000000000000,,,,,14400.000000000000000,,,,6300.000000000000000,,,20073,GREENWOOD
720799,846862,2007300003030001001,26062.368429407706572,,4500.000000000000000,900.000000000000000,18900.000000000000000,,,,,18000.000000000000000,,,,,,,20073,GREENWOOD
720800,846863,2007300003030004001,23973.719045688150800,,4500.000000000000000,,7200.000000000000000,,,,,6300.000000000000000,,,,,,,20073,GREENWOOD
720801,846864,2007300003030003001,245353.349356231541606,,6300.000000000000000,1800.000000000000000,225000.000000000000000,,,,,226800.000000000000000,3600.000000000000000,,,84600.000000000000000,,,20073,GREENWOOD
720802,846865,2007300010360004001,6944.912053605338770,,,,,,,,,,,,,,3136.000000000000000,,20073,GREENWOOD
720803,846866,2007300010970001001,651711.915503464755602,,,,,,,,,2700.000000000000000,900.000000000000000,2700.000000000000000,,,,,20073,GREENWOOD
720804,846867,2007300003640001001,652076.891264659236185,,,,,,,,,,900.000000000000000,,,,,,20073,GREENWOOD
720805,846868,2007300010390014001,1277403.666499191662297,,,,,,,,,1800.000000000000000,12600.000000000000000,17100.000000000000000,,900.000000000000000,,,20073,GREENWOOD
720806,846869,2007300010390015001,7856.159318303635700,,,,,,,,,,,,,,,,20073,GREENWOOD
720807,846870,2007300011100002001,2571408.737331445794553,,,,,,,,,,,123300.000000000000000,,900.000000000000000,,,20073,GREENWOOD
720808,846871,2007300008950001001,34096.245764081671950,,,,,,,,,,,,,,,,20073,GREENWOOD
720809,846872,2007300008950002001,601539.199857538333163,,,,,,,,,,,3600.000000000000000,,,,,20073,GREENWOOD
720810,846873,2007300004360003001,1005584.163556906045415,,,,,,,,,,900.000000000000000,39600.000000000000000,,1800.000000000000000,,,20073,GREENWOOD
720811,846875,2007300012070005001,282148.618461244099308,269100.000000000000000,,258300.000000000000000,,255600.000000000000000,,,261900.000000000000000,,6300.000000000000000,9900.000000000000000,,9900.000000000000000,206976.000000000000000,,20073,GREENWOOD
720812,846876,2007300012070006001,6103.061883987840702,,,,,,,,,,,,,,,,20073,GREENWOOD
720813,846877,2007300012070007001,7199.390167524683420,,,,,,,,,,,,,,,,20073,GREENWOOD
720814,846879,2007300003750001001,5566.978353628402147,,,,,,,,,,,,,,,,20073,GREENWOOD
720815,846883,2007300011760001001,73249.777344148882548,,,,,,,,,,,,,,,,20073,GREENWOOD
720816,846884,2007300010670004001,91018.323538507436751,90000.000000000000000,1800.000000000000000,,71100.000000000000000,,83700.000000000000000,,86400.000000000000000,,6300.000000000000000,26100.000000000000000,,,,,20073,GREENWOOD
720817,846885,2007300010670002001,170965.311594299535500,166500.000000000000000,,,115200.000000000000000,,143100.000000000000000,,142200.000000000000000,,3600.000000000000000,33300.000000000000000,,,,,20073,GREENWOOD
720818,846886,2007300010670005001,39353.818865776636812,32400.000000000000000,,900.000000000000000,27000.000000000000000,1800.000000000000000,27000.000000000000000,,33300.000000000000000,,,3600.000000000000000,,,,,20073,GREENWOOD
720819,846887,2007300010670008001,6018.795282959081305,,,,,,,,,,,,,,,,20073,GREENWOOD
720820,846888,2007300010670007001,999024.359733829507604,1800.000000000000000,1800.000000000000000,,,,,,2700.000000000000000,,,900.000000000000000,,,,,20073,GREENWOOD
720821,846889,2007300010670001001,88383.512843477816205,,,,,,,,,,,,,,,,20073,GREENWOOD
