,UID,SCTFS,Shape_Area,AREA_2020,AREA_2019,AREA_2018,AREA_2017,AREA_2016,AREA_2015,AREA_2014,AREA_2013,AREA_2012,AREA_2011,AREA_2010,AREA_2009,AREA_2008,AREA_2007,AREA_2006,FIPSSTCO,County
732991,859932,2007700109580003001,52735.522335447814839,,,,,,,,,,,,,,,,20077,HARPER
732992,859933,2007700109570004001,4237.312408426244474,,,,,,,,,,,,,,,,20077,HARPER
732993,859934,2007700109580002001,113079.102963228331646,,900.000000000000000,,,1800.000000000000000,900.000000000000000,,,,900.000000000000000,,,,,,20077,HARPER
732994,859935,2007700000190005001,61199.031038744244142,,,,,,,,,,,,,,,,20077,HARPER
732995,859936,2007700000190008001,15564.638801166547637,,,,,,,,,,,,,,,,20077,HARPER
732996,859938,2007700000190012001,21893.946818299493316,900.000000000000000,,,,,,,,,,,,,,,20077,HARPER
732997,859939,2007700000190011001,134008.382968521473231,,,,,,900.000000000000000,,,,,,,,,,20077,HARPER
732998,859941,2007700106730003001,61305.509031647874508,,,,,6300.000000000000000,,,,,,,,,,,20077,HARPER
732999,859943,2007700106730007001,7036.933834569988903,,,,,,,,,,,,,,,,20077,HARPER
733000,859944,2007700106730008001,267659.120773051807191,,,,,5400.000000000000000,1800.000000000000000,,,,,,,,,,20077,HARPER
733001,859945,2007720095110009001,313179.900449772365391,,,,,,,,,,,,,,,,20077,HARPER
733002,859948,2007720095110003002,54408.377161114403862,,,,,,,,,,,,,,,,20077,HARPER
733003,859949,2007720095110006002,16207.195203621848123,,,,,,,,,,,,,,,,20077,HARPER
733004,859951,2007700106710007001,381022.019493561587296,,,,,,,1800.000000000000000,,,,,,,,,20077,HARPER
733005,859952,2007700109440007001,230445.742259403807111,900.000000000000000,,900.000000000000000,,900.000000000000000,,,4500.000000000000000,1800.000000000000000,,2700.000000000000000,,,,,20077,HARPER
733006,859953,2007700109440006001,18252.947136569524446,900.000000000000000,,,,,,,,,,,,,,,20077,HARPER
733007,859954,2007720095100002001,7560.911728486873471,,,,,,,,,,,,,,,,20077,HARPER
733008,859955,2007720095100003001,17409.148169181502453,,,,,,,,,,,,,,,,20077,HARPER
733009,859956,2007720095100004001,45274.284939417200803,,,,,,900.000000000000000,,,,,,,,,,20077,HARPER
733010,859958,2007720095100001001,522791.228780399775133,,,,,,,,,,,,,,,,20077,HARPER
733011,859959,2007700001380002001,4357.939104490072168,,,,,,,,,,,,,,,,20077,HARPER
733012,859960,2007700001380003001,5993.415694139783227,,,,,,,,,,,,,,,,20077,HARPER
733013,859961,2007700001380004001,11307.120489860808448,,,,,,,,,,,,,,,,20077,HARPER
733014,859962,2007700001380001001,590819.525503513985313,,,,,,,,,,,,,,,,20077,HARPER
733015,859963,2007700000560002001,45372.412530717338086,,,,,,,,,,,,,,,,20077,HARPER
733016,859967,2007700000560006001,13028.097923783103397,,,,,,,,,,,,,,,,20077,HARPER
733017,859968,2007700004530004001,221273.771243863331620,,,,,,,,900.000000000000000,,,,,,,,20077,HARPER
733018,859969,2007700004530005001,323222.783723020169418,,,,,,,,,,,,,,,,20077,HARPER
733019,859970,2007700101670004001,301817.135380854480900,,,,,,,,,,,,,,,,20077,HARPER
733020,859971,2007700101670005001,15281.580915398673824,,,,,,,,,,,,,,,,20077,HARPER
733021,859972,2007700101670006001,4127.241179954083236,,,,,,,,,,,,,,,,20077,HARPER
733022,859973,2007700108310005001,55289.429896283276321,,,,,,,,,,,,,,,,20077,HARPER
