,UID,SCTFS,Shape_Area,AREA_2020,AREA_2019,AREA_2018,AREA_2017,AREA_2016,AREA_2015,AREA_2014,AREA_2013,AREA_2012,AREA_2011,AREA_2010,AREA_2009,AREA_2008,AREA_2007,AREA_2006,FIPSSTCO,County
741962,870330,2007900002360004001,7834.406258551002793,,,,,,,,,,,,,,,,20079,HARVEY
741963,870331,2007900002360001001,448713.609054987493437,,,,,,,,,,,,,,,,20079,HARVEY
741964,870332,2007900018180001001,635158.668605468934402,,,,582300.000000000000000,,,,279000.000000000000000,,294300.000000000000000,286200.000000000000000,291600.000000000000000,,,172480.000000000000000,20079,HARVEY
741965,870333,2007900006200003001,20437.509632160650654,,900.000000000000000,,,,4500.000000000000000,,900.000000000000000,,,900.000000000000000,,,,,20079,HARVEY
741966,870334,2007900006560001001,5446.530970281053669,,,,,,,,,,1800.000000000000000,,,,,,20079,HARVEY
741967,870335,2007900006970003001,75162.026955780907883,72000.000000000000000,,,,,,60300.000000000000000,,,,49500.000000000000000,64800.000000000000000,,,,20079,HARVEY
741968,870336,2007900005670006001,6092.253995822448815,,,,,,,,,,,,,,,,20079,HARVEY
741969,870337,2007900006200001001,47225.167960917555320,,,900.000000000000000,,,900.000000000000000,,1800.000000000000000,,4500.000000000000000,900.000000000000000,,,,,20079,HARVEY
741970,870338,2007900015040001001,426965.418623640260193,1800.000000000000000,433800.000000000000000,,,408600.000000000000000,3600.000000000000000,,12600.000000000000000,,8100.000000000000000,7200.000000000000000,171900.000000000000000,23400.000000000000000,,,20079,HARVEY
741971,870339,2007900006560007001,10303.641868698383405,,,,,,,,,,,,,,,,20079,HARVEY
741972,870340,2007900015040004001,45555.679359503796150,,900.000000000000000,,,,,,,,,,,900.000000000000000,,,20079,HARVEY
741973,870341,2007900004860003001,5534.482852165117038,,,,3600.000000000000000,,,,,,,,,,,,20079,HARVEY
741974,870343,2007900005670003001,8378.450804375173902,900.000000000000000,4500.000000000000000,900.000000000000000,4500.000000000000000,,4500.000000000000000,,5400.000000000000000,5400.000000000000000,900.000000000000000,5400.000000000000000,5400.000000000000000,,6272.000000000000000,6272.000000000000000,20079,HARVEY
741975,870346,2007900031250003001,17408.890930283909256,,,,,,,,,,,,,,,,20079,HARVEY
741976,870347,2007900031250001001,25456.752603555254609,,,,,,,,,,,,,,,,20079,HARVEY
741977,870348,2007902015510010001,175280.055577837076271,,,,,,,,,,,900.000000000000000,,900.000000000000000,,,20079,HARVEY
741978,870349,2007900002360002001,31577.707004608095303,,,,,,,,,,,,,,,,20079,HARVEY
741979,870350,2007900025080001001,1256158.982438577571884,,9900.000000000000000,3600.000000000000000,,4500.000000000000000,,,1800.000000000000000,,63900.000000000000000,2700.000000000000000,,900.000000000000000,,,20079,HARVEY
741980,870351,2007900002780001001,1231884.398471605498344,,,,,,,,,,,,,,,,20079,HARVEY
741981,870352,2007900002360003001,65062.292736319184769,,,,,,,,,,9000.000000000000000,,,,,,20079,HARVEY
741982,870353,2007900006010003001,4100.836065462201987,,1800.000000000000000,900.000000000000000,,1800.000000000000000,,,,,,,,,,3136.000000000000000,20079,HARVEY
741983,870354,2007900003050001001,63373.709237441144069,,900.000000000000000,,,8100.000000000000000,,,,,,,,,,,20079,HARVEY
741984,870355,2007902015510009001,70693.562178874752135,,,,,,,,,,,,,,,,20079,HARVEY
741985,870359,2007900062760004001,18293.148225596803968,,,,,,,,,,900.000000000000000,,,,,,20079,HARVEY
741986,870360,2007900002360006001,9686.637849921158704,,,,,,,,,,,,,,,,20079,HARVEY
741987,870361,2007900064690002001,87775.395376838976517,,,,,,,,,,,,,,,,20079,HARVEY
741988,870362,2007900006160001001,46586.885451031506818,,37800.000000000000000,,33300.000000000000000,,28800.000000000000000,,10800.000000000000000,,1800.000000000000000,,,,,,20079,HARVEY
741989,870363,2007900007840001001,67804.389022957097040,1800.000000000000000,2700.000000000000000,900.000000000000000,,900.000000000000000,,,,,1800.000000000000000,,,,,,20079,HARVEY
741990,870364,2007900007840003001,72987.571959317676374,,,,,,,,900.000000000000000,,,,,,,,20079,HARVEY
741991,870365,2007900007880002001,33298.206024190709286,,27000.000000000000000,,26100.000000000000000,,25200.000000000000000,,9900.000000000000000,,6300.000000000000000,18000.000000000000000,900.000000000000000,,3136.000000000000000,,20079,HARVEY
741992,870366,2007900007880001001,482044.859751838899683,,470700.000000000000000,,470700.000000000000000,,477000.000000000000000,,470700.000000000000000,,477000.000000000000000,463500.000000000000000,466200.000000000000000,,178752.000000000000000,448448.000000000000000,20079,HARVEY
741993,870367,2007900007880003001,28917.823826406536682,,27000.000000000000000,,19800.000000000000000,,14400.000000000000000,,6300.000000000000000,,3600.000000000000000,3600.000000000000000,1800.000000000000000,,,6272.000000000000000,20079,HARVEY
741994,870370,2007900025220001001,578827.320324780070223,,,,,,,,,,1800.000000000000000,,,1800.000000000000000,6272.000000000000000,,20079,HARVEY
