,UID,SCTFS,Shape_Area,AREA_2020,AREA_2019,AREA_2018,AREA_2017,AREA_2016,AREA_2015,AREA_2014,AREA_2013,AREA_2012,AREA_2011,AREA_2010,AREA_2009,AREA_2008,AREA_2007,AREA_2006,FIPSSTCO,County
748957,878762,2008100001870002001,9437.502617656120492,,,,,,,,,,,,,,,,20081,HASKELL
748958,878763,2008100001900001001,635084.045894218957983,513000.000000000000000,536400.000000000000000,507600.000000000000000,524700.000000000000000,495900.000000000000000,516600.000000000000000,477000.000000000000000,500400.000000000000000,522000.000000000000000,503100.000000000000000,488700.000000000000000,1800.000000000000000,900.000000000000000,,,20081,HASKELL
748959,878764,2008100001910001001,649606.633318429696374,504900.000000000000000,501300.000000000000000,516600.000000000000000,612000.000000000000000,508500.000000000000000,498600.000000000000000,464400.000000000000000,491400.000000000000000,511200.000000000000000,522900.000000000000000,474300.000000000000000,483300.000000000000000,447300.000000000000000,429632.000000000000000,432768.000000000000000,20081,HASKELL
748960,878765,2008100001910002001,7776.567153976817281,8100.000000000000000,9000.000000000000000,9000.000000000000000,9000.000000000000000,6300.000000000000000,9000.000000000000000,3600.000000000000000,9000.000000000000000,9000.000000000000000,9000.000000000000000,9000.000000000000000,3600.000000000000000,4500.000000000000000,9408.000000000000000,12544.000000000000000,20081,HASKELL
748961,878766,2008100103470002001,7684.862835230324890,1800.000000000000000,1800.000000000000000,,2700.000000000000000,,,,,,,,,,,,20081,HASKELL
748962,878767,2008100002920001001,1289629.936955143930390,1800.000000000000000,35100.000000000000000,33300.000000000000000,24300.000000000000000,29700.000000000000000,3600.000000000000000,,,,,,,,,,20081,HASKELL
748963,878768,2008100001890003001,4216.768825733258382,,2700.000000000000000,,900.000000000000000,2700.000000000000000,,,,,,,,,,,20081,HASKELL
748964,878769,2008100000010006001,80306.139963701760280,2700.000000000000000,2700.000000000000000,,,,,,,,,,900.000000000000000,,3136.000000000000000,,20081,HASKELL
748965,878770,2008100100330001001,649209.631636506877840,612900.000000000000000,82800.000000000000000,504000.000000000000000,8100.000000000000000,504900.000000000000000,3600.000000000000000,4500.000000000000000,19800.000000000000000,,,466200.000000000000000,,1800.000000000000000,,3136.000000000000000,20081,HASKELL
748966,878772,2008100001820008001,9805.709912781328967,2700.000000000000000,900.000000000000000,,1800.000000000000000,,,,,,1800.000000000000000,,,,,,20081,HASKELL
748967,878773,2008100099350001001,535233.306120270863175,35100.000000000000000,900.000000000000000,,,,,,,41400.000000000000000,517500.000000000000000,516600.000000000000000,522000.000000000000000,507600.000000000000000,,,20081,HASKELL
748968,878774,2008100099350003001,25590.758601281948359,,,,,,,,,6300.000000000000000,,1800.000000000000000,2700.000000000000000,1800.000000000000000,,,20081,HASKELL
748969,878775,2008100102720004001,75815.702071702748071,2700.000000000000000,,900.000000000000000,,,,,,,900.000000000000000,1800.000000000000000,,,,,20081,HASKELL
748970,878776,2008100102720002001,33607.448224532134191,,,,,,900.000000000000000,,,2700.000000000000000,,900.000000000000000,900.000000000000000,,,,20081,HASKELL
748971,878777,2008100102720001001,509532.654283797484823,5400.000000000000000,,,,,,,,1800.000000000000000,,1800.000000000000000,900.000000000000000,216000.000000000000000,,,20081,HASKELL
748972,878778,2008100102720003001,30301.427813089205301,900.000000000000000,,,,,,,,,,,,,,,20081,HASKELL
748973,878779,2008100000010024001,14056.441869530639451,,,,,,,,,,,,900.000000000000000,,,,20081,HASKELL
748974,878780,2008100001820004001,95098.155026096879737,4500.000000000000000,4500.000000000000000,5400.000000000000000,2700.000000000000000,,,2700.000000000000000,,,,,2700.000000000000000,,,,20081,HASKELL
748975,878781,2008100001820003001,19985.566185109662911,,,,900.000000000000000,,,,,,,,,,,,20081,HASKELL
748976,878782,2008100001810003001,26564.992416881559620,,,,,,,,,,,,,,,,20081,HASKELL
748977,878784,2008100001790003001,1226263.308376500848681,20700.000000000000000,12600.000000000000000,17100.000000000000000,9000.000000000000000,12600.000000000000000,13500.000000000000000,900.000000000000000,10800.000000000000000,14400.000000000000000,4500.000000000000000,9000.000000000000000,5400.000000000000000,,,,20081,HASKELL
748978,878785,2008100001770022001,14384.724093518156224,1800.000000000000000,,,,,3600.000000000000000,,,1800.000000000000000,,,900.000000000000000,,,,20081,HASKELL
748979,878786,2008100002810001001,647534.747548066894524,242100.000000000000000,252000.000000000000000,207000.000000000000000,17100.000000000000000,234900.000000000000000,900.000000000000000,174600.000000000000000,,19800.000000000000000,93600.000000000000000,900.000000000000000,20700.000000000000000,3600.000000000000000,12544.000000000000000,,20081,HASKELL
748980,878787,2008100003030001001,538936.510550146573223,1800.000000000000000,17100.000000000000000,4500.000000000000000,8100.000000000000000,900.000000000000000,,,2700.000000000000000,,,,8100.000000000000000,,3136.000000000000000,,20081,HASKELL
748981,878788,2008100003030003001,82254.546875580199412,7200.000000000000000,9900.000000000000000,900.000000000000000,,,,,,,,,,,,,20081,HASKELL
748982,878789,2008100003030002001,17653.334566724748584,2700.000000000000000,2700.000000000000000,900.000000000000000,,,,,,,,,,,,,20081,HASKELL
748983,878790,2008100003050001001,641235.423881035181694,3600.000000000000000,8100.000000000000000,7200.000000000000000,26100.000000000000000,900.000000000000000,,,2700.000000000000000,,,164700.000000000000000,5400.000000000000000,45900.000000000000000,,,20081,HASKELL
748984,878791,2008100003880001001,643791.153879283461720,1800.000000000000000,,8100.000000000000000,,5400.000000000000000,,,,,,,,,,,20081,HASKELL
748985,878792,2008100001740006001,6158.227778920873789,2700.000000000000000,,,,,900.000000000000000,,,,,,,,3136.000000000000000,,20081,HASKELL
748986,878793,2008100001750002001,31536.332201476740011,1800.000000000000000,2700.000000000000000,,3600.000000000000000,1800.000000000000000,4500.000000000000000,,,,3600.000000000000000,,,,,,20081,HASKELL
748987,878794,2008100001740004001,15802.655658823035992,5400.000000000000000,2700.000000000000000,,,,,,,900.000000000000000,,,,,,,20081,HASKELL
748988,878795,2008100098380008001,31070.027358586114133,6300.000000000000000,3600.000000000000000,6300.000000000000000,4500.000000000000000,,,3600.000000000000000,,,,7200.000000000000000,1800.000000000000000,,3136.000000000000000,,20081,HASKELL
748989,878796,2008100098380006001,29929.747613562311017,1800.000000000000000,,1800.000000000000000,,,,2700.000000000000000,900.000000000000000,,,,,,,,20081,HASKELL
748990,878797,2008100098380004001,28835.631000304638292,900.000000000000000,900.000000000000000,,,,,,,,,,,,,,20081,HASKELL
748991,878798,2008100001740003001,18508.910365627474675,2700.000000000000000,1800.000000000000000,900.000000000000000,1800.000000000000000,,,,,900.000000000000000,,,,,3136.000000000000000,,20081,HASKELL
748992,878799,2008100098380007001,32935.993415435114002,3600.000000000000000,900.000000000000000,6300.000000000000000,3600.000000000000000,,,5400.000000000000000,,,,7200.000000000000000,5400.000000000000000,,,,20081,HASKELL
748993,878800,2008100098380005001,510428.427595456712879,5400.000000000000000,1800.000000000000000,498600.000000000000000,496800.000000000000000,,,491400.000000000000000,484200.000000000000000,,,479700.000000000000000,483300.000000000000000,,460992.000000000000000,,20081,HASKELL
748994,878801,2008100097340002001,37659.086206057385425,,,,,,,,,,,,,,,,20081,HASKELL
748995,878802,2008100097340003001,37452.765745807206258,,,,,,,,,,,,,,,,20081,HASKELL
748996,878803,2008100097340005001,38788.401887850923231,9000.000000000000000,9900.000000000000000,1800.000000000000000,,,,,,,4500.000000000000000,,,,,28224.000000000000000,20081,HASKELL
748997,878804,2008100097340001001,506290.538203441712540,7200.000000000000000,482400.000000000000000,900.000000000000000,,,900.000000000000000,,34200.000000000000000,,474300.000000000000000,,,,,445312.000000000000000,20081,HASKELL
748998,878805,2008100097340004001,32081.510393284112070,2700.000000000000000,6300.000000000000000,,,,,,900.000000000000000,,6300.000000000000000,,,,,6272.000000000000000,20081,HASKELL
748999,878806,2008100098380003001,79873.286688885971671,13500.000000000000000,10800.000000000000000,,,8100.000000000000000,4500.000000000000000,900.000000000000000,,10800.000000000000000,8100.000000000000000,,,6300.000000000000000,,,20081,HASKELL
749000,878807,2008100098380001001,511304.379629132163245,501300.000000000000000,498600.000000000000000,,,500400.000000000000000,493200.000000000000000,,,504000.000000000000000,493200.000000000000000,900.000000000000000,,481500.000000000000000,285376.000000000000000,6272.000000000000000,20081,HASKELL
749001,878808,2008100098380002001,61682.269318866085086,4500.000000000000000,4500.000000000000000,,,4500.000000000000000,3600.000000000000000,,,2700.000000000000000,6300.000000000000000,900.000000000000000,1800.000000000000000,,,3136.000000000000000,20081,HASKELL
749002,878810,2008100000830004001,36469.667098557911231,2700.000000000000000,900.000000000000000,900.000000000000000,,900.000000000000000,,,,1800.000000000000000,,2700.000000000000000,8100.000000000000000,,,,20081,HASKELL
749003,878811,2008100000830003001,28560.651131218754017,,,,,,,,,,,,900.000000000000000,,,3136.000000000000000,20081,HASKELL
