,UID,SCTFS,Shape_Area,AREA_2020,AREA_2019,AREA_2018,AREA_2017,AREA_2016,AREA_2015,AREA_2014,AREA_2013,AREA_2012,AREA_2011,AREA_2010,AREA_2009,AREA_2008,AREA_2007,AREA_2006,FIPSSTCO,County
30200,33342,2008902002980006001,314769.507826633809600,,,,,,,,,,,,,,,,20089,JEWELL
30376,33541,2008900090610002001,148458.896599153202260,,2700.000000000000000,,900.000000000000000,,,,1800.000000000000000,3600.000000000000000,,,,,,,20089,JEWELL
30419,33591,2008920029110001001,312876.452479406550992,6300.000000000000000,1800.000000000000000,,1800.000000000000000,,,,,,900.000000000000000,,,,,,20089,JEWELL
30977,34236,2008900091560001002,21271.613324353169446,,,,,,,,,,,,,,,,20089,JEWELL
31052,34320,2008900091560001003,51562.351201352059434,900.000000000000000,,,,,,,,,,,,,,,20089,JEWELL
31073,34341,2008902002930001001,455461.294575672422070,401400.000000000000000,,,,,,,,,,,,,,,20089,JEWELL
31221,34508,2008900091560001004,10526.981417146153035,,,,,,,,,,,,,,,,20089,JEWELL
31530,34856,2008902002960002001,160398.506795898982091,900.000000000000000,900.000000000000000,,,,,,,,,,27900.000000000000000,,,,20089,JEWELL
31580,34910,2008920029100001001,177069.552046733413590,170100.000000000000000,,,,,,,,,900.000000000000000,4500.000000000000000,,,,,20089,JEWELL
31903,35296,2008902002920009001,15089.973964405711740,900.000000000000000,2700.000000000000000,900.000000000000000,5400.000000000000000,3600.000000000000000,,,,,,,900.000000000000000,,,,20089,JEWELL
32158,35594,2008900090610001001,68337.547018544326420,,,,,,,,,,,,,,,,20089,JEWELL
32859,36391,2008920029720001001,82929.094743900102912,,,,,,,,,1800.000000000000000,2700.000000000000000,900.000000000000000,,,,,20089,JEWELL
33292,36897,2008900090610006001,34555.567975781974383,,900.000000000000000,,,,,,4500.000000000000000,900.000000000000000,,,,,,,20089,JEWELL
33403,37028,2008920029100004001,90411.583728166340734,74700.000000000000000,,3600.000000000000000,,,,,,,900.000000000000000,,,,,,20089,JEWELL
33627,37369,2008920029100002001,11028.819460186967262,10800.000000000000000,,900.000000000000000,,,,,,,,,,,,,20089,JEWELL
33868,37643,2008920089120008001,11254.520717087296362,1800.000000000000000,,,,,,,,,,900.000000000000000,,,,,20089,JEWELL
34267,38104,2008902002920006001,100782.192386014139629,,,,,900.000000000000000,,,,,1800.000000000000000,900.000000000000000,,,,,20089,JEWELL
35232,39192,2008902002950003001,8904.523947161012984,5400.000000000000000,1800.000000000000000,900.000000000000000,,,,,,,,,,,,,20089,JEWELL
35463,39464,2008900091560001005,24262.807588954932726,900.000000000000000,,,,,,,,,,,,,,,20089,JEWELL
35495,39498,2008902002950004001,59672.757521661340434,,25200.000000000000000,900.000000000000000,,1800.000000000000000,,,900.000000000000000,,,,,,,,20089,JEWELL
