,UID,SCTFS,Shape_Area,AREA_2020,AREA_2019,AREA_2018,AREA_2017,AREA_2016,AREA_2015,AREA_2014,AREA_2013,AREA_2012,AREA_2011,AREA_2010,AREA_2009,AREA_2008,AREA_2007,AREA_2006,FIPSSTCO,County
95945,106715,2009100200590053001,138374.374930860736640,,86400.000000000000000,900.000000000000000,,119700.000000000000000,,119700.000000000000000,,122400.000000000000000,,6300.000000000000000,,7200.000000000000000,,,20091,JOHNSON
98934,109970,2009100200590052001,38734.319136476311542,36000.000000000000000,,900.000000000000000,,29700.000000000000000,,,900.000000000000000,,22500.000000000000000,,,,,,20091,JOHNSON
100313,111540,2009100200590054001,8902.429483727833940,,,,,,,,,,,,,,,,20091,JOHNSON
100771,112038,2009100200590059001,32758.008547814373742,9000.000000000000000,,13500.000000000000000,,8100.000000000000000,,,,2700.000000000000000,900.000000000000000,1800.000000000000000,,,,,20091,JOHNSON
123792,136137,2009100013940002001,55420.997468937952362,45000.000000000000000,2700.000000000000000,,43200.000000000000000,,,16200.000000000000000,,,,,900.000000000000000,,,,20091,JOHNSON
123793,136138,2009100000710005001,147800.434178316907492,,,,,,,,,,,,,,6272.000000000000000,,20091,JOHNSON
123794,136139,2009100007060001001,103026.518481331426301,92700.000000000000000,6300.000000000000000,80100.000000000000000,4500.000000000000000,78300.000000000000000,8100.000000000000000,15300.000000000000000,66600.000000000000000,11700.000000000000000,3600.000000000000000,48600.000000000000000,3600.000000000000000,2700.000000000000000,47040.000000000000000,3136.000000000000000,20091,JOHNSON
123795,136140,2009100079430004001,13058.042383483083540,,7200.000000000000000,,2700.000000000000000,,4500.000000000000000,,6300.000000000000000,,3600.000000000000000,,2700.000000000000000,,,3136.000000000000000,20091,JOHNSON
123796,136141,2009100077090002001,6253.660501543318787,,1800.000000000000000,,1800.000000000000000,,1800.000000000000000,,,900.000000000000000,,,,,,,20091,JOHNSON
123797,136142,2009100012180003001,56736.465519399527693,,51300.000000000000000,1800.000000000000000,44100.000000000000000,,,,,,,,29700.000000000000000,,18816.000000000000000,,20091,JOHNSON
123798,136145,2009100014230001001,38484.612005111790495,900.000000000000000,23400.000000000000000,,,24300.000000000000000,,16200.000000000000000,,,,,21600.000000000000000,900.000000000000000,,,20091,JOHNSON
123799,136146,2009100015690001001,77929.823009852378163,,61200.000000000000000,,8100.000000000000000,32400.000000000000000,,64800.000000000000000,7200.000000000000000,65700.000000000000000,,10800.000000000000000,65700.000000000000000,900.000000000000000,75264.000000000000000,,20091,JOHNSON
123800,136147,2009100001400002001,138435.713865787285613,12600.000000000000000,21600.000000000000000,46800.000000000000000,74700.000000000000000,900.000000000000000,18000.000000000000000,900.000000000000000,,,1800.000000000000000,,,,18816.000000000000000,,20091,JOHNSON
123801,136148,2009100013630001001,88706.718710711851600,70200.000000000000000,,62100.000000000000000,,56700.000000000000000,,33300.000000000000000,44100.000000000000000,33300.000000000000000,47700.000000000000000,2700.000000000000000,8100.000000000000000,38700.000000000000000,50176.000000000000000,,20091,JOHNSON
123802,136149,2009100079930001001,85538.450634201319190,900.000000000000000,900.000000000000000,900.000000000000000,,62100.000000000000000,,63900.000000000000000,,54000.000000000000000,,59400.000000000000000,,,,59584.000000000000000,20091,JOHNSON
123803,136150,2009100011040004001,20316.751792664112145,,900.000000000000000,7200.000000000000000,,,,2700.000000000000000,3600.000000000000000,4500.000000000000000,,,900.000000000000000,,,,20091,JOHNSON
123804,136151,2009100077950005001,5613.704954335995353,,,,,,,,,,,,,,,,20091,JOHNSON
123805,136152,2009100200590026001,25069.787410263914353,21600.000000000000000,,20700.000000000000000,,17100.000000000000000,,9900.000000000000000,,,,,,,,,20091,JOHNSON
123806,136153,2009100080390009001,70521.392313158285106,68400.000000000000000,900.000000000000000,,,,,,,,900.000000000000000,,,,3136.000000000000000,28224.000000000000000,20091,JOHNSON
123808,136155,2009100002190007001,116348.889127839778666,89100.000000000000000,7200.000000000000000,900.000000000000000,87300.000000000000000,900.000000000000000,86400.000000000000000,3600.000000000000000,,,,3600.000000000000000,77400.000000000000000,3600.000000000000000,,,20091,JOHNSON
123809,136156,2009100017170008001,17116.802393093701539,,,,,,,,900.000000000000000,,,,,,,,20091,JOHNSON
123810,136157,2009100076450004001,15841.302794016215557,,2700.000000000000000,900.000000000000000,,4500.000000000000000,,,1800.000000000000000,,900.000000000000000,,1800.000000000000000,,,,20091,JOHNSON
123811,136158,2009100001530020001,31782.118947892147844,,,,,,,,,,,,900.000000000000000,,,,20091,JOHNSON
123812,136159,2009100012150004001,76371.185069375176681,75600.000000000000000,,2700.000000000000000,74700.000000000000000,,,,,900.000000000000000,,,,,3136.000000000000000,,20091,JOHNSON
123813,136160,2009100011690003001,27647.846147432803264,23400.000000000000000,,18900.000000000000000,,17100.000000000000000,,18900.000000000000000,13500.000000000000000,,21600.000000000000000,,18900.000000000000000,4500.000000000000000,21952.000000000000000,,20091,JOHNSON
123814,136161,2009100006800002001,237269.179394737817347,232200.000000000000000,,221400.000000000000000,,228600.000000000000000,900.000000000000000,170100.000000000000000,,216000.000000000000000,173700.000000000000000,3600.000000000000000,226800.000000000000000,,,197568.000000000000000,20091,JOHNSON
123815,136162,2009100012590003001,723967.291508952504955,675000.000000000000000,6300.000000000000000,1800.000000000000000,,2700.000000000000000,639900.000000000000000,900.000000000000000,,579600.000000000000000,,576000.000000000000000,68400.000000000000000,17100.000000000000000,,611520.000000000000000,20091,JOHNSON
123816,136163,2009100028730001001,266140.420232836680952,,900.000000000000000,2700.000000000000000,,,,,189000.000000000000000,900.000000000000000,217800.000000000000000,5400.000000000000000,225000.000000000000000,7200.000000000000000,,3136.000000000000000,20091,JOHNSON
123817,136164,2009100015150001001,217097.183996284089517,,209700.000000000000000,,1800.000000000000000,40500.000000000000000,,,1800.000000000000000,,,150300.000000000000000,1800.000000000000000,,,,20091,JOHNSON
123818,136165,2009100007000014001,8509.076176224405572,,,,,,,,,,,,,,,,20091,JOHNSON
123819,136166,2009100006860010001,35300.920957346483192,,,,,,,,,,,,,,,,20091,JOHNSON
123820,136167,2009100003700001001,144411.442226448969450,,112500.000000000000000,,126000.000000000000000,,,,,,3600.000000000000000,,2700.000000000000000,1800.000000000000000,,,20091,JOHNSON
123821,136168,2009100004660002001,138766.514720211445820,123300.000000000000000,1800.000000000000000,900.000000000000000,127800.000000000000000,,125100.000000000000000,900.000000000000000,,120600.000000000000000,900.000000000000000,107100.000000000000000,,124200.000000000000000,,90944.000000000000000,20091,JOHNSON
123822,136169,2009100020970003001,29198.658267964638071,,900.000000000000000,,,,,21600.000000000000000,,18900.000000000000000,,20700.000000000000000,11700.000000000000000,,,,20091,JOHNSON
123823,136172,2009100004290001001,129638.712722042037058,,130500.000000000000000,,126900.000000000000000,,,125100.000000000000000,900.000000000000000,,,6300.000000000000000,,118800.000000000000000,,106624.000000000000000,20091,JOHNSON
123824,136173,2009100003330005001,37775.256310760378256,,,,,,,,,,,,,,,,20091,JOHNSON
123825,136174,2009100006470001001,31062.014090616910835,1800.000000000000000,1800.000000000000000,,,900.000000000000000,,,,,,,2700.000000000000000,,,,20091,JOHNSON
123826,136175,2009100000620006001,138059.152423722058302,1800.000000000000000,115200.000000000000000,,1800.000000000000000,,,900.000000000000000,4500.000000000000000,,,86400.000000000000000,,3600.000000000000000,3136.000000000000000,,20091,JOHNSON
123827,136176,2009100002750004001,37540.208929132968478,,3600.000000000000000,,,,,,,29700.000000000000000,,1800.000000000000000,900.000000000000000,28800.000000000000000,,3136.000000000000000,20091,JOHNSON
123828,136177,2009100015350001001,30709.271920103565208,2700.000000000000000,4500.000000000000000,13500.000000000000000,17100.000000000000000,14400.000000000000000,,,3600.000000000000000,,12600.000000000000000,900.000000000000000,10800.000000000000000,,,,20091,JOHNSON
123829,136178,2009100012340001001,57311.424986299280135,900.000000000000000,34200.000000000000000,2700.000000000000000,,,,43200.000000000000000,,,,2700.000000000000000,,,,,20091,JOHNSON
123830,136179,2009100015910003001,57512.355237626557937,4500.000000000000000,4500.000000000000000,15300.000000000000000,13500.000000000000000,4500.000000000000000,,900.000000000000000,6300.000000000000000,,,18000.000000000000000,900.000000000000000,900.000000000000000,,3136.000000000000000,20091,JOHNSON
