,UID,SCTFS,Shape_Area,AREA_2020,AREA_2019,AREA_2018,AREA_2017,AREA_2016,AREA_2015,AREA_2014,AREA_2013,AREA_2012,AREA_2011,AREA_2010,AREA_2009,AREA_2008,AREA_2007,AREA_2006,FIPSSTCO,County
90198,100871,2010120135590003001,217885.961267347796820,,,900.000000000000000,1800.000000000000000,,,,,,,,,,3136.000000000000000,,20101,LANE
90298,100973,2010102005570001002,312935.218302325811237,,,,,,,,,,,,,,,,20101,LANE
90767,101449,2010120055100001001,331469.002565391070675,,,2700.000000000000000,,,,,,,,900.000000000000000,,,,,20101,LANE
90807,101489,2010120055150001001,287852.532660975819454,256500.000000000000000,,,,,,,,,,,,,,,20101,LANE
90853,101536,2010120055150001002,56496.798983160668286,41400.000000000000000,,,,,,,,,,4500.000000000000000,,,3136.000000000000000,,20101,LANE
90904,101588,2010120055170002001,854047.024024494923651,,,,,,9000.000000000000000,,900.000000000000000,,,1800.000000000000000,,,,,20101,LANE
91519,102206,2010120055130001001,267981.327764369081706,17100.000000000000000,13500.000000000000000,33300.000000000000000,,,900.000000000000000,,10800.000000000000000,1800.000000000000000,,900.000000000000000,63900.000000000000000,,,3136.000000000000000,20101,LANE
92057,102750,2010102005560001001,1254111.517345764208585,1177200.000000000000000,12600.000000000000000,,900.000000000000000,2700.000000000000000,,,,,7200.000000000000000,2700.000000000000000,,,3136.000000000000000,,20101,LANE
92515,103210,2010120055300001001,65149.604158877569716,1800.000000000000000,1800.000000000000000,,,,,,,,,,,,,,20101,LANE
92646,103343,2010102005590001001,314108.042662822525017,,7200.000000000000000,1800.000000000000000,1800.000000000000000,9000.000000000000000,,,,,,1800.000000000000000,,,,,20101,LANE
92667,103364,2010102005530001001,648824.116444854647852,2700.000000000000000,,7200.000000000000000,3600.000000000000000,,,10800.000000000000000,1800.000000000000000,,,900.000000000000000,,,,,20101,LANE
92991,103691,2010102005520002001,1280474.059148116037250,,,1800.000000000000000,10800.000000000000000,,,,,,,,,900.000000000000000,,,20101,LANE
93457,104181,2010120055130001003,291017.868645440030377,,900.000000000000000,900.000000000000000,,900.000000000000000,,,,,900.000000000000000,,5400.000000000000000,,,,20101,LANE
93643,104369,2010120055100001002,302844.142137478571385,,1800.000000000000000,,,,,,,,,,,,,,20101,LANE
94265,104995,2010102005550001001,676432.490161860943772,459900.000000000000000,52200.000000000000000,900.000000000000000,,4500.000000000000000,900.000000000000000,,900.000000000000000,,398700.000000000000000,,,,9408.000000000000000,,20101,LANE
94381,105111,2010120055130001005,401198.871081766556017,74700.000000000000000,900.000000000000000,,900.000000000000000,4500.000000000000000,11700.000000000000000,,9900.000000000000000,,,900.000000000000000,,,,,20101,LANE
94684,105417,2010120055160002002,890671.156705132103525,765000.000000000000000,,,900.000000000000000,,,,,,,,,,,,20101,LANE
94774,105509,2010120055140001001,353346.851807418977842,1800.000000000000000,,,,900.000000000000000,1800.000000000000000,,,,,,,,,,20101,LANE
95142,105878,2010102005590001002,305902.722606911964249,,,900.000000000000000,,,,,,,,,,23400.000000000000000,,,20101,LANE
95182,105918,2010102005520001001,644067.360944179235958,1800.000000000000000,620100.000000000000000,582300.000000000000000,900.000000000000000,,,243000.000000000000000,,,,,,,,,20101,LANE
95353,106090,2010102017180003001,644560.657849956071004,900.000000000000000,591300.000000000000000,,5400.000000000000000,,,,,,607500.000000000000000,1800.000000000000000,,3600.000000000000000,,,20101,LANE
95394,106131,2010102005580001001,583400.946410627104342,,558000.000000000000000,487800.000000000000000,,,,460800.000000000000000,,,,900.000000000000000,,,,,20101,LANE
157502,174362,2010100009410007001,200568.495040723937564,,,,,,,,,,,,,,,,20101,LANE
157503,174363,2010100019210001001,644547.196041344199330,,1800.000000000000000,,,,1800.000000000000000,,,,,9000.000000000000000,,,12544.000000000000000,,20101,LANE
157504,174364,2010100006000001001,508201.889977968414314,508500.000000000000000,477000.000000000000000,2700.000000000000000,509400.000000000000000,,495900.000000000000000,,175500.000000000000000,4500.000000000000000,11700.000000000000000,11700.000000000000000,1800.000000000000000,,,,20101,LANE
157505,174365,2010100024350001001,590442.090029523591511,,900.000000000000000,3600.000000000000000,26100.000000000000000,,,,,,,430200.000000000000000,,,,,20101,LANE
157506,174366,2010100002940001001,327649.622758867917582,900.000000000000000,320400.000000000000000,1800.000000000000000,101700.000000000000000,,,,,,,,,,,,20101,LANE
157508,174368,2010100020630002001,180466.916410583944526,5400.000000000000000,,,1800.000000000000000,,,,,,,4500.000000000000000,,,,,20101,LANE
157509,174369,2010100000750001001,100901.897258022829192,3600.000000000000000,95400.000000000000000,,8100.000000000000000,,,,,,,87300.000000000000000,,,59584.000000000000000,,20101,LANE
157510,174370,2010100026850011001,255617.073442974040518,189900.000000000000000,257400.000000000000000,245700.000000000000000,250200.000000000000000,171000.000000000000000,15300.000000000000000,182700.000000000000000,,238500.000000000000000,,227700.000000000000000,247500.000000000000000,,238336.000000000000000,,20101,LANE
157511,174371,2010100012180003001,14334.724698828636974,,,,,,,,,,,,,,,,20101,LANE
157512,174373,2010100000880001001,606645.983393987640738,2700.000000000000000,,,,,,,,,,,,,,,20101,LANE
157513,174374,2010100023280004001,40595.094371756116743,,,,,,,,,,,,,,,,20101,LANE
157514,174375,2010100020320008001,69132.087484245159430,,900.000000000000000,,900.000000000000000,,900.000000000000000,,,,,1800.000000000000000,900.000000000000000,,,,20101,LANE
157515,174376,2010100009980001001,513069.041475785314105,,900.000000000000000,,18000.000000000000000,,,,,,1800.000000000000000,,900.000000000000000,,,6272.000000000000000,20101,LANE
157516,174377,2010100012520004001,27532.301570688512584,27900.000000000000000,21600.000000000000000,18900.000000000000000,1800.000000000000000,18900.000000000000000,,11700.000000000000000,2700.000000000000000,18000.000000000000000,3600.000000000000000,18900.000000000000000,23400.000000000000000,18900.000000000000000,,,20101,LANE
157517,174378,2010100006220001001,56932.077320555668848,,900.000000000000000,1800.000000000000000,,,7200.000000000000000,,,51300.000000000000000,42300.000000000000000,,47700.000000000000000,,3136.000000000000000,40768.000000000000000,20101,LANE
157518,174379,2010100002490001001,573227.689647423103452,900.000000000000000,,,1800.000000000000000,,,900.000000000000000,,,,9900.000000000000000,6300.000000000000000,,21952.000000000000000,,20101,LANE
157520,174381,2010100009290001001,318094.174688561412040,900.000000000000000,,,298800.000000000000000,,,271800.000000000000000,,166500.000000000000000,900.000000000000000,18000.000000000000000,312300.000000000000000,,,,20101,LANE
157521,174382,2010100016120001001,678172.272495472454466,664200.000000000000000,3600.000000000000000,648900.000000000000000,,,,,,,,12600.000000000000000,,603900.000000000000000,,,20101,LANE
157522,174383,2010100004060001001,277416.364458804193418,258300.000000000000000,278100.000000000000000,251100.000000000000000,19800.000000000000000,278100.000000000000000,243900.000000000000000,65700.000000000000000,28800.000000000000000,72900.000000000000000,72900.000000000000000,56700.000000000000000,9900.000000000000000,66600.000000000000000,50176.000000000000000,65856.000000000000000,20101,LANE
157523,174384,2010100023410001001,890649.225566574488766,36900.000000000000000,38700.000000000000000,30600.000000000000000,6300.000000000000000,7200.000000000000000,9000.000000000000000,1800.000000000000000,4500.000000000000000,27900.000000000000000,,,,,,,20101,LANE
157524,174385,2010100010520001001,325281.807669846399222,,,,,,,,,,,,,,,,20101,LANE
157525,174386,2010100007570001001,282507.845744903665036,,,,,,,,,,,,,,,,20101,LANE
157526,174387,2010100000630001001,243004.102407823316753,2700.000000000000000,233100.000000000000000,1800.000000000000000,,900.000000000000000,,,900.000000000000000,,,,8100.000000000000000,,,,20101,LANE
