,UID,SCTFS,Shape_Area,AREA_2020,AREA_2019,AREA_2018,AREA_2017,AREA_2016,AREA_2015,AREA_2014,AREA_2013,AREA_2012,AREA_2011,AREA_2010,AREA_2009,AREA_2008,AREA_2007,AREA_2006,FIPSSTCO,County
164095,181023,2010300009690024001,6625.268742456640211,,,900.000000000000000,,900.000000000000000,11700.000000000000000,,8100.000000000000000,,9900.000000000000000,,,,,3136.000000000000000,20103,LEAVENWORTH
164096,181024,2010300007710009001,140646.890072607551701,900.000000000000000,115200.000000000000000,,,,5400.000000000000000,,8100.000000000000000,,1800.000000000000000,99000.000000000000000,,13500.000000000000000,103488.000000000000000,,20103,LEAVENWORTH
164097,181025,2010300001980011001,29932.111654220465425,,,,,,,,,,,,,,,,20103,LEAVENWORTH
164098,181027,2010300031480001001,141402.805088561057346,24300.000000000000000,49500.000000000000000,9900.000000000000000,52200.000000000000000,5400.000000000000000,41400.000000000000000,900.000000000000000,80100.000000000000000,,45000.000000000000000,1800.000000000000000,,4500.000000000000000,18816.000000000000000,,20103,LEAVENWORTH
164099,181028,2010300104510001001,52632.457492096422357,29700.000000000000000,,,49500.000000000000000,,9900.000000000000000,,1800.000000000000000,,,,,,,,20103,LEAVENWORTH
164100,181029,2010300007760005001,144336.658103146182839,1800.000000000000000,138600.000000000000000,1800.000000000000000,141300.000000000000000,,139500.000000000000000,,141300.000000000000000,,126900.000000000000000,,131400.000000000000000,12600.000000000000000,134848.000000000000000,,20103,LEAVENWORTH
164101,181031,2010300002860008001,5999.341385270653518,,900.000000000000000,,,,,,2700.000000000000000,,,,,,3136.000000000000000,,20103,LEAVENWORTH
164102,181033,2010300002680005001,28057.644413664569583,,,,,,,,,,,,,,,,20103,LEAVENWORTH
164103,181035,2010300010560001001,58153.741143889288651,,,,,,,,,,,,,,,,20103,LEAVENWORTH
164104,181036,2010300003610012001,7216.318538430846274,1800.000000000000000,,900.000000000000000,,,,2700.000000000000000,,,,,,900.000000000000000,,,20103,LEAVENWORTH
164105,181037,2010300033370004001,16936.950770093626488,,,,,,,,,,,,,,,,20103,LEAVENWORTH
164106,181038,2010320045410001001,435733.254578121413942,180900.000000000000000,154800.000000000000000,177300.000000000000000,144000.000000000000000,900.000000000000000,,93600.000000000000000,900.000000000000000,85500.000000000000000,56700.000000000000000,2700.000000000000000,8100.000000000000000,58500.000000000000000,,3136.000000000000000,20103,LEAVENWORTH
164107,181039,2010300008960001001,129976.494359682197683,1800.000000000000000,,23400.000000000000000,900.000000000000000,116100.000000000000000,1800.000000000000000,112500.000000000000000,900.000000000000000,115200.000000000000000,1800.000000000000000,1800.000000000000000,,66600.000000000000000,,,20103,LEAVENWORTH
164108,181040,2010300095110002001,8026.342809723069877,5400.000000000000000,,8100.000000000000000,,,900.000000000000000,,900.000000000000000,,,,,,,,20103,LEAVENWORTH
164109,181041,2010300014110004001,22351.428668792974349,,,,,,,,,,,,,,,,20103,LEAVENWORTH
164110,181042,2010300012490002001,82358.675225584476721,,1800.000000000000000,,57600.000000000000000,3600.000000000000000,2700.000000000000000,,900.000000000000000,50400.000000000000000,,,,,,,20103,LEAVENWORTH
164111,181043,2010300096160001001,71214.876828091044445,,2700.000000000000000,49500.000000000000000,6300.000000000000000,,61200.000000000000000,1800.000000000000000,62100.000000000000000,,54900.000000000000000,37800.000000000000000,47700.000000000000000,900.000000000000000,,,20103,LEAVENWORTH
164113,181047,2010300003610014001,57547.300799729113351,900.000000000000000,,2700.000000000000000,,,,41400.000000000000000,3600.000000000000000,,27000.000000000000000,,900.000000000000000,45000.000000000000000,37632.000000000000000,,20103,LEAVENWORTH
164114,181048,2010300012020012001,9907.720929161181630,1800.000000000000000,2700.000000000000000,3600.000000000000000,6300.000000000000000,,5400.000000000000000,2700.000000000000000,,2700.000000000000000,,900.000000000000000,,6300.000000000000000,,,20103,LEAVENWORTH
164115,181049,2010300013430002001,58041.255745081805799,,,,,,,,5400.000000000000000,,,,,,,,20103,LEAVENWORTH
164116,181050,2010300000150005001,82368.584569050566643,,,,,,,,,,,,,,,,20103,LEAVENWORTH
164117,181051,2010300013720002001,27255.523327628139668,9900.000000000000000,7200.000000000000000,1800.000000000000000,,5400.000000000000000,,,1800.000000000000000,,,,17100.000000000000000,,,,20103,LEAVENWORTH
164118,181053,2010320045790035001,67110.738234190386720,,900.000000000000000,,,,,,8100.000000000000000,,,,,5400.000000000000000,,37632.000000000000000,20103,LEAVENWORTH
164119,181054,2010300028080001001,44931.598205763686565,33300.000000000000000,,20700.000000000000000,,16200.000000000000000,,2700.000000000000000,,,,,7200.000000000000000,,,,20103,LEAVENWORTH
164120,181056,2010300000930014001,101354.319546720857034,13500.000000000000000,27900.000000000000000,88200.000000000000000,72000.000000000000000,2700.000000000000000,61200.000000000000000,,75600.000000000000000,85500.000000000000000,59400.000000000000000,,900.000000000000000,900.000000000000000,47040.000000000000000,59584.000000000000000,20103,LEAVENWORTH
164121,181057,2010300011970009001,7554.997842291314555,,,,,,,,900.000000000000000,,,,,,,,20103,LEAVENWORTH
164122,181058,2010300010360003001,39086.110001699991699,,,,,,,,,,,,,,,,20103,LEAVENWORTH
164123,181061,2010300010970002001,63378.228394378194935,,,900.000000000000000,,,56700.000000000000000,,,54900.000000000000000,,,900.000000000000000,45900.000000000000000,,43904.000000000000000,20103,LEAVENWORTH
164124,181063,2010329165280001001,17035.544916411727172,7200.000000000000000,,900.000000000000000,,,,,,,900.000000000000000,,12600.000000000000000,900.000000000000000,,,20103,LEAVENWORTH
164125,181064,2010300008900005001,18695.272440706648922,,12600.000000000000000,900.000000000000000,9000.000000000000000,,6300.000000000000000,,1800.000000000000000,,6300.000000000000000,,9900.000000000000000,3600.000000000000000,,,20103,LEAVENWORTH
164126,181066,2010302916590011001,4667.937274926073769,,,,,,,,900.000000000000000,,,,,,,,20103,LEAVENWORTH
164127,181067,2010300007790004001,40794.611228638015746,,,,,,,,,,,,,,,,20103,LEAVENWORTH
164128,181068,2010300096140015001,312101.082292705890723,253800.000000000000000,,,278100.000000000000000,,103500.000000000000000,,900.000000000000000,85500.000000000000000,,135900.000000000000000,900.000000000000000,254700.000000000000000,,34496.000000000000000,20103,LEAVENWORTH
164129,181069,2010300002860006001,47269.049606666965701,,4500.000000000000000,,5400.000000000000000,,5400.000000000000000,,4500.000000000000000,,6300.000000000000000,,,,,,20103,LEAVENWORTH
164130,181070,2010320005230002001,35621.858890295465244,4500.000000000000000,8100.000000000000000,2700.000000000000000,17100.000000000000000,22500.000000000000000,900.000000000000000,18900.000000000000000,,14400.000000000000000,,4500.000000000000000,,9900.000000000000000,,,20103,LEAVENWORTH
164131,181071,2010300013740007001,9133.983304375522494,,,,,,,,,,,,,,,,20103,LEAVENWORTH
164132,181073,2010300031120001001,10473.117608514490712,1800.000000000000000,,5400.000000000000000,4500.000000000000000,1800.000000000000000,4500.000000000000000,,900.000000000000000,,1800.000000000000000,2700.000000000000000,1800.000000000000000,,,,20103,LEAVENWORTH
164133,181075,2010300030780014001,4184.496107120520719,,,,,,,,,,,,,,,,20103,LEAVENWORTH
164134,181076,2010300000140004001,7844.079786166107624,,,,,,,,,,,,,,,,20103,LEAVENWORTH
164135,181077,2010300011290001001,33708.081281769540510,,,,,,,,,,,,,,,,20103,LEAVENWORTH
164136,181078,2010300100600015001,11908.483180418632401,,10800.000000000000000,,10800.000000000000000,,,,,,,1800.000000000000000,,900.000000000000000,,,20103,LEAVENWORTH
164137,181079,2010300009770003001,47394.739837208035169,,,,,,,,,,,1800.000000000000000,,,,,20103,LEAVENWORTH
164138,181080,2010300006100005001,16315.792257430171958,,9000.000000000000000,,1800.000000000000000,,,,,7200.000000000000000,,,,,,,20103,LEAVENWORTH
164139,181081,2010300000740004001,7681.162532576147896,6300.000000000000000,,4500.000000000000000,2700.000000000000000,2700.000000000000000,1800.000000000000000,4500.000000000000000,,3600.000000000000000,,2700.000000000000000,1800.000000000000000,4500.000000000000000,,,20103,LEAVENWORTH
164140,181082,2010300013900003001,57842.057022186454560,,2700.000000000000000,,52200.000000000000000,,52200.000000000000000,,3600.000000000000000,43200.000000000000000,,43200.000000000000000,2700.000000000000000,51300.000000000000000,,3136.000000000000000,20103,LEAVENWORTH
164141,181083,2010300095780002001,31149.262498973253969,,,,,,,,,,,,,,,,20103,LEAVENWORTH
164142,181084,2010300012030002001,28214.992174789793353,,7200.000000000000000,11700.000000000000000,7200.000000000000000,13500.000000000000000,,10800.000000000000000,,3600.000000000000000,,,,,,,20103,LEAVENWORTH
164143,181086,2010320045150013001,61450.008995587311802,900.000000000000000,,,,,,,,,,,,,,,20103,LEAVENWORTH
164144,181087,2010300007230001001,20739.575855516839511,900.000000000000000,16200.000000000000000,,,6300.000000000000000,,9900.000000000000000,3600.000000000000000,,5400.000000000000000,1800.000000000000000,14400.000000000000000,,,,20103,LEAVENWORTH
164145,181088,2010320045450018001,33496.266435983423435,,,27000.000000000000000,,,,,,,,2700.000000000000000,,,,,20103,LEAVENWORTH
164146,181089,2010300002520001001,83936.003500394610455,,9000.000000000000000,2700.000000000000000,69300.000000000000000,,20700.000000000000000,70200.000000000000000,7200.000000000000000,64800.000000000000000,900.000000000000000,14400.000000000000000,,59400.000000000000000,,50176.000000000000000,20103,LEAVENWORTH
164147,181090,2010300009970038001,30600.465949676887249,,23400.000000000000000,,,19800.000000000000000,2700.000000000000000,,,,,,,,6272.000000000000000,,20103,LEAVENWORTH
164148,181091,2010300013950003001,143690.349842507974245,133200.000000000000000,2700.000000000000000,129600.000000000000000,900.000000000000000,126000.000000000000000,900.000000000000000,121500.000000000000000,6300.000000000000000,101700.000000000000000,900.000000000000000,104400.000000000000000,,102600.000000000000000,3136.000000000000000,50176.000000000000000,20103,LEAVENWORTH
164149,181092,2010300012880001001,100120.174022226317902,3600.000000000000000,,73800.000000000000000,,73800.000000000000000,9000.000000000000000,62100.000000000000000,,73800.000000000000000,,900.000000000000000,,,3136.000000000000000,,20103,LEAVENWORTH
164150,181093,2010300007380002001,8154.527788239935944,,,,,,,,,,,,,,,,20103,LEAVENWORTH
164151,181094,2010320045160009001,12549.862432213294596,,,900.000000000000000,,1800.000000000000000,900.000000000000000,,,900.000000000000000,,900.000000000000000,,,,,20103,LEAVENWORTH
164152,181095,2010300003700003002,15385.943761379603529,,,,,,,,,,,,,,,,20103,LEAVENWORTH
164159,181118,2010300007920002001,6066.635207798110059,,10800.000000000000000,,9900.000000000000000,10800.000000000000000,900.000000000000000,10800.000000000000000,,10800.000000000000000,3600.000000000000000,7200.000000000000000,2700.000000000000000,,,,20103,LEAVENWORTH
164160,181120,2010300014610021001,10357.480038883652014,2700.000000000000000,,1800.000000000000000,,2700.000000000000000,,2700.000000000000000,,,,1800.000000000000000,,,,,20103,LEAVENWORTH
164161,181121,2010300008010005001,100833.336830707194167,900.000000000000000,93600.000000000000000,,93600.000000000000000,1800.000000000000000,88200.000000000000000,,92700.000000000000000,,72000.000000000000000,,,29700.000000000000000,72128.000000000000000,,20103,LEAVENWORTH
164162,181122,2010300009290002001,15797.242748185399250,,,,,,,,,,,,,,,,20103,LEAVENWORTH
164163,181123,2010300033490005001,25435.523630462306755,,18900.000000000000000,900.000000000000000,16200.000000000000000,,16200.000000000000000,,9900.000000000000000,,7200.000000000000000,,20700.000000000000000,,21952.000000000000000,,20103,LEAVENWORTH
