,UID,SCTFS,Shape_Area,AREA_2020,AREA_2019,AREA_2018,AREA_2017,AREA_2016,AREA_2015,AREA_2014,AREA_2013,AREA_2012,AREA_2011,AREA_2010,AREA_2009,AREA_2008,AREA_2007,AREA_2006,FIPSSTCO,County
783297,919532,2010700016300072001,20458.194044298656081,,,,,,,,,,,,,,,,20107,LINN
783298,919533,2010702000310001001,572897.698334945598617,1800.000000000000000,900.000000000000000,,,,,,,,,20700.000000000000000,,900.000000000000000,,,20107,LINN
783299,919534,2010700201210002001,9995.192439279036989,,,,,,,,,,,,,,,,20107,LINN
783300,919535,2010702000320001001,390385.593588764080778,,,,,,,,,,,,,,,,20107,LINN
783301,919536,2010702012120003001,26969.528054819889803,,,,,,,,,,,,,,,,20107,LINN
783302,919537,2010702000330001001,38678.449430980370380,,,,,,,,,,,,,,,,20107,LINN
783303,919538,2010700047340001001,35582.440220435179072,,27000.000000000000000,3600.000000000000000,,,5400.000000000000000,,,,,,,,,,20107,LINN
783304,919539,2010700047340004001,12046.142138635121228,,1800.000000000000000,,,,,,,,,,,,,,20107,LINN
783305,919540,2010700047340002001,86792.885776885537780,,71100.000000000000000,,,,,,,,900.000000000000000,,,14400.000000000000000,,,20107,LINN
783306,919541,2010700047340005001,35093.465377929336682,,900.000000000000000,,,,,,,,,,,,,,20107,LINN
783307,919542,2010700047340003001,55505.592506056156708,,30600.000000000000000,,,,7200.000000000000000,,1800.000000000000000,,,,,,3136.000000000000000,,20107,LINN
783308,919543,2010700052770001001,89618.572150432213675,,,,,,,,,,,,,,,,20107,LINN
783309,919544,2010700052780008001,88763.004628213297110,,,,,,,,900.000000000000000,,,,,,,,20107,LINN
783310,919545,2010702012130001001,47142.502451424152241,,12600.000000000000000,,,,,,,,,,,,3136.000000000000000,,20107,LINN
783311,919546,2010700006160001001,8527.083235561787660,,,,,,,,,,,,,,,,20107,LINN
783312,919547,2010700006140008001,228461.624139879160793,,,,,,,,900.000000000000000,,1800.000000000000000,1800.000000000000000,,,3136.000000000000000,,20107,LINN
783313,919548,2010700023830014001,251796.365721234382363,,,,,,,,,,,,,,,,20107,LINN
783314,919549,2010700006140001001,54814.688341777706228,,,,,,,,,,,,,,,,20107,LINN
783315,919550,2010700023830011001,43068.083489326876588,,,,,,,,,,,,,,,,20107,LINN
783316,919551,2010702009110021001,10904.428403870142574,,4500.000000000000000,,,,2700.000000000000000,,,,,,,,,,20107,LINN
783317,919552,2010700006640005001,378205.670600014214870,,,,,,,,,,,,,,,,20107,LINN
783318,919553,2010700023830013001,4637.387086023508346,,,,,,,,,,,,,,,,20107,LINN
783319,919554,2010700005750002001,5535.481722848257050,,,,,,,,,,,,,,,,20107,LINN
783320,919555,2010700006170002001,11476.743793895850104,,,,,,,,,,,,,,,,20107,LINN
783321,919556,2010700006640002001,5401.401758203957797,,,,,,,,,,,,,,,,20107,LINN
783322,919557,2010700048020001001,170965.933674540749053,,,,,,,,,,900.000000000000000,2700.000000000000000,,,,,20107,LINN
783323,919558,2010700005750003001,25938.008019654120289,,,,,,,,,,,2700.000000000000000,,,,,20107,LINN
783324,919559,2010702012140001001,725894.639623951050453,5400.000000000000000,4500.000000000000000,1800.000000000000000,1800.000000000000000,,1800.000000000000000,,,,,2700.000000000000000,,6300.000000000000000,,,20107,LINN
783325,919560,2010700005750004001,17957.808072430227185,4500.000000000000000,,,,,,,,,,1800.000000000000000,900.000000000000000,,,,20107,LINN
783326,919562,2010702012150008001,13938.643467529202098,7200.000000000000000,1800.000000000000000,,,,900.000000000000000,,,,4500.000000000000000,,,4500.000000000000000,,,20107,LINN
783327,919563,2010702000340002001,26011.417497469141381,,,,,,,,,,,5400.000000000000000,,900.000000000000000,,,20107,LINN
783328,919564,2010702000350001001,452771.301520935900044,,,,,,,,,,,2700.000000000000000,,900.000000000000000,,,20107,LINN
783329,919565,2010700006640001001,52921.442808929234161,,,,,,,,,,,,,,,,20107,LINN
783330,919567,2010700010810017001,45101.637150520866271,3600.000000000000000,,1800.000000000000000,,1800.000000000000000,,1800.000000000000000,,900.000000000000000,,1800.000000000000000,,4500.000000000000000,,,20107,LINN
783331,919568,2010700010810019001,59849.127850720418792,1800.000000000000000,26100.000000000000000,900.000000000000000,27900.000000000000000,1800.000000000000000,27000.000000000000000,1800.000000000000000,31500.000000000000000,1800.000000000000000,2700.000000000000000,900.000000000000000,7200.000000000000000,,15680.000000000000000,,20107,LINN
783332,919569,2010700010810016001,6641.147803156295595,,,,,,,,,,,,,,,,20107,LINN
783333,919570,2010700052770003001,201385.449803307797993,,,,,,,,,,,900.000000000000000,,,,,20107,LINN
783334,919571,2010700023830006001,25061.454856844200549,,,,,,,,,,,,,,,,20107,LINN
783335,919572,2010700006880003001,87714.671891299411072,,,,,,,,,,,,,,,,20107,LINN
783336,919575,2010700010810013001,102874.077425899173249,,97200.000000000000000,,97200.000000000000000,,97200.000000000000000,,97200.000000000000000,,89100.000000000000000,,85500.000000000000000,,94080.000000000000000,,20107,LINN
783337,919576,2010700049370003001,73710.593049686358427,,,,,,,,,,,,,900.000000000000000,,,20107,LINN
783338,919577,2010700006920001001,264415.644854062178638,4500.000000000000000,,,900.000000000000000,,,,,,,62100.000000000000000,,23400.000000000000000,25088.000000000000000,,20107,LINN
