,UID,SCTFS,Shape_Area,AREA_2020,AREA_2019,AREA_2018,AREA_2017,AREA_2016,AREA_2015,AREA_2014,AREA_2013,AREA_2012,AREA_2011,AREA_2010,AREA_2009,AREA_2008,AREA_2007,AREA_2006,FIPSSTCO,County
160737,177632,2010900011510001001,35489.224787793544238,,,2700.000000000000000,,,,1800.000000000000000,,,,,,,,,20109,LOGAN
160738,177633,2010900001610004001,590308.790275297127664,1800.000000000000000,5400.000000000000000,,900.000000000000000,6300.000000000000000,583200.000000000000000,,585000.000000000000000,,2700.000000000000000,,,,25088.000000000000000,,20109,LOGAN
160740,177635,2010900018340001001,265239.826615941419732,900.000000000000000,5400.000000000000000,,1800.000000000000000,3600.000000000000000,,,,7200.000000000000000,5400.000000000000000,1800.000000000000000,62100.000000000000000,,25088.000000000000000,25088.000000000000000,20109,LOGAN
160741,177636,2010900027990001001,153032.777336592582287,2700.000000000000000,,,,,,900.000000000000000,,,,2700.000000000000000,,,,112896.000000000000000,20109,LOGAN
160742,177637,2010900016520002001,356368.517829443328083,318600.000000000000000,349200.000000000000000,,,900.000000000000000,,,137700.000000000000000,333000.000000000000000,,,7200.000000000000000,333000.000000000000000,,,20109,LOGAN
160743,177638,2010900028120001001,19729.097008408447437,,,,,,,,,,,,,,,,20109,LOGAN
160744,177639,2010900018070005001,195178.142878904909594,163800.000000000000000,169200.000000000000000,,,161100.000000000000000,,,146700.000000000000000,8100.000000000000000,900.000000000000000,,,,,,20109,LOGAN
160745,177640,2010900010120001001,616289.852606897824444,4500.000000000000000,900.000000000000000,,82800.000000000000000,523800.000000000000000,10800.000000000000000,,512100.000000000000000,66600.000000000000000,82800.000000000000000,496800.000000000000000,439200.000000000000000,,,,20109,LOGAN
160746,177641,2010900011410001001,190092.189920737146167,188100.000000000000000,,187200.000000000000000,,188100.000000000000000,,11700.000000000000000,,123300.000000000000000,182700.000000000000000,188100.000000000000000,,900.000000000000000,181888.000000000000000,12544.000000000000000,20109,LOGAN
160747,177642,2010900010400001001,289484.554003891069442,288000.000000000000000,1800.000000000000000,271800.000000000000000,900.000000000000000,,1800.000000000000000,,37800.000000000000000,17100.000000000000000,1800.000000000000000,,,900.000000000000000,,,20109,LOGAN
160748,177643,2010900002220001001,622743.123270476353355,9000.000000000000000,581400.000000000000000,582300.000000000000000,,,583200.000000000000000,,2700.000000000000000,572400.000000000000000,570600.000000000000000,4500.000000000000000,,566100.000000000000000,379456.000000000000000,,20109,LOGAN
160749,177644,2010900003270008001,141757.717807791224914,15300.000000000000000,16200.000000000000000,5400.000000000000000,9000.000000000000000,18900.000000000000000,6300.000000000000000,2700.000000000000000,14400.000000000000000,,900.000000000000000,17100.000000000000000,,,,,20109,LOGAN
160750,177645,2010900022760006001,271442.381684308405966,255600.000000000000000,269100.000000000000000,258300.000000000000000,250200.000000000000000,248400.000000000000000,242100.000000000000000,250200.000000000000000,45900.000000000000000,231300.000000000000000,49500.000000000000000,260100.000000000000000,188100.000000000000000,251100.000000000000000,260288.000000000000000,244608.000000000000000,20109,LOGAN
160751,177646,2010900019520001001,1300780.956321327248588,631800.000000000000000,574200.000000000000000,35100.000000000000000,101700.000000000000000,,,,,2700.000000000000000,29700.000000000000000,,900.000000000000000,,,,20109,LOGAN
160752,177647,2010900009710012001,181722.608384583320003,,,,,,,,,,,,,,3136.000000000000000,,20109,LOGAN
160753,177648,2010900001680011001,86108.685699509165715,900.000000000000000,,,59400.000000000000000,1800.000000000000000,17100.000000000000000,20700.000000000000000,,,,4500.000000000000000,4500.000000000000000,900.000000000000000,,,20109,LOGAN
160754,177649,2010900002740007001,607687.353249198291451,2700.000000000000000,,8100.000000000000000,,,5400.000000000000000,13500.000000000000000,900.000000000000000,900.000000000000000,14400.000000000000000,,1800.000000000000000,3600.000000000000000,6272.000000000000000,,20109,LOGAN
160755,177650,2010900007090008001,95540.116522284602979,80100.000000000000000,14400.000000000000000,900.000000000000000,80100.000000000000000,78300.000000000000000,80100.000000000000000,75600.000000000000000,,71100.000000000000000,9000.000000000000000,72000.000000000000000,5400.000000000000000,70200.000000000000000,,18816.000000000000000,20109,LOGAN
160756,177651,2010900021620001001,15867.463763037751050,,,,,,,,,,,,,,,,20109,LOGAN
160757,177652,2010900000060001001,27549.301177858538722,900.000000000000000,,,9900.000000000000000,,2700.000000000000000,8100.000000000000000,,,,1800.000000000000000,3600.000000000000000,5400.000000000000000,,,20109,LOGAN
160758,177653,2010900005440001001,329797.635504772886634,317700.000000000000000,315000.000000000000000,306000.000000000000000,306000.000000000000000,,,,13500.000000000000000,2700.000000000000000,,2700.000000000000000,,,,,20109,LOGAN
160759,177654,2010900006090001001,426695.282155388442334,423900.000000000000000,423900.000000000000000,,,,,8100.000000000000000,24300.000000000000000,,,,,,,,20109,LOGAN
160760,177655,2010900004810001001,555327.982917785062455,540900.000000000000000,543600.000000000000000,534600.000000000000000,535500.000000000000000,528300.000000000000000,,,520200.000000000000000,,,,,,9408.000000000000000,9408.000000000000000,20109,LOGAN
160761,177656,2010900013130002001,41574.697468110469345,32400.000000000000000,1800.000000000000000,8100.000000000000000,21600.000000000000000,20700.000000000000000,900.000000000000000,4500.000000000000000,27900.000000000000000,1800.000000000000000,9000.000000000000000,28800.000000000000000,,900.000000000000000,15680.000000000000000,,20109,LOGAN
160762,177657,2010900001790001001,47208.520357865701953,35100.000000000000000,,36000.000000000000000,,36000.000000000000000,,,7200.000000000000000,,34200.000000000000000,,,19800.000000000000000,,,20109,LOGAN
160763,177658,2010900023030008001,636138.485688444809057,,616500.000000000000000,599400.000000000000000,,4500.000000000000000,20700.000000000000000,,27000.000000000000000,437400.000000000000000,,,611100.000000000000000,,,15680.000000000000000,20109,LOGAN
160764,177659,2010900014240002001,13609.179466221550683,,,,,,,,,,,,,,,,20109,LOGAN
160765,177660,2010900029770004001,788825.610486591700464,,,45000.000000000000000,,,,,150300.000000000000000,,900.000000000000000,766800.000000000000000,,,642880.000000000000000,,20109,LOGAN
160766,177661,2010900016040002001,100516.841020013482193,,,,,,,,16200.000000000000000,,,1800.000000000000000,,,,,20109,LOGAN
160767,177662,2010900028110002001,649638.901962372125126,,900.000000000000000,551700.000000000000000,900.000000000000000,,602100.000000000000000,,2700.000000000000000,63900.000000000000000,488700.000000000000000,,1800.000000000000000,621900.000000000000000,,9408.000000000000000,20109,LOGAN
160768,177663,2010900020320001001,157938.386628537031356,156600.000000000000000,900.000000000000000,900.000000000000000,,,,,,,,,,,,,20109,LOGAN
160769,177664,2010900003090002001,17150.844792538351612,,,,,,,,,,,,,,,,20109,LOGAN
160770,177665,2010900030520002001,248451.809455943235662,6300.000000000000000,237600.000000000000000,900.000000000000000,,,,,46800.000000000000000,2700.000000000000000,162000.000000000000000,35100.000000000000000,,154800.000000000000000,3136.000000000000000,,20109,LOGAN
160771,177666,2010900007370001001,275350.520073928288184,,,,270000.000000000000000,19800.000000000000000,224100.000000000000000,26100.000000000000000,,255600.000000000000000,34200.000000000000000,900.000000000000000,36000.000000000000000,215100.000000000000000,40768.000000000000000,,20109,LOGAN
160772,177667,2010900010750005001,274326.238372446503490,253800.000000000000000,253800.000000000000000,,,234000.000000000000000,,,233100.000000000000000,,,60300.000000000000000,204300.000000000000000,900.000000000000000,,238336.000000000000000,20109,LOGAN
160773,177668,2010900003840001001,229071.535012434003875,107100.000000000000000,108000.000000000000000,216900.000000000000000,113400.000000000000000,97200.000000000000000,,,12600.000000000000000,,109800.000000000000000,,2700.000000000000000,,,,20109,LOGAN
160774,177669,2010900002790007001,184793.666912161512300,,,,,,,,,,,,,,,,20109,LOGAN
160775,177670,2010900002490006001,40462.521389201916463,42300.000000000000000,42300.000000000000000,41400.000000000000000,42300.000000000000000,40500.000000000000000,40500.000000000000000,,,,1800.000000000000000,42300.000000000000000,,,,3136.000000000000000,20109,LOGAN
160776,177671,2010900008660002001,14276.489585483877818,,,,,,,,,,,,,,,3136.000000000000000,20109,LOGAN
160777,177672,2010900011490005001,345465.774735981191043,,,,900.000000000000000,900.000000000000000,,,,,5400.000000000000000,,,900.000000000000000,6272.000000000000000,,20109,LOGAN
160778,177673,2010900003360004001,22809.301822572571837,6300.000000000000000,7200.000000000000000,,,,,,,,,,,,,,20109,LOGAN
160779,177674,2010900025140001001,110604.913325609333697,,900.000000000000000,2700.000000000000000,2700.000000000000000,,,,2700.000000000000000,,,900.000000000000000,,,,,20109,LOGAN
160780,177675,2010900003320001001,164254.971387160330778,169200.000000000000000,169200.000000000000000,167400.000000000000000,169200.000000000000000,162900.000000000000000,,,155700.000000000000000,152100.000000000000000,162000.000000000000000,,,,147392.000000000000000,84672.000000000000000,20109,LOGAN
160781,177676,2010900010060002001,625230.802771321730688,,5400.000000000000000,566100.000000000000000,,2700.000000000000000,572400.000000000000000,,8100.000000000000000,568800.000000000000000,,,558000.000000000000000,,,564480.000000000000000,20109,LOGAN
160782,177677,2010900014910001001,388828.422367783787195,,39600.000000000000000,91800.000000000000000,,,1800.000000000000000,,,,,9900.000000000000000,372600.000000000000000,,326144.000000000000000,307328.000000000000000,20109,LOGAN
160783,177678,2010900007790002001,76478.895811376249185,2700.000000000000000,5400.000000000000000,,900.000000000000000,26100.000000000000000,,11700.000000000000000,9900.000000000000000,18000.000000000000000,,,,,,,20109,LOGAN
160784,177679,2010900013390001001,287830.130702245398425,275400.000000000000000,,4500.000000000000000,254700.000000000000000,,,,,,,,,243900.000000000000000,,,20109,LOGAN
160785,177680,2010900011190002001,401992.965031208179425,900.000000000000000,390600.000000000000000,232200.000000000000000,,147600.000000000000000,219600.000000000000000,,96300.000000000000000,192600.000000000000000,,142200.000000000000000,191700.000000000000000,,100352.000000000000000,134848.000000000000000,20109,LOGAN
160787,177682,2010900026870002001,1055892.625011605210602,900.000000000000000,,,,,,,,,,,,,,,20109,LOGAN
160788,177683,2010900006110006001,401968.716202891082503,7200.000000000000000,4500.000000000000000,900.000000000000000,5400.000000000000000,12600.000000000000000,,,6300.000000000000000,2700.000000000000000,5400.000000000000000,,16200.000000000000000,,,9408.000000000000000,20109,LOGAN
160789,177684,2010900020190001001,575504.823569627478719,557100.000000000000000,,549000.000000000000000,550800.000000000000000,539100.000000000000000,520200.000000000000000,,1800.000000000000000,531900.000000000000000,226800.000000000000000,468000.000000000000000,,,68992.000000000000000,501760.000000000000000,20109,LOGAN
160790,177685,2010920203200001001,435873.842375931853894,48600.000000000000000,428400.000000000000000,4500.000000000000000,,,1800.000000000000000,,,,,4500.000000000000000,900.000000000000000,,3136.000000000000000,,20109,LOGAN
160791,177686,2010900007070002001,165789.326131430629175,3600.000000000000000,,10800.000000000000000,3600.000000000000000,2700.000000000000000,,3600.000000000000000,10800.000000000000000,,19800.000000000000000,,,900.000000000000000,,6272.000000000000000,20109,LOGAN
160792,177687,2010900026490003001,674806.280787379248068,52200.000000000000000,1800.000000000000000,1800.000000000000000,19800.000000000000000,,6300.000000000000000,,,4500.000000000000000,5400.000000000000000,,,,,,20109,LOGAN
160793,177688,2010900007890002001,1252478.130856566596776,1234800.000000000000000,1232100.000000000000000,1185300.000000000000000,900.000000000000000,1800.000000000000000,5400.000000000000000,,53100.000000000000000,,,6300.000000000000000,,3600.000000000000000,3136.000000000000000,9408.000000000000000,20109,LOGAN
160794,177689,2010900001980001001,562613.825613180873916,560700.000000000000000,561600.000000000000000,531900.000000000000000,,,,,,900.000000000000000,900.000000000000000,528300.000000000000000,495900.000000000000000,,,,20109,LOGAN
160795,177690,2010900014890001001,422704.936248677258845,,,,,,,,,,,,,,,,20109,LOGAN
160796,177691,2010900024170002001,155268.124261909280904,153000.000000000000000,,900.000000000000000,152100.000000000000000,147600.000000000000000,,,133200.000000000000000,,,148500.000000000000000,,,150528.000000000000000,,20109,LOGAN
160797,177692,2010900008390007001,180127.755929080100032,5400.000000000000000,1800.000000000000000,,,,,,,,,123300.000000000000000,55800.000000000000000,,,,20109,LOGAN
160798,177693,2010900027210001001,354275.822306673449930,900.000000000000000,,,,,,,,,,,900.000000000000000,1800.000000000000000,,,20109,LOGAN
160799,177694,2010900010180001001,14323.282010952067139,,,,,,,,,,,,,,,,20109,LOGAN
160800,177695,2010900024950001001,27474.549399272960727,26100.000000000000000,,,900.000000000000000,,,,,,900.000000000000000,,1800.000000000000000,18900.000000000000000,,,20109,LOGAN
160801,177696,2010900006900001001,435357.849589040852152,,900.000000000000000,2700.000000000000000,4500.000000000000000,1800.000000000000000,,2700.000000000000000,5400.000000000000000,,,3600.000000000000000,24300.000000000000000,,,,20109,LOGAN
160803,177698,2010900008920001001,143450.934480681695277,,,,,,,,,,,,,900.000000000000000,,,20109,LOGAN
160804,177699,2010900022660001001,635254.706674585584551,616500.000000000000000,,4500.000000000000000,630900.000000000000000,,,,586800.000000000000000,,,622800.000000000000000,,,6272.000000000000000,3136.000000000000000,20109,LOGAN
160805,177700,2010900026890001001,516362.296609241922852,499500.000000000000000,900.000000000000000,477900.000000000000000,,900.000000000000000,,,,476100.000000000000000,470700.000000000000000,470700.000000000000000,900.000000000000000,,479808.000000000000000,,20109,LOGAN
160806,177701,2010900023770001001,525637.929750345996581,900.000000000000000,27900.000000000000000,,,17100.000000000000000,,,15300.000000000000000,315000.000000000000000,1800.000000000000000,12600.000000000000000,,900.000000000000000,3136.000000000000000,,20109,LOGAN
160807,177702,2010900001210004001,9358.350122158284648,5400.000000000000000,2700.000000000000000,,900.000000000000000,,,900.000000000000000,7200.000000000000000,1800.000000000000000,,2700.000000000000000,,,,,20109,LOGAN
160808,177703,2010900026220001001,83386.452671421284322,81900.000000000000000,65700.000000000000000,16200.000000000000000,16200.000000000000000,,,9900.000000000000000,,,,,900.000000000000000,1800.000000000000000,,,20109,LOGAN
160809,177704,2010900013170007001,303139.741758760821540,1800.000000000000000,,900.000000000000000,1800.000000000000000,,,,,,,,,,,,20109,LOGAN
160810,177705,2010900001750001001,277956.500706753111444,52200.000000000000000,900.000000000000000,6300.000000000000000,7200.000000000000000,,,1800.000000000000000,900.000000000000000,4500.000000000000000,85500.000000000000000,,2700.000000000000000,193500.000000000000000,,18816.000000000000000,20109,LOGAN
160811,177706,2010900010940001001,330500.454830470378511,,,11700.000000000000000,,1800.000000000000000,25200.000000000000000,,900.000000000000000,14400.000000000000000,,1800.000000000000000,1800.000000000000000,,,304192.000000000000000,20109,LOGAN
160812,177707,2010900000470002001,85642.739501478907187,900.000000000000000,1800.000000000000000,5400.000000000000000,,,,,,1800.000000000000000,900.000000000000000,,900.000000000000000,1800.000000000000000,,,20109,LOGAN
160813,177708,2010900000650001001,640439.768771479371935,589500.000000000000000,601200.000000000000000,4500.000000000000000,72000.000000000000000,,,9900.000000000000000,18000.000000000000000,1800.000000000000000,494100.000000000000000,2700.000000000000000,,,,,20109,LOGAN
160814,177709,2010900004510021001,196030.336849596002139,,189900.000000000000000,,15300.000000000000000,900.000000000000000,,1800.000000000000000,76500.000000000000000,900.000000000000000,,,4500.000000000000000,,3136.000000000000000,40768.000000000000000,20109,LOGAN
160815,177710,2010920193360009001,206885.199062591389520,,,900.000000000000000,,,,,,194400.000000000000000,,,,,9408.000000000000000,,20109,LOGAN
160816,177711,2010900015430003001,261630.388194957660744,250200.000000000000000,3600.000000000000000,9900.000000000000000,252900.000000000000000,241200.000000000000000,,900.000000000000000,9000.000000000000000,,7200.000000000000000,204300.000000000000000,,,6272.000000000000000,,20109,LOGAN
160817,177712,2010900016630001001,650959.973490546923131,,,,,,,,,900.000000000000000,,,,,,,20109,LOGAN
160820,177716,2010900016890001001,888443.004102254984900,18000.000000000000000,,846900.000000000000000,16200.000000000000000,,832500.000000000000000,,10800.000000000000000,,2700.000000000000000,,790200.000000000000000,,,,20109,LOGAN
160821,177717,2010900025520001001,204686.532213624013821,4500.000000000000000,1800.000000000000000,900.000000000000000,,5400.000000000000000,190800.000000000000000,,11700.000000000000000,144900.000000000000000,,4500.000000000000000,171900.000000000000000,,9408.000000000000000,,20109,LOGAN
160822,177718,2010900025650001001,200688.437919272691943,196200.000000000000000,75600.000000000000000,196200.000000000000000,196200.000000000000000,196200.000000000000000,186300.000000000000000,171900.000000000000000,900.000000000000000,193500.000000000000000,196200.000000000000000,171900.000000000000000,1800.000000000000000,196200.000000000000000,,156800.000000000000000,20109,LOGAN
160823,177719,2010900000560001001,766980.804969393997453,4500.000000000000000,,464400.000000000000000,,,,,27900.000000000000000,,,,,8100.000000000000000,,,20109,LOGAN
160824,177720,2010900006960001001,404942.322539832675830,,,,,,,,,,,,,,,,20109,LOGAN
160825,177721,2010900000470006001,86029.004298784886487,,,,900.000000000000000,900.000000000000000,,,,,,,,,,,20109,LOGAN
160826,177722,2010900008510004001,619303.919696872355416,603900.000000000000000,597600.000000000000000,183600.000000000000000,609300.000000000000000,614700.000000000000000,607500.000000000000000,,1800.000000000000000,604800.000000000000000,1800.000000000000000,582300.000000000000000,408600.000000000000000,4500.000000000000000,3136.000000000000000,,20109,LOGAN
160827,177723,2010900007480006001,8027.917491508503190,,9000.000000000000000,,,,,,,,,,,,,,20109,LOGAN
160828,177724,2010900024090001002,127465.485780530827469,,3600.000000000000000,99000.000000000000000,112500.000000000000000,25200.000000000000000,62100.000000000000000,1800.000000000000000,108900.000000000000000,,,118800.000000000000000,,1800.000000000000000,103488.000000000000000,,20109,LOGAN
160829,177725,2010900017860001001,267554.623070943867788,,12600.000000000000000,211500.000000000000000,,13500.000000000000000,232200.000000000000000,,15300.000000000000000,1800.000000000000000,247500.000000000000000,,10800.000000000000000,247500.000000000000000,,12544.000000000000000,20109,LOGAN
160830,177726,2010900029990001001,7650865.875280033797026,900.000000000000000,1800.000000000000000,900.000000000000000,,,,,1800.000000000000000,,1800.000000000000000,,,,,6272.000000000000000,20109,LOGAN
160831,177727,2010900014670001001,120584.237315942940768,,1800.000000000000000,1800.000000000000000,900.000000000000000,,,,,,2700.000000000000000,,900.000000000000000,900.000000000000000,87808.000000000000000,,20109,LOGAN
160832,177728,2010900008880003001,51738.651734652477899,6300.000000000000000,11700.000000000000000,900.000000000000000,7200.000000000000000,9900.000000000000000,,,2700.000000000000000,,,16200.000000000000000,,,21952.000000000000000,,20109,LOGAN
