,UID,SCTFS,Shape_Area,AREA_2020,AREA_2019,AREA_2018,AREA_2017,AREA_2016,AREA_2015,AREA_2014,AREA_2013,AREA_2012,AREA_2011,AREA_2010,AREA_2009,AREA_2008,AREA_2007,AREA_2006,FIPSSTCO,County
47561,53233,2013302003740006001,13585.001181929270388,,,12600.000000000000000,,9000.000000000000000,,9900.000000000000000,,2700.000000000000000,,7200.000000000000000,,4500.000000000000000,3136.000000000000000,3136.000000000000000,20133,NEOSHO
47591,53265,2013302003750073001,214682.356279221217846,12600.000000000000000,900.000000000000000,900.000000000000000,,,,,52200.000000000000000,,9900.000000000000000,,,,188160.000000000000000,,20133,NEOSHO
47608,53283,2013302003750049001,157224.485123310820200,,,900.000000000000000,146700.000000000000000,,146700.000000000000000,46800.000000000000000,1800.000000000000000,131400.000000000000000,6300.000000000000000,,150300.000000000000000,,,131712.000000000000000,20133,NEOSHO
47617,53293,2013302003710042001,50356.151770624084747,,,,1800.000000000000000,,,,,,,,900.000000000000000,9900.000000000000000,,12544.000000000000000,20133,NEOSHO
47627,53303,2013320037170042001,36969.712438102134911,31500.000000000000000,,36000.000000000000000,,,,35100.000000000000000,,35100.000000000000000,,,900.000000000000000,33300.000000000000000,,,20133,NEOSHO
47660,53338,2013320037160003001,7852.046412286134000,,900.000000000000000,,,,,,1800.000000000000000,,2700.000000000000000,,,,,,20133,NEOSHO
47669,53347,2013320037140010001,255360.296846751618432,4500.000000000000000,900.000000000000000,229500.000000000000000,,230400.000000000000000,,220500.000000000000000,,207900.000000000000000,,,,,,,20133,NEOSHO
47674,53352,2013302003750042001,144506.928964280930813,,133200.000000000000000,,131400.000000000000000,,132300.000000000000000,,135000.000000000000000,,126000.000000000000000,,133200.000000000000000,,131712.000000000000000,,20133,NEOSHO
47742,53423,2013320037170004001,16016.944256047905583,,900.000000000000000,,,,,10800.000000000000000,,,,,,,,,20133,NEOSHO
47782,53463,2013320037170013001,47746.786929193767719,37800.000000000000000,,39600.000000000000000,,,38700.000000000000000,,32400.000000000000000,,35100.000000000000000,,28800.000000000000000,,43904.000000000000000,,20133,NEOSHO
47783,53464,2013320037170040001,291093.702944609918632,900.000000000000000,276300.000000000000000,,277200.000000000000000,,276300.000000000000000,,272700.000000000000000,,273600.000000000000000,,257400.000000000000000,,219520.000000000000000,,20133,NEOSHO
47807,53489,2013302003760010001,51315.991545283250161,,,,,,,,,,,,,,,,20133,NEOSHO
47890,53574,2013302003750053001,20072.738282417711162,,,,,,,,,,,,3600.000000000000000,1800.000000000000000,,,20133,NEOSHO
47928,53613,2013302003750002001,118904.518086912023136,1800.000000000000000,,100800.000000000000000,900.000000000000000,100800.000000000000000,,107100.000000000000000,14400.000000000000000,,,,,,3136.000000000000000,,20133,NEOSHO
48055,53749,2013320037160001001,27412.202444530666980,,,,,,,,,,,,,,,,20133,NEOSHO
48100,53796,2013320037130003001,187347.652392107323976,91800.000000000000000,,157500.000000000000000,2700.000000000000000,,175500.000000000000000,,26100.000000000000000,,169200.000000000000000,,18000.000000000000000,,125440.000000000000000,,20133,NEOSHO
48154,53852,2013320037100002001,203782.291807178989984,,,,,,,,,,,,,,,,20133,NEOSHO
48176,53874,2013320037160005001,6791.767138756307759,,,,,,,,,,3600.000000000000000,,,,,,20133,NEOSHO
48245,53944,2013320037180003001,15320.417351228772532,,,,,,,,,,,,,,,,20133,NEOSHO
48292,53993,2013320037210023001,34075.865514176883153,,,,,,,,,,,,,,,,20133,NEOSHO
48299,54000,2013302003750056001,7563.275303876314865,900.000000000000000,,900.000000000000000,4500.000000000000000,,4500.000000000000000,,,3600.000000000000000,,,6300.000000000000000,,,6272.000000000000000,20133,NEOSHO
48429,54137,2013302003750067001,62685.879102295359189,900.000000000000000,,,32400.000000000000000,3600.000000000000000,,,27900.000000000000000,,30600.000000000000000,,,38700.000000000000000,9408.000000000000000,,20133,NEOSHO
48432,54141,2013302003750051001,54523.797448192519369,,,,900.000000000000000,,900.000000000000000,,,,,900.000000000000000,,,,,20133,NEOSHO
48644,54364,2013320037180004001,61942.897440689215728,,,,,,,,,,,,,,3136.000000000000000,,20133,NEOSHO
48650,54370,2013320037150001001,559686.150769221945666,,,564300.000000000000000,,,,,31500.000000000000000,,535500.000000000000000,,545400.000000000000000,,335552.000000000000000,,20133,NEOSHO
48723,54443,2013302003750070001,8396.087177695915670,,,9000.000000000000000,,,,,,,,,,,3136.000000000000000,,20133,NEOSHO
48753,54473,2013320037160013001,95446.298574469881714,,,,,,,,,,2700.000000000000000,,,,,,20133,NEOSHO
48791,54512,2013320037210010001,6601.823160597475180,,,,,,,,,,,,,,,,20133,NEOSHO
48806,54528,2013302003750048001,10753.996570642981169,,,,,,,,,,,,2700.000000000000000,,,6272.000000000000000,20133,NEOSHO
48819,54542,2013320037210003001,164170.760392447409686,,,,,,,,,,,,,,,,20133,NEOSHO
48830,54554,2013302003760012001,7222.116810355755661,,,,,,,,,,,,,,,,20133,NEOSHO
48946,54677,2013302003750055001,22277.009656528382038,,,20700.000000000000000,,20700.000000000000000,,,18000.000000000000000,,20700.000000000000000,,,19800.000000000000000,,,20133,NEOSHO
48998,54732,2013320037150020001,141489.121196963475086,128700.000000000000000,,,,,128700.000000000000000,,125100.000000000000000,,,96300.000000000000000,,110700.000000000000000,,,20133,NEOSHO
49028,54763,2013302003750016001,38832.651024613805930,,,34200.000000000000000,,32400.000000000000000,,35100.000000000000000,,,,27900.000000000000000,,,,18816.000000000000000,20133,NEOSHO
49070,54809,2013320037170005001,311574.957945873786230,288900.000000000000000,900.000000000000000,286200.000000000000000,900.000000000000000,,287100.000000000000000,,56700.000000000000000,,274500.000000000000000,1800.000000000000000,229500.000000000000000,,200704.000000000000000,,20133,NEOSHO
49111,54851,2013320037210007001,157217.616390952054644,,,,,,,,,,,,,,,,20133,NEOSHO
49167,54911,2013320037160007001,12891.218636765630436,,,,,,,,,,,,,,,,20133,NEOSHO
49179,54924,2013320037180014001,89004.820199724534177,,,,,,,,,,,,,,,,20133,NEOSHO
49220,54965,2013302003740010001,124144.113887284387602,900.000000000000000,,115200.000000000000000,,117000.000000000000000,,118800.000000000000000,8100.000000000000000,119700.000000000000000,,105300.000000000000000,,116100.000000000000000,,112896.000000000000000,20133,NEOSHO
49290,55039,2013302003710007001,64129.024859082739567,,,,,,,,,,,,,,,,20133,NEOSHO
49340,55089,2013320037170037001,33781.564111263236555,,2700.000000000000000,,3600.000000000000000,,1800.000000000000000,,2700.000000000000000,,2700.000000000000000,,,,,,20133,NEOSHO
49347,55096,2013320037160010001,37987.952858926058980,900.000000000000000,,,,900.000000000000000,,,25200.000000000000000,,25200.000000000000000,900.000000000000000,,18000.000000000000000,,,20133,NEOSHO
49349,55098,2013320037180001001,56973.786660586898506,,,,,,,,,,,,,,,,20133,NEOSHO
49405,55156,2013320037170043001,78960.864742730016587,,68400.000000000000000,,68400.000000000000000,,67500.000000000000000,,,72000.000000000000000,8100.000000000000000,56700.000000000000000,900.000000000000000,68400.000000000000000,,,20133,NEOSHO
49435,55188,2013320037190005001,128272.791969799422077,,115200.000000000000000,,107100.000000000000000,,106200.000000000000000,,107100.000000000000000,,102600.000000000000000,,104400.000000000000000,900.000000000000000,94080.000000000000000,,20133,NEOSHO
49452,55207,2013302003760002001,123764.803072743321536,,,,,,,,,,,,,,,,20133,NEOSHO
49468,55223,2013302003710027001,771817.221613289439119,,176400.000000000000000,201600.000000000000000,196200.000000000000000,19800.000000000000000,14400.000000000000000,66600.000000000000000,900.000000000000000,,1800.000000000000000,6300.000000000000000,41400.000000000000000,112500.000000000000000,,6272.000000000000000,20133,NEOSHO
49521,55279,2013302003740019001,424249.781745592190418,900.000000000000000,900.000000000000000,391500.000000000000000,,388800.000000000000000,,396900.000000000000000,,380700.000000000000000,,326700.000000000000000,1800.000000000000000,357300.000000000000000,6272.000000000000000,398272.000000000000000,20133,NEOSHO
49559,55317,2013320037170052001,56746.457153234347061,47700.000000000000000,1800.000000000000000,,52200.000000000000000,,53100.000000000000000,,,47700.000000000000000,,49500.000000000000000,,,40768.000000000000000,,20133,NEOSHO
49570,55328,2013302003760015001,12870.876320863731962,,,,,,,,,,,,,,,,20133,NEOSHO
