,UID,SCTFS,Shape_Area,AREA_2020,AREA_2019,AREA_2018,AREA_2017,AREA_2016,AREA_2015,AREA_2014,AREA_2013,AREA_2012,AREA_2011,AREA_2010,AREA_2009,AREA_2008,AREA_2007,AREA_2006,FIPSSTCO,County
90139,100812,2017120055140001001,59910.642102694415371,48600.000000000000000,52200.000000000000000,,51300.000000000000000,,,900.000000000000000,,4500.000000000000000,900.000000000000000,2700.000000000000000,50400.000000000000000,6300.000000000000000,28224.000000000000000,3136.000000000000000,20171,SCOTT
90167,100840,2017120055170001001,194677.398168435989646,2700.000000000000000,189900.000000000000000,,2700.000000000000000,189900.000000000000000,,4500.000000000000000,158400.000000000000000,,7200.000000000000000,,189000.000000000000000,187200.000000000000000,,,20171,SCOTT
90470,101147,2017102005550001001,657705.643646693089977,625500.000000000000000,4500.000000000000000,624600.000000000000000,900.000000000000000,900.000000000000000,1800.000000000000000,,9900.000000000000000,14400.000000000000000,612900.000000000000000,,588600.000000000000000,572400.000000000000000,,,20171,SCOTT
90739,101421,2017120055160001001,345412.780730533297174,,333900.000000000000000,,,337500.000000000000000,,,328500.000000000000000,,,7200.000000000000000,341100.000000000000000,332100.000000000000000,,,20171,SCOTT
91159,101846,2017120055140001002,105286.737495453300653,76500.000000000000000,101700.000000000000000,18000.000000000000000,63000.000000000000000,6300.000000000000000,,,900.000000000000000,5400.000000000000000,2700.000000000000000,900.000000000000000,2700.000000000000000,89100.000000000000000,,,20171,SCOTT
91948,102641,2017102005520001001,637498.918300557648763,612000.000000000000000,,630900.000000000000000,617400.000000000000000,,,,,,900.000000000000000,,12600.000000000000000,23400.000000000000000,,,20171,SCOTT
92295,102989,2017102005560001001,21693.816778047454136,,6300.000000000000000,900.000000000000000,,900.000000000000000,900.000000000000000,,2700.000000000000000,,,,900.000000000000000,,,12544.000000000000000,20171,SCOTT
92906,103606,2017120055140001006,256598.469942987285322,200700.000000000000000,247500.000000000000000,900.000000000000000,244800.000000000000000,,194400.000000000000000,,238500.000000000000000,,225000.000000000000000,900.000000000000000,249300.000000000000000,900.000000000000000,244608.000000000000000,,20171,SCOTT
94055,104782,2017102005540001001,954925.769771748105995,4500.000000000000000,618300.000000000000000,900.000000000000000,7200.000000000000000,1800.000000000000000,,,1800.000000000000000,37800.000000000000000,468000.000000000000000,13500.000000000000000,12600.000000000000000,,,9408.000000000000000,20171,SCOTT
94078,104805,2017102005560001005,34923.634436477834242,,,28800.000000000000000,,,,,,16200.000000000000000,,,,,,34496.000000000000000,20171,SCOTT
94278,105008,2017120055110001002,329607.173436412413139,3600.000000000000000,9000.000000000000000,900.000000000000000,,15300.000000000000000,,,,,,35100.000000000000000,11700.000000000000000,1800.000000000000000,,,20171,SCOTT
94897,105632,2017102005590001003,262803.664153637364507,,9000.000000000000000,,8100.000000000000000,,,,12600.000000000000000,,3600.000000000000000,,,9000.000000000000000,,,20171,SCOTT
95273,106009,2017120055140001009,1198316.138788759475574,180900.000000000000000,467100.000000000000000,1176300.000000000000000,7200.000000000000000,1154700.000000000000000,,13500.000000000000000,159300.000000000000000,900900.000000000000000,10800.000000000000000,1106100.000000000000000,12600.000000000000000,,1125824.000000000000000,3136.000000000000000,20171,SCOTT
157507,174367,2017120101290001001,27489.687045966209553,900.000000000000000,,20700.000000000000000,,,,,,,18000.000000000000000,6300.000000000000000,,,9408.000000000000000,,20171,SCOTT
157519,174380,2017120101270001001,865136.802965806447901,6300.000000000000000,17100.000000000000000,9900.000000000000000,,1800.000000000000000,7200.000000000000000,,6300.000000000000000,,6300.000000000000000,2700.000000000000000,,,,,20171,SCOTT
157533,174394,2017120101310001001,314796.594921232783236,300600.000000000000000,6300.000000000000000,304200.000000000000000,62100.000000000000000,290700.000000000000000,82800.000000000000000,256500.000000000000000,5400.000000000000000,305100.000000000000000,7200.000000000000000,297900.000000000000000,8100.000000000000000,289800.000000000000000,3136.000000000000000,222656.000000000000000,20171,SCOTT
157597,174458,2017120101320001001,647432.007624251884408,6300.000000000000000,34200.000000000000000,16200.000000000000000,9900.000000000000000,4500.000000000000000,6300.000000000000000,,,2700.000000000000000,15300.000000000000000,1800.000000000000000,7200.000000000000000,,,,20171,SCOTT
157645,174506,2017120101290001002,31097.367861768761941,,,23400.000000000000000,,,,,900.000000000000000,,,22500.000000000000000,23400.000000000000000,,,6272.000000000000000,20171,SCOTT
157672,174533,2017102010160001001,1316810.577966468175873,1800.000000000000000,3600.000000000000000,5400.000000000000000,,,900.000000000000000,,,4500.000000000000000,,,,,,,20171,SCOTT
157703,174565,2017102010190001001,225137.667796675057616,226800.000000000000000,53100.000000000000000,226800.000000000000000,225000.000000000000000,221400.000000000000000,226800.000000000000000,216900.000000000000000,209700.000000000000000,218700.000000000000000,221400.000000000000000,224100.000000000000000,226800.000000000000000,3600.000000000000000,188160.000000000000000,28224.000000000000000,20171,SCOTT
157876,174738,2017120101280001001,587987.567239409312606,5400.000000000000000,575100.000000000000000,900.000000000000000,5400.000000000000000,,,,,,3600.000000000000000,8100.000000000000000,,6300.000000000000000,,,20171,SCOTT
157903,174765,2017102010130001001,330883.815040236921050,4500.000000000000000,900.000000000000000,2700.000000000000000,900.000000000000000,,61200.000000000000000,,21600.000000000000000,,,,,,,,20171,SCOTT
158016,174879,2017120101380001002,399971.153532723139506,7200.000000000000000,396000.000000000000000,,900.000000000000000,,,,,,,325800.000000000000000,,,,,20171,SCOTT
158064,174927,2017102010190001002,234973.019741668307688,236700.000000000000000,67500.000000000000000,234900.000000000000000,233100.000000000000000,236700.000000000000000,233100.000000000000000,225000.000000000000000,217800.000000000000000,231300.000000000000000,223200.000000000000000,221400.000000000000000,234900.000000000000000,211500.000000000000000,,191296.000000000000000,20171,SCOTT
158075,174938,2017120101430001001,145926.105843754368834,11700.000000000000000,129600.000000000000000,,9000.000000000000000,137700.000000000000000,,11700.000000000000000,,,,,,,,,20171,SCOTT
158087,174950,2017120101170001001,100463.443145569501212,7200.000000000000000,2700.000000000000000,,,,,4500.000000000000000,,,5400.000000000000000,1800.000000000000000,,11700.000000000000000,,3136.000000000000000,20171,SCOTT
158246,175109,2017120101170001002,31042.456715000000258,,,9000.000000000000000,,,4500.000000000000000,,,1800.000000000000000,,,900.000000000000000,900.000000000000000,,,20171,SCOTT
158307,175171,2017120101290001003,29607.791062386724661,,,27000.000000000000000,,,,,,,23400.000000000000000,2700.000000000000000,,,25088.000000000000000,9408.000000000000000,20171,SCOTT
158344,175208,2017120101180001001,407770.863292951427866,,203400.000000000000000,194400.000000000000000,900.000000000000000,1800.000000000000000,5400.000000000000000,,,,,180900.000000000000000,,7200.000000000000000,3136.000000000000000,9408.000000000000000,20171,SCOTT
158401,175265,2017120101200001002,320960.061790934065357,,900.000000000000000,35100.000000000000000,,1800.000000000000000,32400.000000000000000,,900.000000000000000,,900.000000000000000,243900.000000000000000,,,,15680.000000000000000,20171,SCOTT
