,UID,SCTFS,Shape_Area,AREA_2020,AREA_2019,AREA_2018,AREA_2017,AREA_2016,AREA_2015,AREA_2014,AREA_2013,AREA_2012,AREA_2011,AREA_2010,AREA_2009,AREA_2008,AREA_2007,AREA_2006,FIPSSTCO,County
13609,15984,2018502000930045001,30004.713966363986401,9000.000000000000000,9000.000000000000000,9000.000000000000000,9000.000000000000000,900.000000000000000,6300.000000000000000,,12600.000000000000000,5400.000000000000000,,8100.000000000000000,14400.000000000000000,3600.000000000000000,,3136.000000000000000,20185,STAFFORD
13640,16016,2018502000930067001,595247.534969406435266,900.000000000000000,,,,,162900.000000000000000,23400.000000000000000,,,1800.000000000000000,2700.000000000000000,,,6272.000000000000000,,20185,STAFFORD
13754,16135,2018502000930058001,94233.542686086264439,,90900.000000000000000,,,88200.000000000000000,,,,,6300.000000000000000,,,,,,20185,STAFFORD
13886,16269,2018520009100016001,33684.444350040161225,16200.000000000000000,,,,7200.000000000000000,1800.000000000000000,,4500.000000000000000,900.000000000000000,9900.000000000000000,1800.000000000000000,,5400.000000000000000,,3136.000000000000000,20185,STAFFORD
13901,16284,2018502000920011001,34452.387301977898460,,,900.000000000000000,,,3600.000000000000000,,1800.000000000000000,,1800.000000000000000,8100.000000000000000,20700.000000000000000,900.000000000000000,,3136.000000000000000,20185,STAFFORD
13928,16312,2018502000930018001,532178.289043315919116,517500.000000000000000,9000.000000000000000,486900.000000000000000,296100.000000000000000,,446400.000000000000000,,513000.000000000000000,900.000000000000000,514800.000000000000000,,509400.000000000000000,,426496.000000000000000,,20185,STAFFORD
13957,16343,2018520009130001001,519196.368803636112716,117900.000000000000000,9900.000000000000000,1800.000000000000000,448200.000000000000000,506700.000000000000000,457200.000000000000000,,456300.000000000000000,,,,1800.000000000000000,,,,20185,STAFFORD
14003,16390,2018502000930002001,159370.586487818392925,152100.000000000000000,900.000000000000000,147600.000000000000000,141300.000000000000000,145800.000000000000000,146700.000000000000000,,146700.000000000000000,145800.000000000000000,153900.000000000000000,900.000000000000000,147600.000000000000000,142200.000000000000000,159936.000000000000000,,20185,STAFFORD
14006,16393,2018502000920001001,29923.415001238245168,,900.000000000000000,900.000000000000000,,900.000000000000000,3600.000000000000000,,2700.000000000000000,,19800.000000000000000,22500.000000000000000,,900.000000000000000,,6272.000000000000000,20185,STAFFORD
14111,16499,2018502000930057001,61748.072169969986135,900.000000000000000,,,,,,,2700.000000000000000,,12600.000000000000000,,,,,,20185,STAFFORD
14207,16596,2018520009100001001,21988.115190084346978,,,,10800.000000000000000,5400.000000000000000,1800.000000000000000,,8100.000000000000000,3600.000000000000000,4500.000000000000000,3600.000000000000000,2700.000000000000000,9000.000000000000000,,,20185,STAFFORD
14215,16605,2018502000930034001,515921.888585567183327,7200.000000000000000,515700.000000000000000,507600.000000000000000,51300.000000000000000,499500.000000000000000,502200.000000000000000,,492300.000000000000000,,505800.000000000000000,,491400.000000000000000,405000.000000000000000,,482944.000000000000000,20185,STAFFORD
14295,16687,2018520009100010001,28266.788386840034946,21600.000000000000000,,,,6300.000000000000000,,6300.000000000000000,,8100.000000000000000,5400.000000000000000,11700.000000000000000,,18000.000000000000000,,15680.000000000000000,20185,STAFFORD
14362,16755,2018502000930058002,203670.493023660266772,95400.000000000000000,96300.000000000000000,,63000.000000000000000,99000.000000000000000,,,,,4500.000000000000000,,,,,,20185,STAFFORD
14401,16795,2018502014550001001,250788.531399326864630,,7200.000000000000000,243000.000000000000000,,242100.000000000000000,,,,244800.000000000000000,,900.000000000000000,8100.000000000000000,226800.000000000000000,,260288.000000000000000,20185,STAFFORD
14444,16839,2018520009100016002,28172.501690937202511,16200.000000000000000,,1800.000000000000000,,2700.000000000000000,,,,,4500.000000000000000,,,900.000000000000000,,,20185,STAFFORD
14497,16892,2018502000920013001,252492.818915699288482,231300.000000000000000,,229500.000000000000000,206100.000000000000000,,,219600.000000000000000,240300.000000000000000,248400.000000000000000,243900.000000000000000,241200.000000000000000,900.000000000000000,57600.000000000000000,,134848.000000000000000,20185,STAFFORD
14627,17026,2018502000980001001,500333.725688231410459,,14400.000000000000000,,,41400.000000000000000,475200.000000000000000,,166500.000000000000000,464400.000000000000000,,,458100.000000000000000,481500.000000000000000,454720.000000000000000,200704.000000000000000,20185,STAFFORD
14664,17063,2018502000930057002,129177.081468720192788,900.000000000000000,900.000000000000000,,,,,,,3600.000000000000000,1800.000000000000000,9900.000000000000000,,900.000000000000000,,,20185,STAFFORD
14738,17139,2018502000950001001,114445.931354707034188,108900.000000000000000,109800.000000000000000,900.000000000000000,108900.000000000000000,106200.000000000000000,,99000.000000000000000,107100.000000000000000,900.000000000000000,,900.000000000000000,111600.000000000000000,,,,20185,STAFFORD
