,UID,SCTFS,Shape_Area,AREA_2020,AREA_2019,AREA_2018,AREA_2017,AREA_2016,AREA_2015,AREA_2014,AREA_2013,AREA_2012,AREA_2011,AREA_2010,AREA_2009,AREA_2008,AREA_2007,AREA_2006,FIPSSTCO,County
0,0,2000300019190007001,102707.213944258881384,,,98100.000000000000000,,,,96300.000000000000000,,90000.000000000000000,,94500.000000000000000,,,,106624.000000000000000,20003,ANDERSON
1,1,2000300043860005001,111811.638066261337372,108000.000000000000000,,99900.000000000000000,,1800.000000000000000,,,,,,18000.000000000000000,,,,,20003,ANDERSON
2,2,2000300019230002001,37859.661096899551922,35100.000000000000000,,28800.000000000000000,,28800.000000000000000,900.000000000000000,25200.000000000000000,,24300.000000000000000,,18900.000000000000000,,26100.000000000000000,,21952.000000000000000,20003,ANDERSON
3,3,2000300011970002001,61603.192077542837069,,60300.000000000000000,,56700.000000000000000,,57600.000000000000000,18000.000000000000000,56700.000000000000000,52200.000000000000000,54900.000000000000000,32400.000000000000000,37800.000000000000000,38700.000000000000000,40768.000000000000000,21952.000000000000000,20003,ANDERSON
4,4,2000300036090019001,59803.322812252416043,900.000000000000000,4500.000000000000000,,,,,900.000000000000000,,,1800.000000000000000,,,,,,20003,ANDERSON
6,6,2000300006640007001,10938.850247512949863,,,,,,4500.000000000000000,,8100.000000000000000,,4500.000000000000000,,,900.000000000000000,,,20003,ANDERSON
7,7,2000300007240003001,44941.420773150319292,,,,,,,,,,,,,,,,20003,ANDERSON
9,9,2000300036130007001,10625.786462056435994,,,,,,,,,,,,,,,,20003,ANDERSON
10,10,2000300009390003001,51192.951987324064248,47700.000000000000000,3600.000000000000000,,45000.000000000000000,,50400.000000000000000,,33300.000000000000000,39600.000000000000000,,3600.000000000000000,41400.000000000000000,2700.000000000000000,9408.000000000000000,25088.000000000000000,20003,ANDERSON
11,11,2000300041210001001,51044.993702937594207,,,,,,,,,,,,,,,,20003,ANDERSON
12,13,2000300014380002001,19002.123511080422759,14400.000000000000000,,11700.000000000000000,,,11700.000000000000000,,,,,,6300.000000000000000,900.000000000000000,,,20003,ANDERSON
13,14,2000300003360001001,150986.991944764071377,,132300.000000000000000,,,,,,,,,4500.000000000000000,5400.000000000000000,,,,20003,ANDERSON
14,15,2000300033980003001,20914.356606524343078,,,,18000.000000000000000,,20700.000000000000000,1800.000000000000000,,15300.000000000000000,,15300.000000000000000,900.000000000000000,18000.000000000000000,,3136.000000000000000,20003,ANDERSON
15,16,2000300014290009001,51057.449012019293150,4500.000000000000000,900.000000000000000,3600.000000000000000,5400.000000000000000,,5400.000000000000000,,4500.000000000000000,,1800.000000000000000,,1800.000000000000000,,6272.000000000000000,,20003,ANDERSON
16,17,2000300011430001001,93570.920029427405098,87300.000000000000000,,85500.000000000000000,,84600.000000000000000,,86400.000000000000000,,72900.000000000000000,,61200.000000000000000,,87300.000000000000000,,,20003,ANDERSON
17,18,2000300009450023001,11202.767371498013745,3600.000000000000000,900.000000000000000,,,,,,,,,,,,,,20003,ANDERSON
18,19,2000300003470007001,77752.771317056147382,77400.000000000000000,,65700.000000000000000,,72000.000000000000000,900.000000000000000,76500.000000000000000,900.000000000000000,59400.000000000000000,,28800.000000000000000,,1800.000000000000000,50176.000000000000000,,20003,ANDERSON
19,20,2000300045900011001,172087.222530837170780,,153000.000000000000000,,,149400.000000000000000,,148500.000000000000000,,,,13500.000000000000000,,,,,20003,ANDERSON
20,21,2000300004560005001,49023.756603323592572,,,900.000000000000000,,,43200.000000000000000,,,,40500.000000000000000,900.000000000000000,,,,34496.000000000000000,20003,ANDERSON
21,22,2000300042400030001,10636.338627151919354,,9900.000000000000000,,,9900.000000000000000,,9900.000000000000000,,9000.000000000000000,,,,,,,20003,ANDERSON
22,23,2000300040420004001,133148.077702336537186,128700.000000000000000,,114300.000000000000000,,113400.000000000000000,2700.000000000000000,111600.000000000000000,,99900.000000000000000,,105300.000000000000000,,108000.000000000000000,6272.000000000000000,103488.000000000000000,20003,ANDERSON
23,24,2000300003060002001,46194.116872724895074,,27900.000000000000000,14400.000000000000000,2700.000000000000000,,,900.000000000000000,26100.000000000000000,,,,,9000.000000000000000,,,20003,ANDERSON
24,25,2000300019190005001,16885.665754472331173,,,3600.000000000000000,,,,3600.000000000000000,,,,3600.000000000000000,,,,,20003,ANDERSON
25,26,2000300002410005001,14295.825333632054026,,,,,,,,,,,,,,,,20003,ANDERSON
26,28,2000300004260003001,72818.044221999167348,,63900.000000000000000,,61200.000000000000000,,61200.000000000000000,1800.000000000000000,,,,36900.000000000000000,,,9408.000000000000000,,20003,ANDERSON
27,29,2000300013190003001,26325.759795665217098,2700.000000000000000,1800.000000000000000,1800.000000000000000,900.000000000000000,,,1800.000000000000000,900.000000000000000,,,1800.000000000000000,,,,,20003,ANDERSON
28,31,2000300034150002001,131920.260336772655137,127800.000000000000000,5400.000000000000000,,120600.000000000000000,,122400.000000000000000,,113400.000000000000000,,115200.000000000000000,900.000000000000000,,,,,20003,ANDERSON
29,32,2000300020630003001,29939.611916065343394,,,,,,,,,,,,,,,,20003,ANDERSON
30,33,2000300013190001001,6963.022697783768308,900.000000000000000,1800.000000000000000,,,,,,,,,,,,,,20003,ANDERSON
31,34,2000300016740002001,44432.343101946062234,,,,,,,,,,,,,,,,20003,ANDERSON
32,35,2000300007340004001,91890.549965985162999,82800.000000000000000,6300.000000000000000,900.000000000000000,83700.000000000000000,,79200.000000000000000,,,58500.000000000000000,,57600.000000000000000,,13500.000000000000000,,,20003,ANDERSON
33,36,2000300015890004001,16566.788544776019990,,1800.000000000000000,,,,3600.000000000000000,,,,,900.000000000000000,900.000000000000000,,,,20003,ANDERSON
34,37,2000300006940001001,128827.276774869111250,121500.000000000000000,,103500.000000000000000,,94500.000000000000000,,,95400.000000000000000,,90000.000000000000000,900.000000000000000,,106200.000000000000000,9408.000000000000000,,20003,ANDERSON
35,38,2000300017460001001,40211.195046652588644,,,,,,,,,,,,,900.000000000000000,,,20003,ANDERSON
36,39,2000300014240001001,143103.479230584547622,,152100.000000000000000,,11700.000000000000000,,143100.000000000000000,,,139500.000000000000000,,25200.000000000000000,108900.000000000000000,,,106624.000000000000000,20003,ANDERSON
37,40,2000300036150002001,127174.345206141078961,,118800.000000000000000,,118800.000000000000000,,118800.000000000000000,,117000.000000000000000,,117000.000000000000000,,105300.000000000000000,,109760.000000000000000,,20003,ANDERSON
38,41,2000300002210004001,100542.851517414906994,,95400.000000000000000,,,99000.000000000000000,,99900.000000000000000,,77400.000000000000000,85500.000000000000000,900.000000000000000,,,75264.000000000000000,,20003,ANDERSON
39,42,2000300012570001001,62723.411637878663896,,56700.000000000000000,,50400.000000000000000,,24300.000000000000000,,12600.000000000000000,,900.000000000000000,1800.000000000000000,,,,,20003,ANDERSON
40,43,2000300018650001001,233038.586242784978822,3600.000000000000000,39600.000000000000000,29700.000000000000000,89100.000000000000000,75600.000000000000000,65700.000000000000000,1800.000000000000000,15300.000000000000000,900.000000000000000,22500.000000000000000,15300.000000000000000,,,,,20003,ANDERSON
41,44,2000300042400027001,15549.802857955355648,,14400.000000000000000,,,12600.000000000000000,,11700.000000000000000,,10800.000000000000000,,,,1800.000000000000000,,,20003,ANDERSON
42,45,2000300015620006001,5571.244037431176366,,,,,,,,,,,,,,,,20003,ANDERSON
43,46,2000300035470005001,55341.548230170767056,51300.000000000000000,7200.000000000000000,50400.000000000000000,,,60300.000000000000000,,60300.000000000000000,,60300.000000000000000,,60300.000000000000000,,59584.000000000000000,,20003,ANDERSON
44,48,2000300042060004001,265727.739836798864417,,203400.000000000000000,,,135900.000000000000000,72900.000000000000000,,64800.000000000000000,,108000.000000000000000,,,205200.000000000000000,94080.000000000000000,,20003,ANDERSON
45,49,2000300000830001001,57313.963724910783640,49500.000000000000000,,,,47700.000000000000000,,45000.000000000000000,,,,29700.000000000000000,,,,,20003,ANDERSON
46,50,2000300001390009001,48715.156758004952280,900.000000000000000,,,,,,,,,,3600.000000000000000,,,,21952.000000000000000,20003,ANDERSON
47,51,2000300007710004001,39191.839252284102258,,,,,,,,,,,,,,,,20003,ANDERSON
48,59,2000300018140001001,75627.950166213660850,,,,,,,,,,,,,,,,20003,ANDERSON
49,60,2000300042400007001,55759.776310116409149,,52200.000000000000000,,39600.000000000000000,,39600.000000000000000,,40500.000000000000000,,,900.000000000000000,,38700.000000000000000,,,20003,ANDERSON
