,UID,SCTFS,Shape_Area,AREA_2020,AREA_2019,AREA_2018,AREA_2017,AREA_2016,AREA_2015,AREA_2014,AREA_2013,AREA_2012,AREA_2011,AREA_2010,AREA_2009,AREA_2008,AREA_2007,AREA_2006,FIPSSTCO,County
652146,770377,2002300014960013001,1232361.354332607239485,900.000000000000000,,900.000000000000000,,,,900.000000000000000,,32400.000000000000000,900.000000000000000,,11700.000000000000000,,9408.000000000000000,,20023,CHEYENNE
652147,770378,2002300044460008001,2091385.905230802949518,1800.000000000000000,4500.000000000000000,,,900.000000000000000,,,,7200.000000000000000,1800.000000000000000,,1800.000000000000000,,,,20023,CHEYENNE
652148,770379,2002300044460002001,62224.461098508436407,,,,,,,,,,,,,,,,20023,CHEYENNE
652149,770380,2002300010100001001,611658.945069288136438,,900.000000000000000,,,900.000000000000000,,,,,,,,,,,20023,CHEYENNE
652150,770381,2002300010100002001,11547.329596773652156,,,,,,,,,,900.000000000000000,,,,,,20023,CHEYENNE
652151,770382,2002300010100003001,33625.121920219113235,,,,,,,,,,,,,,,,20023,CHEYENNE
652152,770383,2002300011020009001,32549.112881766046485,,,,,,,,,,,,,,,,20023,CHEYENNE
652153,770384,2002300013180002001,16250.297477514264756,,,,,,,,,,,,,,,,20023,CHEYENNE
652154,770385,2002300015040007001,24991.935666417884931,,,,,,,,,,,,,,,,20023,CHEYENNE
652155,770386,2002303105720002001,500836.948321266390849,,,,,,,,,900.000000000000000,,,,,,,20023,CHEYENNE
652156,770387,2002303105720003001,928751.014341495814733,,,,,,,,,,,,,,,,20023,CHEYENNE
652157,770388,2002300013900022001,4425636.800171625800431,2700.000000000000000,,,,,,,,3600.000000000000000,,900.000000000000000,2700.000000000000000,,,,20023,CHEYENNE
652158,770389,2002303105730002001,1308649.242075975053012,,,,,,,,,900.000000000000000,900.000000000000000,,,,,31360.000000000000000,20023,CHEYENNE
652159,770390,2002300010100004001,20081.469084931934049,,,,,,,,,,,,,,,,20023,CHEYENNE
652160,770392,2002300014960001001,72928.716374505820568,,,,,,,,,,,,,,,,20023,CHEYENNE
652161,770393,2002300013300001001,2480215.029841663781554,2700.000000000000000,,,,,,,,,,,,,,,20023,CHEYENNE
652162,770394,2002300018460015001,3931026.343514872249216,1800.000000000000000,3600.000000000000000,,,1800.000000000000000,900.000000000000000,,,1800.000000000000000,1800.000000000000000,,,,,,20023,CHEYENNE
652163,770395,2002300013900019001,1623694.335298188729212,,,,,,,,,1800.000000000000000,900.000000000000000,,,,,,20023,CHEYENNE
652164,770396,2002300014960009001,192850.208090505591827,8100.000000000000000,19800.000000000000000,,,,,,,138600.000000000000000,1800.000000000000000,,,,,,20023,CHEYENNE
652165,770397,2002300044460003001,455554.727762027818244,,,,,,,,,,,,,,,,20023,CHEYENNE
652166,770398,2002303105740002001,4248079.840195264667273,,900.000000000000000,,,,,,900.000000000000000,2700.000000000000000,,900.000000000000000,,,,,20023,CHEYENNE
652167,770399,2002300044450007001,307224.494397561997175,,,,,,,,900.000000000000000,259200.000000000000000,,,,,,,20023,CHEYENNE
652168,770400,2002300017420003001,34265.218175918264023,,,,,,,,,,,,,,,,20023,CHEYENNE
652169,770401,2002300017420001001,452024.742000441357959,11700.000000000000000,,,244800.000000000000000,14400.000000000000000,,,,,,,,,,206976.000000000000000,20023,CHEYENNE
652170,770402,2002300017420002001,147230.312072366476059,4500.000000000000000,,,5400.000000000000000,4500.000000000000000,,,,,,900.000000000000000,,,,,20023,CHEYENNE
652171,770403,2002300013900010001,99642.526394210421131,,,,,,,,,,,,,1800.000000000000000,,3136.000000000000000,20023,CHEYENNE
652172,770404,2002300016230002001,111267.105754434218397,4500.000000000000000,,,2700.000000000000000,2700.000000000000000,,,,,,,,,,,20023,CHEYENNE
652173,770405,2002300016230003001,67002.718296677674516,900.000000000000000,,,2700.000000000000000,1800.000000000000000,,,,,,,,,,,20023,CHEYENNE
652174,770406,2002302015390002001,1256214.937489186879247,3600.000000000000000,,,,1800.000000000000000,,,,1800.000000000000000,,,,,,,20023,CHEYENNE
652175,770407,2002300013460002001,452048.910120218060911,,,,,,,,,900.000000000000000,,,,,,,20023,CHEYENNE
652176,770408,2002303105750008001,92171.475632695524837,1800.000000000000000,,,,900.000000000000000,,,,,,,,,,,20023,CHEYENNE
652177,770409,2002303105750009001,512762.060692232393194,477900.000000000000000,,,486900.000000000000000,491400.000000000000000,,,,,496800.000000000000000,,,474300.000000000000000,,,20023,CHEYENNE
652178,770410,2002300013890001001,818465.166504711145535,,,,,,,,,,,,,,,,20023,CHEYENNE
