,UID,SCTFS,Shape_Area,AREA_2020,AREA_2019,AREA_2018,AREA_2017,AREA_2016,AREA_2015,AREA_2014,AREA_2013,AREA_2012,AREA_2011,AREA_2010,AREA_2009,AREA_2008,AREA_2007,AREA_2006,FIPSSTCO,County
5,5,2003120003970002001,141433.583191503566923,,5400.000000000000000,900.000000000000000,4500.000000000000000,,900.000000000000000,,,,,10800.000000000000000,7200.000000000000000,20700.000000000000000,,125440.000000000000000,20031,COFFEY
116,121,2003120003640003001,186789.598335494229104,187200.000000000000000,,165600.000000000000000,,162900.000000000000000,,,,,160200.000000000000000,,,162000.000000000000000,,175616.000000000000000,20031,COFFEY
146,153,2003120003150003001,47821.803575612444547,,,,,,,,,,,900.000000000000000,,,,,20031,COFFEY
170,178,2003120003370001001,20072.186790631811164,,,900.000000000000000,900.000000000000000,,,900.000000000000000,,,,,,,,,20031,COFFEY
182,190,2003120003160006001,273673.842167530616280,,1800.000000000000000,,,,270900.000000000000000,41400.000000000000000,,258300.000000000000000,7200.000000000000000,,,2700.000000000000000,,,20031,COFFEY
272,284,2003102003630001001,234654.203624842222780,226800.000000000000000,,213300.000000000000000,,,,208800.000000000000000,,173700.000000000000000,900.000000000000000,127800.000000000000000,162000.000000000000000,,40768.000000000000000,,20031,COFFEY
306,320,2003100043940006001,67139.052050196303753,,15300.000000000000000,,53100.000000000000000,,,50400.000000000000000,,51300.000000000000000,,2700.000000000000000,,,,,20031,COFFEY
364,381,2003102003630001002,58850.787023943230452,61200.000000000000000,,57600.000000000000000,,,,54900.000000000000000,,46800.000000000000000,4500.000000000000000,56700.000000000000000,27000.000000000000000,,,,20031,COFFEY
445,465,2003120003630001001,123251.640533728583250,124200.000000000000000,,102600.000000000000000,,102600.000000000000000,,94500.000000000000000,,97200.000000000000000,,79200.000000000000000,,,,84672.000000000000000,20031,COFFEY
497,518,2003120003980001001,209834.479078231641324,204300.000000000000000,,199800.000000000000000,900.000000000000000,187200.000000000000000,,195300.000000000000000,,192600.000000000000000,12600.000000000000000,160200.000000000000000,1800.000000000000000,169200.000000000000000,37632.000000000000000,175616.000000000000000,20031,COFFEY
516,537,2003100045040001001,120603.475278558238642,105300.000000000000000,,102600.000000000000000,,98100.000000000000000,,,,85500.000000000000000,,8100.000000000000000,900.000000000000000,900.000000000000000,,,20031,COFFEY
543,565,2003120003270005001,7192.972622459796185,,,,,,,,,,,,,,,,20031,COFFEY
613,638,2003100043970002001,111326.478171804570593,80100.000000000000000,1800.000000000000000,,81000.000000000000000,,,77400.000000000000000,11700.000000000000000,68400.000000000000000,,58500.000000000000000,,2700.000000000000000,3136.000000000000000,,20031,COFFEY
723,749,2003120003390002001,62089.188031940102519,,900.000000000000000,,,,,,,,,,,,6272.000000000000000,,20031,COFFEY
788,819,2003120003340001001,13918.550620207730390,,,,,,,,,,,,,,,,20031,COFFEY
846,877,2003100043970003001,25541.421717424418603,,,,,,,,,,,1800.000000000000000,,,,15680.000000000000000,20031,COFFEY
875,906,2003120003350012001,22448.529929196090961,,,,,,,,,,900.000000000000000,900.000000000000000,,,,,20031,COFFEY
884,916,2003120003310002001,17492.600974054163089,,,,,,,,,,,,,,,,20031,COFFEY
920,952,2003120003250002001,50367.055627860325330,,46800.000000000000000,,42300.000000000000000,,,38700.000000000000000,,,2700.000000000000000,19800.000000000000000,,,,,20031,COFFEY
946,978,2003100045040002001,90659.153774653474102,85500.000000000000000,,85500.000000000000000,,84600.000000000000000,,80100.000000000000000,,,,23400.000000000000000,,,,,20031,COFFEY
1032,1071,2003120003280003001,50463.640600742102833,,42300.000000000000000,,41400.000000000000000,,41400.000000000000000,,43200.000000000000000,,44100.000000000000000,900.000000000000000,36900.000000000000000,,12544.000000000000000,,20031,COFFEY
1098,1139,2003120003350001001,53364.479883752916066,,48600.000000000000000,,46800.000000000000000,,,,,32400.000000000000000,900.000000000000000,,36900.000000000000000,900.000000000000000,,,20031,COFFEY
1181,1226,2003120003460002001,16129.008388349422603,16200.000000000000000,900.000000000000000,11700.000000000000000,900.000000000000000,11700.000000000000000,,10800.000000000000000,,,,6300.000000000000000,,,3136.000000000000000,,20031,COFFEY
1185,1230,2003120003270002001,17797.648202975808090,,,16200.000000000000000,,15300.000000000000000,,,,13500.000000000000000,,900.000000000000000,16200.000000000000000,900.000000000000000,6272.000000000000000,,20031,COFFEY
1186,1231,2003120003380008001,136569.168741919624154,130500.000000000000000,,124200.000000000000000,900.000000000000000,121500.000000000000000,,123300.000000000000000,,110700.000000000000000,,68400.000000000000000,,86400.000000000000000,,,20031,COFFEY
1251,1298,2003102000310006001,53159.322392903784930,46800.000000000000000,,,45000.000000000000000,,47700.000000000000000,2700.000000000000000,45000.000000000000000,,50400.000000000000000,900.000000000000000,,,,,20031,COFFEY
1256,1303,2003120003280001001,477246.524290577857755,454500.000000000000000,,451800.000000000000000,,449100.000000000000000,,441900.000000000000000,,,,422100.000000000000000,,,379456.000000000000000,,20031,COFFEY
1258,1305,2003120003340009001,14547.612243751333153,,8100.000000000000000,,9900.000000000000000,,10800.000000000000000,,9900.000000000000000,,6300.000000000000000,,8100.000000000000000,,3136.000000000000000,,20031,COFFEY
1293,1342,2003100043940004001,188380.223383817239664,,,,,,,,,,,,,900.000000000000000,,,20031,COFFEY
1312,1364,2003120003170003001,9278.004732760105981,,,3600.000000000000000,,900.000000000000000,,,,,,,3600.000000000000000,2700.000000000000000,6272.000000000000000,,20031,COFFEY
1430,1487,2003120003380001001,304643.105086873285472,288900.000000000000000,,286200.000000000000000,,286200.000000000000000,,287100.000000000000000,,282600.000000000000000,,236700.000000000000000,900.000000000000000,221400.000000000000000,,285376.000000000000000,20031,COFFEY
