,UID,SCTFS,Shape_Area,AREA_2020,AREA_2019,AREA_2018,AREA_2017,AREA_2016,AREA_2015,AREA_2014,AREA_2013,AREA_2012,AREA_2011,AREA_2010,AREA_2009,AREA_2008,AREA_2007,AREA_2006,FIPSSTCO,County
136919,151470,2009500018580002001,25285.958846581317630,,,,,,,,,,,900.000000000000000,,,,,20095,KINGMAN
136920,151471,2009500023170004001,21701.273905010468297,,,,,,,,,,,,,,,,20095,KINGMAN
136921,151472,2009500108930001001,121120.537526310305111,,,,,,,,,,,,,,,,20095,KINGMAN
136922,151473,2009500095930002001,4525.935318107879539,,,,,,,,,,,,,,,,20095,KINGMAN
136923,151474,2009500029710006001,6807.916834327264951,,,,,,,,,,,,,,,,20095,KINGMAN
136924,151475,2009500017790006001,40700.910124855487084,,,,,,900.000000000000000,,,,900.000000000000000,,,,,,20095,KINGMAN
136925,151476,2009500029820001001,245653.359478047146695,64800.000000000000000,21600.000000000000000,44100.000000000000000,18900.000000000000000,4500.000000000000000,6300.000000000000000,4500.000000000000000,143100.000000000000000,,,,,,,,20095,KINGMAN
136926,151477,2009500003510001001,631534.858308039722033,,,,,,,,,,,,,,6272.000000000000000,,20095,KINGMAN
136927,151478,2009500008520001001,23728.297485823281022,,,,,,,,,,,,,,,,20095,KINGMAN
136928,151479,2009500035010003001,11915.468717519084748,,,,,,,,,,,,,,,,20095,KINGMAN
136929,151480,2009500023700001001,604806.058451943215914,342900.000000000000000,,,,,,,,,,,,,,,20095,KINGMAN
136930,151481,2009500009690015001,18638.765914595103823,,,,,,,,,,,,,,,,20095,KINGMAN
136931,151482,2009500009700002001,295602.687755857768934,,,,,,,,,,,,,,,,20095,KINGMAN
136932,151483,2009500009950001001,635763.689798932173289,,,,,,,,,,,,1800.000000000000000,,6272.000000000000000,,20095,KINGMAN
136933,151485,2009500014100001001,47591.238485130372283,,,,,,,,,,,,6300.000000000000000,,,,20095,KINGMAN
136934,151486,2009500110550001001,37129.029266360157635,,,,,,,7200.000000000000000,,,,,,,,,20095,KINGMAN
136935,151487,2009500018350001001,538082.115029937005602,,,,,,,,,,,,,,,,20095,KINGMAN
136936,151489,2009500006630006001,96988.228006702120183,,,,,,,,,,,,,,,,20095,KINGMAN
136937,151490,2009500025230003001,5306.890156501794081,,,,,,,,,,,,,,,,20095,KINGMAN
136938,151491,2009500023980002001,224097.339837784122210,,,,,,,,,,,,,,,,20095,KINGMAN
136939,151492,2009500024290003001,399407.952021852368489,,,,,,,,,,61200.000000000000000,,,,,,20095,KINGMAN
136940,151493,2009500106890001001,612510.966264141141437,900.000000000000000,4500.000000000000000,900.000000000000000,219600.000000000000000,900.000000000000000,900.000000000000000,,,,,,,,3136.000000000000000,,20095,KINGMAN
136941,151495,2009500006000001001,134645.095163708698237,,,,121500.000000000000000,,,,,,900.000000000000000,,,,,,20095,KINGMAN
136942,151496,2009500028420002001,304074.689933612244204,,,,,,,,,,,,,,,,20095,KINGMAN
136943,151497,2009500111390001001,269213.337292898679152,,,,,,,,,,,,6300.000000000000000,,,,20095,KINGMAN
136944,151498,2009500023750001001,165349.933084040036192,900.000000000000000,1800.000000000000000,1800.000000000000000,1800.000000000000000,,,900.000000000000000,,,,,,,,,20095,KINGMAN
136945,151499,2009500027620004001,5248.211569444845736,,,,,,,,,,,,,,,,20095,KINGMAN
136946,151500,2009500022350002001,351114.360326213587541,,,,,,,,,2700.000000000000000,20700.000000000000000,3600.000000000000000,,19800.000000000000000,,,20095,KINGMAN
136947,151501,2009500010250010001,56014.121618940007465,,,,,,,,,,,,,,,,20095,KINGMAN
136948,151503,2009500006170001001,62372.783033626699762,,,,,,,,,,,,,,,9408.000000000000000,20095,KINGMAN
136949,151505,2009500018830037001,4695.323134557193043,,,,,,,,,,,,,,,,20095,KINGMAN
136950,151506,2009500112340001001,533889.428086203872226,,424800.000000000000000,2700.000000000000000,,19800.000000000000000,,,,,,,,,,,20095,KINGMAN
136951,151507,2009500002560001001,65896.735161007018178,2700.000000000000000,,,,55800.000000000000000,,,,,,,,,,,20095,KINGMAN
136952,151508,2009500007750003001,186779.025222733122064,,,,,,,,,,,,,,,,20095,KINGMAN
136953,151509,2009500109900003001,5331.719377319470368,,,,,,,,,,,,,,,,20095,KINGMAN
136954,151510,2009500103990007001,73142.402716763055651,62100.000000000000000,,63000.000000000000000,,,,,,,,,,,,,20095,KINGMAN
136955,151511,2009500000060004001,16726.408240473279875,,,,,,,,,,,,,,,,20095,KINGMAN
136956,151512,2009500025080003001,127789.221456747633056,,2700.000000000000000,,,,,,,,,,,,,,20095,KINGMAN
136957,151514,2009500094700004001,73885.472954538403428,,,,,,,,,,,,,,,,20095,KINGMAN
136958,151515,2009500009960003001,10386.630931681624133,,,,,,,,,,,,,,,,20095,KINGMAN
136959,151516,2009500099800004001,37856.404442836232192,,,,,,,,7200.000000000000000,,,,,,,,20095,KINGMAN
136960,151517,2009500008750002001,8427.117802672884864,,,,,,,,,,,,,,12544.000000000000000,,20095,KINGMAN
136961,151518,2009500102940002001,127208.355519404067309,,,,,,,,,,,,,,,,20095,KINGMAN
136962,151519,2009500027760003001,314048.948179524275474,,,,,,,,,,,,,,,,20095,KINGMAN
136963,151520,2009500105270005001,73527.654816386624589,,,,,,,,,,,,,,,,20095,KINGMAN
136964,151521,2009500028670001001,85249.677897000525263,,,,,,,,,,,,,,,,20095,KINGMAN
136965,151522,2009500105900001001,666655.695495311170816,15300.000000000000000,15300.000000000000000,,,13500.000000000000000,,,,9000.000000000000000,1800.000000000000000,5400.000000000000000,900.000000000000000,467100.000000000000000,,,20095,KINGMAN
136966,151523,2009500029710005001,5463.048866570554310,,,,,,,,,,,,,,,,20095,KINGMAN
136967,151524,2009500008270001001,529983.283433197648264,525600.000000000000000,900.000000000000000,5400.000000000000000,,521100.000000000000000,,416700.000000000000000,,504000.000000000000000,900.000000000000000,456300.000000000000000,,488700.000000000000000,,,20095,KINGMAN
136968,151525,2009500108810008001,172848.502404624363407,,,,,,,,,,,2700.000000000000000,,,,,20095,KINGMAN
136969,151526,2009500029800002001,8952.277346418626621,,,,,,,,,,,,,,,,20095,KINGMAN
136970,151527,2009500001590005001,151079.350396119785728,1800.000000000000000,1800.000000000000000,900.000000000000000,,,,,900.000000000000000,,,,,,,,20095,KINGMAN
136971,151528,2009500025770003001,81174.956152048398508,,,,900.000000000000000,,,,,,2700.000000000000000,,,,,,20095,KINGMAN
136972,151529,2009500000290017001,373351.314884903433267,3600.000000000000000,2700.000000000000000,2700.000000000000000,900.000000000000000,10800.000000000000000,,,,,,,,,,,20095,KINGMAN
136973,151530,2009500098430001001,283579.665114719362464,,,,,,,,,,,,,,,,20095,KINGMAN
136974,151531,2009500020830001001,30766.020551094323309,,,,,,,,,,1800.000000000000000,5400.000000000000000,900.000000000000000,,,,20095,KINGMAN
136975,151532,2009500020880002001,65024.689270682007191,,,,,,,,,,,,,,,,20095,KINGMAN
136976,151533,2009500112300001001,37677.698497556746588,,,,,,,,33300.000000000000000,,,,,,,,20095,KINGMAN
136981,151599,2009500028510004001,135967.366542091360316,24300.000000000000000,3600.000000000000000,20700.000000000000000,2700.000000000000000,2700.000000000000000,,4500.000000000000000,3600.000000000000000,,,,,,,,20095,KINGMAN
136982,151600,2009500016700001001,305330.237386081309523,4500.000000000000000,,,,,,,,,,,,,,,20095,KINGMAN
136983,151601,2009500010780017001,22709.015314743428462,,,,,,,,,,,,,,,,20095,KINGMAN
136984,151602,2009500096060003001,93350.017611235118238,,,,,62100.000000000000000,15300.000000000000000,,,,,,,,21952.000000000000000,,20095,KINGMAN
136985,151603,2009500006210002001,20518.180324748438579,,,,,,,,,,,,,,,,20095,KINGMAN
136986,151604,2009500000220002001,13786.791031008231585,,,,,,,,,,,,,,,,20095,KINGMAN
136987,151605,2009500015860001001,33307.998611080969567,,,,,,,,,,,,,,,,20095,KINGMAN
136988,151607,2009500091260008001,23409.994493217291165,,,,,,,,,,,,,,,,20095,KINGMAN
136989,151608,2009500010090003001,185092.386342615733156,2700.000000000000000,,,,,,,,,,,,,,3136.000000000000000,20095,KINGMAN
136990,151609,2009500029080001001,114083.054903288182686,,,,,,,,,,,,,,,,20095,KINGMAN
136991,151610,2009500011730002001,305291.363461296365131,900.000000000000000,900.000000000000000,5400.000000000000000,2700.000000000000000,900.000000000000000,,,4500.000000000000000,,900.000000000000000,,,,,,20095,KINGMAN
136992,151611,2009500095880003001,33548.597243434036500,2700.000000000000000,900.000000000000000,,,,,,900.000000000000000,,,,,,,,20095,KINGMAN
136993,151612,2009500030380001001,18204.979777437700250,,,,,,,,,,,,,,,,20095,KINGMAN
136994,151613,2009500022140001001,243851.195216596213868,,,,,,,,,,,,,,,,20095,KINGMAN
136995,151614,2009500022070008001,4363.643418897557240,,,,,,,,,,,,,,,,20095,KINGMAN
136996,151616,2009500091420001001,120881.502431839981000,,,,,,,,,,,,,,,,20095,KINGMAN
136997,151617,2009500017870003001,53245.494638966141792,,,,,900.000000000000000,,3600.000000000000000,,,,,,,,,20095,KINGMAN
136998,151618,2009500101850001001,168634.074409320659470,,6300.000000000000000,,54000.000000000000000,,8100.000000000000000,,1800.000000000000000,900.000000000000000,,,,12600.000000000000000,,,20095,KINGMAN
136999,151619,2009500029160001001,161266.773527116485639,,,,,,,,,,,900.000000000000000,,900.000000000000000,,,20095,KINGMAN
137000,151620,2009500098810002001,40962.929828188076499,,1800.000000000000000,,,,,,,,,900.000000000000000,,,,,20095,KINGMAN
137001,151621,2009500105360001001,54145.682198093250918,,,,,,,,,,,,,,,,20095,KINGMAN
137002,151622,2009500108870001001,60487.434057690879854,,,,,,,,,,,,,,,,20095,KINGMAN
137003,151623,2009500019330001001,247546.413111311063403,,,,,,,,,,,,,,,,20095,KINGMAN
137004,151624,2009500017790008001,117937.753004660684383,,,,,,,,,,,,,,,,20095,KINGMAN
