,UID,SCTFS,Shape_Area,AREA_2020,AREA_2019,AREA_2018,AREA_2017,AREA_2016,AREA_2015,AREA_2014,AREA_2013,AREA_2012,AREA_2011,AREA_2010,AREA_2009,AREA_2008,AREA_2007,AREA_2006,FIPSSTCO,County
55562,61983,2012702001760002001,126478.405213983001886,,110700.000000000000000,2700.000000000000000,110700.000000000000000,1800.000000000000000,,1800.000000000000000,900.000000000000000,1800.000000000000000,,,9000.000000000000000,,,6272.000000000000000,20127,MORRIS
55697,62123,2012702001750005001,62455.162507808003284,900.000000000000000,4500.000000000000000,1800.000000000000000,,1800.000000000000000,,1800.000000000000000,,,,,900.000000000000000,1800.000000000000000,,,20127,MORRIS
55721,62149,2012702001750005002,96817.632180035769125,,3600.000000000000000,1800.000000000000000,,,,,,,,,1800.000000000000000,,,15680.000000000000000,20127,MORRIS
56050,62493,2012702001760008001,352263.376420387183316,900.000000000000000,340200.000000000000000,5400.000000000000000,326700.000000000000000,900.000000000000000,,900.000000000000000,1800.000000000000000,93600.000000000000000,,,900.000000000000000,,,6272.000000000000000,20127,MORRIS
56148,62594,2012702001760012001,39832.437831884846673,,32400.000000000000000,,26100.000000000000000,,26100.000000000000000,,,,,,,1800.000000000000000,,,20127,MORRIS
56446,62904,2012702001760004001,96325.824039118670044,,89100.000000000000000,1800.000000000000000,82800.000000000000000,,82800.000000000000000,,,,,,,1800.000000000000000,3136.000000000000000,,20127,MORRIS
56507,62967,2012702001760010001,105985.579220266328775,,96300.000000000000000,,88200.000000000000000,,88200.000000000000000,,,,,,,2700.000000000000000,,,20127,MORRIS
56963,63722,2012702001760006001,61758.901069663414091,40500.000000000000000,47700.000000000000000,46800.000000000000000,,,,,,,,900.000000000000000,900.000000000000000,900.000000000000000,,3136.000000000000000,20127,MORRIS
57418,64202,2012700026180003001,12501.161204277812431,,10800.000000000000000,900.000000000000000,9000.000000000000000,,,,,900.000000000000000,,,6300.000000000000000,,,3136.000000000000000,20127,MORRIS
57534,64321,2012702001710002001,61253.251223045757797,,45900.000000000000000,,36900.000000000000000,,37800.000000000000000,,,,,,,,,,20127,MORRIS
57784,64581,2012702001720003001,264093.650750540546142,225000.000000000000000,4500.000000000000000,205200.000000000000000,,,170100.000000000000000,900.000000000000000,,,1800.000000000000000,14400.000000000000000,5400.000000000000000,,,3136.000000000000000,20127,MORRIS
