,UID,SCTFS,Shape_Area,AREA_2020,AREA_2019,AREA_2018,AREA_2017,AREA_2016,AREA_2015,AREA_2014,AREA_2013,AREA_2012,AREA_2011,AREA_2010,AREA_2009,AREA_2008,AREA_2007,AREA_2006,FIPSSTCO,County
103400,115012, 00 00028900033001,16960.345333929108165,,,,,,,,,,,,,,,, 00 0,OTHER (COMBINED) COUNTIES
104194,115883, 00 00028900040001,23253.112633639335399,,,900.000000000000000,,,,,,,,,,,,, 00 0,OTHER (COMBINED) COUNTIES
104251,115945, 00 00028900021001,52659.997570280436776,,,1800.000000000000000,,,,,,,,1800.000000000000000,,,,, 00 0,OTHER (COMBINED) COUNTIES
104397,116109, 00 00028900041001,16714.517655536772509,1800.000000000000000,900.000000000000000,,,,,,,,,,,,,, 00 0,OTHER (COMBINED) COUNTIES
104720,116454, 00 00028900031001,15390.890360123119535,,,900.000000000000000,,,,,,,,,,,,, 00 0,OTHER (COMBINED) COUNTIES
164736,181791,2020902010380003001,10975.155969965486292,6300.000000000000000,,,6300.000000000000000,,4500.000000000000000,,,,1800.000000000000000,,,2700.000000000000000,,,20209,OTHER (COMBINED) COUNTIES
165052,182170,2020902010370001001,45817.376745025569107,13500.000000000000000,,1800.000000000000000,,,33300.000000000000000,900.000000000000000,,,,24300.000000000000000,,22500.000000000000000,3136.000000000000000,25088.000000000000000,20209,OTHER (COMBINED) COUNTIES
167380,184976,2020902010350001001,182580.939893852424575,18900.000000000000000,38700.000000000000000,900.000000000000000,900.000000000000000,5400.000000000000000,159300.000000000000000,900.000000000000000,1800.000000000000000,,2700.000000000000000,2700.000000000000000,2700.000000000000000,3600.000000000000000,,112896.000000000000000,20209,OTHER (COMBINED) COUNTIES
275635,305658, 00 00008060009001,9295.883245544420788,,7200.000000000000000,,6300.000000000000000,,6300.000000000000000,,,6300.000000000000000,,6300.000000000000000,900.000000000000000,6300.000000000000000,,, 00 0,OTHER (COMBINED) COUNTIES
275667,305695, 00 00008060013001,7109.835292793142798,9000.000000000000000,,9000.000000000000000,,9000.000000000000000,,9000.000000000000000,,9000.000000000000000,,8100.000000000000000,,9000.000000000000000,,, 00 0,OTHER (COMBINED) COUNTIES
277039,307252, 00 00008060005001,7385.639620943897171,3600.000000000000000,,1800.000000000000000,,900.000000000000000,,900.000000000000000,,900.000000000000000,,,,,,, 00 0,OTHER (COMBINED) COUNTIES
277460,307711, 00 00008060013003,368767.065460399957374,358200.000000000000000,3600.000000000000000,363600.000000000000000,,361800.000000000000000,900.000000000000000,350100.000000000000000,2700.000000000000000,356400.000000000000000,,311400.000000000000000,135900.000000000000000,197100.000000000000000,116032.000000000000000,, 00 0,OTHER (COMBINED) COUNTIES
277646,307918, 00 00008060013004,7232.508269833950180,6300.000000000000000,,6300.000000000000000,,6300.000000000000000,,6300.000000000000000,,6300.000000000000000,,6300.000000000000000,,6300.000000000000000,,, 00 0,OTHER (COMBINED) COUNTIES
277695,307977, 00 00008060014001,49105.988451970522874,42300.000000000000000,2700.000000000000000,40500.000000000000000,,40500.000000000000000,1800.000000000000000,37800.000000000000000,4500.000000000000000,36000.000000000000000,2700.000000000000000,36900.000000000000000,,38700.000000000000000,,6272.000000000000000, 00 0,OTHER (COMBINED) COUNTIES
277700,307982, 00 00008060004001,18664.359104321847553,18000.000000000000000,,18000.000000000000000,,18000.000000000000000,,16200.000000000000000,,18000.000000000000000,,7200.000000000000000,12600.000000000000000,,12544.000000000000000,, 00 0,OTHER (COMBINED) COUNTIES
278040,308365, 00 00008060002001,23842.792199586605420,23400.000000000000000,,23400.000000000000000,,23400.000000000000000,,22500.000000000000000,1800.000000000000000,22500.000000000000000,,6300.000000000000000,,,,, 00 0,OTHER (COMBINED) COUNTIES
278179,308520, 00 00008060013005,192493.862419142882572,188100.000000000000000,1800.000000000000000,185400.000000000000000,,184500.000000000000000,900.000000000000000,167400.000000000000000,1800.000000000000000,184500.000000000000000,,152100.000000000000000,84600.000000000000000,,50176.000000000000000,, 00 0,OTHER (COMBINED) COUNTIES
279409,309875, 00 00008060011001,83609.073728516465053,75600.000000000000000,2700.000000000000000,72000.000000000000000,,70200.000000000000000,,58500.000000000000000,,62100.000000000000000,2700.000000000000000,64800.000000000000000,900.000000000000000,63000.000000000000000,,, 00 0,OTHER (COMBINED) COUNTIES
381162,419752,2020900004720009001,16572.495006331308105,,8100.000000000000000,,6300.000000000000000,900.000000000000000,5400.000000000000000,,11700.000000000000000,,3600.000000000000000,,7200.000000000000000,,9408.000000000000000,,20209,OTHER (COMBINED) COUNTIES
381163,419754,2020900000600005001,14601.830226429534378,,,,,,900.000000000000000,,,,,,,,,,20209,OTHER (COMBINED) COUNTIES
381164,419755,2020900006120001001,187637.945360276906285,14400.000000000000000,4500.000000000000000,174600.000000000000000,3600.000000000000000,180900.000000000000000,900.000000000000000,177300.000000000000000,36900.000000000000000,168300.000000000000000,115200.000000000000000,7200.000000000000000,169200.000000000000000,,,,20209,OTHER (COMBINED) COUNTIES
381165,419756,2020900000100003001,120036.519404971055337,,,,,,,41400.000000000000000,34200.000000000000000,7200.000000000000000,47700.000000000000000,4500.000000000000000,,900.000000000000000,75264.000000000000000,,20209,OTHER (COMBINED) COUNTIES
381166,419757,2020900005320001001,12649.645375387619424,,,900.000000000000000,,,,,1800.000000000000000,8100.000000000000000,1800.000000000000000,900.000000000000000,8100.000000000000000,900.000000000000000,,,20209,OTHER (COMBINED) COUNTIES
381167,419758,2020900001820004001,27730.769059729340370,,1800.000000000000000,1800.000000000000000,900.000000000000000,,,,2700.000000000000000,,,2700.000000000000000,15300.000000000000000,,,,20209,OTHER (COMBINED) COUNTIES
381168,419759,2020900001210002001,59648.246570084316772,,,,,41400.000000000000000,,,,,,2700.000000000000000,45000.000000000000000,,,40768.000000000000000,20209,OTHER (COMBINED) COUNTIES
381169,419760,2020900007330001001,112733.912687150266720,13500.000000000000000,10800.000000000000000,,900.000000000000000,2700.000000000000000,45000.000000000000000,900.000000000000000,38700.000000000000000,,5400.000000000000000,,,,9408.000000000000000,,20209,OTHER (COMBINED) COUNTIES
381170,419762,2020900001730001001,203876.768238093092805,2700.000000000000000,900.000000000000000,189900.000000000000000,900.000000000000000,186300.000000000000000,3600.000000000000000,8100.000000000000000,187200.000000000000000,3600.000000000000000,174600.000000000000000,5400.000000000000000,185400.000000000000000,9000.000000000000000,178752.000000000000000,,20209,OTHER (COMBINED) COUNTIES
381171,419763,2020900007330005001,149772.449897882353980,7200.000000000000000,10800.000000000000000,1800.000000000000000,900.000000000000000,,9900.000000000000000,,9900.000000000000000,900.000000000000000,,,,900.000000000000000,18816.000000000000000,,20209,OTHER (COMBINED) COUNTIES
381172,419764,2020900000790006001,8645.369801197475681,10800.000000000000000,,10800.000000000000000,,10800.000000000000000,,10800.000000000000000,,,6300.000000000000000,,10800.000000000000000,,,,20209,OTHER (COMBINED) COUNTIES
