,UID,SCTFS,Shape_Area,AREA_2020,AREA_2019,AREA_2018,AREA_2017,AREA_2016,AREA_2015,AREA_2014,AREA_2013,AREA_2012,AREA_2011,AREA_2010,AREA_2009,AREA_2008,AREA_2007,AREA_2006,FIPSSTCO,County
30191,33333,2014300042280019001,8943.190224352745645,,,,,,,,,,,,,,,,20143,OTTAWA
30249,33395,2014302002920003001,145773.772003032208886,,900.000000000000000,,,,,,,,,,,,,,20143,OTTAWA
30404,33576,2014300042280002001,23763.835410600608157,,900.000000000000000,,,,,,,,900.000000000000000,,,,,,20143,OTTAWA
30417,33589,2014320029190002001,56915.493635581689887,3600.000000000000000,,,3600.000000000000000,,,,,,,4500.000000000000000,,,,,20143,OTTAWA
30420,33592,2014320029160012001,44858.580248370177287,,,,,,,,,,,,,,,,20143,OTTAWA
30440,33615,2014320029190004001,13283.218327118549496,,,,,,,,,,,,,,,,20143,OTTAWA
30454,33631,2014320029760001001,59140.108394437520474,,1800.000000000000000,,,,,,,,,,,,,,20143,OTTAWA
30465,33642,2014320029220001001,20497.407051686779596,,,,900.000000000000000,,,,,,,,,,,,20143,OTTAWA
30508,33692,2014320029130013001,6344.170225011008370,,,,,,,,,,,,,,,,20143,OTTAWA
30517,33704,2014320029140001001,272982.314781159046106,,,,,,,,,,900.000000000000000,,,,,,20143,OTTAWA
30524,33713,2014320029430001001,320104.861370783357415,,900.000000000000000,,,,,,,,,,,,,,20143,OTTAWA
30556,33750,2014320029720001001,176831.434436621231725,,170100.000000000000000,,,,,,,44100.000000000000000,,,,,,,20143,OTTAWA
30561,33755,2014320029350005001,12067.789061738729288,,,,,,,,,,,,,,,,20143,OTTAWA
30604,33805,2014320029220001002,66533.508498529408826,900.000000000000000,1800.000000000000000,,,,,,,,1800.000000000000000,900.000000000000000,900.000000000000000,,,,20143,OTTAWA
30607,33808,2014320029460003001,368555.493880020105280,,3600.000000000000000,,8100.000000000000000,900.000000000000000,,,3600.000000000000000,,900.000000000000000,,,,,,20143,OTTAWA
30727,33944,2014320029250005001,24513.369196618234128,,,,,,,,,,,,,,,,20143,OTTAWA
30856,34099,2014302002950010001,6341.319561629253258,,900.000000000000000,,,,,,,,,,,,,,20143,OTTAWA
30950,34207,2014320029260004001,46249.699280877932324,,27000.000000000000000,3600.000000000000000,,,,,,,,,,,,,20143,OTTAWA
30952,34209,2014320029720011001,159999.041012637957465,,,,,,,,,,,1800.000000000000000,,,,,20143,OTTAWA
30976,34234,2014320029130002001,97872.886880136284162,900.000000000000000,,,,3600.000000000000000,,,,,,900.000000000000000,,,,,20143,OTTAWA
30996,34258,2014320029710009001,8685.380277653697703,,,,,,,,,,,,,,,,20143,OTTAWA
31040,34308,2014320029160006001,5606.048108352993040,,,,,,,,,,,900.000000000000000,,,,,20143,OTTAWA
31059,34327,2014302002950009001,326675.465589493338484,20700.000000000000000,4500.000000000000000,,,,,,2700.000000000000000,,,,,,,31360.000000000000000,20143,OTTAWA
31128,34400,2014320029690007001,33228.486941067036241,,,,,,,,,,,,,,,,20143,OTTAWA
31144,34418,2014320029370002001,253126.468514819309348,,,,,,,,,,,,900.000000000000000,,,,20143,OTTAWA
31181,34462,2014320029530001001,397890.729308239941020,900.000000000000000,,,,2700.000000000000000,,1800.000000000000000,900.000000000000000,,,,,,,,20143,OTTAWA
31250,34542,2014320029750007001,32234.186099095997633,2700.000000000000000,2700.000000000000000,,,1800.000000000000000,,,1800.000000000000000,,,,,,,,20143,OTTAWA
31265,34558,2014320029130024001,20276.286946400134184,,,,,,,,,,,,,,,,20143,OTTAWA
31363,34669,2014320029540004001,58750.396315866892110,900.000000000000000,,,,,,,,,3600.000000000000000,,,,3136.000000000000000,,20143,OTTAWA
31393,34701,2014320029220009001,256187.120471560454462,900.000000000000000,245700.000000000000000,900.000000000000000,,,,,,,,900.000000000000000,,,,,20143,OTTAWA
31411,34723,2014320029670001001,188106.699790530779865,,1800.000000000000000,,,,,,,,,,,,,,20143,OTTAWA
31449,34766,2014320029230004001,11453.231406871576837,,,,,,,,,,,,,,,,20143,OTTAWA
31453,34771,2014320029440003002,14473.091948539460645,,,,,,,,,,,,,,,,20143,OTTAWA
31587,34918,2014320029750001001,138095.329224254732253,900.000000000000000,,,,19800.000000000000000,,,,,,,,,,,20143,OTTAWA
31672,35022,2014320029220017001,101466.767218431152287,,,,900.000000000000000,,,,,,,,900.000000000000000,,,,20143,OTTAWA
31703,35059,2014320029180001001,19412.510439564754051,,,,,,,,,,,,,,,,20143,OTTAWA
31710,35068,2014320029260006001,5175.294269618735598,,900.000000000000000,,,,,,,,,,,,,,20143,OTTAWA
31721,35083,2014320029510001001,84331.340099684617599,,,,1800.000000000000000,,,,,,,,900.000000000000000,,,,20143,OTTAWA
31815,35189,2014320029200001001,6603.168562110222410,900.000000000000000,3600.000000000000000,,5400.000000000000000,,,,,,,,,,,,20143,OTTAWA
31826,35201,2014320029220001003,54802.157538541083341,,900.000000000000000,,,,1800.000000000000000,,,,,,,,,,20143,OTTAWA
31843,35224,2014320029260004002,44435.988351728679845,,900.000000000000000,,,,,,,,,6300.000000000000000,,,,,20143,OTTAWA
31905,35298,2014320029220001004,15212.184324105584892,,,,,,,,,,,,,,,,20143,OTTAWA
31919,35315,2014320029450002001,4458.440497048281031,,,,,,,,,,,,,,,,20143,OTTAWA
31954,35357,2014320029110004001,28411.625524233808392,,900.000000000000000,,14400.000000000000000,,,,9900.000000000000000,,26100.000000000000000,900.000000000000000,14400.000000000000000,16200.000000000000000,,6272.000000000000000,20143,OTTAWA
31980,35386,2014320029250007001,6462.410255414314634,,,,,,,,,,,,,,,,20143,OTTAWA
32021,35436,2014320029280006001,107539.763306732755154,,,,,,,,,,,,,,,,20143,OTTAWA
32224,35673,2014300042280014001,272462.070890149858315,900.000000000000000,4500.000000000000000,1800.000000000000000,,,,,,6300.000000000000000,1800.000000000000000,,1800.000000000000000,,,,20143,OTTAWA
32234,35684,2014320029350004001,69144.650015294013429,1800.000000000000000,,,,,,,,900.000000000000000,,2700.000000000000000,45000.000000000000000,,9408.000000000000000,,20143,OTTAWA
32295,35759,2014320029710003001,14533.540977375922012,,,,,,,,,,,,,,,,20143,OTTAWA
32322,35792,2014320029360002001,194748.805029788054526,13500.000000000000000,900.000000000000000,3600.000000000000000,900.000000000000000,,,,,,,,,,,,20143,OTTAWA
32332,35802,2014302002980001001,391016.472461264987942,1800.000000000000000,,900.000000000000000,10800.000000000000000,,,,900.000000000000000,18000.000000000000000,,,,900.000000000000000,,,20143,OTTAWA
32438,35925,2014320029190005001,21326.505309774594934,1800.000000000000000,1800.000000000000000,,,,,,,,,,,,,,20143,OTTAWA
32462,35952,2014320029740002001,6863.628434199144976,5400.000000000000000,900.000000000000000,,,,,,,3600.000000000000000,,,,,,,20143,OTTAWA
