,UID,SCTFS,Shape_Area,AREA_2020,AREA_2019,AREA_2018,AREA_2017,AREA_2016,AREA_2015,AREA_2014,AREA_2013,AREA_2012,AREA_2011,AREA_2010,AREA_2009,AREA_2008,AREA_2007,AREA_2006,FIPSSTCO,County
13818,16200,2014520009150003001,288594.012008852616418,16200.000000000000000,,,134100.000000000000000,85500.000000000000000,27000.000000000000000,4500.000000000000000,2700.000000000000000,,,20700.000000000000000,,,,,20145,PAWNEE
13850,16232,2014520009360001001,483239.518066122720484,332100.000000000000000,81900.000000000000000,231300.000000000000000,900.000000000000000,9000.000000000000000,224100.000000000000000,60300.000000000000000,227700.000000000000000,475200.000000000000000,456300.000000000000000,486000.000000000000000,351000.000000000000000,900.000000000000000,15680.000000000000000,,20145,PAWNEE
14411,16805,2014520009170001001,68353.037024514458608,,,,,,,,,,,,9900.000000000000000,3600.000000000000000,,,20145,PAWNEE
14450,16845,2014520009320002001,28022.601813384713751,,900.000000000000000,,,,,,,1800.000000000000000,,12600.000000000000000,,,,12544.000000000000000,20145,PAWNEE
14516,16912,2014520009170001002,94933.386957087815972,,,900.000000000000000,,,,,,,900.000000000000000,,,900.000000000000000,,,20145,PAWNEE
14600,16996,2014520009220001001,27596.550994150067709,14400.000000000000000,16200.000000000000000,,11700.000000000000000,,,1800.000000000000000,900.000000000000000,13500.000000000000000,1800.000000000000000,,9000.000000000000000,900.000000000000000,,6272.000000000000000,20145,PAWNEE
14648,17047,2014520009240001001,23874.821960105171456,3600.000000000000000,10800.000000000000000,23400.000000000000000,1800.000000000000000,,5400.000000000000000,1800.000000000000000,2700.000000000000000,2700.000000000000000,6300.000000000000000,7200.000000000000000,,4500.000000000000000,12544.000000000000000,31360.000000000000000,20145,PAWNEE
14755,17157,2014520009160003001,25258.706735160398239,,,,,,,,,,,,,900.000000000000000,,,20145,PAWNEE
14764,17166,2014520009190002001,486190.909449063707143,,,,,,,,,,,,,,,,20145,PAWNEE
14783,17185,2014520009120001001,158783.509574682422681,153900.000000000000000,900.000000000000000,,153900.000000000000000,,900.000000000000000,4500.000000000000000,,,,,,,,,20145,PAWNEE
14881,17284,2014500230590001001,147117.442348097334616,,24300.000000000000000,,,,,900.000000000000000,,900.000000000000000,,,,,,,20145,PAWNEE
14893,17296,2014520009230001001,324766.224670543102548,,,,900.000000000000000,,,900.000000000000000,,,,200700.000000000000000,139500.000000000000000,5400.000000000000000,,,20145,PAWNEE
14904,17308,2014520009240001002,21047.898824065516237,900.000000000000000,12600.000000000000000,24300.000000000000000,,4500.000000000000000,4500.000000000000000,1800.000000000000000,4500.000000000000000,,4500.000000000000000,2700.000000000000000,,900.000000000000000,,12544.000000000000000,20145,PAWNEE
15289,17702,2014520009260001001,68679.831176256921026,36900.000000000000000,10800.000000000000000,23400.000000000000000,26100.000000000000000,49500.000000000000000,,9900.000000000000000,,,6300.000000000000000,,29700.000000000000000,,,6272.000000000000000,20145,PAWNEE
15436,17851,2014520009270001001,31149.377687296895601,1800.000000000000000,4500.000000000000000,,900.000000000000000,6300.000000000000000,2700.000000000000000,,900.000000000000000,,,,1800.000000000000000,3600.000000000000000,,,20145,PAWNEE
15460,17875,2014520185310001001,25910.493684522276453,,,,,,,,,,,,9000.000000000000000,,,,20145,PAWNEE
15624,18042,2014502000930001001,371324.441463936003856,,,,,,,,,,,,,,,,20145,PAWNEE
15639,18058,2014500230780001002,283718.337779737950768,9900.000000000000000,,,,,,,,,,,,,,,20145,PAWNEE
15705,18125,2014520009340001001,22832.115557226090459,19800.000000000000000,18000.000000000000000,19800.000000000000000,,,,,,,4500.000000000000000,18900.000000000000000,19800.000000000000000,,,,20145,PAWNEE
15744,18164,2014520009220001003,26720.221372158779559,6300.000000000000000,10800.000000000000000,6300.000000000000000,18900.000000000000000,3600.000000000000000,3600.000000000000000,2700.000000000000000,15300.000000000000000,10800.000000000000000,24300.000000000000000,,900.000000000000000,,,,20145,PAWNEE
16197,18632,2014520009250001001,24680.952568372631504,2700.000000000000000,5400.000000000000000,24300.000000000000000,2700.000000000000000,,5400.000000000000000,900.000000000000000,4500.000000000000000,,3600.000000000000000,3600.000000000000000,8100.000000000000000,,,34496.000000000000000,20145,PAWNEE
16209,18644,2014520009340001002,525831.146598587860353,517500.000000000000000,513000.000000000000000,512100.000000000000000,,497700.000000000000000,499500.000000000000000,900.000000000000000,1800.000000000000000,,6300.000000000000000,503100.000000000000000,514800.000000000000000,,,451584.000000000000000,20145,PAWNEE
16211,18646,2014502000910002001,282896.158513845584821,,900.000000000000000,,,,,,900.000000000000000,,,,,,,,20145,PAWNEE
16260,18695,2014520009160002001,355540.064481854788028,,,,,,,,,,,,,9900.000000000000000,,,20145,PAWNEE
16278,18714,2014520009350001001,97448.239596969840932,900.000000000000000,1800.000000000000000,5400.000000000000000,2700.000000000000000,,,,12600.000000000000000,,36000.000000000000000,,88200.000000000000000,10800.000000000000000,,,20145,PAWNEE
16412,18882,2014520009130001001,316581.565606043790467,1800.000000000000000,,,14400.000000000000000,900.000000000000000,,,900.000000000000000,,1800.000000000000000,268200.000000000000000,,,15680.000000000000000,,20145,PAWNEE
16655,19130,2014502000950001001,30066.014186384869390,,,,,,,,,,,2700.000000000000000,,,,,20145,PAWNEE
16764,19241,2014520009260001002,479433.876424294721801,40500.000000000000000,461700.000000000000000,9000.000000000000000,,471600.000000000000000,16200.000000000000000,440100.000000000000000,,,,,459000.000000000000000,,,404544.000000000000000,20145,PAWNEE
