,UID,SCTFS,Shape_Area,AREA_2020,AREA_2019,AREA_2018,AREA_2017,AREA_2016,AREA_2015,AREA_2014,AREA_2013,AREA_2012,AREA_2011,AREA_2010,AREA_2009,AREA_2008,AREA_2007,AREA_2006,FIPSSTCO,County
198734,220351,2014920117010010001,11273.378825084650089,,,,4500.000000000000000,,5400.000000000000000,9900.000000000000000,1800.000000000000000,,6300.000000000000000,,,,,,20149,POTTAWATOMIE
198958,220612,2014920117120018001,32652.814044788414321,20700.000000000000000,,,,23400.000000000000000,5400.000000000000000,,1800.000000000000000,23400.000000000000000,2700.000000000000000,,25200.000000000000000,,3136.000000000000000,,20149,POTTAWATOMIE
199092,220766,2014920117140005001,236877.322882970620412,1800.000000000000000,219600.000000000000000,,219600.000000000000000,,,,7200.000000000000000,900.000000000000000,,1800.000000000000000,3600.000000000000000,,,,20149,POTTAWATOMIE
200021,222019,2014920117050008001,64912.008747228166612,49500.000000000000000,,,47700.000000000000000,,900.000000000000000,44100.000000000000000,,2700.000000000000000,,13500.000000000000000,,900.000000000000000,,,20149,POTTAWATOMIE
200125,222128,2014920117010012001,82114.874899799135164,70200.000000000000000,,69300.000000000000000,,900.000000000000000,58500.000000000000000,,,69300.000000000000000,,18900.000000000000000,56700.000000000000000,,,50176.000000000000000,20149,POTTAWATOMIE
200132,222136,2014920117110004001,44802.711462196006323,,37800.000000000000000,,36900.000000000000000,,36900.000000000000000,,36000.000000000000000,,37800.000000000000000,,34200.000000000000000,,21952.000000000000000,,20149,POTTAWATOMIE
200799,222877,2014920117140002001,13083.733701169159758,,9000.000000000000000,,9000.000000000000000,,,,,,,,900.000000000000000,,,,20149,POTTAWATOMIE
201138,223258,2014900047330003001,4745.909285522494429,,1800.000000000000000,,,,,,900.000000000000000,,900.000000000000000,,,,,,20149,POTTAWATOMIE
201161,223281,2014920117120006001,42910.864140879079059,18900.000000000000000,,,44100.000000000000000,14400.000000000000000,30600.000000000000000,,,14400.000000000000000,,1800.000000000000000,6300.000000000000000,,6272.000000000000000,,20149,POTTAWATOMIE
201379,223520,2014920117010013001,32030.622925601513998,14400.000000000000000,900.000000000000000,12600.000000000000000,,900.000000000000000,7200.000000000000000,,4500.000000000000000,,,3600.000000000000000,3600.000000000000000,,,,20149,POTTAWATOMIE
201452,223601,2014920117010008001,58238.595448611675238,44100.000000000000000,,44100.000000000000000,,3600.000000000000000,,1800.000000000000000,25200.000000000000000,,,,23400.000000000000000,,,,20149,POTTAWATOMIE
202418,224680,2014920117160001001,99975.512101385378628,97200.000000000000000,,86400.000000000000000,,97200.000000000000000,,90000.000000000000000,,97200.000000000000000,,81900.000000000000000,,85500.000000000000000,,,20149,POTTAWATOMIE
202497,224766,2014920117110006001,512165.166412812715862,,492300.000000000000000,,491400.000000000000000,,480600.000000000000000,,484200.000000000000000,,473400.000000000000000,900.000000000000000,457200.000000000000000,,432768.000000000000000,,20149,POTTAWATOMIE
202731,225039,2014920117170004001,339409.314018773904536,7200.000000000000000,,138600.000000000000000,,135900.000000000000000,,111600.000000000000000,27000.000000000000000,90900.000000000000000,78300.000000000000000,122400.000000000000000,90000.000000000000000,76500.000000000000000,134848.000000000000000,,20149,POTTAWATOMIE
202809,225128,2014920117030002001,51059.379979771139915,1800.000000000000000,,2700.000000000000000,37800.000000000000000,1800.000000000000000,7200.000000000000000,900.000000000000000,33300.000000000000000,,1800.000000000000000,1800.000000000000000,36900.000000000000000,3600.000000000000000,,31360.000000000000000,20149,POTTAWATOMIE
202901,225231,2014920117160002001,43843.724936900136527,45000.000000000000000,3600.000000000000000,36000.000000000000000,,38700.000000000000000,,33300.000000000000000,900.000000000000000,45900.000000000000000,,41400.000000000000000,,36000.000000000000000,,,20149,POTTAWATOMIE
202908,225238,2014920117010004001,87926.196406359042157,61200.000000000000000,,9000.000000000000000,,53100.000000000000000,10800.000000000000000,,12600.000000000000000,27000.000000000000000,18900.000000000000000,13500.000000000000000,18900.000000000000000,,,3136.000000000000000,20149,POTTAWATOMIE
203313,225691,2014920117120010001,31648.049863139858644,9000.000000000000000,,3600.000000000000000,18900.000000000000000,10800.000000000000000,6300.000000000000000,,22500.000000000000000,900.000000000000000,,6300.000000000000000,900.000000000000000,,,,20149,POTTAWATOMIE
203882,226362,2014920117070003001,192123.857254080736311,900.000000000000000,176400.000000000000000,3600.000000000000000,170100.000000000000000,,175500.000000000000000,,154800.000000000000000,158400.000000000000000,,900.000000000000000,7200.000000000000000,,,,20149,POTTAWATOMIE
204124,226630,2014900047330002001,4995.065097463269922,,,,,,,,,,,,,,,,20149,POTTAWATOMIE
204214,226732,2014920117020002001,45186.263092676541419,,,,,,900.000000000000000,27900.000000000000000,1800.000000000000000,30600.000000000000000,1800.000000000000000,28800.000000000000000,,,12544.000000000000000,,20149,POTTAWATOMIE
205005,227625,2014920117120015001,54600.337266868220468,1800.000000000000000,1800.000000000000000,46800.000000000000000,52200.000000000000000,,18000.000000000000000,,49500.000000000000000,,900.000000000000000,27900.000000000000000,,,,,20149,POTTAWATOMIE
205466,228150,2014920117010002001,33469.938134855881799,900.000000000000000,,900.000000000000000,18000.000000000000000,900.000000000000000,9900.000000000000000,,14400.000000000000000,,900.000000000000000,3600.000000000000000,19800.000000000000000,1800.000000000000000,,9408.000000000000000,20149,POTTAWATOMIE
205934,228671,2014920117120017001,15066.783839777523099,10800.000000000000000,900.000000000000000,,,11700.000000000000000,,,1800.000000000000000,12600.000000000000000,3600.000000000000000,,9900.000000000000000,,,,20149,POTTAWATOMIE
205974,228724,2014920117120007001,35736.856414142246649,7200.000000000000000,,,31500.000000000000000,,22500.000000000000000,,,9900.000000000000000,,9900.000000000000000,9900.000000000000000,,,,20149,POTTAWATOMIE
206016,228772,2014920117120002001,62097.145381970236485,44100.000000000000000,,46800.000000000000000,41400.000000000000000,28800.000000000000000,32400.000000000000000,7200.000000000000000,45900.000000000000000,,5400.000000000000000,,4500.000000000000000,,,,20149,POTTAWATOMIE
206160,228936,2014920117010011001,12462.066527876533655,,,,900.000000000000000,900.000000000000000,5400.000000000000000,6300.000000000000000,,,5400.000000000000000,,,,,,20149,POTTAWATOMIE
206327,229133,2014920117050002001,5563.965762277912290,2700.000000000000000,,,900.000000000000000,,,900.000000000000000,,,,,,,,,20149,POTTAWATOMIE
206350,229160,2014920117120005001,20032.267194783180457,16200.000000000000000,,17100.000000000000000,900.000000000000000,13500.000000000000000,11700.000000000000000,,16200.000000000000000,,1800.000000000000000,2700.000000000000000,20700.000000000000000,,,,20149,POTTAWATOMIE
206842,229702,2014920117170007001,43076.952179793675896,,35100.000000000000000,,31500.000000000000000,,,23400.000000000000000,900.000000000000000,32400.000000000000000,31500.000000000000000,,34200.000000000000000,,18816.000000000000000,3136.000000000000000,20149,POTTAWATOMIE
206884,229749,2014920117050002002,6775.965263135070018,,,,,,,,,,,,,,,,20149,POTTAWATOMIE
206966,229840,2014920117010007001,85638.879918071557768,,,1800.000000000000000,8100.000000000000000,900.000000000000000,45900.000000000000000,57600.000000000000000,2700.000000000000000,,70200.000000000000000,13500.000000000000000,900.000000000000000,,,,20149,POTTAWATOMIE
207136,230023,2014920117050002003,34434.963635214597161,30600.000000000000000,,,29700.000000000000000,,900.000000000000000,27000.000000000000000,,10800.000000000000000,,4500.000000000000000,,,,,20149,POTTAWATOMIE
