,UID,SCTFS,Shape_Area,AREA_2020,AREA_2019,AREA_2018,AREA_2017,AREA_2016,AREA_2015,AREA_2014,AREA_2013,AREA_2012,AREA_2011,AREA_2010,AREA_2009,AREA_2008,AREA_2007,AREA_2006,FIPSSTCO,County
849071,996668,2017300036460004001,192704.189028249966213,900.000000000000000,900.000000000000000,,,,,,,,6300.000000000000000,2700.000000000000000,,,,,20173,SEDGWICK
849072,996669,2017300036460002001,37026.269674754090374,,,,,,,,,,900.000000000000000,,,,,,20173,SEDGWICK
849073,996670,2017300117750001001,402758.874901964270975,,407700.000000000000000,400500.000000000000000,,405900.000000000000000,399600.000000000000000,,,405000.000000000000000,1800.000000000000000,,,392400.000000000000000,,,20173,SEDGWICK
849074,996671,2017300117750002001,14256.192845130337446,,2700.000000000000000,1800.000000000000000,,1800.000000000000000,,,,2700.000000000000000,,900.000000000000000,,900.000000000000000,,,20173,SEDGWICK
849075,996672,2017300124870003001,79071.782757062042947,,76500.000000000000000,76500.000000000000000,,76500.000000000000000,76500.000000000000000,,,76500.000000000000000,1800.000000000000000,,,72000.000000000000000,,,20173,SEDGWICK
849076,996673,2017300124870004001,53295.289161890184914,,44100.000000000000000,43200.000000000000000,,39600.000000000000000,29700.000000000000000,,,45900.000000000000000,3600.000000000000000,,,900.000000000000000,,,20173,SEDGWICK
849077,996674,2017300122410003001,7052.499750224206764,,,,,,,,,,,,,,,,20173,SEDGWICK
849078,996675,2017300122410002001,8213.784190416259662,,,,,,,,,,,,,,,,20173,SEDGWICK
849079,996676,2017300040110001001,173885.681470554089174,,172800.000000000000000,,,,,,144000.000000000000000,,148500.000000000000000,,,,,,20173,SEDGWICK
849080,996677,2017300040110003001,42970.888608131157525,,,,,,,,,,900.000000000000000,,,,,,20173,SEDGWICK
849081,996678,2017300040110002001,104611.167986266707885,50400.000000000000000,900.000000000000000,86400.000000000000000,,,,,,,,,,,,,20173,SEDGWICK
849082,996679,2017300040130003001,117360.107240621582605,,,,,,,,,,,,,,,,20173,SEDGWICK
849083,996680,2017300040130002001,9572.909332964183704,4500.000000000000000,,9900.000000000000000,,,,,,,2700.000000000000000,,,,,,20173,SEDGWICK
