,UID,SCTFS,Shape_Area,AREA_2020,AREA_2019,AREA_2018,AREA_2017,AREA_2016,AREA_2015,AREA_2014,AREA_2013,AREA_2012,AREA_2011,AREA_2010,AREA_2009,AREA_2008,AREA_2007,AREA_2006,FIPSSTCO,County
105031,116803,2017902006540001001,412054.002799693087582,407700.000000000000000,405900.000000000000000,1800.000000000000000,2700.000000000000000,408600.000000000000000,,,900.000000000000000,414000.000000000000000,4500.000000000000000,16200.000000000000000,407700.000000000000000,,15680.000000000000000,,20179,SHERIDAN
105039,116811,2017920065100015001,337666.937879567558412,,,,,,,,,,,2700.000000000000000,,,,,20179,SHERIDAN
105141,116917,2017902006550001001,96870.320009429371567,,,99000.000000000000000,99000.000000000000000,,,,99000.000000000000000,,,93600.000000000000000,,,68992.000000000000000,,20179,SHERIDAN
105200,116976,2017920065270001001,26896.880058729861048,30600.000000000000000,,,,,,900.000000000000000,,25200.000000000000000,7200.000000000000000,,30600.000000000000000,,3136.000000000000000,,20179,SHERIDAN
105255,117032,2017902006560001001,627589.904808225575835,4500.000000000000000,612000.000000000000000,603900.000000000000000,603000.000000000000000,3600.000000000000000,,900.000000000000000,579600.000000000000000,1800.000000000000000,11700.000000000000000,586800.000000000000000,595800.000000000000000,6300.000000000000000,561344.000000000000000,3136.000000000000000,20179,SHERIDAN
105385,117165,2017920065170013001,484124.425993064651266,,,,,,,,,,,,,,,,20179,SHERIDAN
105411,117191,2017920065160039001,247122.539248200890142,3600.000000000000000,,1800.000000000000000,,,1800.000000000000000,,900.000000000000000,,,20700.000000000000000,3600.000000000000000,,,3136.000000000000000,20179,SHERIDAN
105417,117197,2017920065330001001,280706.739686238230206,281700.000000000000000,281700.000000000000000,,261000.000000000000000,4500.000000000000000,,1800.000000000000000,171000.000000000000000,182700.000000000000000,207000.000000000000000,34200.000000000000000,270900.000000000000000,,200704.000000000000000,,20179,SHERIDAN
105419,117199,2017920065240036001,489493.988185159338173,4500.000000000000000,271800.000000000000000,476100.000000000000000,900.000000000000000,4500.000000000000000,,3600.000000000000000,,900.000000000000000,2700.000000000000000,,900.000000000000000,,,,20179,SHERIDAN
105488,117270,2017920065210006001,164548.149686634889804,7200.000000000000000,,900.000000000000000,,,,,,,8100.000000000000000,,,,,,20179,SHERIDAN
105602,117387,2017920065320005001,29599.770579838470439,27900.000000000000000,27900.000000000000000,23400.000000000000000,900.000000000000000,6300.000000000000000,,,12600.000000000000000,16200.000000000000000,9000.000000000000000,,,3600.000000000000000,,,20179,SHERIDAN
105635,117422,2017920065330002001,204522.419736681098584,206100.000000000000000,197100.000000000000000,170100.000000000000000,1800.000000000000000,,50400.000000000000000,,,195300.000000000000000,,186300.000000000000000,186300.000000000000000,116100.000000000000000,,,20179,SHERIDAN
105696,117483,2017920065220031001,106259.268608012687764,6300.000000000000000,900.000000000000000,900.000000000000000,,,900.000000000000000,,,,6300.000000000000000,,,3600.000000000000000,,,20179,SHERIDAN
105709,117496,2017920065320006001,31790.957899299632118,5400.000000000000000,2700.000000000000000,13500.000000000000000,,13500.000000000000000,900.000000000000000,,10800.000000000000000,900.000000000000000,6300.000000000000000,900.000000000000000,900.000000000000000,1800.000000000000000,,,20179,SHERIDAN
105786,117576,2017920065280012001,276548.219160106265917,,3600.000000000000000,,,,29700.000000000000000,,,7200.000000000000000,,,,,,,20179,SHERIDAN
105835,117625,2017920065220032001,464180.057432232133579,457200.000000000000000,,2700.000000000000000,2700.000000000000000,,900.000000000000000,6300.000000000000000,,,443700.000000000000000,,,900.000000000000000,,,20179,SHERIDAN
105865,117656,2017902006570001001,403631.290604762441944,,15300.000000000000000,900.000000000000000,,15300.000000000000000,,,9000.000000000000000,12600.000000000000000,32400.000000000000000,,,12600.000000000000000,31360.000000000000000,,20179,SHERIDAN
105932,117727,2017920065320006002,497310.265533989120740,466200.000000000000000,207000.000000000000000,221400.000000000000000,192600.000000000000000,474300.000000000000000,4500.000000000000000,230400.000000000000000,449100.000000000000000,39600.000000000000000,490500.000000000000000,492300.000000000000000,492300.000000000000000,258300.000000000000000,228928.000000000000000,275968.000000000000000,20179,SHERIDAN
