,UID,SCTFS,Shape_Area,AREA_2020,AREA_2019,AREA_2018,AREA_2017,AREA_2016,AREA_2015,AREA_2014,AREA_2013,AREA_2012,AREA_2011,AREA_2010,AREA_2009,AREA_2008,AREA_2007,AREA_2006,FIPSSTCO,County
674624,795040,2019100101680008001,13921.082070443490011,,,,,,,,,,,,,900.000000000000000,,,20191,SUMNER
880164,1034469,2019102017320002001,4049.708996602437310,,,,,,,,,,,,,,,,20191,SUMNER
880165,1034470,2019102017340003001,4467.826520532190443,,,,,,,,,,,,,,,,20191,SUMNER
880166,1034471,2019102017370003001,4786.858896910343901,,,,,,,,,,,,,,,,20191,SUMNER
880167,1034472,2019120173100002001,22700.642452541960665,,,,,,,,,,900.000000000000000,,,,,,20191,SUMNER
880168,1034473,2019120173110004001,6888.744382361669523,,,,,,,,,,,,,,,,20191,SUMNER
880169,1034474,2019100018810009001,27771.675157583395048,,,,,,,,,,,,,,,,20191,SUMNER
880170,1034475,2019120173120005001,9381.092687790827767,900.000000000000000,900.000000000000000,4500.000000000000000,1800.000000000000000,2700.000000000000000,,,,,,,,,,,20191,SUMNER
880171,1034476,2019100027840002001,60985.888806187867885,,,,,,,,,,,,,,,,20191,SUMNER
880172,1034477,2019100027840005001,90921.769440213625785,,,,,,,,,,,,,,,,20191,SUMNER
880173,1034479,2019100027830004001,113442.776775447317050,,,900.000000000000000,,,,,,1800.000000000000000,,,1800.000000000000000,,,,20191,SUMNER
880174,1034480,2019100027830003001,69874.750593141652644,,900.000000000000000,,,,,,900.000000000000000,,1800.000000000000000,,,,,,20191,SUMNER
880175,1034482,2019100030760001001,142626.773900652216980,,,900.000000000000000,,,,,,,,,,,,,20191,SUMNER
880176,1034483,2019100030760003001,10211.345051320267885,,,,,,,,,,,,,,,,20191,SUMNER
880177,1034484,2019100178100004001,23669.006546730939590,,,,,,,,,,,,,,,,20191,SUMNER
880178,1034485,2019100178100001001,21918.148683128671109,,,,,,,,,,,,,,,,20191,SUMNER
880179,1034486,2019100178110006001,4266.969890195241533,,,,,,,,,,,,,,,,20191,SUMNER
880180,1034488,2019100178110001001,139279.019238384382334,900.000000000000000,15300.000000000000000,,,,,,111600.000000000000000,,5400.000000000000000,1800.000000000000000,,43200.000000000000000,,,20191,SUMNER
880181,1034490,2019100178110009001,11537.285067429809715,,,,,,,,,,,,,,,,20191,SUMNER
880182,1034491,2019100164040001001,637260.770022737910040,,,,,,,,,,900.000000000000000,,,,,,20191,SUMNER
880183,1034492,2019100027390004001,8251.483585720136034,,,,,,,,,,,,,,,,20191,SUMNER
880184,1034493,2019100027390003001,106279.279776318508084,,,,,,,,,,900.000000000000000,,,,,,20191,SUMNER
880185,1034494,2019100052160001001,118371.794052242679754,,,,,,,,,,,,12600.000000000000000,,,,20191,SUMNER
880186,1034495,2019100052160005001,240613.588028879079502,,900.000000000000000,,,1800.000000000000000,,,,,,,,,,,20191,SUMNER
880187,1034497,2019100028730001001,97519.015189118406852,,900.000000000000000,,,,,,10800.000000000000000,,900.000000000000000,,,,,,20191,SUMNER
880188,1034498,2019100028730004001,130375.669808732447564,,1800.000000000000000,,,,900.000000000000000,,,,900.000000000000000,900.000000000000000,,,,,20191,SUMNER
880189,1034499,2019100028730003001,206680.139018514862983,,900.000000000000000,,,,,,86400.000000000000000,,900.000000000000000,,,,,,20191,SUMNER
880190,1034500,2019102007720003001,221261.939891913440078,,,1800.000000000000000,,,,,,,,,,,,,20191,SUMNER
880191,1034501,2019102007730004001,181583.481446927908110,,,1800.000000000000000,,,,,,,,,,,,,20191,SUMNER
880192,1034502,2019102007740001001,767780.450571544701234,,,61200.000000000000000,,,,,,,,,,,,,20191,SUMNER
880193,1034503,2019120173140002001,115935.383406138455030,,900.000000000000000,1800.000000000000000,900.000000000000000,,,,,,,,,,,,20191,SUMNER
880194,1034504,2019100000920002001,35668.346433665195946,,,,,,,,900.000000000000000,,,,,,,,20191,SUMNER
880195,1034505,2019100026910001001,659637.920941221178509,900.000000000000000,,,,614700.000000000000000,,,,,,,,,,,20191,SUMNER
880196,1034506,2019100029300001001,100291.074490246144705,,,,,,,,52200.000000000000000,,,,,,,,20191,SUMNER
880197,1034507,2019102017390011001,52656.516052506252890,,,,,,,,,,,,,,,,20191,SUMNER
880198,1034508,2019100004500001001,6085.276802589011822,,,,,1800.000000000000000,,,,,,,,,,,20191,SUMNER
880199,1034509,2019100029300002001,215894.997994123346871,,,,,,,,133200.000000000000000,,,,,,,,20191,SUMNER
880200,1034510,2019102017390012001,279140.826552057696972,,,,,,,,,,,,,,,,20191,SUMNER
880201,1034512,2019100004500003001,166644.379445038910490,,,,,,,,,,,,,,,,20191,SUMNER
880202,1034513,2019100013030001001,328253.638331571302842,,,,,,,,,,,,,,,,20191,SUMNER
880203,1034515,2019100031810001001,311036.603554324072320,,,,,,,,,,,,,,,,20191,SUMNER
880204,1034516,2019100030840001001,316944.912362187693361,,900.000000000000000,,,,7200.000000000000000,,,,,,,,,,20191,SUMNER
880205,1034517,2019100005410001001,331028.522752922843210,,900.000000000000000,59400.000000000000000,,314100.000000000000000,,298800.000000000000000,,,118800.000000000000000,221400.000000000000000,,248400.000000000000000,,,20191,SUMNER
880206,1034520,2019100019180001001,247072.835541927779559,,900.000000000000000,22500.000000000000000,,,,,18000.000000000000000,,,2700.000000000000000,,,,,20191,SUMNER
880207,1034521,2019100019690002001,207937.313394963508472,900.000000000000000,900.000000000000000,8100.000000000000000,,,900.000000000000000,,,,,,,,,,20191,SUMNER
880208,1034522,2019100019690001001,131249.737090384558542,,,1800.000000000000000,,,,,,,,,,,,,20191,SUMNER
880209,1034523,2019100019690003001,42398.643457899757777,900.000000000000000,900.000000000000000,900.000000000000000,,,,,,,,,,,,,20191,SUMNER
880210,1034524,2019100177760001001,323507.672393890679814,,,,,,,,,,,,,,,,20191,SUMNER
880211,1034527,2019100005220003001,6568.667033817900119,,,,,,,,,,,,,,,,20191,SUMNER
880212,1034528,2019100030100001001,311140.532220832654275,,,,,,,,,,,,,,,,20191,SUMNER
880213,1034530,2019100003840002001,39385.317162854131311,,,,,1800.000000000000000,,,,,,,,,,,20191,SUMNER
880214,1034531,2019100003840003001,91331.931141380919144,,2700.000000000000000,1800.000000000000000,,,,,,,,,,,,,20191,SUMNER
880215,1034532,2019100003840001001,495163.757913758279756,,,,,123300.000000000000000,,,,,,,,,,3136.000000000000000,20191,SUMNER
880216,1034533,2019100003840004001,9573.514104086963926,,,900.000000000000000,,2700.000000000000000,,,,,,,,,,,20191,SUMNER
880217,1034534,2019100001690001001,9351.768377681019047,,,,,,,,,,,,,900.000000000000000,,,20191,SUMNER
880218,1034535,2019100028800003001,7550.016763544418609,,,900.000000000000000,,,,,,,,,,,,,20191,SUMNER
880219,1034536,2019100028800004001,8829.060978889618127,,,,,,,,,,,,,,,,20191,SUMNER
880220,1034537,2019100028800001001,32575.006394512558472,,,,,,,,,,,,,,,,20191,SUMNER
880221,1034538,2019100028800005001,50364.517131275104475,,4500.000000000000000,,,,,,,,,,,,,,20191,SUMNER
880222,1034539,2019100000520005001,217058.736074194108369,,900.000000000000000,900.000000000000000,,,,,3600.000000000000000,,6300.000000000000000,,,,,,20191,SUMNER
880223,1034541,2019100000600003001,121925.862546797812684,,1800.000000000000000,,,,,,,,,,,,,,20191,SUMNER
880224,1034542,2019100000600005001,14229.294454109112849,,,,,,,,,,,,,,,,20191,SUMNER
880225,1034543,2019100000600004001,153986.723499765561428,900.000000000000000,900.000000000000000,8100.000000000000000,4500.000000000000000,2700.000000000000000,,,,,6300.000000000000000,,,,,,20191,SUMNER
880226,1034544,2019100000600002001,43995.714719128634897,,,3600.000000000000000,,,,,,,,,,,,,20191,SUMNER
880227,1034546,2019100002970001001,317502.552084619062953,4500.000000000000000,,,,228600.000000000000000,,,,,900.000000000000000,,267300.000000000000000,,,,20191,SUMNER
880228,1034547,2019100000330001001,25344.584282059618999,,,,,,,,,,,,,,,,20191,SUMNER
880229,1034548,2019100000330002001,22354.040448192681652,,,,,,,,,,,,,,,,20191,SUMNER
880230,1034549,2019100000330005001,289237.344815097749233,,,,,,,,,,,,,,,,20191,SUMNER
880231,1034550,2019100000330003001,309356.321110765624326,,,,,,,,,,,,,,,,20191,SUMNER
880232,1034551,2019100000330004001,7422.632483032218261,,,,,,,,,,900.000000000000000,,,,,,20191,SUMNER
880233,1034552,2019100002640005001,14170.357088446042326,1800.000000000000000,3600.000000000000000,,,,,,,,,,,,,,20191,SUMNER
880234,1034553,2019100002640003001,426191.240743008384015,1800.000000000000000,1800.000000000000000,,,,,,,,,,,,,,20191,SUMNER
880235,1034554,2019100002640002001,52177.811894881015178,,,,,,,,,,9900.000000000000000,,,,,,20191,SUMNER
880236,1034555,2019100002640004001,85606.524761878026766,,,,,,,,,,1800.000000000000000,,,,,,20191,SUMNER
880237,1034556,2019100002640001001,66089.540985200830619,900.000000000000000,,,,,,,,,3600.000000000000000,,,,,,20191,SUMNER
880238,1034557,2019100003700002001,11728.039629784610952,,,,,,,,,,,,,,,,20191,SUMNER
880239,1034558,2019100003700004001,23610.051501418063708,,,,,,,,,,,,,,,,20191,SUMNER
880240,1034559,2019100003700003001,6834.659285146804905,,,,,,,,,,,,,,,,20191,SUMNER
880241,1034560,2019100003700007001,17607.805556707171490,,,,,,,,,,,,,,,,20191,SUMNER
880242,1034562,2019100028830003001,4276.667246870294548,,,,,,,,,,,,,,,,20191,SUMNER
880243,1034563,2019100028830002001,48976.498928838977008,,,,,,,,,,,,,,,,20191,SUMNER
880244,1034564,2019100028830005001,10234.101827680178758,,,,,,,,,,,,,,,,20191,SUMNER
880245,1034565,2019100028830001001,238746.671457443415420,,,,,,,,,,,,,,,,20191,SUMNER
880246,1034566,2019100003370007001,7239.247190023604162,,,,,,,,,,,,,,,,20191,SUMNER
880247,1034567,2019100173830006001,5045.670183463150352,,,,,,,,,,,,,,,,20191,SUMNER
880248,1034570,2019100173830003001,4742.781749730994306,,,,,2700.000000000000000,,,,,,,,,,,20191,SUMNER
880249,1034572,2019100173830002001,21092.638975006237160,1800.000000000000000,,,,,,,,,,,,,,,20191,SUMNER
880250,1034573,2019100052320001001,324684.962490167235956,,,,,,,,,,,,,,,,20191,SUMNER
880251,1034576,2019100048080001001,324095.463930933969095,,,,,,,,,,,,,,,,20191,SUMNER
880252,1034578,2019100001930002001,170478.218037379672751,,,,,,,,,,900.000000000000000,,,,,,20191,SUMNER
880253,1034579,2019100001930001001,467496.223585693922359,,,,,,1800.000000000000000,,,,,,,,,,20191,SUMNER
880254,1034580,2019100001930003001,14052.510227850030788,,,,,,,,,,,,,,,,20191,SUMNER
880255,1034583,2019100002170002001,20885.536749818485987,,,3600.000000000000000,,,,,,,,,,,,,20191,SUMNER
880256,1034584,2019100002170001001,634353.196576963760890,,3600.000000000000000,11700.000000000000000,,2700.000000000000000,,,,,,,,,,,20191,SUMNER
880257,1034585,2019100000960001001,329704.205371039104648,,900.000000000000000,,,,,,,,,,,,,,20191,SUMNER
880258,1034586,2019100000910001001,323673.971054503461346,,,,,,900.000000000000000,,1800.000000000000000,,,,,,,,20191,SUMNER
880259,1034587,2019100029040002001,4244.589077400958558,,,,,1800.000000000000000,,,,,,,,,,,20191,SUMNER
880260,1034588,2019100052510001001,141645.902047828421928,,,,,,,,,,,,,,,,20191,SUMNER
880261,1034589,2019100052510005001,24432.372370602312003,,,,,,,,,,,,,,,,20191,SUMNER
880262,1034590,2019100046650005001,160168.325398719345685,,,,,,,,,,,,,,,,20191,SUMNER
880263,1034591,2019100046650003001,5011.282432232508654,,900.000000000000000,,,,,,,,,,,,,,20191,SUMNER
880264,1034598,2019100003680003001,25786.563408194040676,,,,,,,,,,,,,,,,20191,SUMNER
880265,1034599,2019100003680001001,95184.306982660782523,,,,16200.000000000000000,1800.000000000000000,,,,,1800.000000000000000,,900.000000000000000,,,,20191,SUMNER
880266,1034600,2019100003680002001,7840.858058006773717,,,,,,,,,,,,,,,,20191,SUMNER
880267,1034601,2019100163810002001,5500.547660388154327,,,,,,,,,,,,,,,,20191,SUMNER
880268,1034602,2019100163810001001,647274.042580163688399,,,,,,2700.000000000000000,,,,,,,,,,20191,SUMNER
880269,1034604,2019120173470001001,89238.975796310900478,,,,,,,,,,,,,,,,20191,SUMNER
880270,1034605,2019120173470005001,38803.464747317302681,,,,,,,,,,,,,,,,20191,SUMNER
880271,1034606,2019100000970003001,17077.261217591974855,,,,,,,,,,,,,,,,20191,SUMNER
880272,1034607,2019100001400002001,12157.859764482062019,,,,,,,,,,5400.000000000000000,,,,,,20191,SUMNER
880273,1034608,2019100001400003001,5428.259847658040599,,,,,,,,,,,,,,,,20191,SUMNER
880274,1034609,2019100003690039001,52851.974925336806336,,,,,900.000000000000000,,,,,,,,,,,20191,SUMNER
880275,1034612,2019100003690007001,76495.851834067783784,,,,,,,,,,,,,,,,20191,SUMNER
880276,1034613,2019100003690009001,13358.158145104995128,,,,,900.000000000000000,,,,,900.000000000000000,,,,,,20191,SUMNER
880277,1034614,2019100003690034001,22766.798632990994520,,,,,3600.000000000000000,,,,,900.000000000000000,,,,,,20191,SUMNER
880278,1034617,2019100003690040001,39960.469282809062861,,900.000000000000000,,,900.000000000000000,,,,900.000000000000000,,,,,,,20191,SUMNER
880279,1034618,2019100003690030001,7224.143703115335484,,,,,,,,,,,,,,,,20191,SUMNER
880280,1034621,2019100003690005001,122529.557850963523379,,,,,2700.000000000000000,,,,,,,,,,,20191,SUMNER
880281,1034622,2019100003690001001,29091.736440193068120,,,,,,,,,14400.000000000000000,,,,,,,20191,SUMNER
880282,1034626,2019100003690002001,19369.320793380371470,,,,,,,,,,,,,,,,20191,SUMNER
880283,1034627,2019100003690038001,6175.937445863764879,,,,,,,,,,,,,,,,20191,SUMNER
880284,1034629,2019100003690003001,68725.822559032414574,,,,,,,,,,,,,,3136.000000000000000,,20191,SUMNER
880285,1034630,2019100004710002001,67594.292251056860550,,,,,,,,,,27900.000000000000000,,,,,,20191,SUMNER
880286,1034631,2019100004710003001,4256.630575984466304,,,,,,,,,,900.000000000000000,,,,,,20191,SUMNER
880287,1034633,2019100180060012001,38464.276857510943955,,,,,900.000000000000000,,,,,,,,,,,20191,SUMNER
880288,1034635,2019100180060008001,6366.032563229997322,,,,,4500.000000000000000,1800.000000000000000,,,,,,900.000000000000000,3600.000000000000000,,,20191,SUMNER
880289,1034636,2019100180060009001,7372.106711587153768,,,,,16200.000000000000000,,,,,900.000000000000000,,1800.000000000000000,1800.000000000000000,,,20191,SUMNER
880290,1034637,2019100180060004001,599536.936276270193048,,,,,79200.000000000000000,91800.000000000000000,,,,,,7200.000000000000000,148500.000000000000000,,,20191,SUMNER
880291,1034639,2019100180060011001,5988.653355993630612,,,,,900.000000000000000,,,,,,,,,,,20191,SUMNER
880292,1034642,2019100002460003001,11206.829916022506950,,3600.000000000000000,,,900.000000000000000,,,,,,,,,,,20191,SUMNER
880293,1034643,2019100002460001001,77626.166414571751375,,41400.000000000000000,,,21600.000000000000000,,,,,5400.000000000000000,1800.000000000000000,,,,,20191,SUMNER
880294,1034644,2019100002460008001,4398.583051766338031,,900.000000000000000,,,900.000000000000000,900.000000000000000,,,,,,,,,,20191,SUMNER
880295,1034645,2019100002460002001,50893.579119562986307,,28800.000000000000000,,,20700.000000000000000,6300.000000000000000,,,,1800.000000000000000,900.000000000000000,,,,,20191,SUMNER
880296,1034646,2019100001340005001,24155.164500089438661,,,,,,,,,,2700.000000000000000,,,,,,20191,SUMNER
880297,1034647,2019100001340006001,21026.594783406162605,900.000000000000000,,1800.000000000000000,,,,,,,,,,,,,20191,SUMNER
880298,1034650,2019100001340007001,125962.769947072956711,,1800.000000000000000,,,900.000000000000000,5400.000000000000000,,,,,,12600.000000000000000,900.000000000000000,,,20191,SUMNER
880299,1034651,2019120173480002001,23705.807861233788572,900.000000000000000,,,,,,,,,3600.000000000000000,,,,,,20191,SUMNER
880300,1034653,2019120173480001001,293302.491326833085623,202500.000000000000000,7200.000000000000000,5400.000000000000000,9000.000000000000000,9900.000000000000000,,,,,21600.000000000000000,,,,,,20191,SUMNER
880301,1034654,2019100002830002001,58892.430323606597085,1800.000000000000000,900.000000000000000,,,,6300.000000000000000,,,,,,6300.000000000000000,,,6272.000000000000000,20191,SUMNER
880302,1034655,2019100002830003001,14888.475780656666757,,,,,,,,,,,,900.000000000000000,,,,20191,SUMNER
880303,1034656,2019100003690018001,5624.463625166691600,,,,,,,,,,,,,,,,20191,SUMNER
880304,1034657,2019100003690017001,8758.396463724271598,,,,,,,,,,,,,,,,20191,SUMNER
880305,1034658,2019100003690012001,9027.457424211956095,,,,,,,,,,,,,,,,20191,SUMNER
880306,1034659,2019100003690011001,64558.554289771862386,,,,,,,,,,,,,,,,20191,SUMNER
880307,1034660,2019100003690016001,62766.137037700245855,,,,,,,,,,,,,,,,20191,SUMNER
880308,1034661,2019100178930004001,9753.780150126083754,,,,,,,,,,,,,,,,20191,SUMNER
880309,1034662,2019100178930002001,216142.258345647074748,900.000000000000000,1800.000000000000000,,,,,,900.000000000000000,,900.000000000000000,,,,,,20191,SUMNER
880310,1034663,2019100178930001001,195337.441268997732550,,,,,,,,,,3600.000000000000000,,,,,,20191,SUMNER
