Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,BARTON,9,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"32,632",20.1
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,BARTON,9,,,0,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,"AREA HARVESTED: (1,000 OR MORE ACRES)",3,27
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,BARTON,9,,,0,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (1.0 TO 24.9 ACRES),4,74.6
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,BARTON,9,,,0,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (100 TO 249 ACRES),24,43.8
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,BARTON,9,,,0,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (25.0 TO 99.9 ACRES),20,46.8
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,BARTON,9,,,0,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (250 TO 499 ACRES),24,48.8
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,BARTON,9,,,0,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (500 TO 999 ACRES),16,56.8
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,BARTON,9,,,0,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,91,24.9
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,BARTON,9,,,0,,CORN,"CORN, GRAIN, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"15,347",19.3
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,BARTON,9,,,0,,CORN,"CORN, GRAIN, IRRIGATED - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,47,26.1
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,BARTON,9,,,0,,CORN,"CORN, SILAGE - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"2,674",45.7
