OBJECTID,UID,Acres,SCTFS,Lineage,RastArea,zm_2003,zm_2004,zm_2005,zm_2006,zm_2007,zm_2008,zm_2009,zm_2010,zm_2011,zm_2012,Area_acres,Shape_STAr,Shape_Length,Shape_Area,COUNT_2006,AREA_2006,COUNT_2007,AREA_2007,COUNT_2008,AREA_2008,COUNT_2009,AREA_2009,COUNT_2010,AREA_2010,COUNT_2011,AREA_2011,COUNT_2012,AREA_2012,COUNT_2013,AREA_2013,COUNT_2014,AREA_2014,COUNT_2015,AREA_2015,COUNT_2016,AREA_2016,COUNT_2017,AREA_2017,COUNT_2018,AREA_2018,COUNT_2019,AREA_2019,COUNT_2020,AREA_2020
1,0,25.379505280000000,2000300019190007001,05U,102900.000000000000000,26,1,5,1,62,24,5,1,26,1,25.379505280000000,102707.214376000003540,1461.729639072894543,102707.213944258881384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,27.629257480000000,2000300043860005001,05U,112300.000000000000000,1,24,26,5,26,5,5,62,5,26,27.629257469999999,111811.637208000000101,1586.192315878544605,111811.638066261337372,1.000000000000000,3136.000000000000000,,,,,1.000000000000000,900.000000000000000,,,,,,,,,,,,,,,,,,,,,,
3,2,9.355326000000000,2000300019230002001,05U,38400.000000000000000,5,1,5,1,5,1,5,1,5,1,9.355325990000001,37859.660974200000055,785.126564336278420,37859.661096899551922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3,15.222480279999999,2000300011970002001,05U,61800.000000000000000,1,5,5,62,1,1,1,1,1,1,15.222480270000000,61603.193096299997706,1048.956977136409023,61603.192077542837069,1.000000000000000,3136.000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,4,14.777722900000001,2000300036090019001,05U,59600.000000000000000,62,5,1,62,62,62,62,62,62,62,14.777722890000000,59803.322583300003316,1005.848406376705157,59803.322812252416043,,,,,,,,,,,,,,,,,,,,,,,,,,,1.000000000000000,900.000000000000000,,
6,5,34.948999530000002,2003120003970002001,05U,140700.000000000000000,5,24,5,1,26,5,5,62,5,5,34.948999520000001,141433.583447999990312,1497.346424331427897,141433.583191503566923,1.000000000000000,3136.000000000000000,,,23.000000000000000,20700.000000000000000,,,,,49.000000000000000,44100.000000000000000,,,64.000000000000000,57600.000000000000000,84.000000000000000,75600.000000000000000,112.000000000000000,100800.000000000000000,44.000000000000000,39600.000000000000000,38.000000000000000,34200.000000000000000,,,,,,
7,6,2.703048760000000,2000300006640007001,05U,10700.000000000000000,5,62,62,62,62,1,62,62,62,62,2.703048760000000,10938.849947799999427,520.767385575897379,10938.850247512949863,,,,,,,,,,,,,,,,,,,,,1.000000000000000,900.000000000000000,,,,,,,,
8,7,11.105266920000000,2000300007240003001,05U,45900.000000000000000,62,62,62,62,62,62,62,62,62,62,11.105266920000000,44941.421112000003632,857.222476516241159,44941.420773150319292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,8,34.737058390000001,2005920003140002001,05U,140300.000000000000000,1,5,26,1,5,24,1,5,1,1,34.737058380000001,140575.886560000013560,1545.427894742781291,140575.887830111809308,,,2.000000000000000,6272.000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,
10,9,2.625689020000000,2000300036130007001,05U,10600.000000000000000,62,62,62,62,63,63,62,62,62,62,2.625689010000000,10625.786478699999861,421.885950546261427,10625.786462056435994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,10,12.650053930000000,2000300009390003001,05U,51200.000000000000000,36,62,62,1,4,26,1,5,5,1,12.650053920000000,51192.951935400000366,1022.879916668203691,51192.951987324064248,,,8.000000000000000,25088.000000000000000,2.000000000000000,1800.000000000000000,,,,,,,,,,,,,,,,,,,,,,,,
12,11,12.613492640000000,2000300041210001001,05U,52600.000000000000000,1,5,36,62,62,62,62,62,62,62,12.613492640000000,51044.994051399997261,903.463601526509592,51044.993702937594207,,,,,,,,,2.000000000000000,1800.000000000000000,,,,,,,,,,,,,,,,,,,,
13,13,4.695526980000000,2000300014380002001,05U,18900.000000000000000,36,62,62,5,4,4,5,62,62,62,4.695526970000000,19002.123387700001331,591.479811930751566,19002.123511080422759,,,,,,,2.000000000000000,1800.000000000000000,,,,,,,,,,,,,,,,,,,,,,
14,14,37.309698240000003,2000300003360001001,05U,149800.000000000000000,1,36,36,5,24,26,5,62,5,24,37.309698240000003,150986.989379000006011,1775.375820558369924,150986.991944764071377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15,5.168050070000000,2000300033980003001,05U,20300.000000000000000,5,36,5,62,5,1,62,1,26,1,5.168050060000000,20914.356994900001155,642.519486197249307,20914.356606524343078,1.000000000000000,3136.000000000000000,,,,,,,,,,,,,,,,,,,,,,,1.000000000000000,900.000000000000000,,,1.000000000000000,900.000000000000000
16,16,12.616570410000000,2000300014290009001,05U,51500.000000000000000,5,62,99,62,62,62,62,62,62,62,12.616570410000000,51057.448434400001133,1428.856910532764459,51057.449012019293150,,,,,,,,,,,,,,,,,,,,,1.000000000000000,900.000000000000000,,,,,,,,
17,17,23.121877890000000,2000300011430001001,05U,93100.000000000000000,5,5,26,5,26,1,5,1,5,1,23.121877880000000,93570.919983100000536,1963.113195072357939,93570.920029427405098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,18,2.768264100000000,2000300009450023001,05U,11200.000000000000000,36,5,5,62,82,82,62,82,82,82,2.768264100000000,11202.767390400000295,708.164213803870439,11202.767371498013745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,19,19.213128220000002,2000300003470007001,05U,77500.000000000000000,1,5,5,5,1,5,24,62,5,1,19.213128210000001,77752.770894600005704,1218.710427209985937,77752.771317056147382,,,3.000000000000000,9408.000000000000000,,,,,,,,,,,,,,,,,3.000000000000000,2700.000000000000000,,,,,,,,
20,20,42.523678769999997,2000300045900011001,05U,172800.000000000000000,5,5,1,5,24,5,5,5,24,5,42.523678760000003,172087.223345000005793,2689.506108788531492,172087.222530837170780,,,,,,,,,,,,,,,,,,,,,,,8.000000000000000,7200.000000000000000,,,,,,
21,21,12.114034080000000,2000300004560005001,05U,48800.000000000000000,36,36,5,1,5,24,62,5,1,5,12.114034070000001,49023.756428399996366,991.019194852663304,49023.756603323592572,,,,,,,,,,,,,,,1.000000000000000,900.000000000000000,,,,,,,,,,,,,,
22,22,2.628296510000000,2000300042400030001,05U,10600.000000000000000,1,5,5,24,5,5,5,62,5,1,2.628296510000000,10636.338744399999996,538.463716694282311,10636.338627151919354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,23,32.901606530000002,2000300040420004001,05U,133100.000000000000000,5,1,5,1,5,1,5,1,5,1,32.901606530000002,133148.077706999989459,1833.011937737629751,133148.077702336537186,,,5.000000000000000,15680.000000000000000,,,,,,,,,,,,,2.000000000000000,1800.000000000000000,2.000000000000000,1800.000000000000000,,,,,,,,,,
24,24,11.414814870000001,2000300003060002001,05U,46800.000000000000000,36,62,62,5,62,5,62,62,62,62,11.414814870000001,46194.116951800002425,1197.579519978004100,46194.116872724895074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,25,4.172538880000000,2000300019190005001,05U,17000.000000000000000,36,62,62,62,62,62,62,62,62,62,4.172538870000000,16885.665673799998331,524.060034391270165,16885.665754472331173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,26,3.532575370000000,2000300002410005001,05U,14200.000000000000000,62,62,62,62,62,62,62,62,62,62,3.532575370000000,14295.825354700000389,539.813600261383613,14295.825333632054026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,28,17.993730599999999,2000300004260003001,05U,72400.000000000000000,5,5,5,24,4,5,5,1,5,1,17.993730589999998,72818.043772699995316,1055.521874270378930,72818.044221999167348,,,8.000000000000000,25088.000000000000000,4.000000000000000,3600.000000000000000,,,,,,,,,,,,,,,,,,,,,,,,
28,29,6.505236920000000,2000300013190003001,05U,26500.000000000000000,62,62,99,62,5,63,62,62,5,62,6.505236910000000,26325.758317799998622,2090.688126756349448,26325.759795665217098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.000000000000000,900.000000000000000
29,31,32.598206249999997,2000300034150002001,05U,132600.000000000000000,4,5,5,4,5,24,26,5,1,5,32.598206249999997,131920.258377999998629,1525.955362453730231,131920.260336772655137,33.000000000000000,103488.000000000000000,1.000000000000000,3136.000000000000000,,,,,,,,,,,,,,,,,1.000000000000000,900.000000000000000,,,,,1.000000000000000,900.000000000000000,,
30,32,7.398239220000000,2000300020630003001,05U,29900.000000000000000,62,62,62,62,62,62,62,62,62,62,7.398239220000000,29939.612046300000657,886.106029588272804,29939.611916065343394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,33,1.720600380000000,2000300013190001001,05U,7000.000000000000000,62,62,5,82,82,82,82,82,82,82,1.720600380000000,6963.022788260000198,555.166849099316437,6963.022697783768308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,34,10.979471090000001,2000300016740002001,05U,44400.000000000000000,62,62,62,62,62,62,62,62,62,62,10.979471090000001,44432.342600000003586,1200.563470142702954,44432.343101946062234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,35,22.706649400000000,2000300007340004001,05U,91900.000000000000000,36,5,5,24,5,5,5,1,5,1,22.706649400000000,91890.549151600003825,1505.143251102076192,91890.549965985162999,,,7.000000000000000,21952.000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,
34,36,4.093742600000000,2000300015890004001,05U,16900.000000000000000,5,36,5,62,5,26,5,62,62,62,4.093742600000000,16566.788608499999100,515.930753466239366,16566.788544776019990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,37,31.833913370000001,2000300006940001001,05U,127800.000000000000000,24,5,1,24,5,1,62,62,1,5,31.833913370000001,128827.278260999999475,2311.915815259088959,128827.276774869111250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,38,9.936402690000000,2000300017460001001,05U,40700.000000000000000,36,62,62,62,24,5,62,62,62,36,9.936402690000000,40211.194643000002543,983.369521846365274,40211.195046652588644,,,,,1.000000000000000,900.000000000000000,,,,,,,,,,,,,,,,,,,,,,,,
37,39,35.361639820000001,2000300014240001001,05U,143100.000000000000000,26,5,5,1,26,5,1,5,24,1,35.361639820000001,143103.478394000005210,1819.972234528266881,143103.479230584547622,,,,,2.000000000000000,1800.000000000000000,,,,,,,,,,,,,,,1.000000000000000,900.000000000000000,,,,,,,,
38,40,31.425465079999999,2000300036150002001,05U,127400.000000000000000,5,36,1,5,1,5,1,5,1,5,31.425465079999999,127174.345209000006435,1884.524544679577730,127174.345206141078961,,,,,,,,,,,,,,,,,,,,,1.000000000000000,900.000000000000000,,,,,,,,
39,41,24.844679679999999,2000300002210004001,05U,100900.000000000000000,5,36,36,5,1,5,26,5,1,1,24.844679670000001,100542.851815999994869,1655.904862637060660,100542.851517414906994,,,,,,,,,,,,,,,,,,,3.000000000000000,2700.000000000000000,,,,,,,,,,
40,42,15.499292560000001,2000300012570001001,05U,63600.000000000000000,62,62,62,62,62,62,62,62,62,62,15.499292550000000,62723.411417800001800,1022.151038613641049,62723.411637878663896,,,,,,,,,,,,,,,,,,,,,2.000000000000000,1800.000000000000000,,,,,,,,
41,43,57.585088749999997,2000300018650001001,05U,233600.000000000000000,36,36,5,5,24,5,5,5,62,62,57.585088749999997,233038.588136000005761,3316.040753535085514,233038.586242784978822,,,,,,,,,,,,,,,1.000000000000000,900.000000000000000,,,1.000000000000000,900.000000000000000,,,,,,,,,,
42,44,3.842439970000000,2000300042400027001,05U,15900.000000000000000,1,5,5,62,5,5,5,62,5,1,3.842439960000000,15549.802565399999366,767.127736328552032,15549.802857955355648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,45,1.376684380000000,2000300015620006001,05U,4700.000000000000000,62,62,62,62,62,62,62,62,62,62,1.376684380000000,5571.244027849999839,311.400728054902856,5571.244037431176366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,46,13.675194390000000,2000300035470005001,05U,55400.000000000000000,1,62,62,5,1,5,1,5,1,5,13.675194380000001,55341.548712999996496,1079.189987621417686,55341.548230170767056,,,,,,,,,,,,,,,,,,,,,,,,,,,1.000000000000000,900.000000000000000,,
45,48,65.662754519999993,2000300042060004001,05U,264100.000000000000000,5,62,62,24,62,1,62,5,1,24,65.662754509999999,265727.739784999983385,3694.760059123501833,265727.739836798864417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,49,14.162588870000000,2000300000830001001,05U,57100.000000000000000,4,5,5,26,5,26,5,1,5,1,14.162588860000000,57313.963518800002930,1101.043256693792955,57313.963724910783640,,,,,,,,,,,,,,,,,1.000000000000000,900.000000000000000,,,,,,,,,,,,
47,50,12.037777390000000,2000300001390009001,05U,48100.000000000000000,1,1,1,62,62,36,62,62,62,62,12.037777390000000,48715.156187599997793,889.404558303173644,48715.156758004952280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,51,9.684514390000000,2000300007710004001,05U,39000.000000000000000,62,62,62,62,62,62,62,62,62,62,9.684514380000000,39191.839079799996398,968.276424245614749,39191.839252284102258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,59,18.688073480000000,2000300018140001001,05U,75300.000000000000000,62,62,62,62,62,62,62,62,62,62,18.688073469999999,75627.950267899999744,1167.821715064044838,75627.950166213660850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,60,13.778540800000000,2000300042400007001,05U,55700.000000000000000,1,5,5,5,5,1,5,5,24,5,13.778540789999999,55759.776785599999130,1009.856544899616324,55759.776310116409149,,,3.000000000000000,9408.000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,
51,61,20.576991549999999,2000300019070007001,05U,83900.000000000000000,1,26,1,26,1,26,5,5,1,24,20.576991549999999,83272.130888999992749,1203.267521247954392,83272.130425214374554,,,,,,,,,2.000000000000000,1800.000000000000000,,,,,,,,,,,,,,,,,,,,
52,62,3.698509790000000,2000300000330002001,05U,15500.000000000000000,36,62,62,62,62,62,62,62,62,62,3.698509790000000,14967.337966099999903,640.048039201126471,14967.338113997911933,,,,,,,,,,,,,,,,,2.000000000000000,1800.000000000000000,,,,,,,,,,,,
53,63,1.423927040000000,2000300009450007001,05U,5800.000000000000000,1,36,1,62,63,1,62,62,62,62,1.423927030000000,5762.428273059999810,355.264812126925449,5762.428279343856047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,64,21.117366369999999,2000300043970002001,05U,85900.000000000000000,36,36,5,24,26,26,26,62,5,1,21.117366359999998,85458.949561700006598,1376.743839452738939,85458.949708889398607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,65,1.076447730000000,2000300016520004001,05U,4600.000000000000000,62,62,62,62,62,62,62,62,62,62,1.076447720000000,4356.229343740000331,300.979273692959396,4356.229404013199201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,66,37.990377199999998,2000300012060002001,05U,153100.000000000000000,1,5,5,5,24,5,1,5,1,5,37.990377189999997,153741.603364999988116,1553.064139426008978,153741.601945193862775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.000000000000000,900.000000000000000
57,67,8.667792660000000,2000300003390001001,05U,35000.000000000000000,36,36,36,62,62,24,62,62,5,5,8.667792650000001,35077.311711200003629,1028.269290134658604,35077.312386843193963,,,,,,,,,,,,,,,2.000000000000000,1800.000000000000000,,,1.000000000000000,900.000000000000000,,,,,,,,,,
58,68,19.737867980000001,2000300017210001001,05U,79900.000000000000000,36,62,62,5,62,5,62,5,62,62,19.737867980000001,79876.317839499999536,1173.784990905521454,79876.317816264214343,,,6.000000000000000,18816.000000000000000,,,,,,,,,,,,,10.000000000000000,9000.000000000000000,,,12.000000000000000,10800.000000000000000,,,,,,,,
