,UID,SCTFS,Shape_Area,AREA_2020,AREA_2019,AREA_2018,AREA_2017,AREA_2016,AREA_2015,AREA_2014,AREA_2013,AREA_2012,AREA_2011,AREA_2010,AREA_2009,AREA_2008,AREA_2007,AREA_2006,FIPSSTCO,County
595637,704774,2000100020430009001,354832.491713089693803,,,,,,,,,,,,,,,,20001,ALLEN
595638,704775,2000100020430002001,24253.577754175967129,,,,,,900.000000000000000,,,,,,,,,,20001,ALLEN
595639,704776,2000100000180002001,104136.876847651161370,1800.000000000000000,,11700.000000000000000,,15300.000000000000000,40500.000000000000000,,7200.000000000000000,,,,,,,,20001,ALLEN
595640,704777,2000100000180001001,77184.096252627248759,900.000000000000000,900.000000000000000,,,23400.000000000000000,32400.000000000000000,,900.000000000000000,,,,,,,,20001,ALLEN
595641,704778,2000100000190002001,25706.853845506251673,,,,,,,,,,,,,,,,20001,ALLEN
595642,704779,2000100000190001001,435083.508356141508557,900.000000000000000,,,,1800.000000000000000,,,,,,,,,,,20001,ALLEN
595643,704780,2000100000050001001,47908.021946845510683,,,,,,,,,,,,,,,,20001,ALLEN
595644,704781,2000100000050002001,69222.843080759834265,,,,,,,,,,,,,,,,20001,ALLEN
595645,704782,2000100000050003001,199186.402219604962738,,,,,,,,,,,,,,,,20001,ALLEN
595646,704783,2000100027990001001,313832.692576803849079,,,,,,,,,,,,,,,,20001,ALLEN
595647,704784,2000100000090002001,41146.465972138161305,,,,,,,,,,,,,,,,20001,ALLEN
595648,704785,2000100030520008001,59431.677541801582265,,,,,,,,,,,,,,,,20001,ALLEN
595649,704786,2000100030530007001,336505.269474816741422,,,,,,,,,,,,,17100.000000000000000,,,20001,ALLEN
595650,704787,2000100020700006001,14994.091172498836386,,,,,,,,,,,,,,9408.000000000000000,,20001,ALLEN
595651,704790,2000100020430003001,88634.170789413939929,,,,,,,,,,,1800.000000000000000,,,,,20001,ALLEN
595652,704791,2000100020430005001,23553.491045944625512,,,,,,,,,,,,,900.000000000000000,,,20001,ALLEN
595653,704792,2000100020430004001,115564.175610388774658,,,,,,3600.000000000000000,,,,,,,,,,20001,ALLEN
595654,704793,2000100020570005001,62367.387907455879031,,,,,,,,,,,,,,,,20001,ALLEN
595655,704794,2000102003110007001,6790.569209752196002,,,,,,,,,,,,,,,,20001,ALLEN
595656,704795,2000100017060011001,429711.183148681069724,,,,,,4500.000000000000000,,,,,,,,,,20001,ALLEN
595657,704796,2000102003110005001,38540.011574336858757,,,,,,,,,,,,,,,,20001,ALLEN
595658,704797,2000102000320001001,141012.423092635406647,,,,,,,,,,,,,,,,20001,ALLEN
595659,704798,2000102000330001001,125450.658397095685359,,,,,,,,,,,,,,,,20001,ALLEN
595660,704799,2000100001330001001,35153.316334761271719,,,,,,,,,,,,,,,,20001,ALLEN
595661,704800,2000100000280001001,32362.923837761958566,,,,,,,,,,,,,,,,20001,ALLEN
595662,704801,2000100000280002001,60977.117475516875857,,,,,,,,,,,,,,,,20001,ALLEN
595663,704802,2000100000280003001,19472.213383044745569,,,,,,,,,,,,,,,,20001,ALLEN
595664,704803,2000100000150004001,15257.236438575258944,,,,,,,,,,,,,,,,20001,ALLEN
595665,704804,2000100000500001001,32387.861304002344696,,,,,,,,,,,,,,,,20001,ALLEN
595666,704805,2000100000500002001,27295.959866854205757,,,,,,,,,,,,,,,,20001,ALLEN
