,UID,SCTFS,Shape_Area,AREA_2020,AREA_2019,AREA_2018,AREA_2017,AREA_2016,AREA_2015,AREA_2014,AREA_2013,AREA_2012,AREA_2011,AREA_2010,AREA_2009,AREA_2008,AREA_2007,AREA_2006,FIPSSTCO,County
604667,714802,2000700089270024001,33685.962759543770517,,,,,,,,,,,,,,,,20007,BARBER
604668,714803,2000700089270007001,74110.735061153260176,,,,,,,,,,,,,,,,20007,BARBER
604669,714804,2000700089270003001,10037.697928630226670,,,,,,,,,,,,,,,,20007,BARBER
604670,714805,2000700400030076001,148036.107008739490993,,,,,,,,,,,,,,,,20007,BARBER
604671,714806,2000700400030077001,276688.670381525240373,,,,,,,,,,,,,,,,20007,BARBER
604672,714807,2000700400030078001,30020.379973828647053,,,,,,,,,,,,,,,,20007,BARBER
604673,714808,2000700400030079001,1049931.594482018379495,900.000000000000000,,,,,,,,,,,,,,,20007,BARBER
604674,714809,2000700010570015001,26481.208572056668345,,,,,900.000000000000000,,,900.000000000000000,,,1800.000000000000000,2700.000000000000000,900.000000000000000,,,20007,BARBER
604675,714810,2000700010570016001,55865.453373666896368,,,,,,,,,,,,,,,,20007,BARBER
604676,714811,2000700010570024001,46011.345137438234815,,6300.000000000000000,900.000000000000000,,28800.000000000000000,,,17100.000000000000000,,900.000000000000000,,,,,,20007,BARBER
604677,714812,2000700010570023001,333351.056476090627257,,,,,,,,,,,,,,,,20007,BARBER
604678,714813,2000700010570017001,395890.992053480003960,,,,,,,,,,,,,,,,20007,BARBER
604679,714814,2000700089270021001,13289.152517866457856,900.000000000000000,900.000000000000000,,,,,,900.000000000000000,,,900.000000000000000,,,,,20007,BARBER
604680,714815,2000700089270020001,44234.023830691352487,1800.000000000000000,3600.000000000000000,,,4500.000000000000000,,,4500.000000000000000,1800.000000000000000,,,,,,,20007,BARBER
604681,714816,2000700089270002001,14309.205567520000841,,,,,,,,,,,,,,,,20007,BARBER
604682,714817,2000700090230021001,125480.976719145226525,,,,,,,,,,,,,,,,20007,BARBER
604683,714818,2000700090230002001,250454.977635931427358,,,,,,,,,,,,,,,,20007,BARBER
604684,714819,2000700090230014001,200182.129644785978599,,,,,,,,,,,,,,,,20007,BARBER
604685,714820,2000700090230009001,8324.410691601560757,,,,,,,,,,,,,,,,20007,BARBER
604686,714821,2000700090220003001,168681.439865093183471,,,,,,,,,,,,,,,,20007,BARBER
604687,714822,2000700090220010001,120587.021933110198006,,,,,,,,,,,,,,,,20007,BARBER
604688,714823,2000700090220008001,50692.604128354687418,,,,,,,,,,,,,,,,20007,BARBER
604689,714824,2000700090220004001,8019.307849968519804,,,,,,,,,,,,,,,,20007,BARBER
604690,714825,2000700090270022001,208708.533563519507879,7200.000000000000000,,900.000000000000000,1800.000000000000000,,,,,,,,900.000000000000000,,,,20007,BARBER
604691,714826,2000700090270025001,134928.163109225046355,,,,,,,,,,,,,,,,20007,BARBER
604692,714828,2000700090230020001,4958.009167469966087,,,,,,,,,,,,,,,,20007,BARBER
604693,714830,2000700090230001001,92344.509570650334354,,,,,,,,,,900.000000000000000,,,,,,20007,BARBER
604694,714831,2000700010940003001,1768901.266009516082704,,,,,,,,,,,,,,,,20007,BARBER
604695,714832,2000700010940016001,172251.135875185049372,,,,,,,,,,,,,,,,20007,BARBER
604696,714833,2000700089270012001,32403.057510352085956,,,,,,,,,,,,,,,,20007,BARBER
604697,714835,2000700089270010001,17552.950964154857502,,,,,,900.000000000000000,,,,,,,,,,20007,BARBER
604698,714836,2000700010940043001,22933.972570517002168,,,,,,,,,,,,,,,,20007,BARBER
604699,714837,2000700010940031001,1062769.811601906316355,35100.000000000000000,15300.000000000000000,7200.000000000000000,1800.000000000000000,1800.000000000000000,27900.000000000000000,,32400.000000000000000,6300.000000000000000,71100.000000000000000,46800.000000000000000,,,,,20007,BARBER
604700,714838,2000700400030002001,200717.443293452961370,,,,,,,,,,,,,,,,20007,BARBER
604701,714839,2000700085030005001,433426.999559097457677,,,,,,,,,,,,,,,,20007,BARBER
604702,714840,2000700401510005001,194627.366355355421547,8100.000000000000000,,6300.000000000000000,,,162900.000000000000000,125100.000000000000000,67500.000000000000000,163800.000000000000000,36000.000000000000000,137700.000000000000000,,,,,20007,BARBER
604703,714841,2000700401510006001,60690.255099205642182,2700.000000000000000,,4500.000000000000000,,,43200.000000000000000,32400.000000000000000,36900.000000000000000,31500.000000000000000,10800.000000000000000,18900.000000000000000,,,,,20007,BARBER
604704,714842,2000700401510007001,30614.776634572790499,4500.000000000000000,,900.000000000000000,,,22500.000000000000000,20700.000000000000000,5400.000000000000000,18000.000000000000000,6300.000000000000000,12600.000000000000000,5400.000000000000000,1800.000000000000000,,,20007,BARBER
604705,714843,2000700401510008001,3674353.122997761238366,900.000000000000000,,,,,7200.000000000000000,5400.000000000000000,6300.000000000000000,900.000000000000000,3600.000000000000000,18900.000000000000000,,2700.000000000000000,,3136.000000000000000,20007,BARBER
604706,714844,2000700401510009001,105104.501226094129379,1800.000000000000000,,9000.000000000000000,,4500.000000000000000,74700.000000000000000,13500.000000000000000,52200.000000000000000,81000.000000000000000,23400.000000000000000,45900.000000000000000,38700.000000000000000,63000.000000000000000,12544.000000000000000,9408.000000000000000,20007,BARBER
604707,714846,2000700401510011001,671187.376684562768787,,,1800.000000000000000,2700.000000000000000,7200.000000000000000,1800.000000000000000,,,,900.000000000000000,900.000000000000000,2700.000000000000000,,,,20007,BARBER
604708,714847,2000700401510012001,39809.522623303870205,,,,,,,,,,,,900.000000000000000,,,,20007,BARBER
604709,714849,2000700082060001001,647418.643938965280540,,,,5400.000000000000000,60300.000000000000000,,,,,,,,,,,20007,BARBER
604710,714850,2000700084710002001,6126.436146575064413,,,,,,,,,,,,,,,,20007,BARBER
604711,714853,2000700082070009001,19683.285710524509341,,,,,,,,,,,,,,,,20007,BARBER
604712,714854,2000700001180003001,134316.995991335221333,,,,,,,,,,,,,,,,20007,BARBER
604713,714855,2000700001050006001,140013.089086154999677,,,,,,19800.000000000000000,96300.000000000000000,113400.000000000000000,,,,1800.000000000000000,,,,20007,BARBER
604714,714856,2000700001050011001,1589083.827926935628057,3600.000000000000000,1800.000000000000000,2700.000000000000000,,,,2700.000000000000000,,,13500.000000000000000,15300.000000000000000,,2700.000000000000000,3136.000000000000000,,20007,BARBER
604715,714857,2000700000590002001,479453.513967544189654,,,166500.000000000000000,,,,,,,,,,,,,20007,BARBER
604716,714858,2000700000590001001,134278.864498855051352,,,,,,,,,,,2700.000000000000000,,,,,20007,BARBER
604717,714860,2000700201510021001,19270.488145034592890,1800.000000000000000,900.000000000000000,,,1800.000000000000000,,,,,900.000000000000000,2700.000000000000000,900.000000000000000,900.000000000000000,,,20007,BARBER
