,UID,SCTFS,Shape_Area,AREA_2020,AREA_2019,AREA_2018,AREA_2017,AREA_2016,AREA_2015,AREA_2014,AREA_2013,AREA_2012,AREA_2011,AREA_2010,AREA_2009,AREA_2008,AREA_2007,AREA_2006,FIPSSTCO,County
656893,775523,2002502005720002001,612268.252829827950336,,,,,,,,,,,,,,,,20025,CLARK
656894,775524,2002502005720001001,1743453.866039697779343,,,,,,,,,,,,,,,,20025,CLARK
656895,775525,2002520057260021001,1148015.473520724568516,,,,165600.000000000000000,,,,,,,,,,,,20025,CLARK
656896,775526,2002520057260002001,338009.241623332374729,,,,,,,,,,,,,,,,20025,CLARK
656897,775527,2002520057260022001,32408.267689268082904,,,,,,,,,,,,,,,,20025,CLARK
656898,775528,2002502005780002001,391622.557677810254972,,,386100.000000000000000,,,387000.000000000000000,,,351900.000000000000000,,,383400.000000000000000,6300.000000000000000,,329280.000000000000000,20025,CLARK
656899,775529,2002502005780003001,637580.913551529753022,900.000000000000000,,,605700.000000000000000,,,,,,1800.000000000000000,,,3600.000000000000000,,,20025,CLARK
656900,775530,2002502005770002001,13001.153665625461144,,,,,,,,,,,,,,,6272.000000000000000,20025,CLARK
656901,775531,2002502005770004001,71021.285338869289262,,,67500.000000000000000,,,68400.000000000000000,,,,,64800.000000000000000,,,,59584.000000000000000,20025,CLARK
656902,775532,2002502005770001001,452943.078955424542073,,,424800.000000000000000,,,423900.000000000000000,,,,,424800.000000000000000,,,,407680.000000000000000,20025,CLARK
656903,775533,2002502005770003001,25250.208193941798527,,,13500.000000000000000,,,12600.000000000000000,,,,,21600.000000000000000,,,,25088.000000000000000,20025,CLARK
656904,775534,2002502005760001001,633688.520709189237095,217800.000000000000000,197100.000000000000000,207900.000000000000000,216900.000000000000000,201600.000000000000000,204300.000000000000000,206100.000000000000000,198900.000000000000000,191700.000000000000000,227700.000000000000000,188100.000000000000000,192600.000000000000000,,,,20025,CLARK
656905,775535,2002502005760002001,101189.891617447428871,,92700.000000000000000,,1800.000000000000000,96300.000000000000000,,9000.000000000000000,94500.000000000000000,,900.000000000000000,93600.000000000000000,,,34496.000000000000000,,20025,CLARK
656906,775536,2002502005760006001,27475.693982903387223,,,,,,,,,,,,,,3136.000000000000000,,20025,CLARK
656907,775537,2002502005760007001,401359.209576933179051,155700.000000000000000,73800.000000000000000,162000.000000000000000,139500.000000000000000,56700.000000000000000,171000.000000000000000,144900.000000000000000,48600.000000000000000,164700.000000000000000,137700.000000000000000,52200.000000000000000,158400.000000000000000,142200.000000000000000,6272.000000000000000,197568.000000000000000,20025,CLARK
656908,775538,2002502005760008001,16381.080454404245756,,,,,,,,,,,,,,,,20025,CLARK
656909,775539,2002502005760009001,639228.139332924387418,,374400.000000000000000,,,378900.000000000000000,900.000000000000000,,103500.000000000000000,,134100.000000000000000,6300.000000000000000,,,9408.000000000000000,9408.000000000000000,20025,CLARK
656910,775540,2002502005760010001,1121745.269963997649029,309600.000000000000000,787500.000000000000000,,24300.000000000000000,1101600.000000000000000,,,1110600.000000000000000,,,1109700.000000000000000,,1800.000000000000000,1081920.000000000000000,,20025,CLARK
656911,775541,2002502005760011001,774555.231084999511950,,760500.000000000000000,900.000000000000000,,751500.000000000000000,1800.000000000000000,,759600.000000000000000,,,762300.000000000000000,,,755776.000000000000000,,20025,CLARK
656912,775542,2002502005760012001,9463.200799465234013,,9000.000000000000000,,,6300.000000000000000,,,6300.000000000000000,,,6300.000000000000000,,,,,20025,CLARK
656913,775543,2002502005760003001,499561.905198271211702,16200.000000000000000,233100.000000000000000,1800.000000000000000,45900.000000000000000,207900.000000000000000,,52200.000000000000000,12600.000000000000000,21600.000000000000000,423900.000000000000000,,12600.000000000000000,441900.000000000000000,,15680.000000000000000,20025,CLARK
656914,775544,2002502005760013001,33426.842681975234882,1800.000000000000000,1800.000000000000000,,,1800.000000000000000,,,,,,,,,,,20025,CLARK
656915,775545,2002520057100001001,631467.500284958630800,227700.000000000000000,1800.000000000000000,152100.000000000000000,242100.000000000000000,206100.000000000000000,193500.000000000000000,218700.000000000000000,189900.000000000000000,188100.000000000000000,219600.000000000000000,192600.000000000000000,189900.000000000000000,227700.000000000000000,153664.000000000000000,,20025,CLARK
656916,775547,2002502005760014001,292907.418445964111015,,118800.000000000000000,155700.000000000000000,,,2700.000000000000000,3600.000000000000000,16200.000000000000000,900.000000000000000,,,23400.000000000000000,,,12544.000000000000000,20025,CLARK
656917,775548,2002502005760015001,198650.567336503998376,139500.000000000000000,,,,17100.000000000000000,900.000000000000000,,16200.000000000000000,,,,900.000000000000000,9900.000000000000000,,6272.000000000000000,20025,CLARK
656918,775549,2002502005760016001,152311.398121466016164,2700.000000000000000,,,,,,,900.000000000000000,,,,,,,,20025,CLARK
656919,775550,2002520057120005001,91541.031040046887938,,,80100.000000000000000,,,,,,75600.000000000000000,,,79200.000000000000000,,,,20025,CLARK
656920,775551,2002520057120006001,362519.938785074977204,346500.000000000000000,262800.000000000000000,,900.000000000000000,354600.000000000000000,,,,,,,,,,,20025,CLARK
656921,775552,2002520057120003001,432283.983734376495704,351000.000000000000000,,900.000000000000000,419400.000000000000000,900.000000000000000,,,,,,,,,,,20025,CLARK
656922,775553,2002520057120004001,421627.435767364746425,9000.000000000000000,,1800.000000000000000,7200.000000000000000,900.000000000000000,,,8100.000000000000000,,,,2700.000000000000000,,,,20025,CLARK
656923,775554,2002520057120001001,160765.734442246670369,900.000000000000000,,142200.000000000000000,,,,,1800.000000000000000,,,,,,,,20025,CLARK
656924,775555,2002502005790002001,35368.648558235268865,,,,,,,,,,,,,,,,20025,CLARK
656925,775556,2002502005790001001,418231.667424003884662,,,,,,,,,1800.000000000000000,,,,,,,20025,CLARK
656926,775557,2002502005790006001,549709.768596382462420,,,,,,,,1800.000000000000000,,,,,,,,20025,CLARK
656927,775558,2002502005790003001,266802.900888185424265,,,,,,,,,,,,,,,,20025,CLARK
656928,775559,2002502005790005001,27318.467187870384805,,,,,,,,,,,,,,,,20025,CLARK
656929,775560,2002502005790004001,5630.908708563630171,,,,,,,,,,,,,,,,20025,CLARK
656930,775561,2002502005750001001,668970.194461081759073,6300.000000000000000,90900.000000000000000,153900.000000000000000,38700.000000000000000,35100.000000000000000,180900.000000000000000,310500.000000000000000,59400.000000000000000,18900.000000000000000,13500.000000000000000,14400.000000000000000,149400.000000000000000,27900.000000000000000,18816.000000000000000,159936.000000000000000,20025,CLARK
656931,775562,2002502005750002001,16804.507395560154691,,,900.000000000000000,13500.000000000000000,,1800.000000000000000,11700.000000000000000,,900.000000000000000,,,1800.000000000000000,,,,20025,CLARK
656932,775563,2002502005750004001,22609.928316019329941,,,,2700.000000000000000,,,5400.000000000000000,,,,,,,,3136.000000000000000,20025,CLARK
656933,775564,2002502005750005001,816805.656500614946708,293400.000000000000000,323100.000000000000000,3600.000000000000000,447300.000000000000000,,327600.000000000000000,315900.000000000000000,,,,,900.000000000000000,,,,20025,CLARK
656934,775565,2002502005760017001,2560336.143587550614029,1235700.000000000000000,540000.000000000000000,,1565100.000000000000000,549000.000000000000000,61200.000000000000000,1176300.000000000000000,1202400.000000000000000,1128600.000000000000000,173700.000000000000000,495000.000000000000000,790200.000000000000000,216000.000000000000000,473536.000000000000000,1310848.000000000000000,20025,CLARK
