,UID,SCTFS,Shape_Area,AREA_2020,AREA_2019,AREA_2018,AREA_2017,AREA_2016,AREA_2015,AREA_2014,AREA_2013,AREA_2012,AREA_2011,AREA_2010,AREA_2009,AREA_2008,AREA_2007,AREA_2006,FIPSSTCO,County
30120,33249,2002900023450007001,6416.380549373286158,,,,,,,,,,,,,,,,20029,CLOUD
30121,33250,2002900041640012001,5068.026773912367389,,,,3600.000000000000000,,1800.000000000000000,,,,900.000000000000000,,,,,,20029,CLOUD
30122,33251,2002900038980008001,47914.553317543213780,,9000.000000000000000,,,,,,,,1800.000000000000000,,,1800.000000000000000,,,20029,CLOUD
30123,33252,2002900012860005001,105940.345323223868036,,,,,,,,,,,,,,,,20029,CLOUD
30124,33253,2002900006930001001,99756.505135876170243,,900.000000000000000,18000.000000000000000,9000.000000000000000,,,46800.000000000000000,40500.000000000000000,,,,5400.000000000000000,3600.000000000000000,,,20029,CLOUD
30125,33254,2002900022170007001,4366.697065118076353,2700.000000000000000,2700.000000000000000,,,,,,,,,,,,,,20029,CLOUD
30127,33256,2002900000070001001,20243.325192850676103,,,,,,,,,,,,,,,,20029,CLOUD
30128,33257,2002900005710001001,60120.517285373389313,,4500.000000000000000,,,13500.000000000000000,61200.000000000000000,,,4500.000000000000000,59400.000000000000000,1800.000000000000000,,,,,20029,CLOUD
30129,33258,2002900026100002001,218522.064581583923427,7200.000000000000000,,2700.000000000000000,,2700.000000000000000,,,5400.000000000000000,,6300.000000000000000,,,,6272.000000000000000,175616.000000000000000,20029,CLOUD
30130,33259,2002900015000005001,37081.980314164706215,900.000000000000000,10800.000000000000000,,,,2700.000000000000000,4500.000000000000000,2700.000000000000000,33300.000000000000000,,,27900.000000000000000,,,34496.000000000000000,20029,CLOUD
30131,33260,2002900014990002001,6146.940910391689613,,1800.000000000000000,4500.000000000000000,,,,,,,1800.000000000000000,,,,,,20029,CLOUD
30132,33261,2002900016690011001,43923.797676230984507,4500.000000000000000,4500.000000000000000,,8100.000000000000000,,,,9900.000000000000000,,,,,,,,20029,CLOUD
30133,33262,2002900019580008001,56797.717341255149222,900.000000000000000,,,900.000000000000000,,,1800.000000000000000,1800.000000000000000,,,900.000000000000000,,,,,20029,CLOUD
30134,33263,2002900001660001001,54472.740431866252038,2700.000000000000000,38700.000000000000000,45000.000000000000000,,,15300.000000000000000,33300.000000000000000,,,,3600.000000000000000,39600.000000000000000,,,,20029,CLOUD
30135,33265,2002900009420010001,52998.189546599955065,,900.000000000000000,,,,,1800.000000000000000,3600.000000000000000,900.000000000000000,,,,9900.000000000000000,3136.000000000000000,,20029,CLOUD
30137,33267,2002900023870005001,32424.295621279732586,,,,,900.000000000000000,,,,,3600.000000000000000,,1800.000000000000000,11700.000000000000000,,3136.000000000000000,20029,CLOUD
30138,33268,2002900041190017001,290232.086718022299465,11700.000000000000000,7200.000000000000000,5400.000000000000000,3600.000000000000000,,9900.000000000000000,12600.000000000000000,1800.000000000000000,3600.000000000000000,,2700.000000000000000,900.000000000000000,900.000000000000000,,238336.000000000000000,20029,CLOUD
30139,33269,2002900017040001001,87642.712515792518388,18900.000000000000000,,,,1800.000000000000000,,,,,10800.000000000000000,1800.000000000000000,,1800.000000000000000,,,20029,CLOUD
30140,33270,2002900032660023001,5063.635473757225554,,,,,,,,,,,,,,,,20029,CLOUD
30141,33271,2002900011570001001,26317.727498966156418,,21600.000000000000000,,,1800.000000000000000,21600.000000000000000,,,,900.000000000000000,13500.000000000000000,18000.000000000000000,,,,20029,CLOUD
30142,33274,2002900020140003001,6036.122681147739058,,900.000000000000000,,,,,,,,,,,900.000000000000000,,,20029,CLOUD
30143,33275,2002900019300001001,293418.345753380039241,2700.000000000000000,171900.000000000000000,1800.000000000000000,2700.000000000000000,5400.000000000000000,900.000000000000000,,900.000000000000000,3600.000000000000000,,,204300.000000000000000,271800.000000000000000,269696.000000000000000,272832.000000000000000,20029,CLOUD
30144,33276,2002900014400005001,132764.187467668991303,,,900.000000000000000,,1800.000000000000000,87300.000000000000000,59400.000000000000000,22500.000000000000000,,900.000000000000000,,900.000000000000000,,,12544.000000000000000,20029,CLOUD
30145,33277,2002900003640001001,26275.586472490467713,6300.000000000000000,,,,12600.000000000000000,12600.000000000000000,,,,,,,,,21952.000000000000000,20029,CLOUD
30146,33278,2002900035750009001,508718.334572423365898,,,,,6300.000000000000000,900.000000000000000,1800.000000000000000,,,6300.000000000000000,,,,,,20029,CLOUD
30147,33279,2002900023740003001,107221.894460725059616,,,,,,,,,,,,,,,,20029,CLOUD
