,UID,SCTFS,Shape_Area,AREA_2020,AREA_2019,AREA_2018,AREA_2017,AREA_2016,AREA_2015,AREA_2014,AREA_2013,AREA_2012,AREA_2011,AREA_2010,AREA_2009,AREA_2008,AREA_2007,AREA_2006,FIPSSTCO,County
660616,779441,2003300020360002001,33282.574042593907507,,,,,,,,,,,,,,,,20033,COMANCHE
660625,779450,2003300006970003001,102056.629709834247478,900.000000000000000,,,,92700.000000000000000,,,,,,,,,,,20033,COMANCHE
660626,779451,2003300006970004001,98385.868085882277228,900.000000000000000,,1800.000000000000000,,92700.000000000000000,,,,,,,,,,,20033,COMANCHE
660627,779452,2003300012040019001,22741.876853063495219,,,,,,,,,,,,,,,,20033,COMANCHE
660628,779453,2003300012040013001,12243.822667869280849,,,,,,,,,,,,,,,,20033,COMANCHE
660629,779454,2003300012050014001,227903.935824155138107,,,,,,,,,,,,,,,3136.000000000000000,20033,COMANCHE
660630,779455,2003300012050015001,120203.993414434517035,,,,,,,,,,,,,,,,20033,COMANCHE
660631,779456,2003300012050026001,70591.284038836223772,,,,,,,,,,,,,,,,20033,COMANCHE
660632,779457,2003300012050008001,398851.462551360367797,,,,,,,,,,,,,,,,20033,COMANCHE
660633,779458,2003300012050007001,343132.333428579848260,,,,,,,,,,,,,,,,20033,COMANCHE
660634,779459,2003300012050006001,91595.354966760234674,,,,,,,,,,,,,,,,20033,COMANCHE
660635,779460,2003300012050017001,14570.930327387861325,,,,,,,,,,,,,,,,20033,COMANCHE
660636,779461,2003300012050009001,308570.655211474164389,,,,,,,,,,,,,,,,20033,COMANCHE
660637,779462,2003300015180013001,1272767.057665116852149,,,,,,,,,,1800.000000000000000,,,,,3136.000000000000000,20033,COMANCHE
660638,779464,2003300012050027001,19126.228264092183963,,,,,,,,,,,,,,,,20033,COMANCHE
660639,779465,2003300015180023001,20354.027459171182272,,,,,,,,,,,,,,,,20033,COMANCHE
660640,779466,2003300006970008001,2289222.422634921036661,,,,,,,,,,20700.000000000000000,,,,,,20033,COMANCHE
