,UID,SCTFS,Shape_Area,AREA_2020,AREA_2019,AREA_2018,AREA_2017,AREA_2016,AREA_2015,AREA_2014,AREA_2013,AREA_2012,AREA_2011,AREA_2010,AREA_2009,AREA_2008,AREA_2007,AREA_2006,FIPSSTCO,County
102888,114457,2004100102500001001,100803.056644674186828,,,,,,,64800.000000000000000,3600.000000000000000,,900.000000000000000,900.000000000000000,900.000000000000000,82800.000000000000000,,21952.000000000000000,20041,DICKINSON
103118,114706,2004100103810002001,6142.122057373995631,,,,,1800.000000000000000,900.000000000000000,,,,,,,,,,20041,DICKINSON
103453,115070,2004100102500007001,4192.808687947218459,,,,,,,,,,,,,,,,20041,DICKINSON
103631,115268,2004100102500008001,24993.481470957009151,,,,,,,,,,,,5400.000000000000000,,,12544.000000000000000,20041,DICKINSON
103679,115323,2004100102500009001,40276.571820928053057,6300.000000000000000,,,,,,900.000000000000000,2700.000000000000000,900.000000000000000,4500.000000000000000,2700.000000000000000,,900.000000000000000,3136.000000000000000,6272.000000000000000,20041,DICKINSON
103716,115367,2004100102500002001,17581.724897332613182,,,,,,,,,,,,,,,,20041,DICKINSON
103826,115487,2004100102500001002,111369.494763371752924,,,,,,900.000000000000000,39600.000000000000000,6300.000000000000000,,,,110700.000000000000000,,3136.000000000000000,103488.000000000000000,20041,DICKINSON
103977,115652,2004100102500005001,47167.263196358660934,1800.000000000000000,,,,,,1800.000000000000000,5400.000000000000000,,,6300.000000000000000,,,3136.000000000000000,,20041,DICKINSON
104292,115989,2004100102500001003,35990.535786861466477,,,,,,,1800.000000000000000,5400.000000000000000,,,,,900.000000000000000,15680.000000000000000,,20041,DICKINSON
104373,116080,2004100103810001001,181121.783026408811565,,,,,3600.000000000000000,,22500.000000000000000,154800.000000000000000,900.000000000000000,,4500.000000000000000,162900.000000000000000,3600.000000000000000,,3136.000000000000000,20041,DICKINSON
104516,116236,2004100103810001002,135008.256449266977143,,,,,2700.000000000000000,110700.000000000000000,,,1800.000000000000000,14400.000000000000000,,2700.000000000000000,,9408.000000000000000,65856.000000000000000,20041,DICKINSON
104605,116336,2004100103810001003,255028.651593628368573,,,,,232200.000000000000000,,,9900.000000000000000,236700.000000000000000,,900.000000000000000,,231300.000000000000000,6272.000000000000000,,20041,DICKINSON
510127,590080,2004100103810004001,31808.648541044873127,,,,,900.000000000000000,,,,,,,,,,,20041,DICKINSON
1008567,1179433,2004100006130003001,106588.429492668379680,900.000000000000000,,,8100.000000000000000,900.000000000000000,900.000000000000000,900.000000000000000,,900.000000000000000,,6300.000000000000000,900.000000000000000,1800.000000000000000,9408.000000000000000,,20041,DICKINSON
1008568,1179434,2004100005320001001,206458.567451585171511,,,68400.000000000000000,3600.000000000000000,135000.000000000000000,62100.000000000000000,,60300.000000000000000,2700.000000000000000,4500.000000000000000,900.000000000000000,900.000000000000000,171900.000000000000000,3136.000000000000000,28224.000000000000000,20041,DICKINSON
1008569,1179435,2004100005690002001,242826.938469216838712,,3600.000000000000000,173700.000000000000000,,900.000000000000000,1800.000000000000000,188100.000000000000000,,50400.000000000000000,217800.000000000000000,,10800.000000000000000,,,,20041,DICKINSON
