,UID,SCTFS,Shape_Area,AREA_2020,AREA_2019,AREA_2018,AREA_2017,AREA_2016,AREA_2015,AREA_2014,AREA_2013,AREA_2012,AREA_2011,AREA_2010,AREA_2009,AREA_2008,AREA_2007,AREA_2006,FIPSSTCO,County
69099,78087,2004700065100001001,394340.455680607818067,9000.000000000000000,119700.000000000000000,,,,900.000000000000000,,,,,1800.000000000000000,,5400.000000000000000,47040.000000000000000,,20047,EDWARDS
69100,78088,2004700007100001001,509532.089244953240268,900.000000000000000,72000.000000000000000,494100.000000000000000,3600.000000000000000,900.000000000000000,37800.000000000000000,,23400.000000000000000,8100.000000000000000,3600.000000000000000,,8100.000000000000000,2700.000000000000000,3136.000000000000000,18816.000000000000000,20047,EDWARDS
69101,78089,2004700009430001001,355365.745710038871039,339300.000000000000000,,,8100.000000000000000,,10800.000000000000000,,,338400.000000000000000,,,337500.000000000000000,,,9408.000000000000000,20047,EDWARDS
69102,78090,2004700006510001001,28809.074901874664647,,,,,,,,,,1800.000000000000000,900.000000000000000,,19800.000000000000000,,,20047,EDWARDS
69103,78091,2004700009100001001,74319.716648276051274,,,,4500.000000000000000,67500.000000000000000,,,30600.000000000000000,,2700.000000000000000,,,47700.000000000000000,,,20047,EDWARDS
69104,78092,2004700065510001001,471034.060131617705338,89100.000000000000000,1800.000000000000000,296100.000000000000000,6300.000000000000000,13500.000000000000000,62100.000000000000000,4500.000000000000000,19800.000000000000000,48600.000000000000000,6300.000000000000000,,17100.000000000000000,900.000000000000000,,6272.000000000000000,20047,EDWARDS
69105,78093,2004700012450003001,24442.932110656765872,,900.000000000000000,,7200.000000000000000,,,,,,6300.000000000000000,,,11700.000000000000000,,,20047,EDWARDS
69106,78094,2004700015250001001,520882.853243005869444,13500.000000000000000,2700.000000000000000,2700.000000000000000,36900.000000000000000,24300.000000000000000,900.000000000000000,900.000000000000000,5400.000000000000000,,,18000.000000000000000,36900.000000000000000,9000.000000000000000,,,20047,EDWARDS
69107,78095,2004700073210002001,318270.056287657527719,37800.000000000000000,264600.000000000000000,,,81000.000000000000000,85500.000000000000000,107100.000000000000000,,189000.000000000000000,,900.000000000000000,,,,,20047,EDWARDS
69108,78096,2004700001030001001,225966.236846523213899,,6300.000000000000000,,,10800.000000000000000,,,,,,,,,,,20047,EDWARDS
69109,78097,2004700071650006001,98611.328103604770149,53100.000000000000000,,,900.000000000000000,,,,,,,,92700.000000000000000,,,,20047,EDWARDS
69110,78098,2004700013110002001,166026.699276254395954,900.000000000000000,,,,,,,,,8100.000000000000000,,7200.000000000000000,,,6272.000000000000000,20047,EDWARDS
69111,78099,2004700070240001001,40602.358827913558343,,,,,,,,,,4500.000000000000000,,,,,3136.000000000000000,20047,EDWARDS
69112,78100,2004700004430001001,35050.552361752037541,,5400.000000000000000,,,900.000000000000000,,,,,5400.000000000000000,1800.000000000000000,900.000000000000000,8100.000000000000000,,,20047,EDWARDS
69113,78101,2004700007390001001,81174.775769706917345,5400.000000000000000,,15300.000000000000000,17100.000000000000000,,,2700.000000000000000,8100.000000000000000,1800.000000000000000,31500.000000000000000,,69300.000000000000000,73800.000000000000000,,,20047,EDWARDS
69114,78102,2004700009150001001,248594.173414414370200,,234000.000000000000000,,,,,,,,226800.000000000000000,,,237600.000000000000000,,,20047,EDWARDS
69115,78103,2004700074830002001,5768.629798192107046,,,,,,,,3600.000000000000000,,,,,,,,20047,EDWARDS
69116,78104,2004700073560004001,41113.793931079366303,40500.000000000000000,,,30600.000000000000000,,,,,,,,,,,6272.000000000000000,20047,EDWARDS
69117,78105,2004700018470007001,51882.487696285817947,10800.000000000000000,1800.000000000000000,1800.000000000000000,10800.000000000000000,2700.000000000000000,4500.000000000000000,,2700.000000000000000,6300.000000000000000,,900.000000000000000,,,,9408.000000000000000,20047,EDWARDS
69118,78106,2004700009670001001,266231.690022464666981,,900.000000000000000,,,,,,,,,,,1800.000000000000000,,,20047,EDWARDS
69119,78107,2004700069190001001,13911.494623000789943,1800.000000000000000,2700.000000000000000,,,,,,15300.000000000000000,,,2700.000000000000000,,900.000000000000000,,,20047,EDWARDS
69120,78108,2004700018390001001,25862.216874797624769,10800.000000000000000,,17100.000000000000000,,,2700.000000000000000,16200.000000000000000,,,,,5400.000000000000000,18000.000000000000000,,15680.000000000000000,20047,EDWARDS
69121,78109,2004700004680002001,509113.178415967617184,900.000000000000000,,,4500.000000000000000,,9900.000000000000000,13500.000000000000000,,,5400.000000000000000,1800.000000000000000,7200.000000000000000,900.000000000000000,9408.000000000000000,9408.000000000000000,20047,EDWARDS
69122,78110,2004700068570002001,29921.210710250732518,900.000000000000000,4500.000000000000000,25200.000000000000000,900.000000000000000,2700.000000000000000,27900.000000000000000,11700.000000000000000,,,900.000000000000000,5400.000000000000000,9000.000000000000000,3600.000000000000000,,,20047,EDWARDS
69123,78111,2004700010570006001,99100.045400435716147,,3600.000000000000000,90000.000000000000000,,,91800.000000000000000,,,,10800.000000000000000,,,900.000000000000000,3136.000000000000000,56448.000000000000000,20047,EDWARDS
69124,78112,2004700017940002001,525640.901298895129003,40500.000000000000000,900.000000000000000,12600.000000000000000,3600.000000000000000,2700.000000000000000,4500.000000000000000,14400.000000000000000,23400.000000000000000,7200.000000000000000,14400.000000000000000,900.000000000000000,900.000000000000000,7200.000000000000000,,37632.000000000000000,20047,EDWARDS
69125,78113,2004700004820004001,29385.096866085303191,2700.000000000000000,23400.000000000000000,900.000000000000000,,8100.000000000000000,,,,,,1800.000000000000000,1800.000000000000000,2700.000000000000000,,,20047,EDWARDS
69126,78114,2004700008180001001,302588.357669946271926,94500.000000000000000,,174600.000000000000000,97200.000000000000000,2700.000000000000000,193500.000000000000000,82800.000000000000000,,193500.000000000000000,99900.000000000000000,2700.000000000000000,204300.000000000000000,59400.000000000000000,,18816.000000000000000,20047,EDWARDS
69127,78115,2004700063170002001,60236.730344929579587,900.000000000000000,,3600.000000000000000,2700.000000000000000,,3600.000000000000000,,,4500.000000000000000,3600.000000000000000,10800.000000000000000,2700.000000000000000,7200.000000000000000,3136.000000000000000,3136.000000000000000,20047,EDWARDS
69128,78116,2004700019770003001,303543.824898973281961,900.000000000000000,,288900.000000000000000,292500.000000000000000,,7200.000000000000000,254700.000000000000000,,5400.000000000000000,285300.000000000000000,,,253800.000000000000000,260288.000000000000000,,20047,EDWARDS
69129,78117,2004700070010002001,59096.565574631829804,45900.000000000000000,,,25200.000000000000000,,,19800.000000000000000,,,35100.000000000000000,,,36900.000000000000000,3136.000000000000000,,20047,EDWARDS
