,UID,SCTFS,Shape_Area,AREA_2020,AREA_2019,AREA_2018,AREA_2017,AREA_2016,AREA_2015,AREA_2014,AREA_2013,AREA_2012,AREA_2011,AREA_2010,AREA_2009,AREA_2008,AREA_2007,AREA_2006,FIPSSTCO,County
73685,82845,2005100004950001001,284447.655237123020925,,900.000000000000000,264600.000000000000000,,,264600.000000000000000,243900.000000000000000,,,,260100.000000000000000,,,188160.000000000000000,100352.000000000000000,20051,ELLIS
73686,82846,2005100005180006001,13615.392890540555527,,,,,,,,,,2700.000000000000000,10800.000000000000000,10800.000000000000000,,,,20051,ELLIS
73687,82847,2005100001560001001,68862.515937234202283,,1800.000000000000000,1800.000000000000000,,,,,,,6300.000000000000000,41400.000000000000000,,,,,20051,ELLIS
73688,82848,2005100013730002001,10606.505056974014224,,,,,,,,,,,,,,,,20051,ELLIS
73689,82849,2005128322380001001,184444.311634250887437,87300.000000000000000,4500.000000000000000,146700.000000000000000,144000.000000000000000,133200.000000000000000,,,,46800.000000000000000,159300.000000000000000,,,,,34496.000000000000000,20051,ELLIS
73690,82850,2005100007220001001,24913.803624820076948,23400.000000000000000,20700.000000000000000,22500.000000000000000,22500.000000000000000,,,,21600.000000000000000,,,,24300.000000000000000,,,,20051,ELLIS
73691,82852,2005100005100005001,7293.564633838364898,,900.000000000000000,,,,,,,6300.000000000000000,6300.000000000000000,,,,,6272.000000000000000,20051,ELLIS
73692,82853,2005100012410006001,50597.886197849657037,18900.000000000000000,15300.000000000000000,900.000000000000000,,29700.000000000000000,37800.000000000000000,26100.000000000000000,900.000000000000000,,,,4500.000000000000000,,,,20051,ELLIS
73693,82856,2005100020380004001,75705.859807634886238,50400.000000000000000,41400.000000000000000,,,,66600.000000000000000,,,39600.000000000000000,,,,51300.000000000000000,12544.000000000000000,6272.000000000000000,20051,ELLIS
73694,82857,2005100002090002001,16601.810219419425266,900.000000000000000,,900.000000000000000,900.000000000000000,,,,,,,,,1800.000000000000000,,,20051,ELLIS
73695,82858,2005100026600004001,44449.175985589201446,,,,,,,,,,,,,,,,20051,ELLIS
73696,82859,2005100007430002001,92922.147593802059419,900.000000000000000,,29700.000000000000000,34200.000000000000000,18900.000000000000000,31500.000000000000000,3600.000000000000000,,,,2700.000000000000000,27900.000000000000000,900.000000000000000,,,20051,ELLIS
73697,82861,2005100101690002001,74953.420820885177818,72000.000000000000000,,40500.000000000000000,25200.000000000000000,62100.000000000000000,62100.000000000000000,51300.000000000000000,,,43200.000000000000000,17100.000000000000000,,,,31360.000000000000000,20051,ELLIS
73698,82862,2005100017610001001,156255.584690579038579,128700.000000000000000,127800.000000000000000,101700.000000000000000,,37800.000000000000000,,,129600.000000000000000,115200.000000000000000,7200.000000000000000,49500.000000000000000,66600.000000000000000,134100.000000000000000,100352.000000000000000,59584.000000000000000,20051,ELLIS
73699,82863,2005100011280006001,152131.468982979218708,,144900.000000000000000,1800.000000000000000,,,144900.000000000000000,,,900.000000000000000,142200.000000000000000,,,,,,20051,ELLIS
73700,82864,2005100010720002001,31886.779293504780071,,4500.000000000000000,3600.000000000000000,2700.000000000000000,5400.000000000000000,2700.000000000000000,6300.000000000000000,5400.000000000000000,9000.000000000000000,,,,,,3136.000000000000000,20051,ELLIS
73701,82865,2005100028550004001,164068.352600534213707,145800.000000000000000,,14400.000000000000000,143100.000000000000000,144900.000000000000000,22500.000000000000000,9900.000000000000000,142200.000000000000000,162000.000000000000000,,27900.000000000000000,153900.000000000000000,,,21952.000000000000000,20051,ELLIS
73702,82867,2005100103600002001,204148.922334302973468,,200700.000000000000000,,,162000.000000000000000,,,171900.000000000000000,,,,,,,,20051,ELLIS
73703,82868,2005100011840002001,45611.640388068604807,7200.000000000000000,7200.000000000000000,36900.000000000000000,23400.000000000000000,27000.000000000000000,18000.000000000000000,35100.000000000000000,7200.000000000000000,36000.000000000000000,23400.000000000000000,13500.000000000000000,27000.000000000000000,36000.000000000000000,15680.000000000000000,12544.000000000000000,20051,ELLIS
73704,82869,2005100011690001001,201506.749762694525998,,,900.000000000000000,,,,,,,,,,1800.000000000000000,,,20051,ELLIS
73705,82870,2005100008050002001,84085.840225825901143,,,,,,,,,,,,,,,,20051,ELLIS
73706,82871,2005100030650006001,89245.123460239788983,81900.000000000000000,,,85500.000000000000000,,900.000000000000000,74700.000000000000000,,,84600.000000000000000,,,73800.000000000000000,,,20051,ELLIS
73707,82873,2005100029900003001,11120.095559266344935,,,,,,,,,5400.000000000000000,8100.000000000000000,3600.000000000000000,9000.000000000000000,7200.000000000000000,3136.000000000000000,,20051,ELLIS
73708,82874,2005100017830002001,115990.249585252691759,,,,91800.000000000000000,102600.000000000000000,,,102600.000000000000000,110700.000000000000000,,,,107100.000000000000000,,,20051,ELLIS
73709,82875,2005100029720002001,17057.839800472254865,2700.000000000000000,2700.000000000000000,3600.000000000000000,7200.000000000000000,,900.000000000000000,4500.000000000000000,1800.000000000000000,,9000.000000000000000,,,,,,20051,ELLIS
73710,82876,2005100009240003001,9390.960297385814556,,,,,,,,,,,,,,,,20051,ELLIS
73711,82877,2005100014130001001,35743.647364626434864,35100.000000000000000,8100.000000000000000,34200.000000000000000,,,30600.000000000000000,,,39600.000000000000000,,,,24300.000000000000000,15680.000000000000000,,20051,ELLIS
