,UID,SCTFS,Shape_Area,AREA_2020,AREA_2019,AREA_2018,AREA_2017,AREA_2016,AREA_2015,AREA_2014,AREA_2013,AREA_2012,AREA_2011,AREA_2010,AREA_2009,AREA_2008,AREA_2007,AREA_2006,FIPSSTCO,County
14490,16885,2005302000930004001,35870.240918019662786,,,,,,,,,900.000000000000000,,,,,,,20053,ELLSWORTH
14555,16951,2005302000910003001,34876.125290995769319,31500.000000000000000,,,24300.000000000000000,,,,,,900.000000000000000,11700.000000000000000,,,,,20053,ELLSWORTH
14739,17140,2005302000980002001,68906.164158778032288,2700.000000000000000,,,6300.000000000000000,,,,,900.000000000000000,54000.000000000000000,56700.000000000000000,,,,,20053,ELLSWORTH
14817,17220,2005302000910005002,98211.351478310767561,4500.000000000000000,86400.000000000000000,,900.000000000000000,,68400.000000000000000,,,,76500.000000000000000,900.000000000000000,,61200.000000000000000,31360.000000000000000,,20053,ELLSWORTH
14869,17272,2005302000960001001,94258.062168139367714,41400.000000000000000,2700.000000000000000,900.000000000000000,55800.000000000000000,42300.000000000000000,,,49500.000000000000000,38700.000000000000000,,10800.000000000000000,44100.000000000000000,38700.000000000000000,,,20053,ELLSWORTH
14921,17325,2005302000920008001,389453.746935743954964,33300.000000000000000,36000.000000000000000,168300.000000000000000,35100.000000000000000,2700.000000000000000,31500.000000000000000,,163800.000000000000000,131400.000000000000000,22500.000000000000000,18900.000000000000000,47700.000000000000000,110700.000000000000000,,94080.000000000000000,20053,ELLSWORTH
14939,17344,2005302000930003001,73760.947527844065917,,,5400.000000000000000,5400.000000000000000,19800.000000000000000,35100.000000000000000,900.000000000000000,900.000000000000000,,69300.000000000000000,,,,,3136.000000000000000,20053,ELLSWORTH
15653,18072,2005302000930001001,82343.750328206588165,900.000000000000000,,12600.000000000000000,,24300.000000000000000,41400.000000000000000,15300.000000000000000,33300.000000000000000,,4500.000000000000000,27000.000000000000000,66600.000000000000000,56700.000000000000000,9408.000000000000000,,20053,ELLSWORTH
17674,20174,2005320009110001001,146157.784393217792967,,,,5400.000000000000000,,,9900.000000000000000,133200.000000000000000,,,,,2700.000000000000000,,,20053,ELLSWORTH
17730,20230,2005302000980001001,368994.632582511461806,12600.000000000000000,,900.000000000000000,15300.000000000000000,900.000000000000000,,,900.000000000000000,900.000000000000000,329400.000000000000000,326700.000000000000000,,,,,20053,ELLSWORTH
18552,21072,2005302000910002002,74777.282449219652335,73800.000000000000000,,,61200.000000000000000,,,,70200.000000000000000,,,900.000000000000000,57600.000000000000000,,,,20053,ELLSWORTH
18859,21383,2005302000990001001,70104.470648903821711,61200.000000000000000,,,1800.000000000000000,,,,53100.000000000000000,2700.000000000000000,36900.000000000000000,19800.000000000000000,52200.000000000000000,,,,20053,ELLSWORTH
19384,21916,2005302000910006001,110520.016547800827539,3600.000000000000000,98100.000000000000000,900.000000000000000,,,90000.000000000000000,,2700.000000000000000,76500.000000000000000,92700.000000000000000,,,4500.000000000000000,72128.000000000000000,65856.000000000000000,20053,ELLSWORTH
