,UID,SCTFS,Shape_Area,AREA_2020,AREA_2019,AREA_2018,AREA_2017,AREA_2016,AREA_2015,AREA_2014,AREA_2013,AREA_2012,AREA_2011,AREA_2010,AREA_2009,AREA_2008,AREA_2007,AREA_2006,FIPSSTCO,County
8,8,2005920003140002001,140575.887830111809308,,,,,,,,,,,,,,6272.000000000000000,,20059,FRANKLIN
133,140,2005920003430003001,101745.157167561643291,,,,,,,,,,,,,,,,20059,FRANKLIN
384,401,2005902000340002001,141198.889441508159507,,,,,,,,,,,,,,,,20059,FRANKLIN
474,494,2005920003150003001,93514.690793358502560,,900.000000000000000,,,,,,,,,,,,9408.000000000000000,,20059,FRANKLIN
484,505,2005900055390019001,242795.824529690085910,,,,,6300.000000000000000,,,14400.000000000000000,,,,,,21952.000000000000000,,20059,FRANKLIN
587,611,2005920003300011001,28161.975256894227641,,,,,,,,,,,,,,,,20059,FRANKLIN
692,718,2005902000340003001,33510.597644958215824,,,,,,,,,,,,,,,,20059,FRANKLIN
750,777,2005902000390001001,71553.640571274503600,,,,,,,,,,,,,,,,20059,FRANKLIN
764,793,2005920003400001001,7013.615394976946845,,,,,,,,,,,,,,,,20059,FRANKLIN
925,957,2005920003100001001,361651.150601049710531,900.000000000000000,,,,1800.000000000000000,,1800.000000000000000,,,,,,,169344.000000000000000,,20059,FRANKLIN
974,1009,2005920003230001001,30569.456563183797698,,,,,,,,,,,,,,,,20059,FRANKLIN
1030,1069,2005920003120002001,49546.174908288223378,,,,,,,,,,,,,,,,20059,FRANKLIN
1113,1156,2005920003150005001,271295.255384359974414,,,,,,3600.000000000000000,,,,,,,,,,20059,FRANKLIN
1203,1249,2005920003420003001,131353.806351582956268,,,,,,,,,,,,,,,,20059,FRANKLIN
1363,1417,2005920003300004001,200392.720740154560190,,,,,,,,,,,,,,3136.000000000000000,,20059,FRANKLIN
1398,1454,2005902000320002001,29700.106640980757220,,,,,,,,,,,,,,,,20059,FRANKLIN
1548,1609,2005902000360007001,285554.120297309884336,,,,,,,,,,,,,7200.000000000000000,3136.000000000000000,,20059,FRANKLIN
1648,1711,2005920003310002001,160660.679373953898903,,,,,,,,,,,,,,,,20059,FRANKLIN
1727,1795,2005920003240001001,195579.124818835407495,,,,,,,,,,,,,,,,20059,FRANKLIN
1906,1980,2005902000360002001,38007.634080007774173,,,,,,,,,,,,,,,,20059,FRANKLIN
1925,1999,2005900055550004001,22653.253257985554228,,,,,,,,,,,,,,,,20059,FRANKLIN
2036,2115,2005902000310002001,308111.740163861250039,,,,,,,,,,,,,,,,20059,FRANKLIN
2147,2231,2005920003190001001,274417.152070110663772,900.000000000000000,,,,,,4500.000000000000000,,,,,3600.000000000000000,,9408.000000000000000,,20059,FRANKLIN
2181,2266,2005900055550011001,7308.025902739458616,,,,,,,,,,,,,,,,20059,FRANKLIN
2550,2644,2005902000360008001,127120.200599954987410,,,,,,,,,,,,,,3136.000000000000000,,20059,FRANKLIN
2584,2680,2005920003160001001,67349.389980535022914,,,,,,,,,,,,,,,,20059,FRANKLIN
2633,2731,2005902000360010001,69426.431500306862290,,,,,,,,,,,,,,,,20059,FRANKLIN
2701,2801,2005920003250001001,93174.300343274706393,,,,,,,,,,,,,,,,20059,FRANKLIN
