,UID,SCTFS,Shape_Area,AREA_2020,AREA_2019,AREA_2018,AREA_2017,AREA_2016,AREA_2015,AREA_2014,AREA_2013,AREA_2012,AREA_2011,AREA_2010,AREA_2009,AREA_2008,AREA_2007,AREA_2006,FIPSSTCO,County
713397,838770,2006300042580002001,327910.536901875981130,,900.000000000000000,,,,,900.000000000000000,,,,,,,,3136.000000000000000,20063,GOVE
713398,838771,2006300049620003001,8400.373851559703326,,,,,,,,,,,,,,,,20063,GOVE
713399,838772,2006300049620001001,72448.785844412341248,900.000000000000000,,,,,,,,,13500.000000000000000,,56700.000000000000000,1800.000000000000000,,,20063,GOVE
713400,838774,2006320109010089001,8368.419202028051586,,,,,,,,,,,,,,,,20063,GOVE
713401,838775,2006320109010123001,134144.656208692525979,,900.000000000000000,,,,,,900.000000000000000,,3600.000000000000000,,,,,15680.000000000000000,20063,GOVE
713402,838776,2006320109010009001,102680.065282169685815,,,,,,,,,,,,900.000000000000000,,,3136.000000000000000,20063,GOVE
713403,838777,2006320109010001001,120682.167840530542890,,,,,,,,900.000000000000000,6300.000000000000000,1800.000000000000000,3600.000000000000000,3600.000000000000000,1800.000000000000000,,,20063,GOVE
713404,838778,2006300010670025001,48280.728279600632959,,,,,,,900.000000000000000,,,,,,900.000000000000000,,,20063,GOVE
713405,838779,2006300010670024001,537919.881627469556406,1800.000000000000000,1800.000000000000000,,3600.000000000000000,2700.000000000000000,,,,,23400.000000000000000,,,301500.000000000000000,,,20063,GOVE
713406,838780,2006300010660025001,84957.233208725549048,,2700.000000000000000,,,64800.000000000000000,,,,,,,,,,,20063,GOVE
713407,838781,2006320179010179001,382321.793894335336518,172800.000000000000000,187200.000000000000000,178200.000000000000000,87300.000000000000000,183600.000000000000000,167400.000000000000000,,173700.000000000000000,,,,,,,,20063,GOVE
713408,838782,2006320109010002001,395981.160518906952348,,2700.000000000000000,323100.000000000000000,900.000000000000000,,,,1800.000000000000000,,,900.000000000000000,,7200.000000000000000,,,20063,GOVE
713409,838783,2006300010200001001,599494.458248744718730,,,1800.000000000000000,500400.000000000000000,529200.000000000000000,567900.000000000000000,561600.000000000000000,555300.000000000000000,2700.000000000000000,1800.000000000000000,,,,,,20063,GOVE
713410,838784,2006320179010180001,235882.232794277253561,,,,,,,111600.000000000000000,,,116100.000000000000000,,,,,,20063,GOVE
713411,838785,2006320109010070001,135816.440829995583044,,,,,36900.000000000000000,,,30600.000000000000000,900.000000000000000,1800.000000000000000,43200.000000000000000,,35100.000000000000000,,72128.000000000000000,20063,GOVE
713412,838786,2006320109010071001,167597.584249847102910,,,,,14400.000000000000000,,,17100.000000000000000,9000.000000000000000,,78300.000000000000000,,20700.000000000000000,,100352.000000000000000,20063,GOVE
713413,838787,2006320109010004001,613104.248793700127862,,900.000000000000000,3600.000000000000000,,,1800.000000000000000,,,4500.000000000000000,39600.000000000000000,,,1800.000000000000000,6272.000000000000000,3136.000000000000000,20063,GOVE
713414,838788,2006300009420002001,186572.431491807568818,,,,,,,,,,,,,,97216.000000000000000,72128.000000000000000,20063,GOVE
713415,838789,2006320109010005001,620879.173988278489560,,,1800.000000000000000,,,2700.000000000000000,7200.000000000000000,,,18000.000000000000000,13500.000000000000000,,6300.000000000000000,3136.000000000000000,6272.000000000000000,20063,GOVE
713416,838790,2006320109010006001,619853.652091681142338,,,,,,900.000000000000000,,,34200.000000000000000,,,,51300.000000000000000,,,20063,GOVE
713417,838791,2006300009400006001,113229.274441895686323,,,,,,,,,,,,,,40768.000000000000000,3136.000000000000000,20063,GOVE
713418,838792,2006300009400007001,506569.406128561124206,,,,,,,,,,,,,,,21952.000000000000000,20063,GOVE
713419,838793,2006300010530003001,127399.812248933085357,2700.000000000000000,,900.000000000000000,900.000000000000000,,1800.000000000000000,,,,,900.000000000000000,,,,15680.000000000000000,20063,GOVE
713420,838796,2006300009710006001,9938.146885786891289,,,,1800.000000000000000,,1800.000000000000000,900.000000000000000,,,,,,,,12544.000000000000000,20063,GOVE
713421,838797,2006300051200001001,39995.915931784751592,,,,,,,,,900.000000000000000,,,,,,,20063,GOVE
713422,838799,2006300051190005001,248052.073866672319127,,,,900.000000000000000,,,234000.000000000000000,,,,,,,,,20063,GOVE
713423,838800,2006300051190003001,646827.277634320547804,,,,900.000000000000000,,,9000.000000000000000,900.000000000000000,,,,,,,,20063,GOVE
713424,838801,2006300048350001001,652163.721044875215739,,,,,,,,7200.000000000000000,,,,,,,,20063,GOVE
713425,838802,2006320109010072001,482404.325057512964122,900.000000000000000,900.000000000000000,1800.000000000000000,900.000000000000000,,1800.000000000000000,900.000000000000000,900.000000000000000,900.000000000000000,2700.000000000000000,,5400.000000000000000,3600.000000000000000,,,20063,GOVE
713426,838803,2006320109010073001,45895.310869400607771,900.000000000000000,900.000000000000000,,2700.000000000000000,,900.000000000000000,1800.000000000000000,,900.000000000000000,900.000000000000000,,900.000000000000000,,,,20063,GOVE
