,UID,SCTFS,Shape_Area,AREA_2020,AREA_2019,AREA_2018,AREA_2017,AREA_2016,AREA_2015,AREA_2014,AREA_2013,AREA_2012,AREA_2011,AREA_2010,AREA_2009,AREA_2008,AREA_2007,AREA_2006,FIPSSTCO,County
74920,84167,2006500000000001001,259333.565973608609056,900.000000000000000,8100.000000000000000,256500.000000000000000,,,257400.000000000000000,,900.000000000000000,254700.000000000000000,,,,,12544.000000000000000,,20065,GRAHAM
75040,84297,2006502005110001001,395732.856830135744531,,,,,,,,,,,,,,,,20065,GRAHAM
76121,85523,2006500000000002001,59673.264417576814594,,,,,,,,,,,,,,,,20065,GRAHAM
78749,88348,2006500000000001002,641167.600680853123777,,,,,,,,,,,,,,,,20065,GRAHAM
79495,89155,2006500000000002002,14695.377235933057818,,,,,,,,,,,,,,,,20065,GRAHAM
80018,89722,2006500000000006001,11659.095072262658505,,,,,,,,,,,,,,,,20065,GRAHAM
81032,90819,2006500000000002003,92723.521320984858903,,,,,,,,,,,,,,,,20065,GRAHAM
81165,90965,2006500000000002004,173950.187149080855306,,,,,,,,,,,,,,,,20065,GRAHAM
82040,91904,2006500000000008001,7503.617854889225782,,,,,,,,,,,,,,,,20065,GRAHAM
82482,92378,2006500000000002005,116348.808501886800514,,,,,,,,,,,,,,,,20065,GRAHAM
105027,116799,2006500016940001001,110703.196334531574394,,900.000000000000000,,1800.000000000000000,2700.000000000000000,5400.000000000000000,2700.000000000000000,900.000000000000000,900.000000000000000,9000.000000000000000,,10800.000000000000000,,3136.000000000000000,15680.000000000000000,20065,GRAHAM
105028,116800,2006500078240001001,275644.490294081624597,,,900.000000000000000,,,900.000000000000000,,,,1800.000000000000000,,1800.000000000000000,12600.000000000000000,,,20065,GRAHAM
105029,116801,2006500016720009001,11041.218136966988823,,,,6300.000000000000000,,,6300.000000000000000,,,6300.000000000000000,,,9000.000000000000000,,,20065,GRAHAM
105030,116802,2006500008540001001,142788.495981812942773,2700.000000000000000,6300.000000000000000,2700.000000000000000,2700.000000000000000,3600.000000000000000,2700.000000000000000,2700.000000000000000,,4500.000000000000000,4500.000000000000000,,,,,,20065,GRAHAM
105032,116804,2006500076730006001,408704.708199844986666,5400.000000000000000,,,2700.000000000000000,,,,,,2700.000000000000000,,,6300.000000000000000,53312.000000000000000,,20065,GRAHAM
105033,116805,2006500082910002001,87442.417695207041106,,,,,66600.000000000000000,,,85500.000000000000000,,,65700.000000000000000,,2700.000000000000000,62720.000000000000000,9408.000000000000000,20065,GRAHAM
105034,116806,2006500081380003001,12320.710218031843397,,,,,,,,,,,,,900.000000000000000,,,20065,GRAHAM
105035,116807,2006500020490003001,269220.718307708564680,225900.000000000000000,900.000000000000000,9000.000000000000000,198900.000000000000000,182700.000000000000000,900.000000000000000,,,192600.000000000000000,207000.000000000000000,,,,,,20065,GRAHAM
105036,116808,2006500015800011001,371764.977654731716029,,349200.000000000000000,1800.000000000000000,,352800.000000000000000,1800.000000000000000,,356400.000000000000000,,,351000.000000000000000,900.000000000000000,,316736.000000000000000,6272.000000000000000,20065,GRAHAM
105037,116809,2006500019410003001,185440.445897493627854,,,,,,,,2700.000000000000000,,,,1800.000000000000000,73800.000000000000000,,,20065,GRAHAM
105038,116810,2006500002080007001,45440.331589257468295,,,,,,,,2700.000000000000000,10800.000000000000000,2700.000000000000000,,,45000.000000000000000,,,20065,GRAHAM
105040,116813,2006500021370004001,16309.788681710851961,,,,,,,,,,,,,,,,20065,GRAHAM
105041,116814,2006500002150005001,15194.827204269886352,,7200.000000000000000,6300.000000000000000,,,7200.000000000000000,,,,,,,,3136.000000000000000,,20065,GRAHAM
105042,116815,2006500074530001001,467864.511529173934832,1800.000000000000000,390600.000000000000000,2700.000000000000000,9000.000000000000000,446400.000000000000000,,25200.000000000000000,240300.000000000000000,73800.000000000000000,457200.000000000000000,365400.000000000000000,900.000000000000000,12600.000000000000000,12544.000000000000000,6272.000000000000000,20065,GRAHAM
105043,116816,2006500020450003001,10012.917959108179275,,,,,,,,,,,900.000000000000000,,,,,20065,GRAHAM
105045,116818,2006500021720002001,42511.523729675405775,32400.000000000000000,32400.000000000000000,38700.000000000000000,36900.000000000000000,,2700.000000000000000,,9900.000000000000000,32400.000000000000000,31500.000000000000000,4500.000000000000000,,,,,20065,GRAHAM
105046,116819,2006500012380001001,263007.388118796923663,249300.000000000000000,,,239400.000000000000000,,900.000000000000000,218700.000000000000000,,3600.000000000000000,235800.000000000000000,,3600.000000000000000,900.000000000000000,,,20065,GRAHAM
105047,116820,2006500014800001001,1141586.726694897282869,9900.000000000000000,9000.000000000000000,48600.000000000000000,14400.000000000000000,,,900.000000000000000,106200.000000000000000,10800.000000000000000,,39600.000000000000000,,,,,20065,GRAHAM
105048,116821,2006500019980003001,284941.297003135958221,,,,,900.000000000000000,,,,,,,123300.000000000000000,34200.000000000000000,,,20065,GRAHAM
105049,116822,2006500079720001001,8149.042117720154238,,,,,,,,,1800.000000000000000,,,,,,,20065,GRAHAM
105050,116823,2006500001340002001,190550.847299415036105,,,,,,,,,,,,,,,,20065,GRAHAM
105051,116824,2006500007670004001,73051.296380578409298,,,,900.000000000000000,,,,,2700.000000000000000,,,,,,43904.000000000000000,20065,GRAHAM
105052,116825,2006500013980002001,108517.630687860204489,,900.000000000000000,,105300.000000000000000,,,102600.000000000000000,99900.000000000000000,,,,92700.000000000000000,104400.000000000000000,,,20065,GRAHAM
105053,116826,2006500080710001001,1258127.039891093503684,,3600.000000000000000,8100.000000000000000,48600.000000000000000,,,4500.000000000000000,12600.000000000000000,900.000000000000000,33300.000000000000000,1800.000000000000000,1204200.000000000000000,,329280.000000000000000,6272.000000000000000,20065,GRAHAM
105054,116827,2006500006200002001,105164.277515886627953,,,,,,,,,,,,,,,,20065,GRAHAM
105055,116828,2006500021410002001,74519.351458875549724,,,,,,,,,,,,,,,,20065,GRAHAM
105056,116829,2006500082110004001,45503.157770146783150,,,,,,,,,,,,,,,,20065,GRAHAM
105057,116830,2006500078330001001,365295.602978416311089,350100.000000000000000,,,350100.000000000000000,,,346500.000000000000000,349200.000000000000000,,,,351000.000000000000000,351900.000000000000000,,,20065,GRAHAM
105058,116831,2006500000810009001,137215.533339451299980,2700.000000000000000,5400.000000000000000,10800.000000000000000,3600.000000000000000,14400.000000000000000,9900.000000000000000,,9000.000000000000000,16200.000000000000000,900.000000000000000,4500.000000000000000,,1800.000000000000000,,,20065,GRAHAM
105059,116832,2006500078960001001,601164.690909977303818,,,,,30600.000000000000000,,,535500.000000000000000,,,250200.000000000000000,27000.000000000000000,,,580160.000000000000000,20065,GRAHAM
105060,116833,2006500001680004001,295392.664455683727283,,900.000000000000000,,,900.000000000000000,900.000000000000000,,4500.000000000000000,,9000.000000000000000,2700.000000000000000,,,6272.000000000000000,,20065,GRAHAM
105061,116834,2006500076350003001,37035.624708249946707,,,,,,,,,,,,,,,,20065,GRAHAM
105062,116835,2006500018350001001,236247.618238352006301,900.000000000000000,2700.000000000000000,900.000000000000000,,,,,1800.000000000000000,,,34200.000000000000000,211500.000000000000000,96300.000000000000000,,119168.000000000000000,20065,GRAHAM
105063,116836,2006502014710002001,16908.703622120887303,3600.000000000000000,14400.000000000000000,,,6300.000000000000000,,,9000.000000000000000,14400.000000000000000,,,,12600.000000000000000,12544.000000000000000,,20065,GRAHAM
105064,116837,2006500078840005001,113169.406877037836239,,,,,,,4500.000000000000000,4500.000000000000000,1800.000000000000000,,6300.000000000000000,2700.000000000000000,14400.000000000000000,3136.000000000000000,25088.000000000000000,20065,GRAHAM
105065,116838,2006500021760002001,85336.504115751711652,,,,,,,,,,8100.000000000000000,,,,65856.000000000000000,,20065,GRAHAM
105066,116839,2006500013310002001,211288.689581538870698,,,,,,,,,,,,,,,,20065,GRAHAM
105067,116840,2006500071460004001,18812.226458018052654,,11700.000000000000000,4500.000000000000000,,,9000.000000000000000,,4500.000000000000000,,1800.000000000000000,4500.000000000000000,10800.000000000000000,7200.000000000000000,,,20065,GRAHAM
105068,116841,2006500005320003001,40070.711200039862888,,,,,,,,,,,,,,,,20065,GRAHAM
105069,116843,2006500014940003001,233413.511742791131837,,,,,79200.000000000000000,,,9000.000000000000000,218700.000000000000000,,,900.000000000000000,219600.000000000000000,,,20065,GRAHAM
105070,116844,2006500011830005001,149991.702260030084290,,,,,,13500.000000000000000,900.000000000000000,5400.000000000000000,43200.000000000000000,,,,,,40768.000000000000000,20065,GRAHAM
105071,116845,2006500001870001001,312760.921998814621475,,900.000000000000000,,,,3600.000000000000000,4500.000000000000000,,,,49500.000000000000000,,,6272.000000000000000,3136.000000000000000,20065,GRAHAM
