,UID,SCTFS,Shape_Area,AREA_2020,AREA_2019,AREA_2018,AREA_2017,AREA_2016,AREA_2015,AREA_2014,AREA_2013,AREA_2012,AREA_2011,AREA_2010,AREA_2009,AREA_2008,AREA_2007,AREA_2006,FIPSSTCO,County
111263,123291,2007100001820001001,593605.172455430147238,,,,,,,,47700.000000000000000,,900.000000000000000,1800.000000000000000,900.000000000000000,,,,20071,GREELEY
111264,123292,2007100004160001001,293712.950092913466506,,,,293400.000000000000000,900.000000000000000,,,,,,,3600.000000000000000,,,,20071,GREELEY
111265,123293,2007100005190001001,489542.268120839493349,171000.000000000000000,109800.000000000000000,,90900.000000000000000,110700.000000000000000,107100.000000000000000,18900.000000000000000,15300.000000000000000,,,,,,,,20071,GREELEY
111266,123294,2007100014880001001,49866.387830423889682,,,,,,16200.000000000000000,,14400.000000000000000,9900.000000000000000,,,13500.000000000000000,,,9408.000000000000000,20071,GREELEY
111267,123295,2007100012340002001,392431.769477698835544,,,,,,,,3600.000000000000000,,,,,,,37632.000000000000000,20071,GREELEY
111268,123296,2007100014210001001,219525.851420600782149,,,,,,,,,,,,,,,,20071,GREELEY
111269,123297,2007100004230004001,653364.362740643904544,,,628200.000000000000000,1800.000000000000000,2700.000000000000000,,,,900.000000000000000,32400.000000000000000,,,,,,20071,GREELEY
111270,123298,2007100010790003001,332348.053523832466453,,900.000000000000000,,268200.000000000000000,,900.000000000000000,,,,4500.000000000000000,900.000000000000000,,,,,20071,GREELEY
111271,123299,2007100017630010001,648956.474122673273087,2700.000000000000000,642600.000000000000000,,2700.000000000000000,615600.000000000000000,23400.000000000000000,,41400.000000000000000,,,,,,,,20071,GREELEY
111272,123300,2007100005020002001,331091.796120881859679,,,,,4500.000000000000000,,,283500.000000000000000,,,,19800.000000000000000,,,,20071,GREELEY
111273,123301,2007100103110001001,410795.193789421638940,,,,,,403200.000000000000000,,,,900.000000000000000,,,,,,20071,GREELEY
111274,123302,2007100017980001001,680483.047275702352636,52200.000000000000000,,551700.000000000000000,,93600.000000000000000,572400.000000000000000,,39600.000000000000000,583200.000000000000000,,10800.000000000000000,588600.000000000000000,,,,20071,GREELEY
111275,123303,2007100001560001001,352400.321932513266802,83700.000000000000000,,1800.000000000000000,,5400.000000000000000,,,3600.000000000000000,,,,,,,,20071,GREELEY
111276,123304,2007100108600001001,128690.220491299347486,5400.000000000000000,,,75600.000000000000000,,,,93600.000000000000000,12600.000000000000000,,63900.000000000000000,,7200.000000000000000,,,20071,GREELEY
