,UID,SCTFS,Shape_Area,AREA_2020,AREA_2019,AREA_2018,AREA_2017,AREA_2016,AREA_2015,AREA_2014,AREA_2013,AREA_2012,AREA_2011,AREA_2010,AREA_2009,AREA_2008,AREA_2007,AREA_2006,FIPSSTCO,County
730607,857368,2007500061520001001,542605.431859468342736,900.000000000000000,,,,,,,,,,,,,,,20075,HAMILTON
730608,857369,2007500007270001001,668018.599830659804866,,900.000000000000000,,,900.000000000000000,,,8100.000000000000000,,,,,,,,20075,HAMILTON
730609,857370,2007500007280003001,669428.837564121000469,,1800.000000000000000,,3600.000000000000000,,,900.000000000000000,5400.000000000000000,,5400.000000000000000,,,1800.000000000000000,,,20075,HAMILTON
730610,857371,2007502007130008001,675682.877433207235299,1800.000000000000000,,,653400.000000000000000,648900.000000000000000,,,,,17100.000000000000000,,,45000.000000000000000,,6272.000000000000000,20075,HAMILTON
730611,857372,2007500003430001001,348166.880257390788756,,,335700.000000000000000,900.000000000000000,,,,,,,2700.000000000000000,,,,,20075,HAMILTON
730612,857373,2007502020380008001,312677.615775195357855,,,900.000000000000000,,,282600.000000000000000,,,,,,,,,,20075,HAMILTON
730613,857374,2007500004260001001,324171.380335279216524,,,,,,11700.000000000000000,,,900.000000000000000,,,,,,,20075,HAMILTON
730614,857375,2007502020350007001,1753852.721856985241175,1101600.000000000000000,900.000000000000000,900.000000000000000,252900.000000000000000,1225800.000000000000000,14400.000000000000000,,1152900.000000000000000,,11700.000000000000000,,,,,3136.000000000000000,20075,HAMILTON
730615,857377,2007520071290033001,640730.883356882026419,,,30600.000000000000000,626400.000000000000000,,,,900.000000000000000,,,,,2700.000000000000000,,,20075,HAMILTON
730616,857378,2007500809910019001,533597.615709689678624,,900.000000000000000,,,,,,,,,,,4500.000000000000000,,,20075,HAMILTON
730617,857379,2007500002230001001,655057.512566114543006,,,,2700.000000000000000,6300.000000000000000,6300.000000000000000,,296100.000000000000000,431100.000000000000000,14400.000000000000000,188100.000000000000000,,288000.000000000000000,,,20075,HAMILTON
730618,857380,2007500005520001001,628326.433403786038980,,,,,,,,6300.000000000000000,,,,,,,,20075,HAMILTON
730619,857381,2007502020310001001,1248687.314641551813111,972900.000000000000000,,3600.000000000000000,486000.000000000000000,1237500.000000000000000,,,1212300.000000000000000,,20700.000000000000000,,,,,,20075,HAMILTON
730620,857382,2007500061530001001,530811.541609720909037,,1800.000000000000000,1800.000000000000000,,45000.000000000000000,1800.000000000000000,,441900.000000000000000,,900.000000000000000,,,8100.000000000000000,,15680.000000000000000,20075,HAMILTON
730621,857383,2007520203110011001,1284499.296678522601724,,,900.000000000000000,900.000000000000000,900.000000000000000,10800.000000000000000,,9900.000000000000000,9000.000000000000000,3600.000000000000000,5400.000000000000000,,1800.000000000000000,,,20075,HAMILTON
730622,857384,2007500004390001001,658314.202586662373506,,4500.000000000000000,,23400.000000000000000,,900.000000000000000,,900.000000000000000,900.000000000000000,,1800.000000000000000,,,,,20075,HAMILTON
