,UID,SCTFS,Shape_Area,AREA_2020,AREA_2019,AREA_2018,AREA_2017,AREA_2016,AREA_2015,AREA_2014,AREA_2013,AREA_2012,AREA_2011,AREA_2010,AREA_2009,AREA_2008,AREA_2007,AREA_2006,FIPSSTCO,County
775848,910803,2009300007240006001,664745.195121644181199,,,647100.000000000000000,2700.000000000000000,2700.000000000000000,616500.000000000000000,12600.000000000000000,,174600.000000000000000,,6300.000000000000000,599400.000000000000000,22500.000000000000000,15680.000000000000000,536256.000000000000000,20093,KEARNY
775849,910804,2009300004560001001,653797.857733424985781,,2700.000000000000000,,,,,13500.000000000000000,92700.000000000000000,3600.000000000000000,,,,900.000000000000000,,,20093,KEARNY
775850,910805,2009302020360016001,659629.065872522769496,,,4500.000000000000000,41400.000000000000000,,4500.000000000000000,645300.000000000000000,,,632700.000000000000000,,7200.000000000000000,586800.000000000000000,,12544.000000000000000,20093,KEARNY
775851,910806,2009300007160001001,651752.701823762035929,,,623700.000000000000000,,,605700.000000000000000,2700.000000000000000,900.000000000000000,619200.000000000000000,2700.000000000000000,,609300.000000000000000,,,580160.000000000000000,20093,KEARNY
775852,910807,2009300015870001001,648448.650537732173689,,,12600.000000000000000,7200.000000000000000,1800.000000000000000,,,627300.000000000000000,,,,,,6272.000000000000000,508032.000000000000000,20093,KEARNY
775853,910808,2009302020360021001,652728.437229892937467,2700.000000000000000,,,9900.000000000000000,,,13500.000000000000000,900.000000000000000,,13500.000000000000000,,,,,,20093,KEARNY
775854,910809,2009300004330001001,645667.891871151863597,2700.000000000000000,,639900.000000000000000,2700.000000000000000,,629100.000000000000000,,6300.000000000000000,,19800.000000000000000,,,635400.000000000000000,,3136.000000000000000,20093,KEARNY
775855,910810,2009302005510033001,650894.928000130341388,,,,,4500.000000000000000,,1800.000000000000000,,45000.000000000000000,900.000000000000000,,,,,,20093,KEARNY
775856,910811,2009300006590002001,168835.480932752543595,6300.000000000000000,157500.000000000000000,2700.000000000000000,2700.000000000000000,152100.000000000000000,,6300.000000000000000,1800.000000000000000,,16200.000000000000000,,,,3136.000000000000000,40768.000000000000000,20093,KEARNY
775857,910812,2009300072360026001,333218.942686541820876,,,328500.000000000000000,,,323100.000000000000000,1800.000000000000000,,153900.000000000000000,,,317700.000000000000000,,,21952.000000000000000,20093,KEARNY
