,UID,SCTFS,Shape_Area,AREA_2020,AREA_2019,AREA_2018,AREA_2017,AREA_2016,AREA_2015,AREA_2014,AREA_2013,AREA_2012,AREA_2011,AREA_2010,AREA_2009,AREA_2008,AREA_2007,AREA_2006,FIPSSTCO,County
779567,915231,2009700007010002001,27156.122389586253121,,,4500.000000000000000,,,2700.000000000000000,,900.000000000000000,900.000000000000000,,,7200.000000000000000,,,,20097,KIOWA
779568,915232,2009700007010003001,7152.338804422348403,,,900.000000000000000,,,,,900.000000000000000,,,,1800.000000000000000,,,,20097,KIOWA
779569,915233,2009700008770002001,81715.651585173822241,,,,,,,,,,,,,,,,20097,KIOWA
779570,915234,2009700008770001001,545690.129006905481219,900.000000000000000,2700.000000000000000,25200.000000000000000,13500.000000000000000,3600.000000000000000,,900.000000000000000,6300.000000000000000,900.000000000000000,,45000.000000000000000,,,,,20097,KIOWA
779571,915235,2009700200570047001,182178.518423526722472,,167400.000000000000000,,,148500.000000000000000,,,111600.000000000000000,,,,3600.000000000000000,,,,20097,KIOWA
779572,915236,2009700200570048001,77444.895877727380139,,,,,,,,,,,,,,,,20097,KIOWA
779573,915237,2009700200570049001,382453.520330962783191,,,,,,,,,,,,,,,,20097,KIOWA
779574,915238,2009700200330191001,91591.769917411846109,,,,,,,,,,,,,,,,20097,KIOWA
779575,915239,2009700200330192001,12425.288098880710095,,,,,,,,,,,,,,,,20097,KIOWA
779576,915240,2009700200330193001,322744.758115335251205,,,,,,,,,,,,,,,,20097,KIOWA
779577,915241,2009700200330026001,325095.262137119949330,,,,,,,,,,,5400.000000000000000,,,,,20097,KIOWA
779578,915242,2009700021100002001,10118.460017756722664,,,,3600.000000000000000,,,,,,,1800.000000000000000,,,,,20097,KIOWA
779579,915243,2009700021100003001,13125.946195579072082,900.000000000000000,,,6300.000000000000000,,,,,,,1800.000000000000000,,,,,20097,KIOWA
779580,915244,2009700021100001001,66679.655734743559151,900.000000000000000,,,,,,,,,,,,,,,20097,KIOWA
779581,915245,2009700200570050001,218880.404346329683904,2700.000000000000000,,,1800.000000000000000,,,11700.000000000000000,900.000000000000000,,,,,,,,20097,KIOWA
779582,915246,2009700200570051001,8015.090631227447375,,,,,,,900.000000000000000,,,,,,,,,20097,KIOWA
779583,915247,2009700200570052001,209989.225237182545243,,,,,,,171900.000000000000000,,,,,,,,,20097,KIOWA
779584,915248,2009700012290011001,18595.225430648151814,,,,,,,,,,,,,,,,20097,KIOWA
779585,915249,2009700017800002001,551831.653882807353511,,,1800.000000000000000,900.000000000000000,,,6300.000000000000000,900.000000000000000,,,,,,,,20097,KIOWA
779586,915250,2009700017800004001,7711.042774477956300,,,,,,,,,,,,,,,,20097,KIOWA
779587,915251,2009700015660001001,24092.101529189316352,,,,,,,,,,,,,,,,20097,KIOWA
779588,915252,2009700015660002001,9824.228630553861876,,,,,,,,,,,,,900.000000000000000,,,20097,KIOWA
779589,915253,2009700021810003001,543331.770539329154417,,,1800.000000000000000,900.000000000000000,,,69300.000000000000000,,,8100.000000000000000,144000.000000000000000,,,,,20097,KIOWA
779590,915254,2009700200470164001,276106.478998801845592,8100.000000000000000,,,2700.000000000000000,,,,,,,,,,,,20097,KIOWA
779591,915255,2009700200470165001,360954.800371288263705,354600.000000000000000,,,346500.000000000000000,,,,,,,,,,,3136.000000000000000,20097,KIOWA
779592,915256,2009700200470166001,651582.253015014575794,643500.000000000000000,,,626400.000000000000000,,900.000000000000000,,,,,,,,,,20097,KIOWA
779593,915257,2009700200470167001,4637.100747797890108,1800.000000000000000,,,1800.000000000000000,,,,,,,,,,,,20097,KIOWA
779594,915258,2009700020810001001,182326.121988702419912,,,900.000000000000000,,,,,,,120600.000000000000000,,900.000000000000000,173700.000000000000000,,,20097,KIOWA
779595,915259,2009700009280001001,336209.318426439422183,3600.000000000000000,3600.000000000000000,6300.000000000000000,,5400.000000000000000,,,,,,,,900.000000000000000,,,20097,KIOWA
779596,915260,2009700200470168001,663922.710213874815963,317700.000000000000000,648900.000000000000000,,,647100.000000000000000,,,,,,,3600.000000000000000,1800.000000000000000,,,20097,KIOWA
779597,915262,2009700015850001001,260829.748953942325898,,,4500.000000000000000,,,,,4500.000000000000000,,,,,,,,20097,KIOWA
779598,915263,2009700015850002001,73500.983335176206310,,,,,,,,,,,,,,,,20097,KIOWA
779599,915264,2009700200470169001,4296.088528565982415,,,,900.000000000000000,,,,,,,,,,,,20097,KIOWA
779600,915265,2009700009090004001,170877.511779455846408,,2700.000000000000000,164700.000000000000000,108000.000000000000000,,2700.000000000000000,138600.000000000000000,900.000000000000000,,1800.000000000000000,113400.000000000000000,144000.000000000000000,152100.000000000000000,6272.000000000000000,3136.000000000000000,20097,KIOWA
779601,915266,2009700018310010001,20537.989163255413587,,,,,,,,,,,,,,,,20097,KIOWA
779602,915267,2009700018310006001,105593.483766917299363,,,,,,,,,,,,,,,,20097,KIOWA
779603,915268,2009700021870004001,327350.545674925961066,,,,900.000000000000000,,,,5400.000000000000000,,900.000000000000000,,,,,9408.000000000000000,20097,KIOWA
779604,915269,2009700012330001001,158593.235693092748988,144900.000000000000000,143100.000000000000000,,,,,900.000000000000000,6300.000000000000000,,,,7200.000000000000000,,,,20097,KIOWA
779605,915270,2009700012720005001,40626.773284539653105,,,,,,,,,,,,,,,,20097,KIOWA
779606,915271,2009700021870009001,937190.356662480393425,9900.000000000000000,6300.000000000000000,,,,,,,,,3600.000000000000000,2700.000000000000000,2700.000000000000000,,,20097,KIOWA
779607,915272,2009700009090009001,10667.141962512798273,900.000000000000000,,,,,,,,,,,,9900.000000000000000,6272.000000000000000,,20097,KIOWA
779608,915273,2009700200330196001,246188.794638242485235,,3600.000000000000000,,,,,,,,,,,,,,20097,KIOWA
779609,915274,2009700013850017001,6769.260020411422374,,,,,,,,,,,,,,,,20097,KIOWA
