,UID,SCTFS,Shape_Area,AREA_2020,AREA_2019,AREA_2018,AREA_2017,AREA_2016,AREA_2015,AREA_2014,AREA_2013,AREA_2012,AREA_2011,AREA_2010,AREA_2009,AREA_2008,AREA_2007,AREA_2006,FIPSSTCO,County
47639,53315,2009902003710035001,25315.548893221275648,,,,,,900.000000000000000,,,,,,,,,,20099,LABETTE
48156,53854,2009902003710040001,76198.610134341579396,,,,,,,,,,,,,,,,20099,LABETTE
48500,54214,2009902003710030001,153528.258609562530182,,,,,,,,,,,,,,,,20099,LABETTE
48561,54277,2009902003710018001,8857.836692358567234,,,,,,,,,,,,,,,,20099,LABETTE
49047,54785,2009902003720031001,221168.407356628711568,,,,,,,,,,,,,,3136.000000000000000,,20099,LABETTE
49138,54880,2009902003730009001,62127.969357208465226,,,,,,,,,,,,,,,,20099,LABETTE
49189,54934,2009902003730017001,629735.797636255854741,,,,,,,,,,,,,,,,20099,LABETTE
50041,55819,2009902003710018002,9115.412918555246506,,,,,,,,,,,,,,,,20099,LABETTE
51039,56959,2009902003720021001,221166.076238808891503,,,,,,,,,,,,,,12544.000000000000000,,20099,LABETTE
51188,57117,2009902003730015001,189859.709140327409841,,,,,,,,,,,,,,3136.000000000000000,,20099,LABETTE
52022,57988,2009902003710022001,117256.614810766928713,,,,,,,,,,,,,,,,20099,LABETTE
52061,58028,2009902003740026001,128273.435399166468414,,,,,,,,,,,,,,,,20099,LABETTE
52634,58641,2009902003710018003,314257.928069372836035,,,,,,1800.000000000000000,,,,,,,,,,20099,LABETTE
52637,58644,2009900064310001001,134345.677381122601219,,,,,,,,,,,,,,,,20099,LABETTE
53511,59559,2009902003720036001,50520.615335169030004,,,,,,900.000000000000000,,,,,,,,,,20099,LABETTE
53946,60271,2009902003740039002,328306.823002422868740,,,,,,,1800.000000000000000,,,,,,,,,20099,LABETTE
54111,60443,2009902003730023001,112723.933207750174915,,,,,,,,,,,,,,,,20099,LABETTE
54349,60699,2009902003740041002,23863.040309235282621,,,,,,,,,,,,,,,,20099,LABETTE
54559,60922,2009902003740013001,16799.608946250093140,,,,,,,,,,,,,,,,20099,LABETTE
55229,61635,2009902003730016001,583611.818073594360612,,,,,,1800.000000000000000,,,,,,,,,,20099,LABETTE
143264,158397,2009900025740026001,88570.410192787123378,,,,,,,,1800.000000000000000,,9900.000000000000000,,,,,,20099,LABETTE
143265,158398,2009900002630008001,25202.530141806964821,,,,,,,,,,,,,,,,20099,LABETTE
143266,158399,2009900015400008001,10009.177287944587079,,,,,,,,,,,,,,,,20099,LABETTE
143267,158400,2009900022320006001,5658.919512976230180,,,,,,,,,,,,,,,,20099,LABETTE
143268,158401,2009900016590002001,42267.665539730478486,,,,,,,,,,,,,,,,20099,LABETTE
143269,158402,2009900016930014001,10072.934311717917808,,900.000000000000000,,,,,,,,,,,,,,20099,LABETTE
143270,158403,2009900004240005001,213604.550097705796361,,,900.000000000000000,,,,,900.000000000000000,,,,,131400.000000000000000,21952.000000000000000,109760.000000000000000,20099,LABETTE
143271,158404,2009900009950011001,58376.445520427463634,,,,,,,,,,,,,,,3136.000000000000000,20099,LABETTE
143272,158405,2009900022800001001,149945.812095420464175,900.000000000000000,900.000000000000000,,,,1800.000000000000000,,,,,,900.000000000000000,13500.000000000000000,,,20099,LABETTE
143273,158406,2009900016410002001,57758.362762127959286,,,,,,,,,,,,,,,,20099,LABETTE
143274,158407,2009900025340003001,139938.408734880184056,,,,,,,1800.000000000000000,,,900.000000000000000,,,2700.000000000000000,,,20099,LABETTE
143275,158408,2009900010460006001,134613.317289423197508,,900.000000000000000,,,,,4500.000000000000000,2700.000000000000000,,,,,,,,20099,LABETTE
143276,158409,2009900062800005001,15457.780037347358302,,,,,,,,,,,,,,,,20099,LABETTE
143277,158410,2009900006240009001,58785.555621014107601,,,,,,,,,,,,,,,,20099,LABETTE
143278,158411,2009900002340003001,39802.386597066011745,,,,,,,,,,,,,,6272.000000000000000,,20099,LABETTE
143279,158412,2009900057760008001,53313.672151748811302,,,,,,,,,,,,,,,3136.000000000000000,20099,LABETTE
