,UID,SCTFS,Shape_Area,AREA_2020,AREA_2019,AREA_2018,AREA_2017,AREA_2016,AREA_2015,AREA_2014,AREA_2013,AREA_2012,AREA_2011,AREA_2010,AREA_2009,AREA_2008,AREA_2007,AREA_2006,FIPSSTCO,County
30288,33439,2010500200290012001,23761.321140041145554,,5400.000000000000000,,,,,,,,,,,8100.000000000000000,,,20105,LINCOLN
30601,33802,2010502002910001001,455965.225298156146891,,7200.000000000000000,2700.000000000000000,1800.000000000000000,4500.000000000000000,900.000000000000000,,,380700.000000000000000,,,,2700.000000000000000,,,20105,LINCOLN
31343,34647,2010502002930002001,195477.258914666424971,8100.000000000000000,148500.000000000000000,155700.000000000000000,,,,,,,,8100.000000000000000,,,,,20105,LINCOLN
31481,34802,2010502002920002001,30170.110318774928601,,5400.000000000000000,,,,,,,,,,1800.000000000000000,23400.000000000000000,3136.000000000000000,,20105,LINCOLN
33379,37000,2010500200290005002,552645.042660463019274,522000.000000000000000,45900.000000000000000,19800.000000000000000,,,1800.000000000000000,,507600.000000000000000,,,,,5400.000000000000000,376320.000000000000000,413952.000000000000000,20105,LINCOLN
33866,37641,2010502002950001001,310503.542540282185655,3600.000000000000000,7200.000000000000000,6300.000000000000000,25200.000000000000000,,900.000000000000000,11700.000000000000000,281700.000000000000000,,900.000000000000000,,,,,,20105,LINCOLN
33980,37776,2010500079310001001,156517.137835567875300,,1800.000000000000000,144000.000000000000000,,4500.000000000000000,,,,,145800.000000000000000,122400.000000000000000,,,,90944.000000000000000,20105,LINCOLN
34898,38816,2010502002920001001,349431.338080758636352,900.000000000000000,38700.000000000000000,,3600.000000000000000,,,10800.000000000000000,7200.000000000000000,261000.000000000000000,,,,,9408.000000000000000,,20105,LINCOLN
36044,40136,2010502002960001001,344472.349890514858998,3600.000000000000000,,,900.000000000000000,3600.000000000000000,,,,,,,,273600.000000000000000,238336.000000000000000,178752.000000000000000,20105,LINCOLN
36078,40179,2010500000000003001,26017.390033093346574,3600.000000000000000,,,,5400.000000000000000,,,,,,,,16200.000000000000000,3136.000000000000000,9408.000000000000000,20105,LINCOLN
36992,41308,2010502002910002001,168416.395470907707931,900.000000000000000,19800.000000000000000,,,900.000000000000000,,,,,900.000000000000000,15300.000000000000000,,,,,20105,LINCOLN
38010,42468,2010502002920002002,14054.806928368756417,,,,,,,,,,,,,,,,20105,LINCOLN
38312,42818,2010500079310001002,393651.485736277420074,,9000.000000000000000,366300.000000000000000,,,,,,,347400.000000000000000,364500.000000000000000,,,,,20105,LINCOLN
38749,43314,2010500000000004001,129324.953276338012074,2700.000000000000000,900.000000000000000,900.000000000000000,,900.000000000000000,900.000000000000000,,,,,,,112500.000000000000000,68992.000000000000000,72128.000000000000000,20105,LINCOLN
39117,43739,2010502002930001001,406054.267998335999437,2700.000000000000000,26100.000000000000000,230400.000000000000000,,,,,,,,,,,,,20105,LINCOLN
40012,44763,2010500079310002001,6200.030812774246442,,2700.000000000000000,900.000000000000000,,,,,,,4500.000000000000000,4500.000000000000000,,,,,20105,LINCOLN
40513,45436,2010502002920003001,119310.518611096005770,,1800.000000000000000,900.000000000000000,900.000000000000000,,,,,,,,,81000.000000000000000,34496.000000000000000,,20105,LINCOLN
82685,92596,2010520053330001001,64444.370606484568270,,1800.000000000000000,59400.000000000000000,,5400.000000000000000,57600.000000000000000,,14400.000000000000000,45900.000000000000000,56700.000000000000000,49500.000000000000000,,8100.000000000000000,28224.000000000000000,,20105,LINCOLN
82748,92663,2010500200530007001,316598.561571048339829,,,,,900.000000000000000,,,,,,,,,,,20105,LINCOLN
82799,92718,2010520053170018001,135582.348498553124955,109800.000000000000000,117900.000000000000000,110700.000000000000000,82800.000000000000000,117900.000000000000000,108000.000000000000000,106200.000000000000000,114300.000000000000000,,,,,,28224.000000000000000,106624.000000000000000,20105,LINCOLN
82872,92795,2010520053350001001,14944.010156172629650,,,,,,,,,,,,,,,,20105,LINCOLN
82971,92898,2010500077500001001,286689.255966047057882,270000.000000000000000,900.000000000000000,2700.000000000000000,20700.000000000000000,4500.000000000000000,262800.000000000000000,165600.000000000000000,,,2700.000000000000000,,,1800.000000000000000,,,20105,LINCOLN
83026,92959,2010520053160002001,68571.835414902423508,,,,,,,,,,,,,,,,20105,LINCOLN
83040,92973,2010520053260013001,4131.860460623621293,,,,,,,,,,,,,,,,20105,LINCOLN
83259,93245,2010520053260009001,30069.581441464193631,2700.000000000000000,,1800.000000000000000,,,,900.000000000000000,,,1800.000000000000000,,,,9408.000000000000000,,20105,LINCOLN
83272,93259,2010520053320003001,89365.676440409923089,,,,,,,,,,,,,,,,20105,LINCOLN
83309,93298,2010520053280001001,141805.225494250509655,,,127800.000000000000000,,,,6300.000000000000000,130500.000000000000000,129600.000000000000000,,,,,,,20105,LINCOLN
83346,93339,2010520053190018001,185473.953929806448286,,,,,4500.000000000000000,900.000000000000000,,14400.000000000000000,165600.000000000000000,5400.000000000000000,,,,,,20105,LINCOLN
83349,93342,2010502005360012001,16326.192470397872967,,,,,,,,,900.000000000000000,,,,,,,20105,LINCOLN
83458,93458,2010520053230020001,61968.767451058338338,30600.000000000000000,,36900.000000000000000,,,,41400.000000000000000,52200.000000000000000,,,,,,,,20105,LINCOLN
83462,93464,2010520053190017001,7630.955402771360241,,,,,2700.000000000000000,900.000000000000000,,,900.000000000000000,,,,,,,20105,LINCOLN
83492,93496,2010520053270002001,13795.739499001907461,,,,,,,,,,,,,,,,20105,LINCOLN
83502,93506,2010500200530002001,110530.310402475923183,900.000000000000000,,,,,900.000000000000000,,,,,,,,,,20105,LINCOLN
83566,93576,2010520053260012001,4859.620841476368696,,,,,,,,,,,,,,,,20105,LINCOLN
83685,93706,2010520053330004001,8237.118082426390174,,,,,8100.000000000000000,,,7200.000000000000000,,900.000000000000000,8100.000000000000000,,,,3136.000000000000000,20105,LINCOLN
83768,93798,2010520053190018002,96839.348449597848230,77400.000000000000000,88200.000000000000000,,,,,,,,,2700.000000000000000,58500.000000000000000,72900.000000000000000,50176.000000000000000,81536.000000000000000,20105,LINCOLN
83813,93845,2010520053210004001,336475.775224141834769,319500.000000000000000,15300.000000000000000,5400.000000000000000,37800.000000000000000,317700.000000000000000,,,,26100.000000000000000,324900.000000000000000,,,,,,20105,LINCOLN
83874,93910,2010502005360009001,9673.261432635494202,,,,,,,,,,,,,,,,20105,LINCOLN
84055,94110,2010520053320016001,28893.061154257684393,,,,,,,,,,,,,,,,20105,LINCOLN
84163,94234,2010520053170001001,249465.434895891899941,249300.000000000000000,,,1800.000000000000000,248400.000000000000000,,,,,,1800.000000000000000,237600.000000000000000,,6272.000000000000000,,20105,LINCOLN
84220,94298,2010502005330002001,14442.183353064085168,,,,,,,,,,,,,,,,20105,LINCOLN
84382,94476,2010500077500003001,87970.236318530238350,74700.000000000000000,68400.000000000000000,39600.000000000000000,70200.000000000000000,,72000.000000000000000,900.000000000000000,58500.000000000000000,4500.000000000000000,,,,,,,20105,LINCOLN
84388,94482,2010502005310001001,333163.272181467677001,300600.000000000000000,306000.000000000000000,,2700.000000000000000,,9900.000000000000000,299700.000000000000000,326700.000000000000000,,4500.000000000000000,,,,,,20105,LINCOLN
84570,94679,2010520053350016001,143738.325218931335257,129600.000000000000000,142200.000000000000000,19800.000000000000000,,122400.000000000000000,21600.000000000000000,,135000.000000000000000,22500.000000000000000,50400.000000000000000,112500.000000000000000,10800.000000000000000,,3136.000000000000000,15680.000000000000000,20105,LINCOLN
84580,94692,2010502005360015001,19446.810591173434659,18000.000000000000000,17100.000000000000000,,,,,,18000.000000000000000,16200.000000000000000,18000.000000000000000,,,,,3136.000000000000000,20105,LINCOLN
