,UID,SCTFS,Shape_Area,AREA_2020,AREA_2019,AREA_2018,AREA_2017,AREA_2016,AREA_2015,AREA_2014,AREA_2013,AREA_2012,AREA_2011,AREA_2010,AREA_2009,AREA_2008,AREA_2007,AREA_2006,FIPSSTCO,County
160737,177632,2010900011510001001,35489.224787793544238,,,30600.000000000000000,,,33300.000000000000000,,,,,,,,9408.000000000000000,,20109,LOGAN
160738,177633,2010900001610004001,590308.790275297127664,,,,,,,,900.000000000000000,,2700.000000000000000,,,,3136.000000000000000,,20109,LOGAN
160740,177635,2010900018340001001,265239.826615941419732,27000.000000000000000,226800.000000000000000,,28800.000000000000000,233100.000000000000000,,,196200.000000000000000,20700.000000000000000,28800.000000000000000,23400.000000000000000,130500.000000000000000,10800.000000000000000,175616.000000000000000,3136.000000000000000,20109,LOGAN
160741,177636,2010900027990001001,153032.777336592582287,,900.000000000000000,,146700.000000000000000,,,145800.000000000000000,,,147600.000000000000000,,,,,,20109,LOGAN
160742,177637,2010900016520002001,356368.517829443328083,1800.000000000000000,,,,348300.000000000000000,,900.000000000000000,162900.000000000000000,3600.000000000000000,,,328500.000000000000000,1800.000000000000000,,,20109,LOGAN
160743,177638,2010900028120001001,19729.097008408447437,,,,,,,,,,,,,,,,20109,LOGAN
160744,177639,2010900018070005001,195178.142878904909594,,1800.000000000000000,,,6300.000000000000000,,,21600.000000000000000,147600.000000000000000,,2700.000000000000000,,,,,20109,LOGAN
160745,177640,2010900010120001001,616289.852606897824444,,606600.000000000000000,,,3600.000000000000000,85500.000000000000000,,,4500.000000000000000,,,,,,,20109,LOGAN
160746,177641,2010900011410001001,190092.189920737146167,,,,,,,76500.000000000000000,,65700.000000000000000,3600.000000000000000,,,27000.000000000000000,,134848.000000000000000,20109,LOGAN
160747,177642,2010900010400001001,289484.554003891069442,,9000.000000000000000,15300.000000000000000,8100.000000000000000,,3600.000000000000000,1800.000000000000000,18900.000000000000000,2700.000000000000000,1800.000000000000000,,,,3136.000000000000000,,20109,LOGAN
160748,177643,2010900002220001001,622743.123270476353355,900.000000000000000,22500.000000000000000,10800.000000000000000,,,,,,3600.000000000000000,900.000000000000000,,,,153664.000000000000000,3136.000000000000000,20109,LOGAN
160749,177644,2010900003270008001,141757.717807791224914,,900.000000000000000,2700.000000000000000,,,,,6300.000000000000000,,,,,,,,20109,LOGAN
160750,177645,2010900022760006001,271442.381684308405966,,,1800.000000000000000,,,6300.000000000000000,6300.000000000000000,53100.000000000000000,18000.000000000000000,32400.000000000000000,,,900.000000000000000,,,20109,LOGAN
160751,177646,2010900019520001001,1300780.956321327248588,,7200.000000000000000,32400.000000000000000,250200.000000000000000,,,,,,1800.000000000000000,,8100.000000000000000,,,,20109,LOGAN
160752,177647,2010900009710012001,181722.608384583320003,,,,,,,,,,,,,,,,20109,LOGAN
160753,177648,2010900001680011001,86108.685699509165715,,,,,72900.000000000000000,61200.000000000000000,30600.000000000000000,81900.000000000000000,,,36000.000000000000000,78300.000000000000000,75600.000000000000000,53312.000000000000000,47040.000000000000000,20109,LOGAN
160754,177649,2010900002740007001,607687.353249198291451,,,,,,,,,,540900.000000000000000,,14400.000000000000000,,,,20109,LOGAN
160755,177650,2010900007090008001,95540.116522284602979,2700.000000000000000,7200.000000000000000,76500.000000000000000,,9000.000000000000000,,900.000000000000000,8100.000000000000000,16200.000000000000000,,4500.000000000000000,79200.000000000000000,12600.000000000000000,,,20109,LOGAN
160756,177651,2010900021620001001,15867.463763037751050,,,,,,,,,,,,,,,,20109,LOGAN
160757,177652,2010900000060001001,27549.301177858538722,6300.000000000000000,,,2700.000000000000000,,25200.000000000000000,3600.000000000000000,29700.000000000000000,,22500.000000000000000,,,16200.000000000000000,,,20109,LOGAN
160758,177653,2010900005440001001,329797.635504772886634,,900.000000000000000,900.000000000000000,900.000000000000000,,,,,,,,,,,,20109,LOGAN
160759,177654,2010900006090001001,426695.282155388442334,900.000000000000000,,,,,,,4500.000000000000000,,,,,,,,20109,LOGAN
