,UID,SCTFS,Shape_Area,AREA_2020,AREA_2019,AREA_2018,AREA_2017,AREA_2016,AREA_2015,AREA_2014,AREA_2013,AREA_2012,AREA_2011,AREA_2010,AREA_2009,AREA_2008,AREA_2007,AREA_2006,FIPSSTCO,County
40662,45613,2011120031200437001,541128.523654942051508,2700.000000000000000,,,,,,,,,,,,,,,20111,LYON
40730,45687,2011120031120351001,561645.700438325759023,,,,,,,,,18900.000000000000000,,,,,,,20111,LYON
40745,45702,2011102003120153001,28385.955456953102839,,,,,,,,,,,,,,,,20111,LYON
40751,45708,2011120031180291001,37590.030773673730437,,,,,,,,,,,,900.000000000000000,,,,20111,LYON
40811,45773,2011100032630006001,27370.670336511841015,,,,,,,,,,,,,,,,20111,LYON
40877,45842,2011120031130331001,106478.708266644011019,,,,,,,,900.000000000000000,,900.000000000000000,,,,,,20111,LYON
40907,45874,2011120031130002001,50709.954431005200604,,,,,,,,,,,,,,,,20111,LYON
40931,45898,2011102003170444001,17398.473507934188092,,,,,,900.000000000000000,,,,,,,,,3136.000000000000000,20111,LYON
40976,45947,2011120031150115001,7363.165453141199578,,,,,,,,,,,,,,,,20111,LYON
40977,45948,2011100032630004001,7437.837944723734836,,,,,,,,,,,,,,,,20111,LYON
40984,45956,2011120031100416001,123471.240087234677048,,,,,,,,,,,,,,,,20111,LYON
41011,45984,2011120031150400001,14881.192790822373354,,,,,,,,,,,,,,,,20111,LYON
41016,45989,2011120031150467001,9531.683031551703607,,,,,,,,,,,,,,,,20111,LYON
41021,45994,2011100032630005001,18072.809485433070222,,,,,,,,,,,,,,,,20111,LYON
41083,46059,2011120031180186001,217110.926609054702567,,,,,,,,,,,,,5400.000000000000000,21952.000000000000000,,20111,LYON
41139,46119,2011120031130403001,35470.950020821095677,,,,,,,,,,,,,,,,20111,LYON
41190,46173,2011120031180309001,314325.635570449230727,,,1800.000000000000000,,900.000000000000000,,,,,,,,,,,20111,LYON
41200,46184,2011120031130346001,377788.658873612643220,,1800.000000000000000,,,,19800.000000000000000,,2700.000000000000000,,,,900.000000000000000,,,,20111,LYON
41245,46232,2011120031130408001,319429.279036172432825,,,,,11700.000000000000000,46800.000000000000000,,,,900.000000000000000,,,900.000000000000000,,,20111,LYON
41293,46283,2011120031150340001,40495.352796354542079,,,,,,,,,,,,,,,,20111,LYON
41303,46293,2011120031150401001,557348.878068088903092,,,,,,,,,,,900.000000000000000,,,,,20111,LYON
