,UID,SCTFS,Shape_Area,AREA_2020,AREA_2019,AREA_2018,AREA_2017,AREA_2016,AREA_2015,AREA_2014,AREA_2013,AREA_2012,AREA_2011,AREA_2010,AREA_2009,AREA_2008,AREA_2007,AREA_2006,FIPSSTCO,County
741961,870329,2011300012910001001,79056.232066323442268,,,,,,,,,,,,,,,,20113,MACPHERSON
942374,1101783,2011300039080001001,337004.739180491538718,,,,,4500.000000000000000,118800.000000000000000,11700.000000000000000,171900.000000000000000,107100.000000000000000,,45000.000000000000000,,,,,20113,MACPHERSON
942375,1101784,2011300005180001001,166090.788206074008485,,2700.000000000000000,,,,,900.000000000000000,132300.000000000000000,138600.000000000000000,,,,,,3136.000000000000000,20113,MACPHERSON
942376,1101785,2011300039120001001,130019.234394883475034,,,,,,4500.000000000000000,,,,,900.000000000000000,,,3136.000000000000000,,20113,MACPHERSON
942377,1101786,2011300011970002001,195046.272706653282512,,900.000000000000000,,10800.000000000000000,168300.000000000000000,162900.000000000000000,,,900.000000000000000,21600.000000000000000,151200.000000000000000,,,9408.000000000000000,122304.000000000000000,20113,MACPHERSON
942378,1101787,2011300005590002001,35907.922800628635741,30600.000000000000000,1800.000000000000000,,,,,900.000000000000000,,,,,8100.000000000000000,21600.000000000000000,,12544.000000000000000,20113,MACPHERSON
942379,1101788,2011300005590001001,103600.610339539460256,99900.000000000000000,14400.000000000000000,,4500.000000000000000,100800.000000000000000,108000.000000000000000,,,,,,46800.000000000000000,98100.000000000000000,37632.000000000000000,84672.000000000000000,20113,MACPHERSON
942380,1101789,2011300011360001001,157521.426003587897867,,,,,4500.000000000000000,,900.000000000000000,2700.000000000000000,,,,,,,,20113,MACPHERSON
942381,1101790,2011300012260001001,166681.797187587100780,,,,,,1800.000000000000000,,,,4500.000000000000000,,900.000000000000000,,9408.000000000000000,12544.000000000000000,20113,MACPHERSON
942382,1101791,2011300011900001001,523935.867348371015396,,900.000000000000000,,,,,,,1800.000000000000000,,900.000000000000000,,,,,20113,MACPHERSON
942383,1101792,2011300038750001001,170084.319946717267158,4500.000000000000000,4500.000000000000000,52200.000000000000000,,,900.000000000000000,900.000000000000000,59400.000000000000000,3600.000000000000000,,4500.000000000000000,,,,,20113,MACPHERSON
942384,1101793,2011300011950004001,275593.157736533263233,10800.000000000000000,900.000000000000000,9000.000000000000000,51300.000000000000000,1800.000000000000000,1800.000000000000000,9000.000000000000000,257400.000000000000000,900.000000000000000,900.000000000000000,30600.000000000000000,262800.000000000000000,2700.000000000000000,25088.000000000000000,,20113,MACPHERSON
942385,1101794,2011300054210003001,140839.360396349831717,,,,,,,,,,,,3600.000000000000000,127800.000000000000000,9408.000000000000000,,20113,MACPHERSON
942386,1101795,2011300090110001001,50473.159211643891467,,,,,,,,,,,,1800.000000000000000,49500.000000000000000,28224.000000000000000,,20113,MACPHERSON
942387,1101796,2011300011980005001,91668.872670714044943,,,,,,,,,,,,,,,,20113,MACPHERSON
942388,1101797,2011300049540001001,254958.972537574620219,,1800.000000000000000,2700.000000000000000,,9900.000000000000000,,900.000000000000000,,,,900.000000000000000,,,12544.000000000000000,,20113,MACPHERSON
942389,1101798,2011300005520001001,387258.263815997459460,,,,,,900.000000000000000,,,,,,,,,,20113,MACPHERSON
942390,1101799,2011300129700001001,208455.396685334126232,192600.000000000000000,2700.000000000000000,3600.000000000000000,1800.000000000000000,182700.000000000000000,26100.000000000000000,3600.000000000000000,183600.000000000000000,179100.000000000000000,16200.000000000000000,14400.000000000000000,36000.000000000000000,39600.000000000000000,,,20113,MACPHERSON
942391,1101800,2011300096280029001,27232.916862406091241,2700.000000000000000,,900.000000000000000,900.000000000000000,1800.000000000000000,900.000000000000000,,,1800.000000000000000,,,,,,,20113,MACPHERSON
942392,1101801,2011300039100001001,312803.922501155931968,900.000000000000000,2700.000000000000000,1800.000000000000000,32400.000000000000000,,79200.000000000000000,,,,6300.000000000000000,10800.000000000000000,2700.000000000000000,263700.000000000000000,34496.000000000000000,43904.000000000000000,20113,MACPHERSON
942393,1101802,2011300029080001001,537211.357750321971253,900.000000000000000,1800.000000000000000,900.000000000000000,5400.000000000000000,,9000.000000000000000,,,,4500.000000000000000,3600.000000000000000,,4500.000000000000000,6272.000000000000000,,20113,MACPHERSON
942394,1101803,2011300128670001001,73010.612407134962268,70200.000000000000000,,,58500.000000000000000,65700.000000000000000,61200.000000000000000,40500.000000000000000,9900.000000000000000,18000.000000000000000,,4500.000000000000000,3600.000000000000000,5400.000000000000000,3136.000000000000000,12544.000000000000000,20113,MACPHERSON
942395,1101804,2011300026050001001,275164.555314341792837,,,,,,,,,,,,,,,,20113,MACPHERSON
942396,1101805,2011300128670007001,123595.679762108833529,44100.000000000000000,65700.000000000000000,125100.000000000000000,121500.000000000000000,117900.000000000000000,117000.000000000000000,1800.000000000000000,,900.000000000000000,,1800.000000000000000,7200.000000000000000,117000.000000000000000,,,20113,MACPHERSON
942397,1101806,2011300121620008001,164630.903582419705344,3600.000000000000000,,,,91800.000000000000000,41400.000000000000000,6300.000000000000000,1800.000000000000000,,,16200.000000000000000,8100.000000000000000,9000.000000000000000,,,20113,MACPHERSON
942398,1101807,2011300111450004001,317935.797287971246988,1800.000000000000000,21600.000000000000000,290700.000000000000000,288000.000000000000000,,1800.000000000000000,,,,,3600.000000000000000,,,,,20113,MACPHERSON
942399,1101808,2011300041650001001,224800.295557300094515,,,3600.000000000000000,,1800.000000000000000,,,,,,3600.000000000000000,,,56448.000000000000000,116032.000000000000000,20113,MACPHERSON
942400,1101809,2011300006030001001,175075.036364026134834,6300.000000000000000,167400.000000000000000,,,21600.000000000000000,160200.000000000000000,,,,,12600.000000000000000,5400.000000000000000,163800.000000000000000,,,20113,MACPHERSON
942401,1101810,2011300038920001001,101428.194894781598123,,,1800.000000000000000,4500.000000000000000,98100.000000000000000,,,,,,71100.000000000000000,95400.000000000000000,,,,20113,MACPHERSON
942402,1101811,2011300039570002001,204268.244841311854543,,193500.000000000000000,201600.000000000000000,,43200.000000000000000,,,5400.000000000000000,105300.000000000000000,148500.000000000000000,149400.000000000000000,,,,,20113,MACPHERSON
942403,1101812,2011300126410001001,301899.515206936339382,,,900.000000000000000,,11700.000000000000000,18000.000000000000000,900.000000000000000,2700.000000000000000,,,13500.000000000000000,288900.000000000000000,4500.000000000000000,9408.000000000000000,247744.000000000000000,20113,MACPHERSON
942404,1101813,2011300042520002001,128602.706915702772676,,,1800.000000000000000,,,,,,,,,,,3136.000000000000000,,20113,MACPHERSON
