,UID,SCTFS,Shape_Area,AREA_2020,AREA_2019,AREA_2018,AREA_2017,AREA_2016,AREA_2015,AREA_2014,AREA_2013,AREA_2012,AREA_2011,AREA_2010,AREA_2009,AREA_2008,AREA_2007,AREA_2006,FIPSSTCO,County
198559,220157,2011700078900002001,237102.202251736161998,,,1800.000000000000000,,,,,,,900.000000000000000,,3600.000000000000000,,,,20117,MARSHALL
198560,220158,2011700013840002001,92796.209873131709173,,,,,,,,,,,,,,62720.000000000000000,,20117,MARSHALL
198561,220159,2011700030450001001,69237.733644525636919,,,,,,,,,,,,,,,,20117,MARSHALL
198562,220160,2011700064470002001,4069.243655644992941,,,,,,,,,,,,,,,,20117,MARSHALL
198563,220163,2011700069170010001,42062.707086880422139,,,,3600.000000000000000,,,,,,,900.000000000000000,,,,,20117,MARSHALL
198564,220164,2011700067920004001,11468.171075851923888,3600.000000000000000,2700.000000000000000,,,1800.000000000000000,,,,,,900.000000000000000,,900.000000000000000,,3136.000000000000000,20117,MARSHALL
198565,220165,2011700023770002001,420327.123132826411165,900.000000000000000,,,,2700.000000000000000,,,,9000.000000000000000,,95400.000000000000000,7200.000000000000000,155700.000000000000000,90944.000000000000000,,20117,MARSHALL
198566,220166,2011700003720008001,79145.399430937803118,,1800.000000000000000,,6300.000000000000000,,1800.000000000000000,,45900.000000000000000,,,8100.000000000000000,,,,,20117,MARSHALL
198567,220167,2011700073840001001,127101.109050784449209,,,,,1800.000000000000000,,,,,,,,,84672.000000000000000,65856.000000000000000,20117,MARSHALL
198568,220168,2011700064300001001,147961.872493170842063,,,,,,,,,,,,,,,,20117,MARSHALL
198569,220169,2011700075400002001,49106.360146054867073,,,,,,,,,,,,,,,,20117,MARSHALL
198570,220170,2011700030610007001,17840.807150147426000,,,,,,,,,,,,,,,,20117,MARSHALL
198571,220172,2011700027550001001,34855.418114710279042,,,,,1800.000000000000000,,,,,,,,,,,20117,MARSHALL
198572,220173,2011700079450013001,26478.368193677106319,,,,,,,,,,,,,,,,20117,MARSHALL
198573,220175,2011700011070003001,50334.118371322780149,,,,,,,,,,,,,,,,20117,MARSHALL
198574,220177,2011700026560003001,27918.259021587397001,,,,,3600.000000000000000,,,900.000000000000000,,,,,900.000000000000000,,,20117,MARSHALL
198576,220179,2011700014230003001,16539.606246529350756,,,,900.000000000000000,,,,,,,900.000000000000000,,7200.000000000000000,,,20117,MARSHALL
198577,220180,2011700074490015001,4396.241936651060314,,,,,,,,,,,,,,,,20117,MARSHALL
198578,220181,2011700071610018001,10866.573625634782729,,,,,,,,,,,,,,,,20117,MARSHALL
198579,220182,2011700012960001001,31503.460377694824274,,,,,,,,,,,,,,,,20117,MARSHALL
198580,220183,2011700062560001001,96212.459366328796023,900.000000000000000,900.000000000000000,900.000000000000000,,,82800.000000000000000,,,,,,,69300.000000000000000,3136.000000000000000,,20117,MARSHALL
198581,220184,2011720201380003001,42379.443054079238209,,,,,,9000.000000000000000,,,,,,,,,,20117,MARSHALL
198582,220185,2011700063630002001,10301.001106123127101,,900.000000000000000,,,,,,,,,,,900.000000000000000,,3136.000000000000000,20117,MARSHALL
198583,220186,2011700077590004001,124554.188903216563631,,,900.000000000000000,900.000000000000000,5400.000000000000000,900.000000000000000,59400.000000000000000,19800.000000000000000,900.000000000000000,82800.000000000000000,900.000000000000000,,24300.000000000000000,72128.000000000000000,15680.000000000000000,20117,MARSHALL
198584,220187,2011700029790004001,6509.897364504407051,,,,,,,,,,,,,,,,20117,MARSHALL
198585,220188,2011700079920005001,26152.674340302255587,,,,,,,,,,,,,,,,20117,MARSHALL
198586,220189,2011700014070005001,79183.861335978072020,,1800.000000000000000,,900.000000000000000,,900.000000000000000,,2700.000000000000000,,,,,,21952.000000000000000,40768.000000000000000,20117,MARSHALL
198587,220190,2011700018370001001,35480.078362955035118,,,,,,,,,,,,,,,,20117,MARSHALL
198588,220191,2011700002710006001,14578.383117794250211,,,,,,,,,,,,,,,,20117,MARSHALL
198589,220192,2011700009060007001,11650.021600913072689,,,,,,,,,,,,,,,,20117,MARSHALL
198590,220193,2011700011280001001,50323.601179967023199,,,,,,,,,,,,,,,,20117,MARSHALL
198591,220194,2011700073620006001,127094.412030548526673,1800.000000000000000,,900.000000000000000,,,,,,,,,,,,3136.000000000000000,20117,MARSHALL
198592,220195,2011700013870004001,69098.226313132210635,,,,,,,,,,,,,,,3136.000000000000000,20117,MARSHALL
198593,220196,2011700002620006001,23045.316510467935586,18900.000000000000000,1800.000000000000000,18900.000000000000000,,1800.000000000000000,,,900.000000000000000,,,,,,,,20117,MARSHALL
198594,220197,2011700016560002001,285230.160726880712900,,28800.000000000000000,,,,,,900.000000000000000,21600.000000000000000,,,,45900.000000000000000,,15680.000000000000000,20117,MARSHALL
198595,220198,2011700066370002001,47087.975339424294361,,900.000000000000000,,,,,,,,,,,,,,20117,MARSHALL
198596,220199,2011700027300004001,17366.127969157831103,,,,,,,,,,,,,,,,20117,MARSHALL
198597,220200,2011700011350002001,115308.692550843494246,,,,,,,,,,,,,,3136.000000000000000,3136.000000000000000,20117,MARSHALL
198598,220201,2011700017890016001,21787.941648971245741,,,,,,,,,,,,,,,,20117,MARSHALL
198599,220202,2011700068390003001,107949.697916977369459,,,,,,,,,,,,,,,,20117,MARSHALL
198601,220205,2011700079340010001,20706.423656902359653,,,,,,,,,900.000000000000000,,,900.000000000000000,,,,20117,MARSHALL
198602,220206,2011700075110009001,59126.217903858203499,,,,,,2700.000000000000000,,,,,,,,3136.000000000000000,,20117,MARSHALL
198603,220207,2011700003630001001,54614.383877382577339,,,,,,,,,,,,,,,,20117,MARSHALL
198604,220208,2011700007460009001,44258.178222115864628,,,,,,,,,,,,,,,,20117,MARSHALL
198605,220209,2011700071020004001,88522.741659876497579,,,,57600.000000000000000,900.000000000000000,,,,,,,,,,,20117,MARSHALL
198606,220210,2011700072120004001,13302.298814534968187,,,,,,,,,,,,,,,,20117,MARSHALL
198607,220211,2011700008200003001,56301.029435869604640,,,,,,,,,9900.000000000000000,,,,,,,20117,MARSHALL
198608,220213,2011700029550003001,48316.247527583589545,,,,,,,,,,,,,,,,20117,MARSHALL
198609,220214,2011700019680006001,4226.081313824465724,,,,,,,,,,,,,,,,20117,MARSHALL
198610,220215,2011700076730005001,45558.756105639986345,,,,,,,,,,,,,,,,20117,MARSHALL
198611,220217,2011700023770006001,47298.722654692712240,,,,,,,,,,,,,,,,20117,MARSHALL
198612,220218,2011700013900001001,8981.681229516183521,,,,,,,,,,,,,,,,20117,MARSHALL
198613,220219,2011700014730001001,36869.055666079890216,,,,,,,,,,,,,,,21952.000000000000000,20117,MARSHALL
198614,220220,2011700009170002001,6156.203166890909415,,,,,,,,,,,,,,,,20117,MARSHALL
198615,220221,2011700071310005001,142323.546937386476202,,,,,,,,,,,,,,,,20117,MARSHALL
198616,220223,2011700028360002001,13524.095137719783452,,,,,,,,,2700.000000000000000,,,,,3136.000000000000000,,20117,MARSHALL
198617,220224,2011700079230007001,69433.024744689551881,,,6300.000000000000000,,,32400.000000000000000,,,,,1800.000000000000000,,,,6272.000000000000000,20117,MARSHALL
198618,220226,2011700016200014001,7226.841717168691503,,,,,,,,,,,,,,,,20117,MARSHALL
198619,220227,2011700068240001001,10304.824002047316753,,,,,,,,,,,,,,,,20117,MARSHALL
198620,220228,2011700014710003001,150562.493844255979639,,900.000000000000000,,,,,,,,,,,,72128.000000000000000,,20117,MARSHALL
198621,220229,2011700003880027001,9339.117424467789533,,,,,,,,,,,,,2700.000000000000000,,,20117,MARSHALL
198622,220230,2011700067720002001,46820.992639464457170,,,,,,,,,,,,,,12544.000000000000000,,20117,MARSHALL
198623,220232,2011700007480003001,93673.193626541789854,,,,,900.000000000000000,,,,,,,,15300.000000000000000,,,20117,MARSHALL
198624,220233,2011700019920001001,135301.929407670395449,1800.000000000000000,36900.000000000000000,,,,,,,,,,,,,,20117,MARSHALL
198625,220234,2011700077770011001,16281.009519315408397,,,,,,,,,,,,,,,,20117,MARSHALL
198626,220235,2011700009000004001,6597.238923154593067,,,,,,,,,,,,900.000000000000000,,,,20117,MARSHALL
198627,220236,2011700015750015001,7769.242275353730292,,,,,,,,,,,,,,,,20117,MARSHALL
198628,220237,2011700008400007001,6039.145752412218826,,900.000000000000000,,,,,,,,,,,,,,20117,MARSHALL
198629,220238,2011700078490002001,13550.737090423097470,,,,,,,,,,,,1800.000000000000000,,,,20117,MARSHALL
198630,220239,2011700031200001001,68873.073955390209449,,,,,,,,,,,,,,,,20117,MARSHALL
198631,220240,2011700015340010001,4358.577211628631630,900.000000000000000,900.000000000000000,,,,,,,,,900.000000000000000,,,,,20117,MARSHALL
198632,220241,2011700029270003001,28376.492944387504394,,,,,,,,,,,,,,,,20117,MARSHALL
198633,220242,2011700016750004001,77752.681692493584706,,,,,,,,,,1800.000000000000000,,,,28224.000000000000000,,20117,MARSHALL
198634,220243,2011700006140005001,37557.169928570619959,,,,,,,900.000000000000000,,,1800.000000000000000,,,,,,20117,MARSHALL
198635,220244,2011700078090001001,41430.836421522013552,,,,,,,,,,,,900.000000000000000,,,,20117,MARSHALL
198636,220245,2011700028420001001,75180.453457814190187,,,,,,,,,,,,,,,,20117,MARSHALL
198637,220246,2011700010540001001,177791.915441749850288,900.000000000000000,,900.000000000000000,,,47700.000000000000000,,4500.000000000000000,9900.000000000000000,,,,1800.000000000000000,3136.000000000000000,28224.000000000000000,20117,MARSHALL
198638,220248,2011700068290007001,196729.801017073157709,900.000000000000000,,,4500.000000000000000,,,,,,,3600.000000000000000,,179100.000000000000000,,172480.000000000000000,20117,MARSHALL
198639,220249,2011700007890001001,9370.234404971335607,,,,,,,,,,,,,,,,20117,MARSHALL
198640,220250,2011700017600001001,183336.705861255788477,,,,,,,,,,,,,,,,20117,MARSHALL
198641,220251,2011700065360001001,34657.865406944561983,,,900.000000000000000,,,,,,,900.000000000000000,,,,,,20117,MARSHALL
198642,220253,2011700002850002001,12961.706419662970802,900.000000000000000,,,,,,,,,,,,,,,20117,MARSHALL
198643,220254,2011700027890002001,87344.163239472851274,,,4500.000000000000000,900.000000000000000,,900.000000000000000,,,,,2700.000000000000000,,,,,20117,MARSHALL
198644,220255,2011700078380011001,12462.307478758280922,,10800.000000000000000,,,,,,,,,,,5400.000000000000000,,,20117,MARSHALL
198645,220256,2011700009350001001,17390.138794516988128,,,,,,,,,,,,,,,,20117,MARSHALL
198646,220257,2011700015000004001,273671.126808491593692,,,,,900.000000000000000,,,,,,900.000000000000000,,2700.000000000000000,,,20117,MARSHALL
198647,220258,2011700076560002001,45303.424669418200210,,900.000000000000000,,,,1800.000000000000000,,,,,,,36900.000000000000000,,,20117,MARSHALL
198648,220259,2011700018010015001,5854.583568165428005,,,,,,,,,,,,,,,,20117,MARSHALL
