,UID,SCTFS,Shape_Area,AREA_2020,AREA_2019,AREA_2018,AREA_2017,AREA_2016,AREA_2015,AREA_2014,AREA_2013,AREA_2012,AREA_2011,AREA_2010,AREA_2009,AREA_2008,AREA_2007,AREA_2006,FIPSSTCO,County
214112,238014,2012900010030001001,640232.585848710150458,639000.000000000000000,,,617400.000000000000000,,900.000000000000000,535500.000000000000000,900.000000000000000,,190800.000000000000000,,,,,,20129,MORTON
214113,238015,2012900019390003001,226696.454977122339187,5400.000000000000000,,8100.000000000000000,38700.000000000000000,198000.000000000000000,127800.000000000000000,116100.000000000000000,148500.000000000000000,85500.000000000000000,13500.000000000000000,,,64800.000000000000000,134848.000000000000000,25088.000000000000000,20129,MORTON
214114,238016,2012900009260001001,31154.444067693737452,2700.000000000000000,,1800.000000000000000,,,5400.000000000000000,,,,1800.000000000000000,,,,,,20129,MORTON
214115,238017,2012900000180001001,625615.495195287629031,,,,,,,,5400.000000000000000,,3600.000000000000000,,,900.000000000000000,,,20129,MORTON
214116,238018,2012900002980001001,429457.750967018771917,,,,,,,,900.000000000000000,,,,,,,,20129,MORTON
214117,238019,2012900016520001001,35597.606880190694937,1800.000000000000000,,900.000000000000000,,900.000000000000000,1800.000000000000000,1800.000000000000000,900.000000000000000,900.000000000000000,,,2700.000000000000000,18900.000000000000000,,6272.000000000000000,20129,MORTON
214118,238020,2012900011240001001,230843.444403190893354,58500.000000000000000,211500.000000000000000,2700.000000000000000,223200.000000000000000,137700.000000000000000,,31500.000000000000000,17100.000000000000000,,42300.000000000000000,8100.000000000000000,,,,53312.000000000000000,20129,MORTON
214119,238021,2012900019850001001,642763.039480568026192,27000.000000000000000,,26100.000000000000000,,32400.000000000000000,164700.000000000000000,,301500.000000000000000,,18900.000000000000000,,306000.000000000000000,,,,20129,MORTON
214120,238022,2012900001030001001,310348.532898202305660,1800.000000000000000,900.000000000000000,304200.000000000000000,,2700.000000000000000,297900.000000000000000,,,,27000.000000000000000,,114300.000000000000000,182700.000000000000000,260288.000000000000000,206976.000000000000000,20129,MORTON
214121,238023,2012900007480001001,424931.233428073406685,294300.000000000000000,8100.000000000000000,,7200.000000000000000,,,135000.000000000000000,108000.000000000000000,,98100.000000000000000,27000.000000000000000,,284400.000000000000000,3136.000000000000000,106624.000000000000000,20129,MORTON
214122,238024,2012900020560001001,14808.961284343822626,,,16200.000000000000000,,,,,,,,900.000000000000000,,,,,20129,MORTON
214123,238025,2012900008620001001,157458.477444035350345,,,,,,,,36900.000000000000000,,,,,,,,20129,MORTON
214124,238026,2012900002480001001,329958.179304324439727,,,18900.000000000000000,13500.000000000000000,2700.000000000000000,285300.000000000000000,,,,27900.000000000000000,,,,,,20129,MORTON
214125,238027,2012900019340001001,308740.457706878427416,6300.000000000000000,291600.000000000000000,,,288900.000000000000000,,,234000.000000000000000,150300.000000000000000,,,900.000000000000000,,,,20129,MORTON
214126,238028,2012900005420001001,326627.584441573882941,309600.000000000000000,304200.000000000000000,17100.000000000000000,,258300.000000000000000,304200.000000000000000,7200.000000000000000,,900.000000000000000,6300.000000000000000,,97200.000000000000000,900.000000000000000,,275968.000000000000000,20129,MORTON
214127,238029,2012900011000001001,334045.173767229251098,13500.000000000000000,,6300.000000000000000,12600.000000000000000,18900.000000000000000,4500.000000000000000,6300.000000000000000,,23400.000000000000000,53100.000000000000000,,,3600.000000000000000,,,20129,MORTON
