,UID,SCTFS,Shape_Area,AREA_2020,AREA_2019,AREA_2018,AREA_2017,AREA_2016,AREA_2015,AREA_2014,AREA_2013,AREA_2012,AREA_2011,AREA_2010,AREA_2009,AREA_2008,AREA_2007,AREA_2006,FIPSSTCO,County
798588,936235,2013100005360014001,4264.433207160856000,,,,,,,,,,,,,,,,20131,NEMAHA
798589,936236,2013100005360012001,92915.134331968118204,,,,,,,,,,,,,,,,20131,NEMAHA
798590,936237,2013100005360003001,303104.740195805730764,,,,,900.000000000000000,,,,,,,,,,,20131,NEMAHA
798591,936238,2013100005360008001,14855.485369308022200,,,,,,,,,,,,,,,,20131,NEMAHA
798592,936239,2013103114710004001,45189.468482375996246,,,,,,,,,,,,,,,,20131,NEMAHA
798593,936241,2013100005360004001,17129.019137650389894,,,,,,,,,,,,,,,,20131,NEMAHA
798594,936242,2013100096100001001,70013.364012059493689,,,,,,,,,,,,,,,,20131,NEMAHA
798595,936243,2013100031150001001,313974.957156495482195,,4500.000000000000000,,,,,,1800.000000000000000,,,,,,,,20131,NEMAHA
798596,936244,2013100032450023001,857797.756709689507261,,,,,,,,,,,,,,,,20131,NEMAHA
798597,936245,2013100005360011001,4822.832850203471025,,,,,,,,,,,,,,,,20131,NEMAHA
798598,936246,2013100032450001001,152130.245585758151719,,,,,,,,,,,,,,,,20131,NEMAHA
798599,936247,2013100032450024001,22764.907409942064987,,,,,,,,,,,,,,,,20131,NEMAHA
798600,936248,2013100096480006001,7980.270650215761634,,,,,1800.000000000000000,,,,,,,,,,,20131,NEMAHA
798601,936249,2013103114710006001,18031.568022919007490,,,,,,,,,,,,,,3136.000000000000000,,20131,NEMAHA
798602,936250,2013100005360010001,12409.095601941282439,,,,,900.000000000000000,,,,,,,,,,,20131,NEMAHA
798603,936251,2013100005360005001,10996.142406303843018,,,,,,,,,,,,,,,,20131,NEMAHA
798604,936252,2013100005360007001,19150.779746360214631,,,,,,,,,,,,,,,,20131,NEMAHA
798605,936253,2013100031150007001,6168.712097960580650,,900.000000000000000,,,,,,,,,,,,,,20131,NEMAHA
798606,936254,2013103114720008001,4795.338568062054946,,,,,,,,,,,,,,,,20131,NEMAHA
798607,936255,2013103114720009001,7629.466734460857879,,,,,,,,,,,,,,,,20131,NEMAHA
798608,936256,2013103114720001001,118484.326181722615729,,,,,,,,,,,,,,,,20131,NEMAHA
798609,936258,2013100002630009001,63122.686587510928803,,,,,,,,,,,,,,,,20131,NEMAHA
798610,936259,2013100002630010001,11914.819175568805804,,,,,,,,,,,,,,,,20131,NEMAHA
798611,936260,2013100098060005001,175681.548709176713601,,,,,6300.000000000000000,,,,,5400.000000000000000,,,,3136.000000000000000,,20131,NEMAHA
798612,936261,2013100005360013001,10791.638010486503845,900.000000000000000,900.000000000000000,,900.000000000000000,900.000000000000000,,,,,,,,,,,20131,NEMAHA
798613,936262,2013100002630004001,10514.398902244487545,,,,,,,,,,,,,,,,20131,NEMAHA
798614,936263,2013100013120015001,249129.622250925545814,900.000000000000000,1800.000000000000000,4500.000000000000000,,,,,,,,,4500.000000000000000,900.000000000000000,,3136.000000000000000,20131,NEMAHA
798615,936264,2013100012670004001,13332.046575700345784,,,,,,,,,,,,,,,,20131,NEMAHA
798616,936265,2013100012670005001,42540.148886332863185,,,,,,,,,,,,,,,,20131,NEMAHA
798617,936267,2013100013120007001,12061.692096778660925,,,,,,,,,,,,,,,,20131,NEMAHA
798618,936268,2013102001320002001,130195.032125306199305,,,,,,,,,,,,,,,,20131,NEMAHA
798619,936270,2013100005760002001,19230.582476769071945,,,,,,,,,,,,,,,,20131,NEMAHA
798620,936271,2013100005400003001,12382.563742378406459,,,,,,,,,,,,,,,,20131,NEMAHA
798621,936272,2013100005400001001,296670.545186310599092,,,,,,,,,,,,,,,,20131,NEMAHA
798622,936273,2013102001330002001,31479.355081910678564,,,,,,,,,,,,,,,,20131,NEMAHA
798623,936274,2013102001320001001,235950.273821187962312,,,,,,,,900.000000000000000,,,,,,,,20131,NEMAHA
798624,936276,2013100012640016001,6931.363476225287741,,,,,,,,,,,,,,,,20131,NEMAHA
798625,936278,2013103113310002001,157602.385292232007487,,,,,,,,,,,,,,,,20131,NEMAHA
798626,936281,2013100096490003001,10636.122557821488954,,,,,,,,,,,,,,,,20131,NEMAHA
798627,936282,2013100097500005001,6867.439648867642063,,,,,,,,,,,,,,,,20131,NEMAHA
798628,936283,2013100031150002001,47260.528976714929740,,,,,,,,,,,,,,,,20131,NEMAHA
798629,936284,2013100097500007001,41080.314414839434903,,,,,,,,,,,,,,,,20131,NEMAHA
798630,936285,2013100020500004001,65981.863433074773639,,,,,,,,,,900.000000000000000,,,,,,20131,NEMAHA
798631,936286,2013100014700001001,229186.419489375461126,,,,,,,,,,,,,,,,20131,NEMAHA
798632,936287,2013100012640018001,6991.424352319453646,,,,,,,,,,,,,,,,20131,NEMAHA
798633,936288,2013100008100002001,105361.944527599058347,,,,,900.000000000000000,,,,,,,,,3136.000000000000000,,20131,NEMAHA
798634,936289,2013100013120006001,17137.691148295361927,,,,,,,,900.000000000000000,,,,,,,,20131,NEMAHA
798635,936290,2013103113320001001,510194.879952475777827,,,,,2700.000000000000000,,,,,,,,,,9408.000000000000000,20131,NEMAHA
798636,936291,2013100012670008001,4857.068691922706421,,,,,,,,,,,,,,,,20131,NEMAHA
798637,936292,2013100001020002001,156956.707068456511479,,,,,,,,,,,,,,,,20131,NEMAHA
798638,936293,2013100013270006001,123601.245006498385919,,,,,,,,,,,,,,,,20131,NEMAHA
798639,936294,2013103113320004001,15034.705644482726711,,,,,900.000000000000000,,,,,,,,,,,20131,NEMAHA
798640,936295,2013100012670001001,86458.812433290819172,,1800.000000000000000,,,,,,,,,,,,,,20131,NEMAHA
798641,936296,2013100029500004001,23132.419703838280839,,,,,,,,,,,,,,,,20131,NEMAHA
798642,936298,2013103113320015001,16745.279867342036596,,,,,2700.000000000000000,,,,,,900.000000000000000,,,,,20131,NEMAHA
798643,936299,2013100005400002001,9650.829804658422290,,,,,,,,,,,,,,,,20131,NEMAHA
798644,936300,2013100096490008001,5274.073092116569569,,4500.000000000000000,,,,,,,,,,,,,,20131,NEMAHA
798645,936303,2013103113330001001,201052.944323755073128,,,,,,,,,,,,,,,,20131,NEMAHA
798646,936308,2013103113340001001,176008.042788322927663,2700.000000000000000,1800.000000000000000,,,,,,,,,,,,,,20131,NEMAHA
798647,936309,2013100008100008001,4416.538836235071358,,,,,,,,,,,,,,,,20131,NEMAHA
798648,936310,2013100012660001001,80386.033922108166735,,,,,,,,,,,,,,,,20131,NEMAHA
798649,936312,2013100020500005001,42798.967270939778246,,,,,,,,,,,,,,,,20131,NEMAHA
798650,936314,2013100012660008001,6331.375970189240434,,,,,,,,,,,,,,,3136.000000000000000,20131,NEMAHA
798651,936316,2013100012640013001,60849.815910537377931,,,,,,,,,,,,,,,,20131,NEMAHA
798652,936317,2013100032450009001,7714.954912096410226,,,,,,900.000000000000000,,,,,,,,6272.000000000000000,,20131,NEMAHA
798653,936318,2013131133250001001,50628.549500887347676,,,,,,,900.000000000000000,,,,,,,,,20131,NEMAHA
798654,936319,2013103113350001001,247630.366264353215229,,900.000000000000000,1800.000000000000000,,6300.000000000000000,,,,,,,,,,,20131,NEMAHA
798655,936320,2013100032450003001,25261.610561171662994,,,,,,,,,,,,,,3136.000000000000000,,20131,NEMAHA
798656,936322,2013100002050010001,206732.243151749484241,,,,,,,,,,,,,,,,20131,NEMAHA
798657,936323,2013100013270008001,5297.117663480220472,,,,,,,,,,,,,,,,20131,NEMAHA
798658,936324,2013100032450019001,4390.602199949055830,,,,,,,,,,,,,,,,20131,NEMAHA
798659,936326,2013100014700007001,10752.557948454177676,,,,,,,,,,,,,,3136.000000000000000,,20131,NEMAHA
798660,936327,2013100009610005001,21573.799008565132681,,,,,,,,,,,,,,,,20131,NEMAHA
798661,936328,2013103113360003001,7207.616500802353585,,,,,,,,,,,,,,,,20131,NEMAHA
798662,936329,2013100009610021001,15698.476094333302171,,,,,,,,,,,,,,,,20131,NEMAHA
798663,936330,2013103113370001001,220292.443060883582802,,,,,900.000000000000000,,,,,,,,,,,20131,NEMAHA
798664,936332,2013103113370002001,69787.613766155307530,,,,,,,,,,,,,,,,20131,NEMAHA
798665,936335,2013100012640017001,5415.975599436244920,,,1800.000000000000000,,,,,,,,,,,,,20131,NEMAHA
798666,936336,2013100029500014001,15154.679738406603065,,,,,,,,,,,,,,,,20131,NEMAHA
798667,936338,2013103113320013001,4921.527631234536784,,,,,,,,,,,,,,,,20131,NEMAHA
798668,936339,2013102001320003001,134306.186862202972407,,,,,,,,,,,,,,,,20131,NEMAHA
798669,936340,2013100012640010001,7547.865651421880102,,,1800.000000000000000,,,,,,,,,,,,,20131,NEMAHA
798670,936341,2013100009610003001,168843.042870866047451,,,,,,,,,,,,,,,9408.000000000000000,20131,NEMAHA
798671,936342,2013131133190002001,104559.927970135046053,,,,,,,,,900.000000000000000,,,,,,,20131,NEMAHA
798672,936343,2013100012640001001,26213.140765578944411,,,3600.000000000000000,,,,,,,,,,,,,20131,NEMAHA
798673,936344,2013100098060008001,278700.704567772685550,,1800.000000000000000,,,,,,,,900.000000000000000,,,,,,20131,NEMAHA
798674,936346,2013100098060015001,4297.379519456955677,,,,,,,,,,,,,,,,20131,NEMAHA
798675,936348,2013102001320010001,5943.215701470355270,,,,,,,,,,,,,,,,20131,NEMAHA
798676,936349,2013103113310001001,237055.989789190702140,,,,,,,,,,,,,,,,20131,NEMAHA
798677,936351,2013103113340004001,5278.243191667639621,1800.000000000000000,,,,,,,,,,,,,,,20131,NEMAHA
798678,936352,2013100032530003001,31446.993275550419639,,,,,,,,,,,,,,,,20131,NEMAHA
798679,936354,2013102001340001001,141939.682733167748665,,,,,,,,,,,,,,,,20131,NEMAHA
