,UID,SCTFS,Shape_Area,AREA_2020,AREA_2019,AREA_2018,AREA_2017,AREA_2016,AREA_2015,AREA_2014,AREA_2013,AREA_2012,AREA_2011,AREA_2010,AREA_2009,AREA_2008,AREA_2007,AREA_2006,FIPSSTCO,County
391442,433349,2013500026210004001,13462.125345525710145,,,,2700.000000000000000,,,900.000000000000000,,,,,,,,,20135,NESS
814651,956582,2013500024800001001,566539.898842015070841,536400.000000000000000,,,539100.000000000000000,,,508500.000000000000000,,,535500.000000000000000,,1800.000000000000000,533700.000000000000000,,6272.000000000000000,20135,NESS
814652,956583,2013500024800002001,113506.580182888515992,16200.000000000000000,,,9000.000000000000000,,,2700.000000000000000,,,6300.000000000000000,,,7200.000000000000000,,,20135,NESS
814653,956584,2013500102260002001,811442.358482586801983,,,,,,,,,,,900.000000000000000,,,,,20135,NESS
814654,956585,2013500102250003001,643159.492551901261322,,,900.000000000000000,,,,,,,,,2700.000000000000000,,,,20135,NESS
814655,956586,2013500102250001001,183828.189704354910646,,,171000.000000000000000,,,,,900.000000000000000,,,,169200.000000000000000,152100.000000000000000,,9408.000000000000000,20135,NESS
814656,956587,2013500020500002001,609879.912849859450944,,,,,,,,,,5400.000000000000000,,4500.000000000000000,,,,20135,NESS
814657,956588,2013500020520004001,32469.957835649285698,,,,,,,,,,,,,,,,20135,NESS
814658,956589,2013500020520003001,12288.251764018168615,,,,,,,,,,,,,,,,20135,NESS
814659,956590,2013500020520001001,56740.085509102507785,,,,,,,,,,,,,,,,20135,NESS
814660,956591,2013500020510001001,322763.058668732643127,,,,,,,,,,900.000000000000000,,2700.000000000000000,,,,20135,NESS
814661,956592,2013502006310006001,382699.013060388038866,,,900.000000000000000,,,,900.000000000000000,,,,,,900.000000000000000,,,20135,NESS
814662,956593,2013502019510080001,606562.922993640881032,,,,,,,,2700.000000000000000,,900.000000000000000,,,,3136.000000000000000,407680.000000000000000,20135,NESS
814663,956594,2013500020520005001,11272.560162284482431,,,,,,,,,,,,,,,,20135,NESS
814664,956595,2013500020000004001,23108.604561854284839,,,,,,,,,,,,,,,,20135,NESS
814665,956596,2013500099860005001,5046.916690981935972,,,,,,,,,,,,,,,,20135,NESS
814666,956597,2013500099860001001,383566.311942734057084,372600.000000000000000,,,352800.000000000000000,329400.000000000000000,,,,,,,,,,,20135,NESS
814667,956598,2013500099860002001,5705.617262948321695,5400.000000000000000,,,5400.000000000000000,2700.000000000000000,,,,,,,,,,,20135,NESS
