,UID,SCTFS,Shape_Area,AREA_2020,AREA_2019,AREA_2018,AREA_2017,AREA_2016,AREA_2015,AREA_2014,AREA_2013,AREA_2012,AREA_2011,AREA_2010,AREA_2009,AREA_2008,AREA_2007,AREA_2006,FIPSSTCO,County
40667,45619,2013920031250229001,107111.394184734890587,,,,,,,,,,900.000000000000000,,,,,,20139,OSAGE
40677,45630,2013902003140002001,166133.007570600340841,,,,,,,,,,,,,,,,20139,OSAGE
40778,45738,2013902003150049001,49277.753342803669511,,,,,,,,,,,,,,,,20139,OSAGE
40813,45775,2013920031230125001,23001.473526040397701,,,,,,,,,,,,,,,,20139,OSAGE
40858,45823,2013902003180295001,631391.101531031308696,,,,,,,,,,,,,,,,20139,OSAGE
40889,45855,2013920031200284001,24176.986590757620434,,,,,,,,,,,,,,,,20139,OSAGE
40988,45960,2013920031250199001,322541.245983172382694,,,,,,,,,,,,,,,,20139,OSAGE
41152,46133,2013920031200262001,74905.212143146360177,,,,,,,,,,,,,,,,20139,OSAGE
41182,46165,2013902003110089001,7983.412244570080475,,,,,,,,,,,,,,,,20139,OSAGE
41443,46441,2013920031170365001,13334.206386118874434,,,,,,,,,,,,,,,,20139,OSAGE
41458,46456,2013920031210253001,38510.998488296987489,,,,,,,,,,,,,,,,20139,OSAGE
41515,46517,2013902003110087001,7874.464501583674974,,,,,,,,,,,,,,,,20139,OSAGE
41725,46739,2013920031110058001,88485.320016858560848,,,,,,,,,,,,,,,,20139,OSAGE
41755,46771,2013920031200273001,91969.515675284943427,,,,,,,,,,,,,,,,20139,OSAGE
41911,46937,2013920031230368001,24562.767765181048162,,,,,,,,,,,,,,,,20139,OSAGE
42040,47069,2013920031110067001,19430.669951314001082,,,,,,,,,,,,,,,,20139,OSAGE
42085,47118,2013920031250158001,10877.994773955713754,,,,,,,,,,,,,,,,20139,OSAGE
42142,47178,2013920031250212001,33675.189982511445123,,,,,,,,,,,,,,,,20139,OSAGE
42154,47190,2013920031250354001,125582.000657039126963,,,,,1800.000000000000000,,,,,,,,900.000000000000000,,,20139,OSAGE
42158,47195,2013920031210256001,90599.713591952866409,,,,,,,,,,,,,,,,20139,OSAGE
42244,47287,2013920031110060001,6782.392482651493992,,,,,,,,,,,,,,,,20139,OSAGE
42416,47468,2013920031200279001,31632.576448800875369,,,,,,,,,,,,,,,,20139,OSAGE
42429,47481,2013920031210357001,79606.359994893005933,,,,,,,,,,900.000000000000000,,,,,,20139,OSAGE
42578,47638,2013920031190309001,286709.512220873381011,,,,,,,,46800.000000000000000,,,,,,9408.000000000000000,,20139,OSAGE
42594,47655,2013920031250134001,75219.846395822489285,,,,,,,,,,,,,,,,20139,OSAGE
42597,47658,2013902003150052001,128462.336234243644867,,,,,,,,,,,,,,,,20139,OSAGE
42714,47780,2013920031170363001,188153.109989652730292,,,,,,,,,,,,,,,,20139,OSAGE
42721,47787,2013900035230001001,99611.271667514374712,,,,,,,,,,,,,,,,20139,OSAGE
42815,47886,2013920031250159001,75775.271623821667163,1800.000000000000000,5400.000000000000000,,,,,,,,,,,,,,20139,OSAGE
42856,47930,2013920031250131001,125481.751882878510514,,,,,,,,,900.000000000000000,,,,,,,20139,OSAGE
42877,47953,2013920031250133001,43666.523803021831554,,,,,,,,,,,,,,,,20139,OSAGE
42882,47958,2013920031210254001,7761.875495354932355,,,,,,,,,,,,,,,,20139,OSAGE
42914,47993,2013920031110061001,121150.673142301020562,,,,,,,900.000000000000000,,,,,,,,,20139,OSAGE
42915,47994,2013920031240128001,34755.382706278935075,,,,,,,,,,,,,,,,20139,OSAGE
42918,47997,2013920031210236001,106411.329578206597944,,,,,,,,,,,,,,,,20139,OSAGE
42943,48027,2013902003110086001,33146.361807973233226,,,,,,,,,,,,,,,,20139,OSAGE
43011,48101,2013920031110062001,115952.816482090856880,,,,,,,,,,,,,,,,20139,OSAGE
43044,48135,2013920031250157001,61881.835819987645664,,,,,,,,,,,,,,,,20139,OSAGE
43161,48257,2013902003110090001,32533.823325882698555,,,,,,,,,,,,,,,,20139,OSAGE
43169,48265,2013920031210258001,6254.611958002984466,,,,,,,,,,,,,,,,20139,OSAGE
43273,48378,2013902003150044001,92715.664141810877481,,,,,,,,,,,,,,,,20139,OSAGE
43280,48385,2013902003120094001,66439.151719359171693,,,,,,,,,,,,,,,,20139,OSAGE
43317,48422,2013920031230009001,13244.824241562437237,,,,,,,,,,,,,,,,20139,OSAGE
43358,48467,2013920031250220001,188207.652030260884203,,,,,,,,,,,,,,,,20139,OSAGE
43444,48557,2013920031230116001,215261.833515320264269,,,,,,,,,,,,,,3136.000000000000000,,20139,OSAGE
43515,48633,2013920031250206001,101143.341966855339706,,,,,,,,,,,,,,,,20139,OSAGE
43730,48860,2013920031230010001,16255.776356520997069,,,,,,,,,,,,,,,,20139,OSAGE
44004,49156,2013920031210250001,141340.286743597971508,,,,,,,,,,,,,,,,20139,OSAGE
44017,49170,2013920031250189001,18996.903303324565059,,,,,,,,,,,,,,,,20139,OSAGE
44039,49262,2013920031250195001,79933.258366207606741,,,,,,,,,,,,,,,,20139,OSAGE
44167,49400,2013900034860001001,302411.327763510693330,,,900.000000000000000,,,2700.000000000000000,2700.000000000000000,,,900.000000000000000,,,,3136.000000000000000,,20139,OSAGE
44179,49412,2013920031110055001,143984.866699168225750,,,,,,,,,,,,,,,,20139,OSAGE
44225,49461,2013920031110056001,53017.697279740204976,,,,,,,,900.000000000000000,,,,,,,,20139,OSAGE
44313,49556,2013920031230118002,67364.598435570529546,,,,,,,,,,,,,,,,20139,OSAGE
44347,49591,2013920031110072001,684130.363764997455291,,,900.000000000000000,,,3600.000000000000000,,,,900.000000000000000,,,,,,20139,OSAGE
44460,49715,2013920031200278001,47254.135478603813681,,,,,,,,,,,,,,,,20139,OSAGE
44625,49890,2013920031210248001,71696.762840027789935,,,,,,,,,,,,,,,,20139,OSAGE
44991,50277,2013902003150046001,22408.247230659413617,,,,,,,,,,,,,,,,20139,OSAGE
44998,50284,2013920031200275001,34018.840207823435776,,,,,900.000000000000000,,,,,,,,,,,20139,OSAGE
45093,50386,2013902003190288001,216670.860103680752218,,,,,,,,,,,,,,,,20139,OSAGE
45106,50399,2013920031110061002,1308447.704719030298293,,900.000000000000000,,,900.000000000000000,,,900.000000000000000,,,,,,,,20139,OSAGE
45123,50418,2013920031240127001,91871.819742820516694,,,,,,,,,,,,,,,,20139,OSAGE
45241,50545,2013902003150043001,161290.536145938938716,,,,,,,,,,,,,,,,20139,OSAGE
45334,50641,2013920031250180001,143385.531008561345516,,,,,,,,,,,,,,,,20139,OSAGE
45416,50727,2013902003110088001,4622.981207334923965,,,,,,,,,,,,,,,,20139,OSAGE
45545,50862,2013920031220331001,40505.385355802922277,,,,,,,,,,,,,,,,20139,OSAGE
45617,50942,2013920031250218001,47679.466307337665057,,,,,,,,,,,,,,,,20139,OSAGE
45642,50973,2013920031110064001,187498.421838148467941,,,,,,,,,,,,,,,,20139,OSAGE
45660,50991,2013920031180361001,13188.635080119725899,,,,,,,,,,,,,,,,20139,OSAGE
45680,51015,2013920031250178001,158916.045414516644087,,,,,,,,,,,,,,,,20139,OSAGE
45694,51029,2013920031250144001,91067.795414991676807,,,,,,,,,,,,,,,,20139,OSAGE
45716,51052,2013920031210259001,17097.281883390020084,,,,,,,,,,,,,,,,20139,OSAGE
45781,51121,2013920031250356001,174511.233532322890824,,,,,,,,,,,,,,6272.000000000000000,,20139,OSAGE
46042,51392,2013902003110091001,64260.056359468253504,,,,,,,,,,,,,,,,20139,OSAGE
