,UID,SCTFS,Shape_Area,AREA_2020,AREA_2019,AREA_2018,AREA_2017,AREA_2016,AREA_2015,AREA_2014,AREA_2013,AREA_2012,AREA_2011,AREA_2010,AREA_2009,AREA_2008,AREA_2007,AREA_2006,FIPSSTCO,County
69531,78624,2015100200470024001,44565.010346793831559,,,,,,,,,,,,,,,,20151,PRATT
69658,78752,2015100200470020001,22690.582419879225199,900.000000000000000,8100.000000000000000,900.000000000000000,900.000000000000000,4500.000000000000000,900.000000000000000,,,,,,,,,,20151,PRATT
70415,79514,2015100200470021001,32163.261218329775147,900.000000000000000,2700.000000000000000,2700.000000000000000,8100.000000000000000,29700.000000000000000,25200.000000000000000,,,,1800.000000000000000,5400.000000000000000,,6300.000000000000000,3136.000000000000000,3136.000000000000000,20151,PRATT
70910,80012,2015100200470020003,29216.776168387685175,900.000000000000000,4500.000000000000000,,,,900.000000000000000,,,,,2700.000000000000000,900.000000000000000,,,,20151,PRATT
71204,80307,2015100200470020004,23061.287033997854451,,,,,,,,,,,,,,,,20151,PRATT
71293,80397,2015100200470030001,238802.711901276488788,6300.000000000000000,,9900.000000000000000,1800.000000000000000,218700.000000000000000,,6300.000000000000000,11700.000000000000000,,10800.000000000000000,9900.000000000000000,13500.000000000000000,13500.000000000000000,,3136.000000000000000,20151,PRATT
71343,80447,2015100200470022001,72318.753550451074261,,,,1800.000000000000000,900.000000000000000,,,,,2700.000000000000000,,,3600.000000000000000,18816.000000000000000,,20151,PRATT
71358,80462,2015100200470019001,23691.979471538928919,,,,,5400.000000000000000,900.000000000000000,,,9900.000000000000000,,,900.000000000000000,,,,20151,PRATT
71685,80790,2015100200470030002,523897.161232682294212,13500.000000000000000,89100.000000000000000,9000.000000000000000,230400.000000000000000,900.000000000000000,5400.000000000000000,71100.000000000000000,5400.000000000000000,26100.000000000000000,47700.000000000000000,105300.000000000000000,16200.000000000000000,80100.000000000000000,31360.000000000000000,18816.000000000000000,20151,PRATT
72386,81542,2015100200470021004,5322.974133965626606,,1800.000000000000000,,,,2700.000000000000000,,,,,,,,,,20151,PRATT
72503,81659,2015100200470021005,41386.291558359356713,,900.000000000000000,,2700.000000000000000,4500.000000000000000,6300.000000000000000,,,,,900.000000000000000,2700.000000000000000,,,,20151,PRATT
72528,81684,2015100200470019003,28334.466651605853258,,,900.000000000000000,900.000000000000000,,,,,1800.000000000000000,,,900.000000000000000,900.000000000000000,,3136.000000000000000,20151,PRATT
72532,81688,2015100200470017004,80988.482970383352949,,,3600.000000000000000,,,,,,,,2700.000000000000000,,7200.000000000000000,9408.000000000000000,18816.000000000000000,20151,PRATT
72540,81696,2015100200470019004,29063.048284705881088,900.000000000000000,,900.000000000000000,,,900.000000000000000,,,900.000000000000000,1800.000000000000000,,900.000000000000000,900.000000000000000,,,20151,PRATT
72650,81807,2015100200470023001,142395.239934618439293,,,,,,2700.000000000000000,,,,,,4500.000000000000000,,9408.000000000000000,,20151,PRATT
72724,81881,2015100200470021006,14199.434747793680799,,3600.000000000000000,900.000000000000000,,,13500.000000000000000,,900.000000000000000,,,,1800.000000000000000,,,,20151,PRATT
72809,81967,2015100200470020005,19657.047795594058698,900.000000000000000,1800.000000000000000,,,,,,,,2700.000000000000000,,,,6272.000000000000000,,20151,PRATT
73043,82202,2015100200470028001,62735.922282545536291,2700.000000000000000,,3600.000000000000000,,,,900.000000000000000,1800.000000000000000,,,23400.000000000000000,,1800.000000000000000,15680.000000000000000,,20151,PRATT
73242,82402,2015100200470021008,25727.823022370535909,900.000000000000000,7200.000000000000000,1800.000000000000000,1800.000000000000000,21600.000000000000000,17100.000000000000000,,,,900.000000000000000,,,,,3136.000000000000000,20151,PRATT
73580,82740,2015100200470030003,269431.702988749777433,,,3600.000000000000000,,,,2700.000000000000000,,2700.000000000000000,45000.000000000000000,10800.000000000000000,27900.000000000000000,38700.000000000000000,37632.000000000000000,9408.000000000000000,20151,PRATT
73625,82785,2015100200470029001,25958.205795593294170,900.000000000000000,,1800.000000000000000,,2700.000000000000000,,,1800.000000000000000,,,8100.000000000000000,900.000000000000000,900.000000000000000,3136.000000000000000,,20151,PRATT
137093,151722,2015100200950071001,519804.134513688855805,,,2700.000000000000000,,900.000000000000000,,,,,10800.000000000000000,,7200.000000000000000,900.000000000000000,,15680.000000000000000,20151,PRATT
137104,151735,2015100113460001001,479270.754003333859146,55800.000000000000000,,,,,,,,,,1800.000000000000000,,,,,20151,PRATT
137118,151750,2015100200950047001,19935.623010028761200,,,,,,,,,,,,,,,,20151,PRATT
137134,151767,2015100200950031001,10477.240621832910620,2700.000000000000000,2700.000000000000000,,,,,,,,,,,,,,20151,PRATT
137198,151834,2015100200950062001,172058.700654821004719,,,,,,,,,,,,,,,,20151,PRATT
137223,151860,2015100200950070001,53309.959452091999992,,,,,,,,,,2700.000000000000000,,,,,,20151,PRATT
137286,151928,2015100200950027001,30348.200330741768994,900.000000000000000,900.000000000000000,2700.000000000000000,,4500.000000000000000,7200.000000000000000,5400.000000000000000,,3600.000000000000000,6300.000000000000000,900.000000000000000,900.000000000000000,900.000000000000000,,,20151,PRATT
137551,152218,2015100200950034001,7881.250370697663129,8100.000000000000000,,,,,4500.000000000000000,,,,,6300.000000000000000,4500.000000000000000,,,,20151,PRATT
137591,152265,2015100200950069001,9764.569390575899888,900.000000000000000,900.000000000000000,,900.000000000000000,,,,900.000000000000000,3600.000000000000000,,900.000000000000000,,,,3136.000000000000000,20151,PRATT
137606,152281,2015100200950046001,125027.845589644595748,,,,,,,,,,,,,,,,20151,PRATT
137710,152391,2015100200950005001,113564.556610521889525,,,,,,,,,900.000000000000000,1800.000000000000000,900.000000000000000,,,,,20151,PRATT
137722,152403,2015100113490013001,301238.386199586326256,130500.000000000000000,,,,3600.000000000000000,,,,,93600.000000000000000,69300.000000000000000,,,,,20151,PRATT
137750,152432,2015100200950021001,20786.176726442554354,,,,,,,,,,,,,,,,20151,PRATT
137846,152533,2015100200950027002,521010.232385160459671,2700.000000000000000,900.000000000000000,,,1800.000000000000000,36000.000000000000000,90000.000000000000000,6300.000000000000000,18900.000000000000000,6300.000000000000000,17100.000000000000000,7200.000000000000000,7200.000000000000000,12544.000000000000000,21952.000000000000000,20151,PRATT
137870,152557,2015100200950031002,85172.764317167093395,11700.000000000000000,43200.000000000000000,,,,,,,,,,,,,,20151,PRATT
137936,152629,2015100200950018001,711509.935397244873457,45000.000000000000000,7200.000000000000000,,,1800.000000000000000,,,,,,28800.000000000000000,40500.000000000000000,42300.000000000000000,53312.000000000000000,219520.000000000000000,20151,PRATT
137938,152631,2015100200950070003,151876.033316574874334,,,,,,,,,,1800.000000000000000,900.000000000000000,,5400.000000000000000,,,20151,PRATT
138140,152848,2015100200950065001,40125.254189114508335,,,,,,,,,8100.000000000000000,900.000000000000000,,,,,,20151,PRATT
138297,153017,2015100113490003001,5268.802448770840783,,,,,,,,,,,,,,,,20151,PRATT
138314,153035,2015100200950065002,85073.125425532081863,,,,,,900.000000000000000,,,20700.000000000000000,17100.000000000000000,,,1800.000000000000000,,72128.000000000000000,20151,PRATT
138556,153294,2015100200950066001,8977.083571738856335,4500.000000000000000,4500.000000000000000,2700.000000000000000,,3600.000000000000000,6300.000000000000000,1800.000000000000000,,,4500.000000000000000,4500.000000000000000,4500.000000000000000,,,,20151,PRATT
138608,153346,2015100200950031003,16322.861195489726015,2700.000000000000000,900.000000000000000,,,,,,,,,,,,,,20151,PRATT
138616,153355,2015100200950051001,309578.080325726361480,,,,,,,,,,,900.000000000000000,,,,,20151,PRATT
138636,153375,2015100200950037002,29123.388907881453633,,,9000.000000000000000,900.000000000000000,,6300.000000000000000,,,1800.000000000000000,,900.000000000000000,900.000000000000000,,,,20151,PRATT
138737,153478,2015100200950027004,28896.996312821542233,900.000000000000000,,3600.000000000000000,,,9000.000000000000000,900.000000000000000,,900.000000000000000,7200.000000000000000,3600.000000000000000,12600.000000000000000,13500.000000000000000,15680.000000000000000,3136.000000000000000,20151,PRATT
139074,153832,2015100200950018002,81564.051956260460429,5400.000000000000000,,,,,,,,,,,,,15680.000000000000000,68992.000000000000000,20151,PRATT
139249,154016,2015100200950027005,28297.939747095057101,,,,900.000000000000000,,6300.000000000000000,900.000000000000000,1800.000000000000000,900.000000000000000,9000.000000000000000,3600.000000000000000,14400.000000000000000,18900.000000000000000,12544.000000000000000,,20151,PRATT
139313,154087,2015100200950068001,171050.403547732712468,2700.000000000000000,36900.000000000000000,54000.000000000000000,3600.000000000000000,18900.000000000000000,,,3600.000000000000000,3600.000000000000000,18000.000000000000000,,4500.000000000000000,7200.000000000000000,,,20151,PRATT
139375,154153,2015100200950065003,39956.258587840093242,,,,,,2700.000000000000000,,,,,,,15300.000000000000000,15680.000000000000000,18816.000000000000000,20151,PRATT
139411,154189,2015100200950012001,174652.616775873611914,,,,,,,,,,,2700.000000000000000,,,,,20151,PRATT
139488,154276,2015100200950063001,265965.817759002500679,,,,,,,,,,,,,,,,20151,PRATT
139793,154597,2015100200950045001,500000.110318764112890,,,,,,,900.000000000000000,,900.000000000000000,,,,900.000000000000000,,6272.000000000000000,20151,PRATT
140059,154904,2015100113490010001,147461.755023228382925,119700.000000000000000,14400.000000000000000,123300.000000000000000,98100.000000000000000,129600.000000000000000,63000.000000000000000,,,,98100.000000000000000,75600.000000000000000,,,3136.000000000000000,3136.000000000000000,20151,PRATT
140353,155217,2015100200950071004,25651.396115568775713,900.000000000000000,,,,,,,,,,,,,,,20151,PRATT
140452,155323,2015100200950011001,23055.273482573549700,1800.000000000000000,,,,,,,,,,,,,3136.000000000000000,,20151,PRATT
140586,155466,2015100200950038001,108784.867270826449385,900.000000000000000,,,,,20700.000000000000000,900.000000000000000,30600.000000000000000,39600.000000000000000,35100.000000000000000,2700.000000000000000,,1800.000000000000000,,3136.000000000000000,20151,PRATT
140617,155497,2015100200950070004,37623.800559856215841,,,,,,,,,,,,,,,,20151,PRATT
140660,155542,2015100200950037003,532456.268111307756044,5400.000000000000000,,1800.000000000000000,18900.000000000000000,1800.000000000000000,97200.000000000000000,1800.000000000000000,,58500.000000000000000,110700.000000000000000,15300.000000000000000,36900.000000000000000,2700.000000000000000,,18816.000000000000000,20151,PRATT
140758,155651,2015100200950017001,89645.249815706440131,,,,,,,,,,,,,,,,20151,PRATT
140851,155749,2015100200950064001,55379.667095938530110,,,,,,,,,,,,,,,,20151,PRATT
140861,155759,2015100200950054001,258256.551453201449476,,,,,,,,,,1800.000000000000000,,,,,,20151,PRATT
141028,155934,2015100113490001001,219608.939255666628014,108000.000000000000000,900.000000000000000,12600.000000000000000,2700.000000000000000,900.000000000000000,,,,,18000.000000000000000,4500.000000000000000,3600.000000000000000,,,,20151,PRATT
141121,156033,2015100200950026001,647320.965389455785044,,,,,,,,,1800.000000000000000,,15300.000000000000000,900.000000000000000,900.000000000000000,,,20151,PRATT
141190,156112,2015100113490014001,20135.630004778326111,,,,,,,,,,1800.000000000000000,1800.000000000000000,,,,,20151,PRATT
141206,156130,2015100200950025001,22963.379922423278913,,,900.000000000000000,,,10800.000000000000000,,,,8100.000000000000000,18900.000000000000000,,,,,20151,PRATT
141252,156179,2015100200950071005,29613.015342454313213,,,2700.000000000000000,,,,,,,6300.000000000000000,,,1800.000000000000000,,3136.000000000000000,20151,PRATT
141286,156215,2015100200950056001,78811.132309696331504,,,,,,,,,,3600.000000000000000,,,,,,20151,PRATT
141495,156437,2015100200950040001,256093.367352415632922,,,,,900.000000000000000,2700.000000000000000,,9000.000000000000000,4500.000000000000000,,3600.000000000000000,,,,,20151,PRATT
141610,156556,2015100200950061001,44988.503429296557442,,,,,,,,900.000000000000000,6300.000000000000000,2700.000000000000000,,,,,,20151,PRATT
141681,156631,2015100200950049001,4757.625932454314352,,,,,,,,,,,,,,,,20151,PRATT
141848,156807,2015100200950007001,507008.132213927805424,,,,,,,,,,,,,,,,20151,PRATT
142002,156971,2015100200950037004,28017.598585858282604,,900.000000000000000,10800.000000000000000,,,12600.000000000000000,,,3600.000000000000000,10800.000000000000000,900.000000000000000,,900.000000000000000,,3136.000000000000000,20151,PRATT
142179,157158,2015100113490004001,5899.329576638740946,5400.000000000000000,900.000000000000000,,900.000000000000000,900.000000000000000,,,,,,900.000000000000000,,,,,20151,PRATT
142309,157296,2015100200950024001,214560.748303776315879,2700.000000000000000,7200.000000000000000,27900.000000000000000,13500.000000000000000,33300.000000000000000,,,,,,900.000000000000000,209700.000000000000000,,,,20151,PRATT
142504,157504,2015100200950028001,316971.298232585075311,,,,,,,,,,,,,,,,20151,PRATT
142514,157514,2015100200950035001,314722.276950490195304,207900.000000000000000,110700.000000000000000,,,,6300.000000000000000,,,,,,,5400.000000000000000,241472.000000000000000,,20151,PRATT
142690,157696,2015100200950037005,28727.551981757540489,900.000000000000000,,10800.000000000000000,,3600.000000000000000,10800.000000000000000,,,2700.000000000000000,4500.000000000000000,,900.000000000000000,,,,20151,PRATT
142818,157833,2015100200950068003,105147.351507811486954,,,,,,,,104400.000000000000000,36000.000000000000000,900.000000000000000,,,,,,20151,PRATT
142974,157998,2015100200950019001,919170.344630363746546,197100.000000000000000,720000.000000000000000,,,,,,,,,1800.000000000000000,,,,,20151,PRATT
143138,158264,2015100113490007001,5406.753857884707941,,,,,,,,,,,,,,,,20151,PRATT
254427,282625,2015100006140001001,191514.674418669252191,6300.000000000000000,900.000000000000000,900.000000000000000,,1800.000000000000000,,,,11700.000000000000000,16200.000000000000000,,,,,,20151,PRATT
254428,282626,2015100015710001001,130442.765132136133616,125100.000000000000000,,,,,,,,,,,,,,,20151,PRATT
254429,282627,2015100005290001001,35503.038762801777921,,,,8100.000000000000000,,17100.000000000000000,,,,,900.000000000000000,,1800.000000000000000,,,20151,PRATT
254430,282628,2015100009980009001,10012.946564365176528,,900.000000000000000,,900.000000000000000,,,900.000000000000000,,,,3600.000000000000000,2700.000000000000000,9000.000000000000000,,,20151,PRATT
254431,282629,2015100002220001001,48496.115997122826229,,41400.000000000000000,,,7200.000000000000000,,,24300.000000000000000,,,,,900.000000000000000,3136.000000000000000,15680.000000000000000,20151,PRATT
254432,282630,2015100004100004001,31219.624204338142590,900.000000000000000,9900.000000000000000,22500.000000000000000,,,,,,,17100.000000000000000,,2700.000000000000000,900.000000000000000,,,20151,PRATT
254433,282631,2015100002950001001,418337.841462017851882,4500.000000000000000,,18900.000000000000000,5400.000000000000000,27900.000000000000000,,7200.000000000000000,8100.000000000000000,,4500.000000000000000,108900.000000000000000,26100.000000000000000,32400.000000000000000,40768.000000000000000,18816.000000000000000,20151,PRATT
254434,282632,2015100103440001001,220802.172070216154680,3600.000000000000000,,,,,,,75600.000000000000000,71100.000000000000000,2700.000000000000000,82800.000000000000000,70200.000000000000000,,,,20151,PRATT
254435,282633,2015100012340002001,5692.926666589674824,,,,,,,,,,,,,,,,20151,PRATT
254436,282634,2015100011800001001,525293.155864921514876,900.000000000000000,900.000000000000000,4500.000000000000000,900.000000000000000,,11700.000000000000000,,,3600.000000000000000,4500.000000000000000,1800.000000000000000,10800.000000000000000,54900.000000000000000,28224.000000000000000,18816.000000000000000,20151,PRATT
254437,282635,2015100018060004001,10053.907849258766873,,,,,,,,,,,,900.000000000000000,900.000000000000000,,,20151,PRATT
254438,282636,2015100018580001001,31273.555042896688974,,,,,9900.000000000000000,,,,2700.000000000000000,,900.000000000000000,,900.000000000000000,,,20151,PRATT
254439,282637,2015100103640002001,102306.355302886833670,,,,,,,,,,,,,,,3136.000000000000000,20151,PRATT
254440,282638,2015100107090006001,171582.287812443508301,,,,,,,,,,,151200.000000000000000,87300.000000000000000,153900.000000000000000,,,20151,PRATT
254441,282639,2015100105660001001,29106.538459031147795,15300.000000000000000,,1800.000000000000000,,,,,,,,,,,,,20151,PRATT
254442,282640,2015100019310001001,23953.498377934145537,,2700.000000000000000,2700.000000000000000,900.000000000000000,3600.000000000000000,,,,,,3600.000000000000000,,,3136.000000000000000,3136.000000000000000,20151,PRATT
254443,282641,2015100107690001001,26466.080798612740182,,,,,,3600.000000000000000,,900.000000000000000,1800.000000000000000,,,1800.000000000000000,,,,20151,PRATT
254444,282642,2015100007040006001,83208.687384156131884,50400.000000000000000,57600.000000000000000,81000.000000000000000,70200.000000000000000,2700.000000000000000,3600.000000000000000,,,,72000.000000000000000,13500.000000000000000,,,,6272.000000000000000,20151,PRATT
254445,282643,2015100001830001001,125529.032600142323645,,77400.000000000000000,,1800.000000000000000,,,,36900.000000000000000,65700.000000000000000,66600.000000000000000,900.000000000000000,28800.000000000000000,94500.000000000000000,25088.000000000000000,,20151,PRATT
254446,282644,2015100016510001001,20430.035257386593003,900.000000000000000,,900.000000000000000,,,5400.000000000000000,,,,2700.000000000000000,,2700.000000000000000,,,9408.000000000000000,20151,PRATT
254447,282645,2015100021170001001,457499.292390850547235,52200.000000000000000,,9900.000000000000000,2700.000000000000000,,900.000000000000000,,,,900.000000000000000,,900.000000000000000,900.000000000000000,,,20151,PRATT
254448,282646,2015100000220001001,128980.697572252844111,1800.000000000000000,11700.000000000000000,,,3600.000000000000000,,,,4500.000000000000000,,,,,,3136.000000000000000,20151,PRATT
254449,282647,2015100017970004001,27481.913302008353639,,900.000000000000000,27000.000000000000000,,,5400.000000000000000,21600.000000000000000,26100.000000000000000,,,,,,,,20151,PRATT
254450,282648,2015100004860003001,21134.938307279600849,,,2700.000000000000000,,,2700.000000000000000,,,,900.000000000000000,900.000000000000000,2700.000000000000000,,,,20151,PRATT
254451,282649,2015100108140005001,32304.409287814414711,,,3600.000000000000000,,,,,1800.000000000000000,,,,4500.000000000000000,900.000000000000000,,,20151,PRATT
254452,282650,2015100013110001001,321129.029401632375084,126000.000000000000000,21600.000000000000000,38700.000000000000000,,81900.000000000000000,171000.000000000000000,8100.000000000000000,900.000000000000000,900.000000000000000,7200.000000000000000,138600.000000000000000,133200.000000000000000,4500.000000000000000,,175616.000000000000000,20151,PRATT
254453,282651,2015100103120001001,26165.371396804235701,,900.000000000000000,,,,,,,,,,3600.000000000000000,,,3136.000000000000000,20151,PRATT
254454,282652,2015100106780002001,253895.530034379422432,,2700.000000000000000,,,,,,,,,,,900.000000000000000,,,20151,PRATT
254455,282654,2015100014920003001,180412.773542212875327,1800.000000000000000,7200.000000000000000,22500.000000000000000,,,5400.000000000000000,,,900.000000000000000,,,19800.000000000000000,,,3136.000000000000000,20151,PRATT
254456,282655,2015100007710001001,889815.955681438208558,,,,,6300.000000000000000,11700.000000000000000,,,900.000000000000000,1800.000000000000000,,9900.000000000000000,900.000000000000000,,,20151,PRATT
254457,282656,2015100004830001001,134593.226734354946529,,,,,3600.000000000000000,123300.000000000000000,54900.000000000000000,122400.000000000000000,2700.000000000000000,,,110700.000000000000000,,,,20151,PRATT
254458,282657,2015100001230002001,20548.100425979868305,,,,,,,,,,,900.000000000000000,,,,,20151,PRATT
254459,282658,2015100011630032001,84633.964017427308136,,,,,,,,,,,,,,,,20151,PRATT
254460,282659,2015100001330001001,26834.487030594078533,,24300.000000000000000,,900.000000000000000,,,,900.000000000000000,2700.000000000000000,9000.000000000000000,5400.000000000000000,1800.000000000000000,17100.000000000000000,3136.000000000000000,,20151,PRATT
254461,282660,2015100114410001001,37495.155205104441848,,,,,,,,,,,,,,,,20151,PRATT
254462,282661,2015100000700001001,33424.994987770929583,,29700.000000000000000,1800.000000000000000,2700.000000000000000,1800.000000000000000,900.000000000000000,15300.000000000000000,,,1800.000000000000000,,1800.000000000000000,6300.000000000000000,,3136.000000000000000,20151,PRATT
254463,282663,2015100004730001001,11910.590907103633072,,900.000000000000000,,,,,,,,,900.000000000000000,,,,,20151,PRATT
254464,282664,2015100006810008001,54939.811654355202336,,,,,,,,,,,,,3600.000000000000000,,,20151,PRATT
254465,282665,2015100017100002001,27735.428893338812486,19800.000000000000000,14400.000000000000000,17100.000000000000000,9900.000000000000000,9000.000000000000000,10800.000000000000000,15300.000000000000000,16200.000000000000000,1800.000000000000000,24300.000000000000000,,,5400.000000000000000,,3136.000000000000000,20151,PRATT
254466,282666,2015100015820003001,6273.171195535243896,,,900.000000000000000,,,,,,,,,,,,,20151,PRATT
254467,282667,2015100107810004001,20293.391259747630102,,,,,,,,,,8100.000000000000000,3600.000000000000000,,,,,20151,PRATT
254468,282668,2015100010200004001,7075.348490330615277,,900.000000000000000,,,,,,1800.000000000000000,1800.000000000000000,,,,,,,20151,PRATT
254469,282669,2015100102540001001,160609.606260908010881,5400.000000000000000,1800.000000000000000,6300.000000000000000,,,,,,,,,6300.000000000000000,,,3136.000000000000000,20151,PRATT
254470,282670,2015100016080001001,27115.859033219807316,2700.000000000000000,14400.000000000000000,,,,1800.000000000000000,,22500.000000000000000,19800.000000000000000,24300.000000000000000,,,12600.000000000000000,3136.000000000000000,,20151,PRATT
254471,282671,2015100107160001001,265226.542781268537510,,2700.000000000000000,900.000000000000000,,1800.000000000000000,140400.000000000000000,,12600.000000000000000,3600.000000000000000,14400.000000000000000,,,1800.000000000000000,,,20151,PRATT
254472,282673,2015100019310001002,532021.543095371220261,9900.000000000000000,311400.000000000000000,261900.000000000000000,21600.000000000000000,73800.000000000000000,,332100.000000000000000,9900.000000000000000,28800.000000000000000,82800.000000000000000,6300.000000000000000,18900.000000000000000,1800.000000000000000,59584.000000000000000,,20151,PRATT
254473,282674,2015100015170001001,109667.921888091601431,900.000000000000000,,2700.000000000000000,,,,,,,,,,,,97216.000000000000000,20151,PRATT
254474,282675,2015100112550007001,11009.677502263321003,,,,,,,,,,,2700.000000000000000,,,,,20151,PRATT
254475,282676,2015100100350009001,169242.150415175914532,,,,,,,,,18000.000000000000000,,,,,,,20151,PRATT
254476,282677,2015100115030011001,73019.116570210651844,34200.000000000000000,3600.000000000000000,1800.000000000000000,2700.000000000000000,,,,,900.000000000000000,,,,900.000000000000000,,,20151,PRATT
254477,282678,2015100011360004001,30607.413507563382154,,,,,,,,,,8100.000000000000000,1800.000000000000000,,4500.000000000000000,,3136.000000000000000,20151,PRATT
254478,282679,2015100012080001001,89080.456488765703398,,,900.000000000000000,,84600.000000000000000,2700.000000000000000,,,84600.000000000000000,,,,,,,20151,PRATT
254479,282680,2015100001350003001,7678.629681725112277,,,,,,,,,,,6300.000000000000000,5400.000000000000000,1800.000000000000000,,3136.000000000000000,20151,PRATT
254480,282681,2015100010960002001,66510.899479578001774,8100.000000000000000,2700.000000000000000,11700.000000000000000,900.000000000000000,17100.000000000000000,,,,,,46800.000000000000000,33300.000000000000000,9900.000000000000000,,,20151,PRATT
254481,282682,2015100013790001001,26219.925394713867718,6300.000000000000000,,12600.000000000000000,900.000000000000000,,,2700.000000000000000,5400.000000000000000,,900.000000000000000,,900.000000000000000,,,,20151,PRATT
254482,282684,2015100112320008001,241447.109817141521489,167400.000000000000000,31500.000000000000000,205200.000000000000000,,,,,,,,2700.000000000000000,900.000000000000000,,,,20151,PRATT
254483,282686,2015100114140001001,82592.463348168050288,2700.000000000000000,,,,,,,,,,,,,40768.000000000000000,,20151,PRATT
254484,282687,2015100098880001001,154990.832475506613264,,,,,,,,,,,,,,,,20151,PRATT
254485,282688,2015100004590002001,421887.284975761198439,112500.000000000000000,198000.000000000000000,,6300.000000000000000,11700.000000000000000,,,900.000000000000000,,257400.000000000000000,,,24300.000000000000000,103488.000000000000000,,20151,PRATT
254486,282689,2015100017940003001,12733.282129268727658,,,,,,,,,,,,,,,,20151,PRATT
254487,282690,2015100006900001001,55794.771923952393990,,,,,4500.000000000000000,,,,1800.000000000000000,9900.000000000000000,5400.000000000000000,3600.000000000000000,5400.000000000000000,,,20151,PRATT
254488,282691,2015100013250001001,30078.525517650574329,,,,,2700.000000000000000,,,,,,900.000000000000000,,900.000000000000000,,,20151,PRATT
254489,282692,2015100005880001001,297196.821965250943322,,,1800.000000000000000,900.000000000000000,154800.000000000000000,271800.000000000000000,81000.000000000000000,900.000000000000000,,1800.000000000000000,5400.000000000000000,,,53312.000000000000000,125440.000000000000000,20151,PRATT
254490,282694,2015100014020006001,5799.069018247921122,,,,,,,,,,,,,,,,20151,PRATT
254491,282695,2015100009290004001,129490.527734077244531,118800.000000000000000,122400.000000000000000,,,,108000.000000000000000,,,,,,,,,,20151,PRATT
254492,282696,2015100015480001001,98284.710498725544312,,,,,,,,,,,,2700.000000000000000,,12544.000000000000000,,20151,PRATT
