,UID,SCTFS,Shape_Area,AREA_2020,AREA_2019,AREA_2018,AREA_2017,AREA_2016,AREA_2015,AREA_2014,AREA_2013,AREA_2012,AREA_2011,AREA_2010,AREA_2009,AREA_2008,AREA_2007,AREA_2006,FIPSSTCO,County
499073,574440,2015300007250010001,11328.117241213700254,1800.000000000000000,,,,,,,,,,,900.000000000000000,1800.000000000000000,3136.000000000000000,,20153,RAWLINS
499074,574442,2015300007250007001,11431.914872861756521,900.000000000000000,,,,,,,,,,900.000000000000000,,,,,20153,RAWLINS
842004,989107,2015300001020003001,115136.328429693021462,,,,,,,,,,,,,,,,20153,RAWLINS
842005,989108,2015300001020004001,99554.480704415982473,,,,,,,,,,,,,,,,20153,RAWLINS
842006,989109,2015300001020006001,239106.567485989013221,,,,,,,,,,,,,,,,20153,RAWLINS
842007,989110,2015300001020007001,30509.803435662295669,,,,,,,,,,,,,,,,20153,RAWLINS
842008,989111,2015300001020008001,3839098.488122632727027,,900.000000000000000,,,,,2700.000000000000000,,,,,,,,12544.000000000000000,20153,RAWLINS
842009,989112,2015300001020005001,206004.620887438562931,,,,,,,,,,,,,,,,20153,RAWLINS
842010,989113,2015320023150001001,1159224.307083535939455,,,,,,,,,,,,,,,,20153,RAWLINS
842011,989114,2015320023170002001,119575.886036640862585,,,,,,,,,,,,,,,,20153,RAWLINS
842012,989115,2015300031410002001,1034039.520803653053008,,,,,,,,,,,,,,,,20153,RAWLINS
842013,989116,2015300031400001001,135704.237033742596395,,,129600.000000000000000,,,120600.000000000000000,,,65700.000000000000000,,,,,,,20153,RAWLINS
842014,989117,2015300031410005001,96259.959766963962466,,,,,,,,,,,,,,,,20153,RAWLINS
842015,989118,2015320023160004001,74955.700613009757944,,,,,,,,,,,,,,,,20153,RAWLINS
842016,989119,2015300033080006001,28036.157346010881156,,,,2700.000000000000000,,,2700.000000000000000,,,2700.000000000000000,,,900.000000000000000,,,20153,RAWLINS
842017,989121,2015320023160005001,119796.133786476071691,,,,900.000000000000000,,,,,,,,,,,,20153,RAWLINS
842018,989123,2015320023180005001,910158.848551436327398,,,,,,18900.000000000000000,,,,,,,,,,20153,RAWLINS
842019,989124,2015300031410003001,196494.129870325617958,,,,,,,,,,,,,,,,20153,RAWLINS
842020,989125,2015300000920017001,241628.862689391768072,,,,,,,,,,,,,,,,20153,RAWLINS
842021,989126,2015300028430006001,61390.465430745418416,,,,,,,,,,,,,,,,20153,RAWLINS
842022,989127,2015300028420007001,43354.533652375670499,,,,,,,,,,,,,,,,20153,RAWLINS
842023,989128,2015300033080004001,621697.084015500033274,,,,,305100.000000000000000,,5400.000000000000000,9000.000000000000000,,,71100.000000000000000,,,125440.000000000000000,,20153,RAWLINS
842024,989129,2015300000920001001,151314.770511581067694,,140400.000000000000000,143100.000000000000000,,,134100.000000000000000,,,115200.000000000000000,,,,,,,20153,RAWLINS
842025,989130,2015300003280002001,232605.626098813896533,,198000.000000000000000,197100.000000000000000,,,194400.000000000000000,192600.000000000000000,,,203400.000000000000000,,,,,,20153,RAWLINS
842026,989131,2015300003280003001,308840.129954258969519,,,1800.000000000000000,,,,900.000000000000000,,,1800.000000000000000,,,,,,20153,RAWLINS
842027,989132,2015300003280004001,519285.615546121902298,,,,,,900.000000000000000,,900.000000000000000,,,,,,,,20153,RAWLINS
842028,989133,2015300000960001001,44549.508860651520081,,,,,,,,,,,,,,,,20153,RAWLINS
842029,989134,2015300000960002001,151159.833368524385151,,,,,,,,,,,,,,,,20153,RAWLINS
842030,989135,2015300000960003001,24054.799449702801212,,900.000000000000000,,,,,,,,,,,,,,20153,RAWLINS
842031,989136,2015300000960006001,7194.382695674406932,,,,,,,,,,,,,,,,20153,RAWLINS
842032,989137,2015300000960007001,11082.661062989411221,,,,,,,,,,,900.000000000000000,,,,,20153,RAWLINS
842033,989138,2015300000960009001,8082.092549425548896,,,,,,,,,,,,,,,,20153,RAWLINS
842034,989139,2015300000960011001,4246.520212564219946,,,,900.000000000000000,,,,,,,,,,,,20153,RAWLINS
842035,989140,2015300033080010001,332086.127851694356650,,,,,900.000000000000000,,,,,,,,,,,20153,RAWLINS
842036,989141,2015300033080009001,115452.832313336082734,,,,,1800.000000000000000,,,,,,,,,,,20153,RAWLINS
842037,989142,2015300000960010001,516645.978669966105372,,,,,,,,,,,,,,,,20153,RAWLINS
842038,989143,2015300000920004001,320279.446885424316861,,,,,,,,,,,,,,,,20153,RAWLINS
842039,989144,2015320023190009001,6757.549639139251667,,,,,,,,,,,,,,,,20153,RAWLINS
842040,989145,2015320023190008001,214890.284411834640196,,,,,,,,,,,,,,,,20153,RAWLINS
842041,989146,2015320023190001001,193950.645960194640793,,,,,,,,,,,,,,,9408.000000000000000,20153,RAWLINS
842042,989147,2015320023200002001,2289331.811601168010384,900.000000000000000,,,,,,,,,,900.000000000000000,1800.000000000000000,,,,20153,RAWLINS
842043,989148,2015320023210003001,35377.221110683276493,,,,,,,,,,,,,,,,20153,RAWLINS
842044,989149,2015300001890005001,186481.301857793558156,,,,,,,,,,,,,,,,20153,RAWLINS
842045,989150,2015300001890009001,139863.720119527890347,,,,,,,,,,,,,,,,20153,RAWLINS
842046,989151,2015300001890004001,36938.017615309370740,,,,,,,,,,,,,,,,20153,RAWLINS
842047,989152,2015300022780003001,266367.850844084634446,,,,,,,,1800.000000000000000,2700.000000000000000,,,,3600.000000000000000,,,20153,RAWLINS
842048,989153,2015300022770006001,630046.723540914827026,900.000000000000000,900.000000000000000,900.000000000000000,2700.000000000000000,,,1800.000000000000000,,,900.000000000000000,,900.000000000000000,,,9408.000000000000000,20153,RAWLINS
842049,989154,2015300022770004001,9707.319640293157136,1800.000000000000000,,,,900.000000000000000,,900.000000000000000,,,,,,,,,20153,RAWLINS
842050,989155,2015300022770005001,13036.490404515170667,,,,,1800.000000000000000,,900.000000000000000,,,,,,,,,20153,RAWLINS
842051,989156,2015300007020003001,16424.081513581702893,,,,,,,,,,,,,,,,20153,RAWLINS
842052,989157,2015300007020004001,12047.872161096733180,,,,,,,,,,,,,,,,20153,RAWLINS
842053,989158,2015300007010006001,22873.363116726675798,,900.000000000000000,,,,,,,,,,,,,,20153,RAWLINS
842054,989159,2015300007010002001,52159.570984253899951,,,,,,,,900.000000000000000,,,,,,,,20153,RAWLINS
