,UID,SCTFS,Shape_Area,AREA_2020,AREA_2019,AREA_2018,AREA_2017,AREA_2016,AREA_2015,AREA_2014,AREA_2013,AREA_2012,AREA_2011,AREA_2010,AREA_2009,AREA_2008,AREA_2007,AREA_2006,FIPSSTCO,County
30195,33337,2015720029460006001,62133.729298914986430,,,,,,,,,,,,,,,,20157,REPUBLIC
30290,33442,2015720029570001001,12307.548562742696959,,,,,,,,8100.000000000000000,,,,,,6272.000000000000000,6272.000000000000000,20157,REPUBLIC
30336,33498,2015720029560001002,28792.910067741147941,3600.000000000000000,6300.000000000000000,,1800.000000000000000,,2700.000000000000000,,,13500.000000000000000,18000.000000000000000,,,,,,20157,REPUBLIC
30339,33501,2015720029160001001,214240.015256130747730,900.000000000000000,2700.000000000000000,3600.000000000000000,,6300.000000000000000,9900.000000000000000,,,,,,3600.000000000000000,3600.000000000000000,,,20157,REPUBLIC
30429,33603,2015720029520001001,144541.806234078307170,,900.000000000000000,,1800.000000000000000,1800.000000000000000,8100.000000000000000,,9000.000000000000000,,10800.000000000000000,,1800.000000000000000,,,,20157,REPUBLIC
30532,33721,2015720029050002001,82626.903435408996302,,900.000000000000000,,,,,,,,,,,,,,20157,REPUBLIC
30554,33748,2015720029180001001,173219.127954779774882,,,,4500.000000000000000,,4500.000000000000000,,900.000000000000000,,147600.000000000000000,,,4500.000000000000000,97216.000000000000000,137984.000000000000000,20157,REPUBLIC
30742,33960,2015720029560001003,16929.501023299038934,1800.000000000000000,2700.000000000000000,4500.000000000000000,2700.000000000000000,,,,6300.000000000000000,7200.000000000000000,,,,,,15680.000000000000000,20157,REPUBLIC
30744,33963,2015720029200001001,403776.054058326641098,1800.000000000000000,4500.000000000000000,1800.000000000000000,900.000000000000000,18000.000000000000000,,,,,,3600.000000000000000,,6300.000000000000000,,,20157,REPUBLIC
30801,34029,2015720029030003001,9258.351883401604937,900.000000000000000,,,,,,,,,,,,900.000000000000000,,3136.000000000000000,20157,REPUBLIC
30855,34098,2015720029340001001,260310.065923921938520,7200.000000000000000,237600.000000000000000,2700.000000000000000,182700.000000000000000,256500.000000000000000,,,,,249300.000000000000000,162000.000000000000000,108000.000000000000000,252900.000000000000000,,,20157,REPUBLIC
30980,34240,2015720029110001001,315415.569848235056270,900.000000000000000,4500.000000000000000,,900.000000000000000,1800.000000000000000,4500.000000000000000,,,,,,,295200.000000000000000,3136.000000000000000,,20157,REPUBLIC
31021,34287,2015720029350005001,6113.699506824464152,,,,,7200.000000000000000,,,,,,,,,6272.000000000000000,,20157,REPUBLIC
31035,34302,2015720029050001001,28986.449716865605296,,,,,,,,,,,,,,,,20157,REPUBLIC
31395,34704,2015720029300001001,156414.301051249611191,,900.000000000000000,,2700.000000000000000,,1800.000000000000000,,,,9000.000000000000000,,,,,,20157,REPUBLIC
31396,34705,2015720029020001001,223777.259991144092055,,900.000000000000000,,1800.000000000000000,,196200.000000000000000,,3600.000000000000000,,210600.000000000000000,900.000000000000000,,900.000000000000000,156800.000000000000000,,20157,REPUBLIC
31417,34730,2015720029030001001,155833.817506200546632,,,,,,900.000000000000000,900.000000000000000,,5400.000000000000000,78300.000000000000000,72900.000000000000000,2700.000000000000000,121500.000000000000000,90944.000000000000000,,20157,REPUBLIC
31496,34819,2015720029520004001,6610.230272737943778,900.000000000000000,,900.000000000000000,1800.000000000000000,1800.000000000000000,1800.000000000000000,,1800.000000000000000,900.000000000000000,4500.000000000000000,,,900.000000000000000,,,20157,REPUBLIC
31603,34939,2015720029470005001,12757.329868814815200,4500.000000000000000,,,1800.000000000000000,4500.000000000000000,,,,1800.000000000000000,,,4500.000000000000000,,,,20157,REPUBLIC
31667,35015,2015720029470008001,26494.229526310471556,,,,,,,,,,,,,,,,20157,REPUBLIC
31700,35056,2015720029460002001,14545.109925977851162,,,,,,,,,,,,,,,,20157,REPUBLIC
31936,35335,2015720029470001001,22627.148510137838457,5400.000000000000000,,,,,,,,,,,,,,,20157,REPUBLIC
32098,35528,2015720029210001001,293611.526831628812943,900.000000000000000,,,,39600.000000000000000,2700.000000000000000,4500.000000000000000,,,20700.000000000000000,29700.000000000000000,,,,,20157,REPUBLIC
32317,35787,2015720029400005001,4270.762075407095836,,,,,,,,,,,,,,,,20157,REPUBLIC
32349,35821,2015720029030005001,4599.441479951136898,,,,,,,,,900.000000000000000,3600.000000000000000,,,,,,20157,REPUBLIC
