,UID,SCTFS,Shape_Area,AREA_2020,AREA_2019,AREA_2018,AREA_2017,AREA_2016,AREA_2015,AREA_2014,AREA_2013,AREA_2012,AREA_2011,AREA_2010,AREA_2009,AREA_2008,AREA_2007,AREA_2006,FIPSSTCO,County
988548,1156079,2015900000920001001,206360.013398840033915,,,,,1800.000000000000000,,,,,,,2700.000000000000000,,,,20159,RICE
988549,1156080,2015900000930001001,137205.412492931965971,,,,900.000000000000000,,,,900.000000000000000,,1800.000000000000000,3600.000000000000000,,,,12544.000000000000000,20159,RICE
988550,1156081,2015900013540001001,304329.477568554691970,30600.000000000000000,900.000000000000000,2700.000000000000000,,,3600.000000000000000,47700.000000000000000,49500.000000000000000,168300.000000000000000,154800.000000000000000,,,,9408.000000000000000,3136.000000000000000,20159,RICE
988551,1156082,2015900014500001001,99027.821697736100759,74700.000000000000000,900.000000000000000,89100.000000000000000,1800.000000000000000,,46800.000000000000000,1800.000000000000000,20700.000000000000000,,32400.000000000000000,37800.000000000000000,4500.000000000000000,2700.000000000000000,,,20159,RICE
988552,1156083,2015900015030002001,159644.806473864213331,,,,900.000000000000000,151200.000000000000000,900.000000000000000,,,,,110700.000000000000000,900.000000000000000,900.000000000000000,15680.000000000000000,116032.000000000000000,20159,RICE
988553,1156084,2015900015820002001,130711.219910788655397,,900.000000000000000,,,14400.000000000000000,126000.000000000000000,,,,,,,,,,20159,RICE
988554,1156085,2015900014500003001,92725.779608393539093,,,8100.000000000000000,,,16200.000000000000000,1800.000000000000000,56700.000000000000000,2700.000000000000000,5400.000000000000000,,,,,,20159,RICE
988555,1156086,2015900017060001001,189107.118807198945433,,,,,36900.000000000000000,181800.000000000000000,,,,,,,,,3136.000000000000000,20159,RICE
988556,1156087,2015900047410001001,58351.571551148575963,,7200.000000000000000,27900.000000000000000,,,20700.000000000000000,11700.000000000000000,,,1800.000000000000000,30600.000000000000000,,,,6272.000000000000000,20159,RICE
988557,1156088,2015900012480002001,269916.766334454063326,22500.000000000000000,,,900.000000000000000,216900.000000000000000,247500.000000000000000,17100.000000000000000,186300.000000000000000,,,20700.000000000000000,9900.000000000000000,1800.000000000000000,68992.000000000000000,,20159,RICE
988558,1156089,2015900026610001001,199177.207030416757334,199800.000000000000000,,6300.000000000000000,21600.000000000000000,,2700.000000000000000,37800.000000000000000,,25200.000000000000000,32400.000000000000000,9000.000000000000000,,9900.000000000000000,,,20159,RICE
988559,1156090,2015900052180001001,146875.426349212066270,2700.000000000000000,126900.000000000000000,,,6300.000000000000000,134100.000000000000000,102600.000000000000000,,,,104400.000000000000000,,9900.000000000000000,21952.000000000000000,78400.000000000000000,20159,RICE
988560,1156091,2015900021180001001,65178.079166799776431,,1800.000000000000000,1800.000000000000000,,,1800.000000000000000,,,,,,,900.000000000000000,,,20159,RICE
988561,1156092,2015900054840001001,164197.237560063775163,,,158400.000000000000000,,,,,1800.000000000000000,153000.000000000000000,112500.000000000000000,,2700.000000000000000,,,,20159,RICE
988562,1156093,2015900007610001001,259302.331036803545430,134100.000000000000000,28800.000000000000000,9900.000000000000000,54000.000000000000000,2700.000000000000000,2700.000000000000000,21600.000000000000000,10800.000000000000000,56700.000000000000000,3600.000000000000000,49500.000000000000000,5400.000000000000000,8100.000000000000000,,,20159,RICE
988563,1156094,2015900013250001001,186816.171602295828052,35100.000000000000000,54000.000000000000000,55800.000000000000000,85500.000000000000000,3600.000000000000000,35100.000000000000000,,,900.000000000000000,45000.000000000000000,,,,,12544.000000000000000,20159,RICE
988564,1156095,2015900012090001001,187616.085341229423648,,,,1800.000000000000000,54900.000000000000000,1800.000000000000000,,,3600.000000000000000,,15300.000000000000000,,,,81536.000000000000000,20159,RICE
988565,1156096,2015900053150001001,376915.022542715305462,1800.000000000000000,,63000.000000000000000,305100.000000000000000,327600.000000000000000,,,7200.000000000000000,241200.000000000000000,229500.000000000000000,233100.000000000000000,,9000.000000000000000,3136.000000000000000,112896.000000000000000,20159,RICE
988566,1156097,2015900012930001001,121755.711984640467563,,72900.000000000000000,113400.000000000000000,,900.000000000000000,114300.000000000000000,65700.000000000000000,,,,2700.000000000000000,12600.000000000000000,3600.000000000000000,81536.000000000000000,,20159,RICE
988567,1156098,2015900011980001001,75822.319793009854038,64800.000000000000000,1800.000000000000000,,,1800.000000000000000,,,,27000.000000000000000,1800.000000000000000,,,1800.000000000000000,,9408.000000000000000,20159,RICE
