,UID,SCTFS,Shape_Area,AREA_2020,AREA_2019,AREA_2018,AREA_2017,AREA_2016,AREA_2015,AREA_2014,AREA_2013,AREA_2012,AREA_2011,AREA_2010,AREA_2009,AREA_2008,AREA_2007,AREA_2006,FIPSSTCO,County
73818,82989,2016302005190001001,395471.947126982966438,,5400.000000000000000,10800.000000000000000,,1800.000000000000000,373500.000000000000000,268200.000000000000000,,9900.000000000000000,,,,4500.000000000000000,,,20163,ROOKS
73912,83089,2016302005160001001,58476.340330364560941,900.000000000000000,1800.000000000000000,5400.000000000000000,,900.000000000000000,4500.000000000000000,,,,,,,,,,20163,ROOKS
74496,83714,2016302005150002001,10208.011767820775276,,,,,,,,,,,,,,,,20163,ROOKS
74789,84028,2016302005160002001,15086.034271101098057,,,6300.000000000000000,,,17100.000000000000000,,,900.000000000000000,,,,,,,20163,ROOKS
75466,84752,2016302005130002001,115292.372815586175420,,4500.000000000000000,106200.000000000000000,,,101700.000000000000000,,,101700.000000000000000,,,107100.000000000000000,108000.000000000000000,,6272.000000000000000,20163,ROOKS
75549,84844,2016302005110001001,4273.080087730639207,,,,,,1800.000000000000000,,,,,,,,,,20163,ROOKS
75574,84872,2016302005160002002,149321.958458815555787,8100.000000000000000,,146700.000000000000000,,,147600.000000000000000,,,900.000000000000000,,,,,,,20163,ROOKS
75768,85148,2016302005130001001,83356.837331087721395,,900.000000000000000,76500.000000000000000,,,72000.000000000000000,,,80100.000000000000000,,,72000.000000000000000,68400.000000000000000,,,20163,ROOKS
75885,85275,2016302005150004001,39367.381410093716113,,,,,,,,,,,,,,,,20163,ROOKS
75902,85292,2016302005150007001,17258.586226412411634,,,,,,,,,,,,,,,,20163,ROOKS
76138,85542,2016302005160002003,62816.648110021495086,,,63900.000000000000000,,,63900.000000000000000,,,,,,,,,,20163,ROOKS
76616,86057,2016302005110001002,181842.031664838199504,,900.000000000000000,164700.000000000000000,,,164700.000000000000000,,,,,,,,,,20163,ROOKS
76696,86142,2016302005180003001,17145.569669626525865,,14400.000000000000000,16200.000000000000000,,,16200.000000000000000,,6300.000000000000000,18000.000000000000000,,3600.000000000000000,,1800.000000000000000,21952.000000000000000,,20163,ROOKS
76868,86331,2016302005150001003,8681.654242913382404,,,,,,,,,,,,,,,,20163,ROOKS
77136,86621,2016302005130005001,79767.967358970403438,,,,,62100.000000000000000,,,61200.000000000000000,,900.000000000000000,54000.000000000000000,,,,53312.000000000000000,20163,ROOKS
77137,86622,2016302005150008001,9029.601404307824851,,,,,,,,,,,,,,,,20163,ROOKS
77175,86661,2016302005170004001,266215.846859101264272,2700.000000000000000,8100.000000000000000,9000.000000000000000,241200.000000000000000,,,194400.000000000000000,,,262800.000000000000000,,,,210112.000000000000000,6272.000000000000000,20163,ROOKS
78703,88294,2016302005170003001,73147.619924963873927,,,,,900.000000000000000,,,,900.000000000000000,,6300.000000000000000,900.000000000000000,,,,20163,ROOKS
79199,88820,2016302005150006001,66650.374060007583466,,,,,,,,,,,,,,,,20163,ROOKS
79216,88839,2016302005160003001,31345.147539835383213,900.000000000000000,1800.000000000000000,9000.000000000000000,,,12600.000000000000000,,,900.000000000000000,,,,,,,20163,ROOKS
80476,90219,2016302005110002001,32297.323670519297593,,,24300.000000000000000,,,21600.000000000000000,,,,,,,,,,20163,ROOKS
80713,90475,2016302005150001004,93589.669226595578948,,,,,,,,,,,,,,,,20163,ROOKS
80961,90739,2016302005170003002,52668.940885782998521,,,,900.000000000000000,30600.000000000000000,,,38700.000000000000000,900.000000000000000,,33300.000000000000000,,,,37632.000000000000000,20163,ROOKS
81159,90959,2016320051120001001,704740.248061032849364,13500.000000000000000,,4500.000000000000000,239400.000000000000000,151200.000000000000000,92700.000000000000000,94500.000000000000000,114300.000000000000000,54000.000000000000000,109800.000000000000000,109800.000000000000000,,,,,20163,ROOKS
81428,91246,2016302005160002004,83208.714540253829909,,,79200.000000000000000,,,79200.000000000000000,,,6300.000000000000000,,,,,,,20163,ROOKS
81612,91444,2016302005180005001,4319.620087317587604,,,,,,,,,,,,,,,,20163,ROOKS
82106,91972,2016302005110001003,11966.504262233554982,,,1800.000000000000000,,,2700.000000000000000,,,,,,,,,,20163,ROOKS
82242,92112,2016302005170004002,59078.735076461598510,,900.000000000000000,9900.000000000000000,9900.000000000000000,,,14400.000000000000000,,44100.000000000000000,55800.000000000000000,,,,,,20163,ROOKS
105157,116933,2016320065140019001,114757.905618102333392,,,,,900.000000000000000,1800.000000000000000,,,,,7200.000000000000000,,,31360.000000000000000,,20163,ROOKS
105438,117218,2016320065110001001,618966.910994420759380,,,,,,,,,,,,,,,,20163,ROOKS
105553,117338,2016300092950001001,5734.414814720628783,,,,,,,,,,900.000000000000000,,,,,,20163,ROOKS
105569,117354,2016302006560001001,53506.380428387106804,,,,,,,,,,,,,,,,20163,ROOKS
105669,117456,2016300092950002001,221300.567165379063226,2700.000000000000000,6300.000000000000000,13500.000000000000000,900.000000000000000,,900.000000000000000,29700.000000000000000,,,212400.000000000000000,,900.000000000000000,192600.000000000000000,188160.000000000000000,,20163,ROOKS
105885,117677,2016300092960002001,605622.509848788147792,900.000000000000000,32400.000000000000000,8100.000000000000000,,41400.000000000000000,,40500.000000000000000,521100.000000000000000,,2700.000000000000000,27000.000000000000000,585900.000000000000000,580500.000000000000000,,,20163,ROOKS
105921,117715,2016320065200001001,665635.212640923564322,,1800.000000000000000,9000.000000000000000,637200.000000000000000,627300.000000000000000,,,59400.000000000000000,659700.000000000000000,,,,900.000000000000000,,3136.000000000000000,20163,ROOKS
105924,117719,2016302006540001001,307816.697884397464804,900.000000000000000,,,,,,,,,,,,,,,20163,ROOKS
106049,117850,2016320065180001001,312974.776329216780141,20700.000000000000000,,1800.000000000000000,52200.000000000000000,,,900.000000000000000,,9900.000000000000000,4500.000000000000000,279900.000000000000000,900.000000000000000,8100.000000000000000,,6272.000000000000000,20163,ROOKS
106064,117865,2016320065100005001,280423.352257821185049,,273600.000000000000000,,,247500.000000000000000,,,261900.000000000000000,,,245700.000000000000000,,9000.000000000000000,219520.000000000000000,3136.000000000000000,20163,ROOKS
106171,117976,2016302006580004001,280252.457556739216670,,257400.000000000000000,1800.000000000000000,,255600.000000000000000,,,250200.000000000000000,,,260100.000000000000000,,2700.000000000000000,222656.000000000000000,,20163,ROOKS
106281,118090,2016302006520001001,650022.308239094447345,,,,,,,,,,,,,,,,20163,ROOKS
106375,118237,2016320065150001001,60268.676873664866434,,,,,900.000000000000000,,,,1800.000000000000000,27900.000000000000000,,,,,3136.000000000000000,20163,ROOKS
106402,118265,2016320065130001001,518162.947552113211714,,3600.000000000000000,496800.000000000000000,,,,2700.000000000000000,,,,,72000.000000000000000,,,3136.000000000000000,20163,ROOKS
106412,118275,2016320065150001002,68695.218324109184323,,,,,,,,,,3600.000000000000000,,,,,,20163,ROOKS
106597,118466,2016320065120001001,628514.010310188285075,1800.000000000000000,900.000000000000000,1800.000000000000000,,,2700.000000000000000,,,900.000000000000000,,,,9900.000000000000000,,,20163,ROOKS
106621,118490,2016302006550003001,14297.625876198953847,,,,10800.000000000000000,,,,,10800.000000000000000,,,11700.000000000000000,9900.000000000000000,,,20163,ROOKS
106809,118683,2016320065140001001,46571.174527845767443,,,,,,900.000000000000000,,,,,9000.000000000000000,,,,,20163,ROOKS
107006,118885,2016302006590001001,479244.091774003580213,59400.000000000000000,109800.000000000000000,16200.000000000000000,,365400.000000000000000,306000.000000000000000,236700.000000000000000,16200.000000000000000,,2700.000000000000000,1800.000000000000000,,3600.000000000000000,,,20163,ROOKS
107582,119478,2016320065210001001,30000.047336335988803,,20700.000000000000000,18900.000000000000000,16200.000000000000000,17100.000000000000000,11700.000000000000000,11700.000000000000000,18900.000000000000000,,,,14400.000000000000000,21600.000000000000000,6272.000000000000000,25088.000000000000000,20163,ROOKS
107664,119565,2016320065210001002,64374.749367112759501,,,900.000000000000000,,,,,,6300.000000000000000,36900.000000000000000,5400.000000000000000,21600.000000000000000,10800.000000000000000,31360.000000000000000,40768.000000000000000,20163,ROOKS
107726,119628,2016320065210001004,103253.207041201865650,11700.000000000000000,10800.000000000000000,9900.000000000000000,,4500.000000000000000,7200.000000000000000,,,,900.000000000000000,,1800.000000000000000,,,9408.000000000000000,20163,ROOKS
107946,119851,2016320065230002001,34017.058356231078506,,1800.000000000000000,3600.000000000000000,,3600.000000000000000,,,,,9900.000000000000000,2700.000000000000000,19800.000000000000000,8100.000000000000000,18816.000000000000000,18816.000000000000000,20163,ROOKS
108079,119987,2016302006530001001,67795.781792206267710,,,,,,,,,,900.000000000000000,,,,,,20163,ROOKS
108319,120231,2016302006560003001,396953.181442886765581,,,,,,,,,,,,,3600.000000000000000,,,20163,ROOKS
108439,120355,2016320065220002001,463189.728822307835799,2700.000000000000000,14400.000000000000000,440100.000000000000000,369900.000000000000000,2700.000000000000000,,,59400.000000000000000,3600.000000000000000,27900.000000000000000,429300.000000000000000,1800.000000000000000,3600.000000000000000,,401408.000000000000000,20163,ROOKS
108662,120581,2016300092950005001,281068.572475327760912,900.000000000000000,900.000000000000000,900.000000000000000,16200.000000000000000,,,8100.000000000000000,42300.000000000000000,,36000.000000000000000,,272700.000000000000000,,,,20163,ROOKS
108781,120703,2016302006510001001,104835.265860428015003,,,,,,,900.000000000000000,,5400.000000000000000,3600.000000000000000,,,,,3136.000000000000000,20163,ROOKS
108932,120857,2016320065160001001,601328.231076077558100,2700.000000000000000,550800.000000000000000,591300.000000000000000,576900.000000000000000,579600.000000000000000,2700.000000000000000,,4500.000000000000000,591300.000000000000000,589500.000000000000000,545400.000000000000000,,9000.000000000000000,526848.000000000000000,558208.000000000000000,20163,ROOKS
109141,121074,2016302006550005001,242581.500374634400941,,,,,,,,,,,,,,,,20163,ROOKS
109548,121489,2016302006590003001,150405.945783037954243,36900.000000000000000,50400.000000000000000,18900.000000000000000,,102600.000000000000000,95400.000000000000000,26100.000000000000000,8100.000000000000000,,,,,,,,20163,ROOKS
109570,121511,2016302006510001002,57022.209489478322212,900.000000000000000,,,,,,,,,,,,,,,20163,ROOKS
109629,121570,2016300092950005002,368086.406340929155704,,1800.000000000000000,,33300.000000000000000,2700.000000000000000,,,72900.000000000000000,,16200.000000000000000,,364500.000000000000000,,,53312.000000000000000,20163,ROOKS
109637,121578,2016300092950005003,22274.250220902555156,,,,4500.000000000000000,,,,,,14400.000000000000000,,21600.000000000000000,,,,20163,ROOKS
