,UID,SCTFS,Shape_Area,AREA_2020,AREA_2019,AREA_2018,AREA_2017,AREA_2016,AREA_2015,AREA_2014,AREA_2013,AREA_2012,AREA_2011,AREA_2010,AREA_2009,AREA_2008,AREA_2007,AREA_2006,FIPSSTCO,County
13952,16338,2016700200090845001,104298.629356456949608,,,74700.000000000000000,,,,35100.000000000000000,5400.000000000000000,,80100.000000000000000,2700.000000000000000,,76500.000000000000000,43904.000000000000000,,20167,RUSSELL
14055,16443,2016700200090876001,16301.119220133792624,,900.000000000000000,,,,3600.000000000000000,,10800.000000000000000,2700.000000000000000,13500.000000000000000,12600.000000000000000,8100.000000000000000,11700.000000000000000,,3136.000000000000000,20167,RUSSELL
14317,16709,2016700200090838001,594024.205185232101940,900.000000000000000,,900.000000000000000,,,,,,,,,,,,,20167,RUSSELL
14446,16841,2016700200090795002,265753.335989642771892,,7200.000000000000000,,,10800.000000000000000,254700.000000000000000,255600.000000000000000,,,5400.000000000000000,249300.000000000000000,27900.000000000000000,248400.000000000000000,,,20167,RUSSELL
14506,16901,2016700200090007001,83057.527085121168057,,,900.000000000000000,75600.000000000000000,,900.000000000000000,,,,,,,,,,20167,RUSSELL
14586,16982,2016700200090882001,611679.621601414168254,,,,,,,,,,,,,,,,20167,RUSSELL
14794,17196,2016700200090845002,78694.557531034181011,900.000000000000000,2700.000000000000000,62100.000000000000000,,,,57600.000000000000000,,,63900.000000000000000,,,62100.000000000000000,34496.000000000000000,,20167,RUSSELL
14830,17233,2016700200090855001,85792.435787597059971,74700.000000000000000,,,,,,,,,,63000.000000000000000,64800.000000000000000,,,,20167,RUSSELL
15050,17458,2016700200090883001,514373.759776920953300,,,,,,,78300.000000000000000,485100.000000000000000,1800.000000000000000,,25200.000000000000000,495900.000000000000000,473400.000000000000000,,219520.000000000000000,20167,RUSSELL
15100,17509,2016700200090852001,11392.242724655268830,,11700.000000000000000,,,,12600.000000000000000,,,,,,,,,,20167,RUSSELL
15135,17545,2016700200090817001,126037.637782513964339,,,,,,,,,,,,,,,,20167,RUSSELL
15140,17550,2016700200090846001,36534.238501258019824,,,,,,,,,,,,,,,,20167,RUSSELL
15199,17612,2016700200090841001,34224.215799841331318,,,1800.000000000000000,,,900.000000000000000,,,,,,,,,,20167,RUSSELL
15253,17666,2016700200090946001,51345.912306970305508,30600.000000000000000,22500.000000000000000,31500.000000000000000,29700.000000000000000,900.000000000000000,,,3600.000000000000000,,,,15300.000000000000000,,,6272.000000000000000,20167,RUSSELL
15395,17809,2016700066950006001,97349.633075639590970,,,,,,,,,,,,,,,,20167,RUSSELL
15425,17840,2016700200090887002,21558.121365680719464,,,,,1800.000000000000000,21600.000000000000000,,,18900.000000000000000,21600.000000000000000,,,,12544.000000000000000,6272.000000000000000,20167,RUSSELL
15533,17949,2016700200090822001,115939.357720445550513,,,,,,,,,,,,,,,,20167,RUSSELL
15574,17992,2016700200090875001,31719.491869594832679,,,,,,,,,,,,,,,,20167,RUSSELL
15630,18048,2016700200090944001,150221.754057808488142,2700.000000000000000,11700.000000000000000,34200.000000000000000,,,,11700.000000000000000,2700.000000000000000,5400.000000000000000,,,11700.000000000000000,6300.000000000000000,,,20167,RUSSELL
15786,18206,2016700200090948001,196354.192119531770004,,,,,,,,,,,,,,,,20167,RUSSELL
15791,18211,2016700066920002001,189060.810989288293058,,,174600.000000000000000,164700.000000000000000,175500.000000000000000,,,,,,,,,,,20167,RUSSELL
15803,18223,2016700200090794001,14353.170352854105658,,,,,,,,,,,,,,,,20167,RUSSELL
15818,18239,2016700200090008001,23203.481731445026526,,,,900.000000000000000,,1800.000000000000000,,19800.000000000000000,5400.000000000000000,23400.000000000000000,14400.000000000000000,16200.000000000000000,18900.000000000000000,6272.000000000000000,3136.000000000000000,20167,RUSSELL
15984,18410,2016700200090783001,199707.223648922983557,1800.000000000000000,,,,,,,900.000000000000000,,3600.000000000000000,900.000000000000000,,,3136.000000000000000,3136.000000000000000,20167,RUSSELL
16228,18663,2016700066290001001,371931.030759077519178,900.000000000000000,139500.000000000000000,37800.000000000000000,,36000.000000000000000,37800.000000000000000,29700.000000000000000,37800.000000000000000,,,,80100.000000000000000,,,,20167,RUSSELL
